filename,local_time
KAPX20050101_125622,20050101_075622
KAPX20050101_130615,20050101_080615
KAPX20050101_131606,20050101_081606
KAPX20050101_132557,20050101_082557
KAPX20050101_133548,20050101_083548
KAPX20050101_134538,20050101_084538
KAPX20050101_135531,20050101_085531
KAPX20050101_140522,20050101_090522
KAPX20050101_141514,20050101_091514
KAPX20050101_142506,20050101_092506
KAPX20050101_143459,20050101_093459
KAPX20050101_144452,20050101_094452
KAPX20050102_124843,20050102_074843
KAPX20050102_125436,20050102_075436
KAPX20050102_130029,20050102_080029
KAPX20050102_130621,20050102_080621
KAPX20050102_131213,20050102_081213
KAPX20050102_131807,20050102_081807
KAPX20050102_132400,20050102_082400
KAPX20050102_132954,20050102_082954
KAPX20050102_133545,20050102_083545
KAPX20050102_134137,20050102_084137
KAPX20050102_134730,20050102_084730
KAPX20050102_135325,20050102_085325
KAPX20050102_135918,20050102_085918
KAPX20050102_140512,20050102_090512
KAPX20050102_141104,20050102_091104
KAPX20050102_141656,20050102_091656
KAPX20050102_142250,20050102_092250
KAPX20050102_142843,20050102_092843
KAPX20050102_143435,20050102_093435
KAPX20050102_144028,20050102_094028
KAPX20050102_144620,20050102_094620
KAPX20050103_125448,20050103_075448
KAPX20050103_130435,20050103_080435
KAPX20050103_131424,20050103_081424
KAPX20050103_132411,20050103_082411
KAPX20050103_133358,20050103_083358
KAPX20050103_134345,20050103_084345
KAPX20050103_135340,20050103_085340
KAPX20050103_140332,20050103_090332
KAPX20050103_141323,20050103_091323
KAPX20050103_142315,20050103_092315
KAPX20050103_143309,20050103_093309
KAPX20050103_144418,20050103_094418
KAPX20050104_125217,20050104_075217
KAPX20050104_130211,20050104_080211
KAPX20050104_131204,20050104_081204
KAPX20050104_132158,20050104_082158
KAPX20050104_133152,20050104_083152
KAPX20050104_134146,20050104_084146
KAPX20050104_135139,20050104_085139
KAPX20050104_140133,20050104_090133
KAPX20050104_141126,20050104_091126
KAPX20050104_142119,20050104_092119
KAPX20050104_143114,20050104_093114
KAPX20050104_144106,20050104_094106
KAPX20050105_125028,20050105_075028
KAPX20050105_130021,20050105_080021
KAPX20050105_131014,20050105_081014
KAPX20050105_132008,20050105_082008
KAPX20050105_132959,20050105_082959
KAPX20050105_133951,20050105_083951
KAPX20050105_134943,20050105_084943
KAPX20050105_135938,20050105_085938
KAPX20050105_140929,20050105_090929
KAPX20050105_141923,20050105_091923
KAPX20050105_142916,20050105_092916
KAPX20050105_143909,20050105_093909
KAPX20050106_124738,20050106_074738
KAPX20050106_125731,20050106_075731
KAPX20050106_130725,20050106_080725
KAPX20050106_131717,20050106_081717
KAPX20050106_132708,20050106_082708
KAPX20050106_133701,20050106_083701
KAPX20050106_134652,20050106_084652
KAPX20050106_135643,20050106_085643
KAPX20050106_140635,20050106_090635
KAPX20050106_141628,20050106_091628
KAPX20050106_142621,20050106_092621
KAPX20050106_143613,20050106_093613
KAPX20050106_144606,20050106_094606
KAPX20050108_124923,20050108_074923
KAPX20050108_125915,20050108_075915
KAPX20050108_130907,20050108_080907
KAPX20050108_131859,20050108_081859
KAPX20050108_132850,20050108_082850
KAPX20050108_133842,20050108_083842
KAPX20050108_134834,20050108_084834
KAPX20050108_135826,20050108_085826
KAPX20050108_140818,20050108_090818
KAPX20050108_141810,20050108_091810
KAPX20050108_142801,20050108_092801
KAPX20050108_143755,20050108_093755
KAPX20050109_125507,20050109_075507
KAPX20050109_130459,20050109_080459
KAPX20050109_131450,20050109_081450
KAPX20050109_132442,20050109_082442
KAPX20050109_133435,20050109_083435
KAPX20050109_134427,20050109_084427
KAPX20050109_135418,20050109_085418
KAPX20050109_140408,20050109_090408
KAPX20050109_141400,20050109_091400
KAPX20050109_142350,20050109_092350
KAPX20050109_143342,20050109_093342
KAPX20050109_144335,20050109_094335
KAPX20050110_125031,20050110_075031
KAPX20050110_130024,20050110_080024
KAPX20050110_131016,20050110_081016
KAPX20050110_132007,20050110_082007
KAPX20050110_132958,20050110_082958
KAPX20050110_133949,20050110_083949
KAPX20050110_134941,20050110_084941
KAPX20050110_135932,20050110_085932
KAPX20050110_140922,20050110_090922
KAPX20050110_141913,20050110_091913
KAPX20050110_142904,20050110_092904
KAPX20050110_143856,20050110_093856
KAPX20050111_124520,20050111_074520
KAPX20050111_125510,20050111_075510
KAPX20050111_130501,20050111_080501
KAPX20050111_131452,20050111_081452
KAPX20050111_132444,20050111_082444
KAPX20050111_133435,20050111_083435
KAPX20050111_134427,20050111_084427
KAPX20050111_135419,20050111_085419
KAPX20050111_140409,20050111_090409
KAPX20050111_141403,20050111_091403
KAPX20050111_142354,20050111_092354
KAPX20050111_143345,20050111_093345
KAPX20050111_144335,20050111_094335
KAPX20050112_124623,20050112_074623
KAPX20050112_125216,20050112_075216
KAPX20050112_125809,20050112_075809
KAPX20050112_130403,20050112_080403
KAPX20050112_130957,20050112_080957
KAPX20050112_131549,20050112_081549
KAPX20050112_132143,20050112_082143
KAPX20050112_132737,20050112_082737
KAPX20050112_133331,20050112_083331
KAPX20050112_133923,20050112_083923
KAPX20050112_134516,20050112_084516
KAPX20050112_135107,20050112_085107
KAPX20050112_135700,20050112_085700
KAPX20050112_140252,20050112_090252
KAPX20050112_140845,20050112_090845
KAPX20050112_141439,20050112_091439
KAPX20050112_142033,20050112_092033
KAPX20050112_142625,20050112_092625
KAPX20050112_143219,20050112_093219
KAPX20050112_143811,20050112_093811
KAPX20050112_144404,20050112_094404
KAPX20050113_124806,20050113_074806
KAPX20050113_125400,20050113_075400
KAPX20050113_125953,20050113_075953
KAPX20050113_130546,20050113_080546
KAPX20050113_131140,20050113_081140
KAPX20050113_131733,20050113_081733
KAPX20050113_132327,20050113_082327
KAPX20050113_132919,20050113_082919
KAPX20050113_133513,20050113_083513
KAPX20050113_134106,20050113_084106
KAPX20050113_134659,20050113_084659
KAPX20050113_135253,20050113_085253
KAPX20050113_135846,20050113_085846
KAPX20050113_140439,20050113_090439
KAPX20050113_141033,20050113_091033
KAPX20050113_141626,20050113_091626
KAPX20050113_142220,20050113_092220
KAPX20050113_142812,20050113_092812
KAPX20050113_143405,20050113_093405
KAPX20050113_143958,20050113_093958
KAPX20050114_125045,20050114_075045
KAPX20050114_130036,20050114_080036
KAPX20050114_131027,20050114_081027
KAPX20050114_132019,20050114_082019
KAPX20050114_133011,20050114_083011
KAPX20050114_134003,20050114_084003
KAPX20050114_134954,20050114_084954
KAPX20050114_135945,20050114_085945
KAPX20050114_140937,20050114_090937
KAPX20050114_141929,20050114_091929
KAPX20050114_142920,20050114_092920
KAPX20050114_143912,20050114_093912
KAPX20050115_124617,20050115_074617
KAPX20050115_125607,20050115_075607
KAPX20050115_130558,20050115_080558
KAPX20050115_131551,20050115_081551
KAPX20050115_132541,20050115_082541
KAPX20050115_133534,20050115_083534
