filename,local_time
KBUF20050701_091214,20050701_051214
KBUF20050701_091639,20050701_051639
KBUF20050701_092106,20050701_052106
KBUF20050701_092531,20050701_052531
KBUF20050701_092956,20050701_052956
KBUF20050701_093422,20050701_053422
KBUF20050701_093847,20050701_053847
KBUF20050701_094312,20050701_054312
KBUF20050701_094739,20050701_054739
KBUF20050701_095204,20050701_055204
KBUF20050701_095631,20050701_055631
KBUF20050701_100056,20050701_060056
KBUF20050701_100522,20050701_060522
KBUF20050701_100947,20050701_060947
KBUF20050701_101413,20050701_061413
KBUF20050701_101839,20050701_061839
KBUF20050701_102305,20050701_062305
KBUF20050701_102731,20050701_062731
KBUF20050701_103157,20050701_063157
KBUF20050701_103622,20050701_063622
KBUF20050701_104050,20050701_064050
KBUF20050701_104516,20050701_064516
KBUF20050701_104941,20050701_064941
KBUF20050701_105407,20050701_065407
KBUF20050701_105833,20050701_065833
KBUF20050701_110259,20050701_070259
KBUF20050701_110725,20050701_070725
KBUF20050702_091411,20050702_051411
KBUF20050702_092006,20050702_052006
KBUF20050702_092602,20050702_052602
KBUF20050702_093157,20050702_053157
KBUF20050702_093751,20050702_053751
KBUF20050702_094346,20050702_054346
KBUF20050702_094940,20050702_054940
KBUF20050702_095535,20050702_055535
KBUF20050702_100130,20050702_060130
KBUF20050702_100725,20050702_060725
KBUF20050702_101322,20050702_061322
KBUF20050702_101917,20050702_061917
KBUF20050702_102510,20050702_062510
KBUF20050702_103106,20050702_063106
KBUF20050702_103700,20050702_063700
KBUF20050702_104359,20050702_064359
KBUF20050702_104953,20050702_064953
KBUF20050702_105548,20050702_065548
KBUF20050702_110142,20050702_070142
KBUF20050702_110738,20050702_070738
KBUF20050703_092036,20050703_052036
KBUF20050703_093029,20050703_053029
KBUF20050703_094022,20050703_054022
KBUF20050703_095015,20050703_055015
KBUF20050703_100206,20050703_060206
KBUF20050703_101200,20050703_061200
KBUF20050703_102153,20050703_062153
KBUF20050703_103145,20050703_063145
KBUF20050703_104139,20050703_064139
KBUF20050703_105132,20050703_065132
KBUF20050703_110126,20050703_070126
KBUF20050704_092218,20050704_052218
KBUF20050704_093211,20050704_053211
KBUF20050704_094204,20050704_054204
KBUF20050704_095158,20050704_055158
KBUF20050704_100152,20050704_060152
KBUF20050704_101146,20050704_061146
KBUF20050704_102140,20050704_062140
KBUF20050704_103133,20050704_063133
KBUF20050704_104125,20050704_064125
KBUF20050704_105119,20050704_065119
KBUF20050704_110112,20050704_070112
KBUF20050704_111105,20050704_071105
KBUF20050705_091229,20050705_051229
KBUF20050705_091654,20050705_051654
KBUF20050705_092120,20050705_052120
KBUF20050705_092547,20050705_052547
KBUF20050705_093012,20050705_053012
KBUF20050705_093438,20050705_053438
KBUF20050705_093904,20050705_053904
KBUF20050705_094330,20050705_054330
KBUF20050705_094755,20050705_054755
KBUF20050705_095221,20050705_055221
KBUF20050705_095646,20050705_055646
KBUF20050705_100112,20050705_060112
KBUF20050705_100537,20050705_060537
KBUF20050705_101003,20050705_061003
KBUF20050705_101428,20050705_061428
KBUF20050705_101854,20050705_061854
KBUF20050705_102320,20050705_062320
KBUF20050705_102745,20050705_062745
KBUF20050705_103210,20050705_063210
KBUF20050705_103636,20050705_063636
KBUF20050705_104101,20050705_064101
KBUF20050705_104528,20050705_064528
KBUF20050705_104954,20050705_064954
KBUF20050705_105421,20050705_065421
KBUF20050705_105846,20050705_065846
KBUF20050705_110312,20050705_070312
KBUF20050705_110737,20050705_070737
KBUF20050705_111203,20050705_071203
KBUF20050706_091509,20050706_051509
KBUF20050706_091935,20050706_051935
KBUF20050706_092401,20050706_052401
KBUF20050706_092827,20050706_052827
KBUF20050706_093252,20050706_053252
KBUF20050706_093717,20050706_053717
KBUF20050706_094143,20050706_054143
KBUF20050706_094610,20050706_054610
KBUF20050706_095037,20050706_055037
KBUF20050706_095502,20050706_055502
KBUF20050706_095927,20050706_055927
KBUF20050706_100353,20050706_060353
KBUF20050706_100819,20050706_060819
KBUF20050706_101245,20050706_061245
KBUF20050706_101711,20050706_061711
KBUF20050706_102136,20050706_062136
KBUF20050706_102602,20050706_062602
KBUF20050706_103028,20050706_063028
KBUF20050706_103453,20050706_063453
KBUF20050706_103919,20050706_063919
KBUF20050706_104344,20050706_064344
KBUF20050706_104810,20050706_064810
KBUF20050706_105236,20050706_065236
KBUF20050706_105702,20050706_065702
KBUF20050706_110128,20050706_070128
KBUF20050706_110553,20050706_070553
KBUF20050706_111018,20050706_071018
KBUF20050707_091738,20050707_051738
KBUF20050707_092205,20050707_052205
KBUF20050707_092630,20050707_052630
KBUF20050707_093056,20050707_053056
KBUF20050707_093521,20050707_053521
KBUF20050707_093946,20050707_053946
KBUF20050707_094412,20050707_054412
KBUF20050707_094838,20050707_054838
KBUF20050707_095304,20050707_055304
KBUF20050707_095730,20050707_055730
KBUF20050707_100155,20050707_060155
KBUF20050707_100623,20050707_060623
KBUF20050707_101049,20050707_061049
KBUF20050707_101514,20050707_061514
KBUF20050707_101940,20050707_061940
KBUF20050707_102406,20050707_062406
KBUF20050707_102831,20050707_062831
KBUF20050707_103256,20050707_063256
KBUF20050707_103722,20050707_063722
KBUF20050707_104147,20050707_064147
KBUF20050707_104613,20050707_064613
KBUF20050707_105038,20050707_065038
KBUF20050707_105503,20050707_065503
KBUF20050707_105929,20050707_065929
KBUF20050707_110357,20050707_070357
KBUF20050707_110823,20050707_070823
KBUF20050707_111249,20050707_071249
KBUF20050708_091740,20050708_051740
KBUF20050708_092334,20050708_052334
KBUF20050708_092929,20050708_052929
