filename,local_time
KCLE20190601_092648_V06,20190601_052648
KCLE20190601_093523_V06,20190601_053523
KCLE20190601_094358_V06,20190601_054358
KCLE20190601_100108_V06,20190601_060108
KCLE20190601_100944_V06,20190601_060944
KCLE20190601_101819_V06,20190601_061819
KCLE20190601_102655_V06,20190601_062655
KCLE20190601_103531_V06,20190601_063531
KCLE20190601_104407_V06,20190601_064407
KCLE20190601_105243_V06,20190601_065243
KCLE20190601_110333_V06,20190601_070333
KCLE20190601_110856_V06,20190601_070856
KCLE20190601_111421_V06,20190601_071421
KCLE20190601_112257_V06,20190601_072257
KCLE20190602_092745_V06,20190602_052745
KCLE20190602_093313_V06,20190602_053313
KCLE20190602_093842_V06,20190602_053842
KCLE20190602_094409_V06,20190602_054409
KCLE20190602_094939_V06,20190602_054939
KCLE20190602_100036_V06,20190602_060036
KCLE20190602_100605_V06,20190602_060605
KCLE20190602_101132_V06,20190602_061132
KCLE20190602_101700_V06,20190602_061700
KCLE20190602_102227_V06,20190602_062227
KCLE20190602_102756_V06,20190602_062756
KCLE20190602_103324_V06,20190602_063324
KCLE20190602_103852_V06,20190602_063852
KCLE20190602_104421_V06,20190602_064421
KCLE20190602_104951_V06,20190602_064951
KCLE20190602_110702_V06,20190602_070702
KCLE20190602_111538_V06,20190602_071538
KCLE20190602_112416_V06,20190602_072416
KCLE20190603_092948_V06,20190603_052948
KCLE20190603_093824_V06,20190603_053824
KCLE20190603_094659_V06,20190603_054659
KCLE20190603_100410_V06,20190603_060410
KCLE20190603_101246_V06,20190603_061246
KCLE20190603_102122_V06,20190603_062122
KCLE20190603_102959_V06,20190603_062959
KCLE20190603_103835_V06,20190603_063835
KCLE20190603_104710_V06,20190603_064710
KCLE20190603_110423_V06,20190603_070423
KCLE20190603_111259_V06,20190603_071259
KCLE20190603_112135_V06,20190603_072135
KCLE20190604_093345_V06,20190604_053345
KCLE20190604_094220_V06,20190604_054220
KCLE20190604_095056_V06,20190604_055056
KCLE20190604_100808_V06,20190604_060808
KCLE20190604_101643_V06,20190604_061643
KCLE20190604_102520_V06,20190604_062520
KCLE20190604_103355_V06,20190604_063355
KCLE20190604_104232_V06,20190604_064232
KCLE20190604_105108_V06,20190604_065108
KCLE20190604_110820_V06,20190604_070820
KCLE20190604_111655_V06,20190604_071655
KCLE20190605_092949_V06,20190605_052949
KCLE20190605_093506_V06,20190605_053506
KCLE20190605_094022_V06,20190605_054022
KCLE20190605_094546_V06,20190605_054546
KCLE20190605_095103_V06,20190605_055103
KCLE20190605_100137_V06,20190605_060137
KCLE20190605_100653_V06,20190605_060653
KCLE20190605_101205_V06,20190605_061205
KCLE20190605_101721_V06,20190605_061721
KCLE20190605_102233_V06,20190605_062233
KCLE20190605_102743_V06,20190605_062743
KCLE20190605_103255_V06,20190605_063255
KCLE20190605_103807_V06,20190605_063807
KCLE20190605_104319_V06,20190605_064319
KCLE20190605_104829_V06,20190605_064829
KCLE20190605_105341_V06,20190605_065341
KCLE20190605_110404_V06,20190605_070404
KCLE20190605_110930_V06,20190605_070930
KCLE20190605_111457_V06,20190605_071457
KCLE20190605_112023_V06,20190605_072023
KCLE20190606_092633_V06,20190606_052633
KCLE20190606_093509_V06,20190606_053509
KCLE20190606_094344_V06,20190606_054344
KCLE20190606_100055_V06,20190606_060055
KCLE20190606_100931_V06,20190606_060931
KCLE20190606_101807_V06,20190606_061807
KCLE20190606_102642_V06,20190606_062642
KCLE20190606_103520_V06,20190606_063520
KCLE20190606_104355_V06,20190606_064355
KCLE20190606_110107_V06,20190606_070107
KCLE20190606_110942_V06,20190606_070942
KCLE20190606_111816_V06,20190606_071816
KCLE20190607_092728_V06,20190607_052728
KCLE20190607_093604_V06,20190607_053604
KCLE20190607_094439_V06,20190607_054439
KCLE20190607_100151_V06,20190607_060151
KCLE20190607_101027_V06,20190607_061027
KCLE20190607_101902_V06,20190607_061902
KCLE20190607_102738_V06,20190607_062738
KCLE20190607_103613_V06,20190607_063613
KCLE20190607_104449_V06,20190607_064449
KCLE20190607_110201_V06,20190607_070201
KCLE20190607_111036_V06,20190607_071036
KCLE20190607_111912_V06,20190607_071912
KCLE20190608_093116_V06,20190608_053116
KCLE20190608_093815_V06,20190608_053815
KCLE20190608_094514_V06,20190608_054514
KCLE20190608_095213_V06,20190608_055213
KCLE20190608_100613_V06,20190608_060613
KCLE20190608_101312_V06,20190608_061312
KCLE20190608_102012_V06,20190608_062012
KCLE20190608_102710_V06,20190608_062710
KCLE20190608_103410_V06,20190608_063410
KCLE20190608_104110_V06,20190608_064110
KCLE20190608_104809_V06,20190608_064809
KCLE20190608_110206_V06,20190608_070206
KCLE20190608_110905_V06,20190608_070905
KCLE20190608_111604_V06,20190608_071604
KCLE20190608_112302_V06,20190608_072302
KCLE20190609_092615_V06,20190609_052615
KCLE20190609_093045_V06,20190609_053045
KCLE20190609_093516_V06,20190609_053516
KCLE20190609_094145_V06,20190609_054145
KCLE20190609_094615_V06,20190609_054615
KCLE20190609_095045_V06,20190609_055045
KCLE20190609_095515_V06,20190609_055515
KCLE20190609_100415_V06,20190609_060415
KCLE20190609_100845_V06,20190609_060845
KCLE20190609_101315_V06,20190609_061315
KCLE20190609_101746_V06,20190609_061746
KCLE20190609_102216_V06,20190609_062216
KCLE20190609_102646_V06,20190609_062646
KCLE20190609_103116_V06,20190609_063116
KCLE20190609_103546_V06,20190609_063546
KCLE20190609_104016_V06,20190609_064016
KCLE20190609_104446_V06,20190609_064446
KCLE20190609_104918_V06,20190609_064918
KCLE20190609_105347_V06,20190609_065347
KCLE20190609_110246_V06,20190609_070246
KCLE20190609_110715_V06,20190609_070715
KCLE20190609_111145_V06,20190609_071145
KCLE20190609_111615_V06,20190609_071615
KCLE20190609_112044_V06,20190609_072044
KCLE20190610_092509_V06,20190610_052509
KCLE20190610_092953_V06,20190610_052953
KCLE20190610_093508_V06,20190610_053508
KCLE20190610_094006_V06,20190610_054006
KCLE20190610_095140_V06,20190610_055140
KCLE20190610_100137_V06,20190610_060137
KCLE20190610_100638_V06,20190610_060638
KCLE20190610_101137_V06,20190610_061137
KCLE20190610_101621_V06,20190610_061621
KCLE20190610_102106_V06,20190610_062106
