filename,local_time
KDLH20050101_132449,20050101_072449
KDLH20050101_133435,20050101_073435
KDLH20050101_134421,20050101_074421
KDLH20050101_135408,20050101_075408
KDLH20050101_140353,20050101_080353
KDLH20050101_141340,20050101_081340
KDLH20050101_142325,20050101_082325
KDLH20050101_143312,20050101_083312
KDLH20050101_144258,20050101_084258
KDLH20050101_145244,20050101_085244
KDLH20050101_150230,20050101_090230
KDLH20050101_151216,20050101_091216
KDLH20050101_152203,20050101_092203
KDLH20050102_132547,20050102_072547
KDLH20050102_133137,20050102_073137
KDLH20050102_133726,20050102_073726
KDLH20050102_134315,20050102_074315
KDLH20050102_134903,20050102_074903
KDLH20050102_135454,20050102_075454
KDLH20050102_140043,20050102_080043
KDLH20050102_140633,20050102_080633
KDLH20050102_141223,20050102_081223
KDLH20050102_141812,20050102_081812
KDLH20050102_142401,20050102_082401
KDLH20050102_142951,20050102_082951
KDLH20050102_143540,20050102_083540
KDLH20050102_144131,20050102_084131
KDLH20050102_144718,20050102_084718
KDLH20050102_145307,20050102_085307
KDLH20050102_145855,20050102_085855
KDLH20050102_150444,20050102_090444
KDLH20050102_151033,20050102_091033
KDLH20050102_151621,20050102_091621
KDLH20050102_152212,20050102_092212
KDLH20050103_133326,20050103_073326
KDLH20050103_134312,20050103_074312
KDLH20050103_135257,20050103_075257
KDLH20050103_140243,20050103_080243
KDLH20050103_141230,20050103_081230
KDLH20050103_142215,20050103_082215
KDLH20050103_143202,20050103_083202
KDLH20050103_144148,20050103_084148
KDLH20050103_145134,20050103_085134
KDLH20050103_150121,20050103_090121
KDLH20050103_151107,20050103_091107
KDLH20050103_152053,20050103_092053
KDLH20050104_133244,20050104_073244
KDLH20050104_134230,20050104_074230
KDLH20050104_135216,20050104_075216
KDLH20050104_140202,20050104_080202
KDLH20050104_141148,20050104_081148
KDLH20050104_142135,20050104_082135
KDLH20050104_143120,20050104_083120
KDLH20050104_144107,20050104_084107
KDLH20050104_145053,20050104_085053
KDLH20050104_150040,20050104_090040
KDLH20050104_151026,20050104_091026
KDLH20050104_152013,20050104_092013
KDLH20050105_132921,20050105_072921
KDLH20050105_133741,20050105_073741
KDLH20050105_134329,20050105_074329
KDLH20050105_134920,20050105_074920
KDLH20050105_135508,20050105_075508
KDLH20050105_140059,20050105_080059
KDLH20050105_140648,20050105_080648
KDLH20050105_141237,20050105_081237
KDLH20050105_141826,20050105_081826
KDLH20050105_142419,20050105_082419
KDLH20050105_143405,20050105_083405
KDLH20050105_144351,20050105_084351
KDLH20050105_145337,20050105_085337
KDLH20050105_150323,20050105_090323
KDLH20050105_151309,20050105_091309
KDLH20050106_132529,20050106_072529
KDLH20050106_133515,20050106_073515
KDLH20050106_134502,20050106_074502
KDLH20050106_135448,20050106_075448
KDLH20050106_140435,20050106_080435
KDLH20050106_141420,20050106_081420
KDLH20050106_142406,20050106_082406
KDLH20050106_143353,20050106_083353
KDLH20050106_144339,20050106_084339
KDLH20050106_145326,20050106_085326
KDLH20050106_150312,20050106_090312
KDLH20050106_151259,20050106_091259
KDLH20050106_152245,20050106_092245
KDLH20050108_132524,20050108_072524
KDLH20050108_133510,20050108_073510
KDLH20050108_134457,20050108_074457
KDLH20050108_135443,20050108_075443
KDLH20050108_140429,20050108_080429
KDLH20050108_141415,20050108_081415
KDLH20050108_142400,20050108_082400
KDLH20050108_143347,20050108_083347
KDLH20050108_144333,20050108_084333
KDLH20050108_145319,20050108_085319
KDLH20050108_150305,20050108_090305
KDLH20050108_151251,20050108_091251
KDLH20050108_152237,20050108_092237
KDLH20050109_132505,20050109_072505
KDLH20050109_133452,20050109_073452
KDLH20050109_134438,20050109_074438
KDLH20050109_135425,20050109_075425
KDLH20050109_140411,20050109_080411
KDLH20050109_141357,20050109_081357
KDLH20050109_142343,20050109_082343
KDLH20050109_143330,20050109_083330
KDLH20050109_144317,20050109_084317
KDLH20050109_145304,20050109_085304
KDLH20050109_150250,20050109_090250
KDLH20050109_151238,20050109_091238
KDLH20050109_152225,20050109_092225
KDLH20050110_132415,20050110_072415
KDLH20050110_133359,20050110_073359
KDLH20050110_134347,20050110_074347
KDLH20050110_135335,20050110_075335
KDLH20050110_140320,20050110_080320
KDLH20050110_141306,20050110_081306
KDLH20050110_142253,20050110_082253
KDLH20050110_143239,20050110_083239
KDLH20050110_144225,20050110_084225
KDLH20050110_145213,20050110_085213
KDLH20050110_150159,20050110_090159
KDLH20050110_151145,20050110_091145
KDLH20050110_152132,20050110_092132
KDLH20050111_132350,20050111_072350
KDLH20050111_133335,20050111_073335
KDLH20050111_134321,20050111_074321
KDLH20050111_135309,20050111_075309
KDLH20050111_140254,20050111_080254
KDLH20050111_141241,20050111_081241
KDLH20050111_142226,20050111_082226
KDLH20050111_143212,20050111_083212
KDLH20050111_144159,20050111_084159
KDLH20050111_145145,20050111_085145
KDLH20050111_150131,20050111_090131
KDLH20050111_151117,20050111_091117
KDLH20050111_152103,20050111_092103
KDLH20050112_132135,20050112_072135
KDLH20050112_132725,20050112_072725
KDLH20050112_133314,20050112_073314
KDLH20050112_133903,20050112_073903
KDLH20050112_134453,20050112_074453
KDLH20050112_135043,20050112_075043
KDLH20050112_135633,20050112_075633
KDLH20050112_140220,20050112_080220
KDLH20050112_140810,20050112_080810
KDLH20050112_141400,20050112_081400
KDLH20050112_141950,20050112_081950
KDLH20050112_142540,20050112_082540
KDLH20050112_143127,20050112_083127
KDLH20050112_143717,20050112_083717
KDLH20050112_144306,20050112_084306
KDLH20050112_144853,20050112_084853
KDLH20050112_145443,20050112_085443
KDLH20050112_150032,20050112_090032
KDLH20050112_150622,20050112_090622
KDLH20050112_151211,20050112_091211
KDLH20050112_151759,20050112_091759
KDLH20050113_132109,20050113_072109
KDLH20050113_133056,20050113_073056
KDLH20050113_134042,20050113_074042
KDLH20050113_135029,20050113_075029
KDLH20050113_140014,20050113_080014
KDLH20050113_141001,20050113_081001
KDLH20050113_141947,20050113_081947
KDLH20050113_142933,20050113_082933
KDLH20050113_143920,20050113_083920
KDLH20050113_144905,20050113_084905
KDLH20050113_145852,20050113_085852
KDLH20050113_150838,20050113_090838
KDLH20050113_151824,20050113_091824
KDLH20050114_132035,20050114_072035
KDLH20050114_133021,20050114_073021
KDLH20050114_134007,20050114_074007
KDLH20050114_134953,20050114_074953
KDLH20050114_135939,20050114_075939
KDLH20050114_140925,20050114_080925
KDLH20050114_141912,20050114_081912
KDLH20050114_142858,20050114_082858
KDLH20050114_143843,20050114_083843
KDLH20050114_144830,20050114_084830
KDLH20050114_145816,20050114_085816
KDLH20050114_150801,20050114_090801
KDLH20050114_151748,20050114_091748
KDLH20050115_131945,20050115_071945
KDLH20050115_132932,20050115_072932
KDLH20050115_133918,20050115_073918
KDLH20050115_134905,20050115_074905
KDLH20050115_135850,20050115_075850
KDLH20050115_140836,20050115_080836
KDLH20050115_141822,20050115_081822
KDLH20050115_142809,20050115_082809
KDLH20050115_143755,20050115_083755
KDLH20050115_144740,20050115_084740
KDLH20050115_145727,20050115_085727
KDLH20050115_150712,20050115_090712
KDLH20050115_151700,20050115_091700
KDLH20050116_131857,20050116_071857
KDLH20050116_132843,20050116_072843
KDLH20050116_133829,20050116_073829
KDLH20050116_134815,20050116_074815
KDLH20050116_135801,20050116_075801
KDLH20050116_140748,20050116_080748
KDLH20050116_141734,20050116_081734
KDLH20050116_142720,20050116_082720
KDLH20050116_143705,20050116_083705
KDLH20050116_144651,20050116_084651
KDLH20050116_145637,20050116_085637
KDLH20050116_150624,20050116_090624
KDLH20050116_151610,20050116_091610
KDLH20050117_132754,20050117_072754
KDLH20050117_133740,20050117_073740
KDLH20050117_134726,20050117_074726
KDLH20050117_135712,20050117_075712
KDLH20050117_140658,20050117_080658
KDLH20050117_141645,20050117_081645
KDLH20050117_142631,20050117_082631
KDLH20050117_143617,20050117_083617
KDLH20050117_144603,20050117_084603
KDLH20050117_145549,20050117_085549
KDLH20050117_150535,20050117_090535
KDLH20050117_151521,20050117_091521
KDLH20050118_132701,20050118_072701
KDLH20050118_133649,20050118_073649
KDLH20050118_134635,20050118_074635
KDLH20050118_135621,20050118_075621
KDLH20050118_140608,20050118_080608
KDLH20050118_141554,20050118_081554
KDLH20050118_142540,20050118_082540
KDLH20050118_143526,20050118_083526
KDLH20050118_144512,20050118_084512
KDLH20050118_145458,20050118_085458
KDLH20050118_150444,20050118_090444
KDLH20050118_151430,20050118_091430
KDLH20050119_132421,20050119_072421
KDLH20050119_133406,20050119_073406
KDLH20050119_134353,20050119_074353
KDLH20050119_135340,20050119_075340
KDLH20050119_140326,20050119_080326
KDLH20050119_141312,20050119_081312
KDLH20050119_142258,20050119_082258
KDLH20050119_143244,20050119_083244
KDLH20050119_144230,20050119_084230
KDLH20050119_145217,20050119_085217
KDLH20050119_150204,20050119_090204
KDLH20050119_151150,20050119_091150
KDLH20050120_131754,20050120_071754
KDLH20050120_132343,20050120_072343
KDLH20050120_132932,20050120_072932
KDLH20050120_133522,20050120_073522
KDLH20050120_134113,20050120_074113
KDLH20050120_134702,20050120_074702
KDLH20050120_135252,20050120_075252
KDLH20050120_135841,20050120_075841
KDLH20050120_140430,20050120_080430
KDLH20050120_141020,20050120_081020
KDLH20050120_141608,20050120_081608
KDLH20050120_142158,20050120_082158
KDLH20050120_142748,20050120_082748
KDLH20050120_143337,20050120_083337
KDLH20050120_143925,20050120_083925
KDLH20050120_144515,20050120_084515
KDLH20050120_145105,20050120_085105
KDLH20050120_145654,20050120_085654
KDLH20050120_150244,20050120_090244
KDLH20050120_150834,20050120_090834
KDLH20050120_151425,20050120_091425
KDLH20050121_131703,20050121_071703
KDLH20050121_132201,20050121_072201
KDLH20050121_132700,20050121_072700
KDLH20050121_135859,20050121_075859
KDLH20050121_140844,20050121_080844
KDLH20050121_141833,20050121_081833
KDLH20050121_143234,20050121_083234
KDLH20050127_143414,20050127_083414
KDLH20050127_144400,20050127_084400
KDLH20050128_131720,20050128_071720
KDLH20050128_132707,20050128_072707
KDLH20050128_133652,20050128_073652
KDLH20050128_134639,20050128_074639
KDLH20050128_135626,20050128_075626
KDLH20050128_140611,20050128_080611
KDLH20050128_141558,20050128_081558
KDLH20050128_142544,20050128_082544
KDLH20050128_143530,20050128_083530
KDLH20050128_144516,20050128_084516
KDLH20050128_145503,20050128_085503
KDLH20050128_150449,20050128_090449
KDLH20050129_131152,20050129_071152
KDLH20050129_132138,20050129_072138
KDLH20050129_133125,20050129_073125
KDLH20050129_134111,20050129_074111
KDLH20050129_135056,20050129_075056
KDLH20050129_140043,20050129_080043
KDLH20050129_141029,20050129_081029
KDLH20050129_142015,20050129_082015
KDLH20050129_143002,20050129_083002
KDLH20050129_143947,20050129_083947
KDLH20050129_144934,20050129_084934
KDLH20050129_145920,20050129_085920
KDLH20050130_131103,20050130_071103
KDLH20050130_132049,20050130_072049
KDLH20050130_133035,20050130_073035
KDLH20050130_134021,20050130_074021
KDLH20050130_135007,20050130_075007
KDLH20050130_135953,20050130_075953
KDLH20050130_140939,20050130_080939
KDLH20050130_141925,20050130_081925
KDLH20050130_142911,20050130_082911
KDLH20050130_143857,20050130_083857
KDLH20050130_144843,20050130_084843
