filename,local_time
KGRB20000914_123509,20000914_073509
KGRB20000914_124058,20000914_074058
KGRB20000914_124648,20000914_074648
KGRB20000914_125237,20000914_075237
KGRB20000914_125827,20000914_075827
KGRB20000922_111205,20000922_061205
KGRB20000922_112156,20000922_062156
KGRB20000922_113147,20000922_063147
KGRB20000922_114138,20000922_064138
KGRB20000922_115253,20000922_065253
KGRB20000922_115842,20000922_065842
KGRB20000922_120432,20000922_070432
KGRB20000922_121021,20000922_071021
KGRB20000922_121610,20000922_071610
KGRB20000922_122200,20000922_072200
KGRB20000922_122749,20000922_072749
KGRB20000922_123923,20000922_073923
