filename,local_time
KIWX20101001_111519_V03,20101001_071519
KIWX20101001_112459_V03,20101001_072459
KIWX20101001_113440_V03,20101001_073440
KIWX20101001_114419_V03,20101001_074419
KIWX20101001_115359_V03,20101001_075359
KIWX20101001_120340_V03,20101001_080340
KIWX20101001_121320_V03,20101001_081320
KIWX20101001_122301_V03,20101001_082301
KIWX20101001_123242_V03,20101001_083242
KIWX20101001_124222_V03,20101001_084222
KIWX20101001_125202_V03,20101001_085202
KIWX20101001_130142_V03,20101001_090142
KIWX20101002_111137_V03,20101002_071137
KIWX20101002_111726_V03,20101002_071726
KIWX20101002_112315_V03,20101002_072315
KIWX20101002_112904_V03,20101002_072904
KIWX20101002_113453_V03,20101002_073453
KIWX20101002_114042_V03,20101002_074042
KIWX20101002_114633_V03,20101002_074633
KIWX20101002_115222_V03,20101002_075222
KIWX20101002_115811_V03,20101002_075811
KIWX20101002_120359_V03,20101002_080359
KIWX20101002_120948_V03,20101002_080948
KIWX20101002_121534_V03,20101002_081534
KIWX20101002_122122_V03,20101002_082122
KIWX20101002_122711_V03,20101002_082711
KIWX20101002_123256_V03,20101002_083256
KIWX20101002_123845_V03,20101002_083845
KIWX20101002_124431_V03,20101002_084431
KIWX20101002_125020_V03,20101002_085020
KIWX20101002_125608_V03,20101002_085608
KIWX20101002_130157_V03,20101002_090157
KIWX20101002_130746_V03,20101002_090746
KIWX20101003_111332_V03,20101003_071332
KIWX20101003_111921_V03,20101003_071921
KIWX20101003_112509_V03,20101003_072509
KIWX20101003_113057_V03,20101003_073057
KIWX20101003_113645_V03,20101003_073645
KIWX20101003_114233_V03,20101003_074233
KIWX20101003_114820_V03,20101003_074820
KIWX20101003_115408_V03,20101003_075408
KIWX20101003_115955_V03,20101003_075955
KIWX20101003_120543_V03,20101003_080543
KIWX20101003_121523_V03,20101003_081523
KIWX20101003_122503_V03,20101003_082503
KIWX20101003_123443_V03,20101003_083443
KIWX20101003_124423_V03,20101003_084423
KIWX20101003_125404_V03,20101003_085404
KIWX20101003_130344_V03,20101003_090344
KIWX20101004_112139_V03,20101004_072139
KIWX20101004_113120_V03,20101004_073120
KIWX20101004_114059_V03,20101004_074059
KIWX20101004_115040_V03,20101004_075040
KIWX20101004_120022_V03,20101004_080022
KIWX20101004_121002_V03,20101004_081002
KIWX20101004_121942_V03,20101004_081942
KIWX20101004_122922_V03,20101004_082922
KIWX20101004_123902_V03,20101004_083902
KIWX20101004_124843_V03,20101004_084843
KIWX20101004_125823_V03,20101004_085823
KIWX20101004_130803_V03,20101004_090803
KIWX20101005_111603_V03,20101005_071603
KIWX20101005_112544_V03,20101005_072544
KIWX20101005_113524_V03,20101005_073524
KIWX20101005_114504_V03,20101005_074504
KIWX20101005_115444_V03,20101005_075444
KIWX20101005_120424_V03,20101005_080424
KIWX20101005_121404_V03,20101005_081404
KIWX20101005_122345_V03,20101005_082345
KIWX20101005_123325_V03,20101005_083325
KIWX20101005_124305_V03,20101005_084305
KIWX20101005_125244_V03,20101005_085244
KIWX20101005_130225_V03,20101005_090225
KIWX20101005_131205_V03,20101005_091205
KIWX20101006_111958_V03,20101006_071958
KIWX20101006_112938_V03,20101006_072938
KIWX20101006_113918_V03,20101006_073918
KIWX20101006_114858_V03,20101006_074858
KIWX20101006_115839_V03,20101006_075839
KIWX20101006_120820_V03,20101006_080820
KIWX20101006_121800_V03,20101006_081800
KIWX20101006_122740_V03,20101006_082740
KIWX20101006_123721_V03,20101006_083721
KIWX20101006_124702_V03,20101006_084702
KIWX20101006_125643_V03,20101006_085643
KIWX20101006_130623_V03,20101006_090623
KIWX20101007_112408_V03,20101007_072408
KIWX20101007_113348_V03,20101007_073348
KIWX20101007_114329_V03,20101007_074329
KIWX20101007_115310_V03,20101007_075310
KIWX20101007_120252_V03,20101007_080252
KIWX20101007_121233_V03,20101007_081233
KIWX20101007_122214_V03,20101007_082214
KIWX20101007_123154_V03,20101007_083154
KIWX20101007_124134_V03,20101007_084134
KIWX20101007_125115_V03,20101007_085115
KIWX20101007_130055_V03,20101007_090055
KIWX20101007_131037_V03,20101007_091037
