filename,local_time
KLOT19960401_110518,19960401_050518
KLOT19960401_111109,19960401_051109
KLOT19960401_111700,19960401_051700
KLOT19960401_112251,19960401_052251
KLOT19960401_112842,19960401_052842
KLOT19960401_113432,19960401_053432
KLOT19960401_114023,19960401_054023
KLOT19960401_114614,19960401_054614
KLOT19960401_115205,19960401_055205
KLOT19960401_115756,19960401_055756
KLOT19960401_120347,19960401_060347
KLOT19960401_120938,19960401_060938
KLOT19960401_121528,19960401_061528
KLOT19960401_122120,19960401_062120
KLOT19960401_122710,19960401_062710
KLOT19960401_123301,19960401_063301
KLOT19960401_123851,19960401_063851
KLOT19960401_124442,19960401_064442
KLOT19960401_125033,19960401_065033
KLOT19960401_125626,19960401_065626
KLOT19960401_130217,19960401_070217
KLOT19960402_110337,19960402_050337
KLOT19960402_110928,19960402_050928
KLOT19960402_111519,19960402_051519
KLOT19960402_112110,19960402_052110
KLOT19960402_112701,19960402_052701
KLOT19960402_113252,19960402_053252
KLOT19960402_113843,19960402_053843
KLOT19960402_114434,19960402_054434
KLOT19960402_115026,19960402_055026
KLOT19960402_115616,19960402_055616
KLOT19960402_120207,19960402_060207
KLOT19960402_120759,19960402_060759
KLOT19960402_121350,19960402_061350
KLOT19960402_121941,19960402_061941
KLOT19960402_122532,19960402_062532
KLOT19960402_123123,19960402_063123
KLOT19960402_123714,19960402_063714
KLOT19960402_124305,19960402_064305
KLOT19960402_124856,19960402_064856
KLOT19960402_125447,19960402_065447
KLOT19960402_130105,19960402_070105
KLOT19960403_110438,19960403_050438
KLOT19960403_111029,19960403_051029
KLOT19960403_111620,19960403_051620
KLOT19960403_112211,19960403_052211
KLOT19960403_112833,19960403_052833
KLOT19960403_113424,19960403_053424
KLOT19960403_114015,19960403_054015
KLOT19960403_114606,19960403_054606
KLOT19960403_115157,19960403_055157
KLOT19960403_115748,19960403_055748
KLOT19960403_120339,19960403_060339
KLOT19960403_120930,19960403_060930
KLOT19960403_121521,19960403_061521
KLOT19960403_122113,19960403_062113
KLOT19960403_122704,19960403_062704
KLOT19960403_123255,19960403_063255
KLOT19960403_123846,19960403_063846
KLOT19960403_124437,19960403_064437
KLOT19960403_125028,19960403_065028
KLOT19960403_125619,19960403_065619
KLOT19960404_110009,19960404_050009
KLOT19960404_110601,19960404_050601
KLOT19960404_111152,19960404_051152
KLOT19960404_111743,19960404_051743
KLOT19960404_112334,19960404_052334
KLOT19960404_112925,19960404_052925
KLOT19960404_113516,19960404_053516
KLOT19960404_114106,19960404_054106
KLOT19960404_114657,19960404_054657
KLOT19960404_115248,19960404_055248
KLOT19960404_115839,19960404_055839
KLOT19960404_120430,19960404_060430
KLOT19960404_121021,19960404_061021
KLOT19960404_121612,19960404_061612
KLOT19960404_122202,19960404_062202
KLOT19960404_122753,19960404_062753
KLOT19960404_123344,19960404_063344
KLOT19960404_123935,19960404_063935
KLOT19960404_124525,19960404_064525
KLOT19960404_125116,19960404_065116
KLOT19960404_125707,19960404_065707
KLOT19960405_110122,19960405_050122
