filename,local_time
KMKX20000102_125623,20000102_065623
KMKX20000102_130213,20000102_070213
KMKX20000102_130803,20000102_070803
KMKX20000102_131354,20000102_071354
KMKX20000102_131944,20000102_071944
KMKX20000102_132534,20000102_072534
KMKX20000102_133124,20000102_073124
KMKX20000102_133714,20000102_073714
KMKX20000102_134305,20000102_074305
KMKX20000102_134855,20000102_074855
KMKX20000102_135445,20000102_075445
KMKX20000102_140035,20000102_080035
KMKX20000102_140625,20000102_080625
KMKX20000102_141216,20000102_081216
KMKX20000102_141806,20000102_081806
KMKX20000102_142356,20000102_082356
KMKX20000102_142947,20000102_082947
KMKX20000102_143537,20000102_083537
KMKX20000102_144127,20000102_084127
KMKX20000102_144717,20000102_084717
KMKX20000102_145308,20000102_085308
KMKX20000103_125557,20000103_065557
KMKX20000103_130550,20000103_070550
KMKX20000103_131544,20000103_071544
KMKX20000103_132538,20000103_072538
KMKX20000103_133532,20000103_073532
KMKX20000103_134526,20000103_074526
KMKX20000103_135520,20000103_075520
KMKX20000103_140514,20000103_080514
KMKX20000103_141507,20000103_081507
KMKX20000103_142501,20000103_082501
KMKX20000103_143455,20000103_083455
KMKX20000103_144449,20000103_084449
KMKX20000103_145443,20000103_085443
KMKX20000104_125552,20000104_065552
KMKX20000104_130142,20000104_070142
KMKX20000104_130733,20000104_070733
KMKX20000104_131323,20000104_071323
KMKX20000104_131913,20000104_071913
KMKX20000104_132504,20000104_072504
KMKX20000104_133054,20000104_073054
KMKX20000104_133644,20000104_073644
KMKX20000104_134234,20000104_074234
KMKX20000104_134825,20000104_074825
KMKX20000104_135415,20000104_075415
KMKX20000104_140005,20000104_080005
KMKX20000104_140556,20000104_080556
KMKX20000104_141146,20000104_081146
KMKX20000104_141736,20000104_081736
KMKX20000104_142327,20000104_082327
KMKX20000104_142917,20000104_082917
KMKX20000104_143507,20000104_083507
KMKX20000104_144058,20000104_084058
KMKX20000104_144648,20000104_084648
KMKX20000104_145239,20000104_085239
KMKX20000105_125928,20000105_065928
KMKX20000105_130918,20000105_070918
KMKX20000105_131908,20000105_071908
KMKX20000105_132858,20000105_072858
KMKX20000105_133848,20000105_073848
KMKX20000105_134838,20000105_074838
KMKX20000105_135935,20000105_075935
KMKX20000105_140925,20000105_080925
KMKX20000105_141915,20000105_081915
KMKX20000105_142906,20000105_082906
KMKX20000105_143855,20000105_083855
KMKX20000105_144845,20000105_084845
KMKX20000106_130358,20000106_070358
KMKX20000106_131348,20000106_071348
KMKX20000106_132337,20000106_072337
KMKX20000106_133328,20000106_073328
KMKX20000106_134318,20000106_074318
KMKX20000106_135307,20000106_075307
KMKX20000106_140257,20000106_080257
KMKX20000106_141247,20000106_081247
KMKX20000106_142237,20000106_082237
KMKX20000106_143227,20000106_083227
KMKX20000106_144217,20000106_084217
KMKX20000106_145207,20000106_085207
KMKX20000107_130258,20000107_070258
KMKX20000107_131248,20000107_071248
KMKX20000107_132237,20000107_072237
KMKX20000107_133227,20000107_073227
KMKX20000107_134217,20000107_074217
KMKX20000107_135207,20000107_075207
KMKX20000107_140157,20000107_080157
KMKX20000107_141147,20000107_081147
KMKX20000107_142136,20000107_082136
KMKX20000107_143127,20000107_083127
KMKX20000107_144117,20000107_084117
KMKX20000107_145107,20000107_085107
KMKX20000108_130334,20000108_070334
KMKX20000108_131328,20000108_071328
KMKX20000108_132322,20000108_072322
KMKX20000108_133316,20000108_073316
KMKX20000108_134310,20000108_074310
KMKX20000108_135303,20000108_075303
KMKX20000108_140257,20000108_080257
KMKX20000108_141251,20000108_081251
KMKX20000108_142245,20000108_082245
KMKX20000108_143239,20000108_083239
KMKX20000108_144232,20000108_084232
KMKX20000108_145226,20000108_085226
KMKX20000109_125947,20000109_065947
KMKX20000109_130538,20000109_070538
KMKX20000109_131128,20000109_071128
KMKX20000109_131719,20000109_071719
KMKX20000109_132309,20000109_072309
KMKX20000109_132900,20000109_072900
KMKX20000109_133450,20000109_073450
KMKX20000109_134041,20000109_074041
KMKX20000109_134631,20000109_074631
KMKX20000109_135222,20000109_075222
KMKX20000109_135812,20000109_075812
KMKX20000109_140403,20000109_080403
KMKX20000109_140954,20000109_080954
KMKX20000109_141545,20000109_081545
KMKX20000109_142135,20000109_082135
KMKX20000109_142726,20000109_082726
KMKX20000109_143316,20000109_083316
KMKX20000109_143908,20000109_083908
KMKX20000109_144458,20000109_084458
KMKX20000109_145049,20000109_085049
KMKX20000110_130011,20000110_070011
KMKX20000110_130601,20000110_070601
KMKX20000110_131152,20000110_071152
KMKX20000110_131742,20000110_071742
KMKX20000110_132333,20000110_072333
KMKX20000110_132923,20000110_072923
KMKX20000110_133514,20000110_073514
KMKX20000110_134105,20000110_074105
KMKX20000110_134655,20000110_074655
KMKX20000110_135246,20000110_075246
KMKX20000110_135836,20000110_075836
KMKX20000110_140427,20000110_080427
KMKX20000110_141017,20000110_081017
KMKX20000110_141607,20000110_081607
KMKX20000110_142158,20000110_082158
KMKX20000110_142748,20000110_082748
KMKX20000110_143339,20000110_083339
KMKX20000110_143929,20000110_083929
KMKX20000110_144520,20000110_084520
KMKX20000110_145110,20000110_085110
KMKX20000111_125722,20000111_065722
KMKX20000111_130712,20000111_070712
KMKX20000111_131702,20000111_071702
KMKX20000111_132652,20000111_072652
KMKX20000111_133642,20000111_073642
KMKX20000111_134632,20000111_074632
KMKX20000111_135622,20000111_075622
KMKX20000111_140612,20000111_080612
KMKX20000111_141602,20000111_081602
KMKX20000111_142552,20000111_082552
KMKX20000111_143542,20000111_083542
KMKX20000111_144532,20000111_084532
KMKX20000112_125626,20000112_065626
KMKX20000112_130616,20000112_070616
KMKX20000112_131606,20000112_071606
KMKX20000112_132557,20000112_072557
KMKX20000112_133547,20000112_073547
KMKX20000112_134535,20000112_074535
