filename,local_time
KTYX20000101_120729,20000101_070729
KTYX20000101_121321,20000101_071321
KTYX20000101_121911,20000101_071911
KTYX20000101_122500,20000101_072500
KTYX20000101_123051,20000101_073051
KTYX20000101_123641,20000101_073641
KTYX20000101_124232,20000101_074232
KTYX20000101_124823,20000101_074823
KTYX20000101_125414,20000101_075414
KTYX20000101_130003,20000101_080003
KTYX20000101_130554,20000101_080554
KTYX20000101_131144,20000101_081144
KTYX20000101_131734,20000101_081734
KTYX20000101_132326,20000101_082326
KTYX20000101_132916,20000101_082916
KTYX20000101_133506,20000101_083506
KTYX20000101_134057,20000101_084057
KTYX20000101_134647,20000101_084647
KTYX20000101_135237,20000101_085237
KTYX20000101_135828,20000101_085828
KTYX20000101_140418,20000101_090418
KTYX20000102_120712,20000102_070712
KTYX20000102_121301,20000102_071301
KTYX20000102_121852,20000102_071852
KTYX20000102_122442,20000102_072442
KTYX20000102_123033,20000102_073033
KTYX20000102_123624,20000102_073624
KTYX20000102_124214,20000102_074214
KTYX20000102_124804,20000102_074804
KTYX20000102_125354,20000102_075354
KTYX20000102_125944,20000102_075944
KTYX20000102_130534,20000102_080534
KTYX20000102_131125,20000102_081125
KTYX20000102_131714,20000102_081714
KTYX20000102_132305,20000102_082305
KTYX20000102_132855,20000102_082855
KTYX20000102_133444,20000102_083444
KTYX20000102_134035,20000102_084035
KTYX20000102_134625,20000102_084625
KTYX20000102_135214,20000102_085214
KTYX20000102_135806,20000102_085806
KTYX20000102_140357,20000102_090357
KTYX20000103_120824,20000103_070824
KTYX20000103_121415,20000103_071415
KTYX20000103_122005,20000103_072005
KTYX20000103_122556,20000103_072556
KTYX20000103_123147,20000103_073147
KTYX20000103_123738,20000103_073738
KTYX20000103_124328,20000103_074328
KTYX20000103_124919,20000103_074919
KTYX20000103_125509,20000103_075509
KTYX20000103_130101,20000103_080101
KTYX20000103_130652,20000103_080652
KTYX20000103_131241,20000103_081241
KTYX20000103_131832,20000103_081832
KTYX20000103_132423,20000103_082423
KTYX20000103_133013,20000103_083013
KTYX20000103_133603,20000103_083603
KTYX20000103_134154,20000103_084154
KTYX20000103_134744,20000103_084744
KTYX20000103_135337,20000103_085337
KTYX20000103_135928,20000103_085928
KTYX20000103_140519,20000103_090519
KTYX20000104_120853,20000104_070853
KTYX20000104_121442,20000104_071442
KTYX20000104_122033,20000104_072033
KTYX20000104_122623,20000104_072623
KTYX20000104_123213,20000104_073213
KTYX20000104_123804,20000104_073804
KTYX20000104_124354,20000104_074354
KTYX20000104_124946,20000104_074946
KTYX20000104_125536,20000104_075536
KTYX20000104_130127,20000104_080127
KTYX20000104_130717,20000104_080717
