track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
30,KCLE20051001_114059,16,0.119,262.61,214.539276,11.115219,-82.08,41.797572,5557.609558,20051001_074059
30,KCLE20051001_114651,22,0.449,267.13,214.629990,18.463201,-82.06,41.797213,9231.600591,20051001_074651
30,KCLE20051001_115244,28,0.284,277.49,199.626445,24.528694,-82.00,41.864844,12264.347246,20051001_075244
30,KCLE20051001_115833,34,0.109,284.43,214.549225,10.422714,-81.95,41.797708,5211.357117,20051001_075833
30,KCLE20051001_120427,40,0.235,283.10,217.004772,16.953961,-81.96,41.786647,8476.980613,20051001_080427
2,KCLE20051001_110545,-19,0.149,157.60,301.579376,30.673544,-82.71,41.402799,15336.771965,20051001_070545
2,KCLE20051001_111139,-13,0.210,157.72,301.578767,36.781225,-82.71,41.402807,18390.612297,20051001_071139
5,KCLE20051001_111139,-13,0.430,164.59,395.808105,7.081886,-82.66,40.978893,3540.943146,20051001_071139
5,KCLE20051001_111730,-7,0.917,166.86,393.870457,16.088354,-82.65,40.987710,8044.176839,20051001_071730
13,KCLE20051001_112321,-1,0.907,207.18,314.419464,16.447266,-82.41,41.346806,8223.632812,20051001_072321
13,KCLE20051001_112914,5,0.161,204.60,316.397223,25.899772,-82.43,41.337827,12949.885877,20051001_072914
20,KCLE20051001_112914,5,0.312,258.89,309.238647,6.559940,-82.11,41.371205,3279.970169,20051001_072914
20,KCLE20051001_113505,11,0.115,260.88,305.906835,18.156417,-82.09,41.386230,9078.208351,20051001_073505
23,KCLE20051001_113505,11,0.198,211.59,59.534729,16.061874,-82.40,42.494287,8030.937195,20051001_073505
23,KCLE20051001_114059,16,0.137,207.99,64.041239,22.718952,-82.42,42.473900,11359.475822,20051001_074059
24,KCLE20051001_113505,11,0.116,70.45,250.841888,7.386990,-83.24,41.626137,3693.494797,20051001_073505
24,KCLE20051001_114059,16,0.693,71.09,252.723394,13.485608,-83.23,41.617714,6742.804159,20051001_074059
1,KCLE20051001_105952,-25,0.116,133.70,399.114838,3.101883,-82.85,40.962572,1550.941467,20051001_065952
3,KCLE20051001_111139,-13,0.837,345.50,397.802979,15.612053,-81.59,40.972416,7806.026459,20051001_071139
4,KCLE20051001_111139,-13,0.480,51.78,235.743408,23.345169,-83.35,41.692700,11672.584534,20051001_071139
9,KCLE20051001_111730,-7,0.433,405.46,310.355286,15.346100,-81.23,41.364714,7673.049927,20051001_071730
9,KCLE20051001_112321,-1,0.125,394.05,306.792633,6.889633,-81.30,41.381106,3444.816589,20051001_072321
14,KCLE20051001_112321,-1,0.595,145.29,437.250427,19.327169,-82.78,40.791456,9663.584709,20051001_072321
14,KCLE20051001_112914,5,-1.000,145.29,437.250427,28.867169,-82.78,40.791456,14433.584709,20051001_072914
14,KCLE20051001_113505,11,0.235,139.96,377.049011,70.628761,-82.81,41.062225,35314.380646,20051001_073505
15,KCLE20051001_112321,-1,0.546,193.00,333.068909,21.106735,-82.50,41.262408,10553.367615,20051001_072321
18,KCLE20051001_112321,-1,0.135,421.24,231.000336,22.157104,-81.13,41.721388,11078.552246,20051001_072321
21,KCLE20051001_113505,11,0.305,122.73,287.138977,47.212097,-82.92,41.466070,23606.048584,20051001_073505
25,KCLE20051001_113505,11,0.100,300.52,367.975769,12.115242,-81.86,41.107025,6057.621002,20051001_073505
29,KCLE20051001_114059,16,0.129,178.11,96.685455,39.512733,-82.60,42.325952,19756.366730,20051001_074059
31,KCLE20051001_114651,22,0.198,287.37,380.436676,6.880966,-81.94,41.050899,3440.483093,20051001_074651
37,KCLE20051001_121018,46,0.142,32.24,235.516388,38.566658,-83.47,41.692145,19283.329010,20051001_081018
38,KCLE20051001_123346,69,0.102,289.83,106.631531,6.985382,-81.92,42.283521,3492.691040,20051001_083346
39,KCLE20051001_123939,75,0.142,142.01,286.931702,3.612221,-82.81,41.468009,1806.110382,20051001_083939
41,KCLE20051001_124532,81,0.203,135.17,323.123688,6.759758,-82.84,41.304744,3379.878998,20051001_084532
32,KCLE20051002_111627,-9,0.444,160.34,385.181091,11.007545,-82.69,41.026556,5503.772736,20051002_071627
32,KCLE20051002_112618,1,0.406,170.84,368.865171,22.877284,-82.63,41.100446,11438.642042,20051002_072618
32,KCLE20051002_113608,11,0.155,175.49,342.393331,29.507690,-82.60,41.219803,14753.845136,20051002_073608
28,KCLE20051002_110637,-19,0.556,403.93,54.593445,31.028091,-81.23,42.516052,15514.045715,20051002_070637
28,KCLE20051002_111627,-9,0.417,410.88,56.070120,38.194989,-81.19,42.509168,19097.494333,20051002_071627
45,KCLE20051002_120538,40,0.120,208.78,67.548401,3.664223,-82.41,42.458137,1832.111359,20051002_080538
45,KCLE20051002_121528,50,0.128,206.02,77.644249,12.855294,-82.43,42.412613,6427.646883,20051002_081528
23,KCLE20051002_105647,-29,0.647,166.53,264.086029,25.825706,-82.66,41.571964,12912.853241,20051002_065647
23,KCLE20051002_110637,-19,-1.000,166.53,264.086029,41.725706,-82.66,41.571964,20862.853241,20051002_070637
23,KCLE20051002_111627,-9,0.203,165.89,273.517853,23.893707,-82.66,41.529479,11946.853638,20051002_071627
25,KCLE20051002_105647,-29,0.204,308.08,137.074982,34.867188,-81.81,42.146490,17433.593750,20051002_065647
27,KCLE20051002_105647,-29,0.126,404.40,62.937866,35.802078,-81.23,42.478479,17901.039124,20051002_065647
29,KCLE20051002_110637,-19,0.452,87.96,177.393433,21.431324,-83.14,41.957935,10715.662003,20051002_070637
30,KCLE20051002_110637,-19,0.137,185.76,452.203369,7.069885,-82.54,40.725802,3534.942627,20051002_070637
31,KCLE20051002_110637,-19,0.128,397.41,281.642487,24.695023,-81.28,41.494227,12347.511292,20051002_070637
33,KCLE20051002_111627,-9,0.204,351.63,159.236389,20.410446,-81.55,42.046322,10205.223083,20051002_071627
37,KCLE20051002_113608,11,0.267,455.13,221.719635,6.471909,-80.93,41.761698,3235.954285,20051002_073608
38,KCLE20051002_114558,20,0.423,293.39,380.899353,11.194893,-81.90,41.048833,5597.446442,20051002_074558
39,KCLE20051002_114558,20,0.238,275.11,120.990540,10.786560,-82.01,42.218805,5393.280029,20051002_074558
41,KCLE20051002_115548,30,0.107,297.35,67.532715,2.793213,-81.88,42.459530,1396.606445,20051002_075548
42,KCLE20051002_120538,40,0.283,174.42,309.971680,26.937958,-82.61,41.365719,13468.978882,20051002_080538
43,KCLE20051002_120538,40,0.260,414.23,295.973236,10.938293,-81.18,41.429160,5469.146729,20051002_080538
46,KCLE20051002_121528,50,0.113,207.52,91.460724,7.010818,-82.42,42.350469,3505.409241,20051002_081528
47,KCLE20051002_122518,60,0.376,439.05,40.482666,14.133987,-81.01,42.578203,7066.993713,20051002_082518
48,KCLE20051002_123508,70,0.266,247.43,152.310669,18.104561,-82.18,42.077482,9052.280426,20051002_083508
