track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
7,KDLH20000401_120758,20,0.135,311.34,391.091187,19.461617,-92.14,46.427200,9730.808258,20000401_060758
7,KDLH20000401_121746,30,0.310,317.94,390.296112,29.526705,-92.09,46.430740,14763.352539,20000401_061746
7,KDLH20000401_122734,40,0.160,316.53,396.561611,28.345612,-92.10,46.402567,14172.805954,20000401_062734
7,KDLH20000401_123722,50,-1.000,316.10,401.916890,28.666482,-92.11,46.378481,14333.240760,20000401_063722
7,KDLH20000401_124710,60,0.229,318.01,413.266216,38.458026,-92.09,46.327418,19229.013225,20000401_064710
7,KDLH20000401_125658,69,0.547,305.46,410.069885,31.876740,-92.17,46.341850,15938.369751,20000401_065658
4,KDLH20000401_114822,1,0.113,316.13,384.300842,16.514427,-92.10,46.457718,8257.213593,20000401_054822
4,KDLH20000401_115810,11,0.269,313.84,394.718417,28.602807,-92.12,46.410872,14301.403527,20000401_055810
1,KDLH20000401_111857,-29,0.638,313.48,392.302612,22.310730,-92.12,46.421741,11155.364990,20000401_051857
1,KDLH20000401_112845,-19,-1.000,313.48,392.302612,38.210730,-92.12,46.421741,19105.364990,20000401_052845
1,KDLH20000401_113833,-9,0.115,325.09,389.348480,29.765579,-92.05,46.434945,14882.789612,20000401_053833
2,KDLH20000401_111857,-29,0.102,275.08,86.329895,6.863640,-92.38,47.797766,3431.819916,20000401_051857
5,KDLH20000401_115810,11,0.266,188.46,150.609833,39.287537,-92.95,47.506442,19643.768311,20000401_055810
5,KDLH20000401_120758,20,-1.000,188.46,150.609833,53.597537,-92.95,47.506442,26798.768311,20000401_060758
5,KDLH20000401_121746,30,0.206,203.70,159.423584,47.239319,-92.85,47.467410,23619.659424,20000401_061746
9,KDLH20000401_121746,30,0.117,344.67,372.967560,7.586517,-91.92,46.508372,3793.258667,20000401_061746
11,KDLH20000401_123722,50,0.496,125.11,413.467896,3.551512,-93.35,46.320901,1775.755882,20000401_063722
12,KDLH20000401_123722,50,0.125,115.39,421.527466,12.155003,-93.41,46.284006,6077.501297,20000401_063722
16,KDLH20000401_130646,79,0.111,515.03,216.606232,32.608025,-90.79,47.203255,16304.012299,20000401_070646
13,KDLH20000402_130251,77,0.702,318.25,402.750488,32.499382,-92.09,46.374717,16249.691010,20000402_080251
