track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
4,KDTX19990601_093857,-20,0.461,102.76,575.975647,16.172215,-84.65,41.451270,8086.107254,19990601_053857
4,KDTX19990601_094448,-14,0.128,104.95,574.047379,22.305291,-84.64,41.460086,11152.645420,19990601_054448
4,KDTX19990601_095038,-8,0.474,115.66,562.376526,12.772545,-84.58,41.513264,6386.272430,19990601_055038
6,KDTX19990601_100220,4,0.448,94.07,477.786865,15.934040,-84.71,41.892676,7967.020035,19990601_060220
6,KDTX19990601_100809,10,0.811,100.08,472.393253,18.205455,-84.68,41.917342,9102.727482,19990601_060809
6,KDTX19990601_101401,16,0.251,111.71,463.380066,11.841646,-84.61,41.958632,5920.823097,19990601_061401
10,KDTX19990601_103132,33,0.489,396.13,583.032410,11.705997,-82.90,41.424194,5852.998257,19990601_063132
10,KDTX19990601_103723,39,0.397,399.50,581.031975,17.735707,-82.88,41.433095,8867.853625,19990601_063723
1,KDTX19990601_093306,-25,0.914,376.89,281.525055,10.256516,-83.00,42.781912,5128.257751,19990601_053306
9,KDTX19990601_103132,33,0.834,439.50,239.132141,10.931976,-82.62,42.970496,5465.988159,19990601_063132
13,KDTX19990601_110046,62,0.374,584.72,256.057404,17.036682,-81.73,42.884268,8518.341064,19990601_070046
14,KDTX19990601_110046,62,0.107,65.39,295.488098,19.858433,-84.90,42.711078,9929.216385,19990601_070046
15,KDTX19990601_111629,78,0.453,542.81,559.041870,15.130276,-82.02,41.524318,7565.137863,19990601_071629
13,KDTX19990602_100744,9,0.210,140.42,581.853516,22.580490,-84.43,41.426936,11290.245056,19990602_060744
13,KDTX19990602_101242,14,0.149,142.06,580.515867,29.199398,-84.42,41.433040,14599.699068,19990602_061242
9,KDTX19990602_093750,-21,0.206,227.60,342.626251,19.852184,-83.91,42.507008,9926.092148,19990602_053750
10,KDTX19990602_094747,-11,0.361,523.82,148.415710,6.184540,-82.09,43.373691,3092.269897,19990602_054747
11,KDTX19990602_094747,-11,0.114,537.90,136.695770,15.869843,-82.00,43.425351,7934.921265,19990602_054747
12,KDTX19990602_095246,-6,0.129,329.21,494.426544,10.936012,-83.30,41.824407,5468.006134,19990602_055246
14,KDTX19990602_101742,19,0.151,415.02,270.412292,10.608170,-82.77,42.830735,5304.084778,19990602_061742
15,KDTX19990602_101742,19,0.102,304.64,452.331665,6.914505,-83.44,42.014033,3457.252502,19990602_061742
16,KDTX19990602_104342,45,0.201,110.22,576.480347,26.858418,-84.61,41.449455,13429.208755,19990602_064342
28,KDTX19990604_101404,17,0.284,351.97,286.897766,9.868790,-83.15,42.758253,4934.394836,19990604_061404
28,KDTX19990604_102358,26,0.113,355.89,279.735080,17.400762,-83.13,42.790423,8700.381064,19990604_062358
28,KDTX19990604_103352,36,-1.000,359.94,272.325405,26.289009,-83.11,42.823696,13144.504748,19990604_063352
28,KDTX19990604_104346,46,0.248,371.14,300.865242,27.856991,-83.04,42.695003,13928.495424,19990604_064346
26,KDTX19990604_100410,7,0.540,239.33,284.459229,11.551857,-83.84,42.769069,5775.928497,19990604_060410
26,KDTX19990604_101404,17,0.339,232.73,290.554156,19.523690,-83.88,42.741499,9761.845043,19990604_061404
30,KDTX19990604_103352,36,0.311,368.65,354.903748,7.977043,-83.05,42.451832,3988.521576,19990604_063352
30,KDTX19990604_104346,46,0.177,364.64,333.738081,15.002586,-83.08,42.547187,7501.292867,19990604_064346
41,KDTX19990604_111328,76,0.279,221.10,325.252502,7.847046,-83.95,42.585048,3923.522949,19990604_071328
41,KDTX19990604_112322,86,0.290,217.55,306.265227,27.839315,-83.97,42.670416,13919.657669,19990604_072322
17,KDTX19990604_094422,-13,0.438,256.03,397.075989,8.299725,-83.74,42.262455,4149.862289,19990604_054422
19,KDTX19990604_094422,-13,0.191,362.25,278.961273,10.730728,-83.09,42.793783,5365.364075,19990604_054422
19,KDTX19990604_095416,-3,0.138,363.87,280.530304,7.177704,-83.08,42.786688,3588.851929,19990604_055416
21,KDTX19990604_095416,-3,0.770,313.14,488.658325,10.685062,-83.39,41.850482,5342.531204,19990604_055416
25,KDTX19990604_100410,7,0.742,379.96,416.933350,24.268517,-82.99,42.172354,12134.258270,19990604_060410
31,KDTX19990604_103352,36,0.149,336.26,466.727905,6.480959,-83.25,41.949021,3240.479469,19990604_063352
34,KDTX19990604_103352,36,0.102,244.45,317.047119,6.366096,-83.81,42.622490,3183.048248,19990604_063352
37,KDTX19990604_110334,66,0.694,304.90,398.625305,12.399139,-83.44,42.255788,6199.569702,19990604_070334
39,KDTX19990604_111328,76,0.754,242.05,240.396912,21.555981,-83.83,42.967437,10777.990341,19990604_071328
42,KDTX19990604_111328,76,0.180,397.76,317.837830,7.190933,-82.88,42.617881,3595.466614,19990604_071328
45,KDTX19990604_111328,76,0.109,312.40,482.951294,6.754436,-83.40,41.876176,3377.218246,19990604_071328
35,KDTX19990609_104035,45,0.106,356.09,318.933044,34.105053,-83.13,42.613992,17052.526474,19990609_064035
35,KDTX19990609_105436,59,0.513,352.45,318.348070,41.205759,-83.15,42.616689,20602.879416,19990609_065436
31,KDTX19990609_093116,-24,0.268,295.51,108.068085,20.207336,-83.50,43.563533,10103.668213,19990609_053116
32,KDTX19990609_093116,-24,0.212,182.94,269.875641,10.904411,-84.19,42.833073,5452.205658,19990609_053116
33,KDTX19990609_102047,25,0.224,86.39,373.597961,6.911175,-84.77,42.361085,3455.587387,19990609_062047
34,KDTX19990609_104035,45,0.111,139.72,246.607239,10.946259,-84.45,42.935837,5473.129272,19990609_064035
36,KDTX19990609_105436,59,0.144,273.29,209.427582,3.005585,-83.64,43.107253,1502.792358,19990609_065436
37,KDTX19990609_110430,69,0.196,281.73,392.175537,3.108856,-83.58,42.284771,1554.428101,19990609_070430
39,KDTX19990609_111424,79,0.368,241.29,190.053833,6.925613,-83.83,43.193998,3462.806702,19990609_071424
70,KDTX19990610_095619,1,0.327,445.85,351.587067,25.581772,-82.59,42.464083,12790.885925,19990610_055619
70,KDTX19990610_100209,7,0.673,446.68,352.669608,30.518715,-82.58,42.459171,15259.357369,19990610_060209
70,KDTX19990610_100902,14,-1.000,447.51,353.752150,37.045658,-82.58,42.454259,18522.828814,19990610_060902
70,KDTX19990610_101452,19,-1.000,448.11,354.525394,41.707760,-82.57,42.450751,20853.879845,19990610_061452
70,KDTX19990610_102043,25,-1.000,448.83,355.453286,47.302282,-82.57,42.446540,23651.141083,19990610_062043
70,KDTX19990610_102633,31,0.302,435.71,374.677374,42.913869,-82.65,42.360617,21456.934620,19990610_062633
70,KDTX19990610_103223,37,-1.000,431.91,381.586878,45.244651,-82.67,42.329682,22622.325465,19990610_063223
70,KDTX19990610_103813,43,-1.000,428.10,388.496381,47.575433,-82.69,42.298742,23787.716310,19990610_063813
70,KDTX19990610_104403,49,-1.000,424.30,395.405885,49.906214,-82.72,42.267796,24953.107156,19990610_064403
70,KDTX19990610_104954,54,-1.000,421.12,401.163805,51.848532,-82.74,42.242005,25924.266194,19990610_064954
70,KDTX19990610_105544,60,-1.000,417.32,408.073309,54.179314,-82.76,42.211050,27089.657039,19990610_065544
70,KDTX19990610_110135,66,0.167,424.15,393.153939,57.647499,-82.72,42.277938,28823.749586,19990610_070135
70,KDTX19990610_110725,72,-1.000,422.69,395.256726,60.228737,-82.73,42.268531,30114.368537,19990610_070725
70,KDTX19990610_111317,78,0.116,439.09,405.384979,3.467422,-82.63,42.222253,1733.711243,19990610_071317
99,KDTX19990610_105544,60,0.260,305.27,398.946808,4.334648,-83.44,42.254340,2167.324066,19990610_065544
99,KDTX19990610_110135,66,0.223,305.41,398.548008,11.556446,-83.44,42.256135,5778.222830,19990610_070135
99,KDTX19990610_110725,72,0.639,308.84,399.056584,11.695023,-83.42,42.253838,5847.511362,19990610_070725
99,KDTX19990610_111317,78,0.383,309.99,398.993242,11.334752,-83.41,42.254120,5667.375836,19990610_071317
99,KDTX19990610_111908,84,0.594,305.46,398.470795,3.603096,-83.44,42.256483,1801.548004,19990610_071908
48,KDTX19990610_093300,-22,0.371,439.40,312.615021,14.244766,-82.62,42.639785,7122.383118,19990610_053300
48,KDTX19990610_093850,-17,0.297,434.91,316.576068,24.547723,-82.65,42.622157,12273.861293,19990610_053850
48,KDTX19990610_094440,-11,0.221,441.81,320.383164,32.896030,-82.61,42.604713,16448.014943,19990610_054440
57,KDTX19990610_093850,-17,0.453,527.98,455.186371,58.339340,-82.10,41.992868,29169.670105,19990610_053850
57,KDTX19990610_094440,-11,0.581,525.97,458.093000,65.596876,-82.11,41.979932,32798.437916,19990610_054440
57,KDTX19990610_095029,-5,0.405,529.83,456.809463,64.396713,-82.08,41.985427,32198.356258,19990610_055029
57,KDTX19990610_095619,1,-1.000,532.75,456.162379,64.677492,-82.07,41.988123,32338.746000,19990610_055619
57,KDTX19990610_100209,7,0.137,529.42,418.790771,39.302994,-82.08,42.156566,19651.496887,19990610_060209
57,KDTX19990610_100902,14,-1.000,529.42,418.790771,50.432994,-82.08,42.156566,25216.496887,19990610_060902
57,KDTX19990610_101452,19,0.444,513.31,432.859528,39.806313,-82.18,42.094392,19903.156281,19990610_061452
71,KDTX19990610_100209,7,0.139,559.05,526.169434,16.181042,-81.92,41.670979,8090.520859,19990610_060209
71,KDTX19990610_100902,14,0.830,566.18,525.478790,18.516149,-81.87,41.673493,9258.074643,19990610_060902
71,KDTX19990610_101452,19,0.107,573.36,535.481535,25.046454,-81.83,41.627859,12523.226958,19990610_061452
71,KDTX19990610_102043,25,-1.000,581.46,545.469341,32.076594,-81.78,41.582194,16038.297219,19990610_062043
71,KDTX19990610_102633,31,0.841,582.78,526.052734,17.985619,-81.77,41.669462,8992.809296,19990610_062633
82,KDTX19990610_102633,31,0.741,305.26,397.986969,3.945107,-83.44,42.258661,1972.553253,19990610_062633
82,KDTX19990610_103223,37,0.109,305.26,398.356205,10.526410,-83.44,42.256999,5263.204862,19990610_063223
82,KDTX19990610_103813,43,0.431,308.40,399.084298,11.964145,-83.42,42.253715,5982.072682,19990610_063813
39,KDTX19990610_092710,-28,0.604,549.75,429.284210,34.693146,-81.96,42.107776,17346.572876,19990610_052710
39,KDTX19990610_093300,-22,0.344,546.46,425.660497,40.010349,-81.98,42.124347,20005.174706,19990610_053300
46,KDTX19990610_093300,-22,0.592,299.21,397.514191,7.861465,-83.48,42.260793,3930.732727,19990610_053300
46,KDTX19990610_093850,-17,0.466,302.29,398.244448,13.904974,-83.46,42.257506,6952.487190,19990610_053850
46,KDTX19990610_094440,-11,-1.000,305.28,398.951148,21.599983,-83.44,42.254321,10799.991508,19990610_054440
46,KDTX19990610_095029,-5,0.156,304.23,399.577087,10.412682,-83.45,42.251505,5206.340790,19990610_055029
49,KDTX19990610_093300,-22,0.298,541.96,530.576050,24.343410,-82.02,41.652506,12171.705246,19990610_053300
49,KDTX19990610_093850,-17,0.108,542.02,532.111044,31.080403,-82.02,41.645593,15540.201642,19990610_053850
49,KDTX19990610_094440,-11,-1.000,542.08,533.596521,39.446525,-82.02,41.638902,19723.262671,19990610_054440
49,KDTX19990610_095029,-5,0.238,552.16,526.308960,21.192535,-81.96,41.670911,10596.267700,19990610_055029
49,KDTX19990610_095619,1,0.195,554.67,526.021514,26.849015,-81.94,41.672003,13424.507484,19990610_055619
62,KDTX19990610_093850,-17,0.128,221.63,104.155273,16.812408,-83.96,43.580127,8406.204224,19990610_053850
62,KDTX19990610_094440,-11,0.328,221.85,103.101983,22.366018,-83.96,43.584873,11183.008984,19990610_054440
77,KDTX19990610_101452,19,0.512,463.03,370.163879,37.708641,-82.48,42.379615,18854.320526,19990610_061452
77,KDTX19990610_102043,25,0.737,464.45,373.505202,44.577583,-82.47,42.364501,22288.791459,19990610_062043
40,KDTX19990610_092710,-28,0.445,265.15,235.943542,7.098877,-83.69,42.987831,3549.438477,19990610_052710
41,KDTX19990610_092710,-28,0.156,552.26,378.158813,18.758591,-81.94,42.337656,9379.295349,19990610_052710
42,KDTX19990610_092710,-28,0.155,259.74,244.370819,6.681061,-83.72,42.949835,3340.530396,19990610_052710
43,KDTX19990610_092710,-28,0.149,244.85,74.627014,42.792953,-83.81,43.713524,21396.476746,19990610_052710
43,KDTX19990610_093300,-22,0.135,230.86,111.432556,23.916557,-83.90,43.547604,11958.278656,19990610_053300
44,KDTX19990610_092710,-28,0.102,299.89,261.745575,5.936325,-83.47,42.871900,2968.162537,19990610_052710
50,KDTX19990610_093300,-22,0.248,200.81,161.861481,6.765556,-84.08,43.319823,3382.778168,19990610_053300
55,KDTX19990610_093300,-22,0.100,444.94,411.994110,30.346153,-82.59,42.192238,15173.076630,19990610_053300
56,KDTX19990610_093850,-17,0.474,368.62,275.170593,6.918747,-83.05,42.810708,3459.373474,19990610_053850
61,KDTX19990610_093850,-17,0.136,444.89,465.753571,28.271196,-82.60,41.950261,14135.598183,19990610_053850
65,KDTX19990610_094440,-11,0.129,299.45,300.257050,6.223679,-83.48,42.698563,3111.839294,19990610_054440
67,KDTX19990610_095029,-5,0.228,315.66,174.946106,6.953186,-83.38,43.262517,3476.593018,19990610_055029
73,KDTX19990610_100902,14,0.320,499.37,360.422943,39.955917,-82.26,42.421329,19977.958679,19990610_060902
74,KDTX19990610_100902,14,0.241,469.71,245.369415,12.387161,-82.43,42.940899,6193.580627,19990610_060902
86,KDTX19990610_103223,37,0.835,413.69,399.169250,30.942627,-82.78,42.251263,15471.313477,19990610_063223
93,KDTX19990610_104403,49,0.213,447.72,361.596710,30.717091,-82.57,42.418942,15358.545303,19990610_064403
94,KDTX19990610_104403,49,0.175,457.51,521.661072,27.360764,-82.53,41.697995,13680.381775,19990610_064403
96,KDTX19990610_104954,54,0.123,437.24,454.711670,57.696953,-82.64,42.000309,28848.476410,19990610_064954
96,KDTX19990610_105544,60,0.611,405.46,423.700592,38.095467,-82.83,42.141133,19047.733307,19990610_065544
102,KDTX19990610_111317,78,0.153,244.71,496.896118,6.887821,-83.80,41.812938,3443.910599,19990610_071317
106,KDTX19990610_111908,84,0.357,276.98,78.373047,32.782959,-83.61,43.697083,16391.479492,19990610_071908
107,KDTX19990610_111908,84,0.141,465.23,359.178589,7.033203,-82.47,42.428940,3516.601562,19990610_071908
89,KDTX19990612_103741,42,0.276,330.37,296.450165,3.545334,-83.29,42.715548,1772.666931,19990612_063741
89,KDTX19990612_104332,48,0.161,330.33,296.304988,9.873117,-83.29,42.716202,4936.558550,19990612_064332
89,KDTX19990612_104923,54,0.192,332.95,300.393360,13.158863,-83.27,42.697773,6579.431332,19990612_064923
71,KDTX19990612_093917,-16,0.588,292.60,294.548645,14.602219,-83.52,42.724247,7301.109314,19990612_053917
71,KDTX19990612_094507,-10,0.146,295.37,292.679321,21.298418,-83.50,42.732667,10649.208901,19990612_054507
87,KDTX19990612_102601,31,0.289,267.68,333.012299,6.244736,-83.67,42.550961,3122.367859,19990612_062601
87,KDTX19990612_103151,36,0.327,267.47,333.123250,11.765792,-83.67,42.550459,5882.895945,19990612_063151
87,KDTX19990612_103741,42,0.196,265.17,333.747345,3.754791,-83.68,42.547625,1877.395630,19990612_063741
87,KDTX19990612_104332,48,-1.000,265.17,333.747345,13.294791,-83.68,42.547625,6647.395630,19990612_064332
87,KDTX19990612_104923,54,0.160,265.47,333.407043,3.480698,-83.68,42.549160,1740.348816,19990612_064923
104,KDTX19990612_110654,71,0.308,264.81,333.542084,3.511337,-83.69,42.548545,1755.668640,19990612_070654
104,KDTX19990612_111244,77,0.221,264.95,333.603444,9.739790,-83.69,42.548271,4869.894769,19990612_071244
104,KDTX19990612_111835,83,0.157,265.42,334.230316,3.510254,-83.68,42.545454,1755.126953,19990612_071835
104,KDTX19990612_112426,89,0.269,265.41,334.012247,9.624812,-83.68,42.546436,4812.405965,19990612_072426
70,KDTX19990612_093326,-22,0.142,578.65,382.434143,20.557358,-81.78,42.316157,10278.678894,19990612_053326
