track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
2,KGRB20140601_095148_V06,-19,0.151,317.38,288.785156,11.864990,-88.00,44.548739,5932.495117,20140601_045148
3,KGRB20140601_095736_V06,-13,0.123,355.68,323.798889,46.787064,-87.76,44.390709,23393.531799,20140601_045736
6,KGRB20140601_102046_V06,10,0.139,350.52,311.001038,31.816574,-87.79,44.448389,15908.287048,20140601_052046
10,KGRB20140601_104943_V06,39,0.148,350.11,322.046936,34.058048,-87.80,44.398694,17029.024124,20140601_054943
15,KGRB20140601_111255_V06,62,0.103,364.93,315.453796,41.945370,-87.70,44.428066,20972.684860,20140601_061255
18,KGRB20140602_112528_V06,75,0.148,332.20,342.904968,6.212982,-87.91,44.305095,3106.491089,20140602_062528
18,KGRB20140602_113115_V06,81,-1.000,332.20,342.904968,15.752982,-87.91,44.305095,7876.491089,20140602_063115
18,KGRB20140602_113703_V06,87,0.127,328.68,323.278553,26.611778,-87.93,44.393444,13305.888842,20140602_063703
8,KGRB20140602_094658_V06,-24,0.227,324.11,279.970367,22.270172,-87.96,44.588353,11135.086060,20140602_044658
17,KGRB20140602_111940_V06,69,0.121,334.83,295.293732,10.964050,-87.89,44.519296,5482.025146,20140602_061940
9,KGRB20140603_094546_V06,-24,0.507,273.90,375.477966,3.654213,-88.27,44.158585,1827.106476,20140603_044546
9,KGRB20140603_095528_V06,-14,0.374,274.60,375.228673,11.464458,-88.27,44.159713,5732.228954,20140603_045528
9,KGRB20140603_100511_V06,-4,0.114,273.37,375.069519,3.453651,-88.28,44.160418,1726.825714,20140603_050511
9,KGRB20140603_101453_V06,5,0.156,272.33,375.042431,14.095018,-88.28,44.160531,7047.508963,20140603_051453
9,KGRB20140603_102436_V06,15,0.115,273.00,375.845642,3.616791,-88.28,44.156923,1808.395386,20140603_052436
10,KGRB20140603_094546_V06,-24,0.283,141.04,119.871521,13.603539,-89.12,45.304317,6801.769257,20140603_044546
10,KGRB20140603_095528_V06,-14,-1.000,141.04,119.871521,29.503539,-89.12,45.304317,14751.769257,20140603_045528
10,KGRB20140603_100511_V06,-4,0.241,142.01,84.489376,45.350924,-89.12,45.463534,22675.462209,20140603_050511
27,KGRB20140603_103418_V06,25,0.216,207.34,83.048950,16.229271,-88.70,45.472911,8114.635468,20140603_053418
27,KGRB20140603_104400_V06,35,0.923,229.23,91.325297,20.494887,-88.56,45.436311,10247.443283,20140603_054400
28,KGRB20140603_103418_V06,25,0.197,194.18,94.066467,11.497559,-88.79,45.422886,5748.779297,20140603_053418
28,KGRB20140603_104400_V06,35,0.119,195.71,110.083511,29.601882,-88.78,45.350887,14800.941013,20140603_054400
33,KGRB20140603_104400_V06,35,0.172,273.21,376.240234,3.909393,-88.28,44.155149,1954.696655,20140603_054400
33,KGRB20140603_105344_V06,44,0.136,274.03,377.021153,12.560998,-88.27,44.151642,6280.499068,20140603_055344
33,KGRB20140603_110326_V06,54,0.126,274.87,377.127991,6.937042,-88.27,44.151169,3468.521118,20140603_060326
33,KGRB20140603_111309_V06,64,0.183,273.74,375.974966,15.515884,-88.28,44.156347,7757.942109,20140603_061309
11,KGRB20140603_094546_V06,-24,0.282,324.59,104.442261,20.593689,-87.95,45.378079,10296.844482,20140603_044546
21,KGRB20140603_101453_V06,5,0.137,364.69,257.651062,6.178055,-87.70,44.688151,3089.027405,20140603_051453
22,KGRB20140603_102436_V06,15,0.501,401.30,89.356995,26.398430,-87.46,45.444237,13199.214935,20140603_052436
23,KGRB20140603_102436_V06,15,0.360,170.80,173.031921,42.816544,-88.93,45.066676,21408.271790,20140603_052436
29,KGRB20140603_103418_V06,25,0.137,258.38,59.980286,2.780689,-88.38,45.577903,1390.344620,20140603_053418
39,KGRB20140603_105344_V06,44,0.195,407.82,150.859283,20.755280,-87.43,45.167316,10377.639771,20140603_055344
43,KGRB20140603_110326_V06,54,0.447,445.39,114.282043,27.039108,-87.18,45.330189,13519.554138,20140603_060326
45,KGRB20140603_110326_V06,54,0.137,255.87,127.356537,15.551643,-88.39,45.274754,7775.821686,20140603_060326
24,KGRB20140604_094113_V06,-28,0.158,315.19,293.468170,7.056641,-88.02,44.527680,3528.320312,20140604_044113
24,KGRB20140604_095056_V06,-19,0.872,323.51,287.098684,16.024322,-87.96,44.556284,8012.161068,20140604_045056
24,KGRB20140604_100039_V06,-9,0.121,318.17,289.299164,11.323944,-88.00,44.546422,5661.972046,20140604_050039
24,KGRB20140604_101023_V06,1,0.226,318.68,287.386704,22.973897,-87.99,44.555024,11486.948576,20140604_051023
28,KGRB20140604_101023_V06,1,0.326,28.73,503.987732,37.481590,-89.79,43.567932,18740.795135,20140604_051023
28,KGRB20140604_101612_V06,7,0.453,31.60,499.150982,45.569664,-89.77,43.589955,22784.832228,20140604_051612
34,KGRB20140604_102750_V06,18,0.396,246.83,366.801636,2.999344,-88.44,44.197258,1499.671936,20140604_052750
34,KGRB20140604_103340_V06,24,0.107,246.89,366.822747,9.544764,-88.44,44.197164,4772.381897,20140604_053340
34,KGRB20140604_103928_V06,30,0.290,247.25,366.625732,3.202415,-88.44,44.198058,1601.207733,20140604_053928
37,KGRB20140604_103340_V06,24,0.140,20.71,368.695618,22.323952,-89.86,44.175823,11161.975861,20140604_053340
37,KGRB20140604_103928_V06,30,0.366,23.84,367.523848,29.059017,-89.84,44.181392,14529.508517,20140604_053928
47,KGRB20140604_111029_V06,61,0.104,206.36,388.871582,3.209091,-88.70,44.096929,1604.545593,20140604_061029
47,KGRB20140604_112012_V06,71,0.119,206.13,388.871416,10.466299,-88.70,44.096923,5233.149733,20140604_062012
22,KGRB20140604_094113_V06,-28,0.662,352.08,275.512756,37.448135,-87.78,44.608040,18724.067688,20140604_044113
25,KGRB20140604_094113_V06,-28,0.150,298.75,287.816772,3.584488,-88.12,44.553149,1792.243958,20140604_044113
30,KGRB20140604_101023_V06,1,0.179,273.82,374.823303,3.305153,-88.27,44.161530,1652.576447,20140604_051023
33,KGRB20140604_102201_V06,13,0.141,200.91,320.106659,3.337067,-88.73,44.406163,1668.533325,20140604_052201
33,KGRB20140604_102750_V06,18,-1.000,200.91,320.106659,11.287067,-88.73,44.406163,5643.533325,20140604_052750
33,KGRB20140604_103340_V06,24,0.135,201.05,319.599762,3.282295,-88.73,44.408448,1641.147614,20140604_053340
36,KGRB20140604_103340_V06,24,0.158,375.33,390.900940,3.164192,-87.64,44.088328,1582.096100,20140604_053340
42,KGRB20140604_105104_V06,42,0.195,13.29,431.991394,18.444664,-89.90,43.890366,9222.332001,20140604_055104
43,KGRB20140604_110047_V06,51,0.137,248.44,366.005554,6.709000,-88.43,44.200869,3354.499817,20140604_060047
44,KGRB20140604_110047_V06,51,0.127,334.34,289.725037,10.896408,-87.90,44.544358,5448.204041,20140604_060047
39,KGRB20140605_100403_V06,-5,0.697,330.68,278.763702,21.903992,-87.92,44.593720,10951.995850,20140605_050403
39,KGRB20140605_100953_V06,0,0.671,331.84,279.563569,27.488858,-87.91,44.590108,13744.428755,20140605_050953
39,KGRB20140605_101542_V06,6,0.497,339.69,286.435855,31.407324,-87.86,44.559089,15703.662136,20140605_051542
35,KGRB20140605_094830_V06,-21,0.912,326.81,279.501526,21.927750,-87.94,44.590439,10963.874817,20140605_044830
35,KGRB20140605_095813_V06,-11,0.929,333.18,283.653362,29.639995,-87.90,44.571691,14819.997571,20140605_045813
36,KGRB20140605_094830_V06,-21,0.523,232.29,432.266327,11.713860,-88.53,43.902376,5856.929779,20140605_044830
36,KGRB20140605_095813_V06,-11,-1.000,232.29,432.266327,27.613860,-88.53,43.902376,13806.929779,20140605_045813
36,KGRB20140605_100403_V06,-5,0.403,232.86,432.072601,11.437965,-88.53,43.903261,5718.982697,20140605_050403
40,KGRB20140605_100403_V06,-5,0.450,294.25,406.582245,3.110603,-88.15,44.018731,1555.301666,20140605_050403
42,KGRB20140605_102132_V06,12,0.133,235.26,430.189880,10.139175,-88.51,43.911787,5069.587708,20140605_052132
43,KGRB20140605_105036_V06,41,0.129,332.37,335.770691,6.516434,-87.91,44.337195,3258.216858,20140605_055036
44,KGRB20140605_111355_V06,64,0.170,367.85,253.886017,3.445999,-87.68,44.705019,1722.999573,20140605_061355
44,KGRB20140606_095107_V06,-17,0.403,24.55,341.171906,30.707809,-89.84,44.300001,15353.904724,20140606_045107
45,KGRB20140606_095107_V06,-17,0.166,332.18,275.328491,27.248047,-87.91,44.609160,13624.023438,20140606_045107
45,KGRB20140606_095656_V06,-12,-1.000,332.18,275.328491,35.198047,-87.91,44.609160,17599.023438,20140606_045656
45,KGRB20140606_100243_V06,-6,0.430,321.51,280.570679,19.158005,-87.98,44.585673,9579.002380,20140606_050243
57,KGRB20140606_102555_V06,17,0.176,297.37,398.720276,52.185162,-88.13,44.054114,26092.580795,20140606_052555
59,KGRB20140606_104320_V06,35,0.151,323.98,321.938904,26.211010,-87.96,44.399514,13105.504990,20140606_054320
50,KGRB20140607_094834_V06,-20,0.189,320.17,286.891876,14.609665,-87.98,44.557240,7304.832458,20140607_044834
50,KGRB20140607_095817_V06,-10,0.150,328.88,291.047261,26.047299,-87.93,44.538469,13023.649253,20140607_045817
50,KGRB20140607_100759_V06,-1,0.641,347.75,306.555615,25.333458,-87.81,44.468438,12666.728807,20140607_050759
50,KGRB20140607_101743_V06,9,0.149,358.65,319.190332,32.838879,-87.74,44.411387,16419.439537,20140607_051743
50,KGRB20140607_102727_V06,19,0.360,366.54,320.463542,39.585422,-87.69,44.405488,19792.711249,20140607_052727
50,KGRB20140607_103710_V06,29,0.227,360.40,324.077001,37.874325,-87.73,44.389363,18937.162447,20140607_053710
50,KGRB20140607_104653_V06,38,0.264,353.97,326.555252,37.829249,-87.77,44.378339,18914.624681,20140607_054653
50,KGRB20140607_105636_V06,48,0.289,348.47,325.398214,34.406533,-87.81,44.383643,17203.266741,20140607_055636
50,KGRB20140607_110619_V06,58,0.390,350.18,313.501483,31.849328,-87.80,44.437144,15924.663754,20140607_060619
50,KGRB20140607_111601_V06,68,0.609,358.79,316.902470,34.237429,-87.74,44.421679,17118.714749,20140607_061601
50,KGRB20140607_112545_V06,77,0.230,356.27,319.445245,33.982662,-87.76,44.410287,16991.331115,20140607_062545
50,KGRB20140607_113529_V06,87,0.272,362.78,315.957556,37.390430,-87.72,44.425847,18695.215189,20140607_063529
46,KGRB20140607_093851_V06,-30,0.461,277.24,403.566498,38.344460,-88.25,44.032219,19172.229767,20140607_043851
46,KGRB20140607_094834_V06,-20,0.361,277.76,374.482880,3.179314,-88.25,44.163095,1589.656830,20140607_044834
70,KGRB20140607_110619_V06,58,0.109,392.34,260.684387,34.793823,-87.53,44.673749,17396.911621,20140607_060619
71,KGRB20140607_110619_V06,58,0.101,247.41,367.763123,2.968651,-88.44,44.192942,1484.325409,20140607_060619
74,KGRB20140607_112545_V06,77,0.140,273.65,438.193848,11.024590,-88.28,43.876366,5512.294769,20140607_062545
51,KGRB20140608_094652_V06,-22,0.300,321.80,286.543274,7.644257,-87.97,44.558797,3822.128296,20140608_044652
51,KGRB20140608_095635_V06,-12,0.841,321.96,286.598128,10.313093,-87.97,44.558549,5156.546463,20140608_045635
51,KGRB20140608_100618_V06,-2,0.788,322.18,283.537765,15.754124,-87.97,44.572317,7877.062070,20140608_050618
60,KGRB20140608_104510_V06,37,0.267,325.04,286.977234,10.929565,-87.95,44.556818,5464.782715,20140608_054510
53,KGRB20140609_094229_V06,-25,0.295,339.68,280.238464,29.577560,-87.86,44.586975,14788.780212,20140609_044229
53,KGRB20140609_095212_V06,-15,0.341,336.80,279.558990,36.061134,-87.88,44.590070,18030.567062,20140609_045212
55,KGRB20140609_095212_V06,-15,0.568,241.15,307.680420,7.366577,-88.48,44.463173,3683.288574,20140609_045212
55,KGRB20140609_100155_V06,-6,0.108,237.66,309.888462,14.360965,-88.50,44.453164,7180.482740,20140609_050155
57,KGRB20140609_105031_V06,43,0.463,68.73,295.298645,3.725204,-89.57,44.510226,1862.602234,20140609_055031
60,KGRB20140609_110957_V06,62,0.117,319.18,400.666351,3.203133,-87.99,44.045295,1601.566315,20140609_060957
61,KGRB20140609_111942_V06,72,0.171,375.08,264.290070,3.426376,-87.64,44.658028,1713.188171,20140609_061942
58,KGRB20140610_093750_V06,-30,0.105,212.31,294.347107,6.704796,-88.66,44.522434,3352.397919,20140610_043750
58,KGRB20140610_094733_V06,-20,0.177,221.36,277.095162,13.879824,-88.61,44.600318,6939.912157,20140610_044733
61,KGRB20140610_101644_V06,9,0.317,234.50,431.628967,7.514458,-88.52,43.905294,3757.228851,20140610_051644
61,KGRB20140610_102628_V06,19,0.312,235.03,431.578131,13.839219,-88.52,43.905535,6919.609462,20140610_052628
64,KGRB20140610_104554_V06,38,0.485,205.09,383.643311,2.857018,-88.70,44.120414,1428.508759,20140610_054554
64,KGRB20140610_105537_V06,48,0.163,205.15,383.626041,10.016759,-88.70,44.120494,5008.379690,20140610_055537
59,KGRB20140610_094733_V06,-20,0.185,236.70,263.849304,6.986511,-88.51,44.660294,3493.255615,20140610_044733
60,KGRB20140610_094733_V06,-20,0.184,314.90,285.231812,6.876846,-88.02,44.564742,3438.423157,20140610_044733
63,KGRB20140610_102628_V06,19,0.124,267.12,475.724152,6.293695,-88.32,43.707410,3146.847725,20140610_052628
65,KGRB20140610_110521_V06,58,0.122,289.58,363.357574,6.334084,-88.18,44.213223,3167.041779,20140610_060521
65,KGRB20140610_111505_V06,68,-1.000,289.58,363.357574,22.234084,-88.18,44.213223,11117.041779,20140610_061505
65,KGRB20140610_112450_V06,77,0.189,290.75,363.055542,6.265450,-88.17,44.214586,3132.724762,20140610_062450
66,KGRB20140610_111505_V06,68,0.125,267.72,473.053528,6.362431,-88.31,43.719435,3181.215286,20140610_061505
67,KGRB20140611_094131_V06,-26,0.133,324.26,286.306122,14.551620,-87.96,44.559844,7275.810242,20140611_044131
67,KGRB20140611_094719_V06,-20,0.146,324.93,283.941738,24.348776,-87.95,44.570477,12174.387795,20140611_044719
67,KGRB20140611_095309_V06,-14,0.332,338.99,276.363819,35.057174,-87.87,44.604418,17528.586794,20140611_045309
67,KGRB20140611_095856_V06,-9,-1.000,348.47,270.973497,43.822946,-87.81,44.628527,21911.472874,20140611_045856
67,KGRB20140611_100443_V06,-3,0.563,325.30,288.742188,14.970673,-87.95,44.548874,7485.336304,20140611_050443
67,KGRB20140611_101032_V06,3,0.386,323.19,288.811576,22.176574,-87.97,44.548580,11088.286834,20140611_051032
66,KGRB20140611_094131_V06,-26,0.135,210.09,294.290771,7.955879,-88.68,44.522620,3977.939606,20140611_044131
66,KGRB20140611_094719_V06,-20,-1.000,210.09,294.290771,17.495879,-88.68,44.522620,8747.939606,20140611_044719
66,KGRB20140611_095309_V06,-14,-1.000,210.09,294.290771,27.035879,-88.68,44.522620,13517.939606,20140611_045309
66,KGRB20140611_095856_V06,-9,0.302,191.80,304.000297,25.756284,-88.79,44.478306,12878.141910,20140611_045856
74,KGRB20140611_101032_V06,3,0.142,277.15,374.854401,3.050446,-88.25,44.161419,1525.222778,20140611_051032
74,KGRB20140611_101619_V06,9,0.110,276.51,375.029315,10.658233,-88.26,44.160626,5329.116278,20140611_051619
73,KGRB20140611_100443_V06,-3,0.125,275.59,375.064056,6.977768,-88.26,44.160462,3488.883972,20140611_050443
