track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
7,KGRR20060601_104300,37,0.106,555.07,502.297363,7.483749,-84.01,41.972878,3741.874695,20060601_064300
7,KGRR20060601_105301,47,0.103,562.64,501.526864,17.084456,-83.96,41.975717,8542.228240,20060601_065301
1,KGRR20060601_093657,-30,0.166,286.71,382.631409,7.109245,-85.63,42.521939,3554.622650,20060601_053657
2,KGRR20060601_093657,-30,0.133,326.06,399.656128,20.308296,-85.39,42.445227,10154.148102,20060601_053657
3,KGRR20060601_094244,-24,0.105,70.54,203.942810,7.412643,-86.96,43.317511,3706.321716,20060601_054244
4,KGRR20060601_095419,-12,0.165,312.21,405.669861,10.303894,-85.47,42.418244,5151.947021,20060601_055419
5,KGRR20060601_100404,-2,0.160,448.77,579.624390,18.136457,-84.65,41.631687,9068.228722,20060601_060404
8,KGRR20060601_105301,47,0.154,226.16,285.076782,6.241570,-86.00,42.960163,3120.784760,20060601_065301
9,KGRR20060601_110830,62,0.317,556.66,577.877747,25.497391,-84.00,41.632587,12748.695374,20060601_070830
10,KGRR20060601_110830,62,0.232,445.36,117.271606,30.739273,-84.64,43.712738,15369.636536,20060601_070830
12,KGRR20060602_101940,14,0.189,327.83,449.799011,38.425171,-85.38,42.219506,19212.585449,20060602_061940
12,KGRR20060602_102526,20,0.124,328.81,450.334104,44.458484,-85.37,42.217088,22229.241873,20060602_062526
12,KGRR20060602_103114,26,0.422,331.05,449.539093,36.899490,-85.36,42.220645,18449.745178,20060602_063114
10,KGRR20060602_094455,-21,0.120,542.16,573.366821,26.234718,-84.09,41.654041,13117.359161,20060602_054455
11,KGRR20060602_100805,3,0.146,364.06,439.600891,36.640694,-85.16,42.264874,18320.346832,20060602_060805
13,KGRR20060602_101940,14,0.115,375.12,287.653198,9.920822,-85.08,42.948536,4960.411072,20060602_061940
15,KGRR20060603_095146,-14,0.170,364.24,192.555603,23.201141,-85.15,43.376776,11600.570679,20060603_055146
15,KGRR20060603_100132,-4,0.138,367.36,200.655060,32.656354,-85.13,43.340257,16328.177106,20060603_060132
16,KGRR20060603_101117,6,0.188,379.00,280.456604,6.565384,-85.06,42.980827,3282.691956,20060603_061117
18,KGRR20060603_110007,55,0.502,299.81,285.029266,7.782028,-85.55,42.961270,3891.014099,20060603_070007
18,KGRR20060604_100445,0,0.239,377.94,279.568542,3.276215,-85.07,42.984852,1638.107300,20060604_060445
18,KGRR20060604_101034,6,0.244,377.84,279.625640,9.487472,-85.07,42.984597,4743.736103,20060604_061034
20,KGRR20060604_105117,47,0.354,376.18,279.631958,3.254318,-85.08,42.984611,1627.159119,20060604_065117
20,KGRR20060604_105707,53,0.438,386.87,278.506229,8.796554,-85.01,42.989391,4398.277050,20060604_065707
23,KGRR20060604_110256,58,0.464,214.58,224.503693,15.835419,-86.07,43.232473,7917.709351,20060604_070256
23,KGRR20060604_110845,64,0.312,213.45,226.478916,21.822390,-86.08,43.223551,10911.195213,20060604_070845
17,KGRR20060604_094716,-17,0.103,207.69,243.171112,27.452309,-86.11,43.148259,13726.154327,20060604_054716
21,KGRR20060604_105707,53,0.536,405.74,276.955658,3.183411,-84.90,42.995774,1591.705322,20060604_065707
22,KGRR20060604_105707,53,0.119,405.29,272.764832,2.902313,-84.90,43.014650,1451.156616,20060604_065707
25,KGRR20060604_112021,76,0.170,432.00,359.176117,3.215385,-84.74,42.624708,1607.692719,20060604_072021
24,KGRR20060605_094300,-21,0.828,207.04,240.169922,28.599594,-86.12,43.161746,14299.797058,20060605_054300
24,KGRR20060605_095246,-12,0.309,206.95,240.092233,34.605353,-86.12,43.162093,17302.676635,20060605_055246
25,KGRR20060605_102207,18,0.191,377.49,279.558929,3.467255,-85.07,42.984906,1733.627319,20060605_062207
27,KGRR20060605_105125,47,0.150,355.37,434.179199,7.233780,-85.21,42.289446,3616.889954,20060605_065125
27,KGRR20060606_095950,-5,0.320,285.99,278.536285,7.701996,-85.63,42.990461,3850.997925,20060606_055950
29,KGRR20060606_105826,54,0.155,378.74,286.965271,6.998016,-85.06,42.951541,3499.008179,20060606_065826
29,KGRR20060607_095205,-11,0.145,83.99,569.017700,6.565366,-86.84,41.675524,3282.682896,20060607_055205
29,KGRR20060607_095752,-6,0.129,86.53,569.579258,13.638424,-86.83,41.673171,6819.212241,20060607_055752
30,KGRR20060607_100339,0,0.113,348.79,460.010162,7.592361,-85.25,42.173283,3796.180725,20060607_060339
31,KGRR20060607_110723,64,0.109,517.54,328.384460,20.651024,-84.22,42.758413,10325.511932,20060607_070723
32,KGRR20060608_103321,30,0.136,206.72,325.651154,3.358521,-86.11,42.777017,1679.260254,20060608_063321
33,KGRR20060608_103321,30,0.119,240.32,207.201019,3.269508,-85.91,43.310959,1634.754181,20060608_063321
34,KGRR20060608_103321,30,0.116,358.70,422.640564,10.303200,-85.19,42.341322,5151.599884,20060608_063321
35,KGRR20060608_104307,40,0.308,378.63,281.552979,6.638153,-85.06,42.975903,3319.076538,20060608_064307
36,KGRR20060609_095314,-10,0.195,245.31,326.267975,6.274055,-85.88,42.775173,3137.027740,20060609_055314
36,KGRR20060609_100300,0,0.184,244.23,326.859797,13.228873,-85.89,42.772490,6614.436514,20060609_060300
38,KGRR20060609_101247,9,0.137,378.83,281.867554,6.260956,-85.06,42.974482,3130.477905,20060609_061247
38,KGRR20060609_102233,19,0.105,378.19,280.360748,3.232849,-85.07,42.981280,1616.424561,20060609_062233
39,KGRR20060609_101247,9,0.102,416.70,375.074158,3.290260,-84.83,42.553772,1645.130157,20060609_061247
39,KGRR20060609_102233,19,-1.000,416.70,375.074158,19.190260,-84.83,42.553772,9595.130157,20060609_062233
39,KGRR20060609_103219,29,0.116,417.00,374.567810,3.337547,-84.83,42.556040,1668.773651,20060609_063219
40,KGRR20060609_102233,19,0.324,249.14,383.923889,3.125153,-85.85,42.515731,1562.576294,20060609_062233
41,KGRR20060609_102233,19,0.193,292.07,438.764282,6.279823,-85.59,42.269292,3139.911652,20060609_062233
45,KGRR20060609_105152,48,0.177,357.90,422.357422,11.136795,-85.19,42.342612,5568.397522,20060609_065152
46,KGRR20060609_112110,78,0.202,198.30,245.082275,26.417534,-86.17,43.139358,13208.766937,20060609_072110
43,KGRR20060610_095048,-13,0.131,290.07,323.119629,11.160629,-85.61,42.789815,5580.314636,20060610_055048
44,KGRR20060610_102058,17,0.232,288.66,321.483337,11.575699,-85.61,42.797175,5787.849426,20060610_062058
45,KGRR20060610_103234,29,0.275,229.23,580.695007,23.322121,-85.97,41.629593,11661.060333,20060610_063234
46,KGRR20060610_110138,58,0.147,378.86,280.550842,6.798294,-85.06,42.980407,3399.147034,20060610_070138
47,KGRR20060610_110726,64,0.101,272.96,288.153687,6.195892,-85.71,42.947088,3097.946167,20060610_070726
60,KGRR20060611_105137,48,0.143,292.90,430.476440,10.130066,-85.59,42.306600,5065.032959,20060611_065137
60,KGRR20060611_110123,58,0.103,294.04,426.770764,18.170248,-85.58,42.323282,9085.124133,20060611_070123
60,KGRR20060611_111107,68,0.103,296.57,422.839105,17.949444,-85.57,42.340984,8974.722098,20060611_071107
60,KGRR20060611_111655,73,-1.000,297.73,420.904609,18.465080,-85.56,42.349692,9232.540200,20060611_071655
60,KGRR20060611_112244,79,0.314,300.71,422.044505,19.483067,-85.54,42.344562,9741.533521,20060611_072244
51,KGRR20060611_101057,7,0.153,289.72,435.779297,6.157730,-85.61,42.282721,3078.865051,20060611_061057
51,KGRR20060611_101645,13,0.146,289.81,436.048692,12.774073,-85.61,42.281509,6387.036275,20060611_061645
48,KGRR20060611_095230,-11,0.787,302.62,383.515564,10.719055,-85.53,42.517987,5359.527588,20060611_055230
53,KGRR20060611_101645,13,0.114,206.51,320.460968,6.646408,-86.12,42.800371,3323.204041,20060611_061645
54,KGRR20060611_102822,25,0.125,359.18,428.476471,6.543945,-85.19,42.315044,3271.972656,20060611_062822
55,KGRR20060611_103958,36,0.165,291.58,433.493347,6.610840,-85.60,42.293016,3305.419922,20060611_063958
56,KGRR20060611_103958,36,0.158,207.92,316.049011,7.017593,-86.11,42.820270,3508.796692,20060611_063958
56,KGRR20060611_104549,42,-1.000,207.92,316.049011,16.557593,-86.11,42.820270,8278.796692,20060611_064549
56,KGRR20060611_105137,48,0.216,206.76,319.303467,10.578133,-86.11,42.805588,5289.066315,20060611_065137
57,KGRR20060611_103958,36,0.116,203.45,322.201691,6.980247,-86.13,42.792441,3490.123749,20060611_063958
58,KGRR20060611_104549,42,0.175,362.41,425.607910,6.517365,-85.17,42.327893,3258.682251,20060611_064549
58,KGRR20060611_105137,48,-1.000,362.41,425.607910,16.057365,-85.17,42.327893,8028.682251,20060611_065137
58,KGRR20060611_110123,58,0.122,362.02,428.382050,6.185890,-85.17,42.315414,3092.945099,20060611_070123
63,KGRR20060611_111107,68,0.176,146.09,569.310791,34.295063,-86.47,41.677865,17147.531509,20060611_071107
59,KGRR20060612_094951,-13,0.722,310.79,391.504333,10.945061,-85.48,42.482011,5472.530365,20060612_054951
59,KGRR20060612_095938,-3,0.274,314.29,388.716643,17.974745,-85.46,42.494545,8987.372487,20060612_055938
58,KGRR20060612_094004,-22,0.131,471.87,249.422089,11.708649,-84.49,43.116670,5854.324341,20060612_054004
65,KGRR20060612_100926,7,0.152,291.33,433.363220,6.240417,-85.60,42.293601,3120.208740,20060612_060926
