filename,local_time
KGRR20030601_093636,20030601_053636
KGRR20030601_094225,20030601_054225
KGRR20030601_094815,20030601_054815
KGRR20030601_095405,20030601_055405
KGRR20030601_095955,20030601_055955
KGRR20030601_100545,20030601_060545
KGRR20030601_101135,20030601_061135
KGRR20030601_101725,20030601_061725
KGRR20030601_102315,20030601_062315
KGRR20030601_102905,20030601_062905
KGRR20030601_103455,20030601_063455
KGRR20030601_104046,20030601_064046
KGRR20030601_104636,20030601_064636
KGRR20030601_105227,20030601_065227
KGRR20030601_110218,20030601_070218
KGRR20030601_111209,20030601_071209
KGRR20030601_112200,20030601_072200
KGRR20030601_113151,20030601_073151
KGRR20030602_094502,20030602_054502
KGRR20030602_095453,20030602_055453
KGRR20030602_100444,20030602_060444
KGRR20030602_101435,20030602_061435
KGRR20030602_102426,20030602_062426
KGRR20030602_103417,20030602_063417
KGRR20030602_104408,20030602_064408
KGRR20030602_105400,20030602_065400
KGRR20030602_110351,20030602_070351
KGRR20030602_111342,20030602_071342
KGRR20030602_112333,20030602_072333
KGRR20030602_113324,20030602_073324
KGRR20030603_094101,20030603_054101
KGRR20030603_094651,20030603_054651
KGRR20030603_095241,20030603_055241
KGRR20030603_095831,20030603_055831
KGRR20030603_100421,20030603_060421
KGRR20030603_101011,20030603_061011
KGRR20030603_101601,20030603_061601
KGRR20030603_102151,20030603_062151
KGRR20030603_102741,20030603_062741
KGRR20030603_103330,20030603_063330
KGRR20030603_103921,20030603_063921
KGRR20030603_104511,20030603_064511
KGRR20030603_105101,20030603_065101
KGRR20030603_105651,20030603_065651
KGRR20030603_110241,20030603_070241
KGRR20030603_110831,20030603_070831
KGRR20030603_111421,20030603_071421
KGRR20030603_112011,20030603_072011
KGRR20030603_112601,20030603_072601
KGRR20030603_113151,20030603_073151
KGRR20030604_094000,20030604_054000
KGRR20030604_094551,20030604_054551
KGRR20030604_095141,20030604_055141
KGRR20030604_095731,20030604_055731
KGRR20030604_100321,20030604_060321
KGRR20030604_100911,20030604_060911
KGRR20030604_101501,20030604_061501
KGRR20030604_102051,20030604_062051
KGRR20030604_102641,20030604_062641
KGRR20030604_103232,20030604_063232
KGRR20030604_103822,20030604_063822
KGRR20030604_104412,20030604_064412
KGRR20030604_105002,20030604_065002
KGRR20030604_105552,20030604_065552
KGRR20030604_110143,20030604_070143
KGRR20030604_110733,20030604_070733
KGRR20030604_111323,20030604_071323
KGRR20030604_111912,20030604_071912
KGRR20030604_112502,20030604_072502
KGRR20030604_113052,20030604_073052
KGRR20030605_093850,20030605_053850
KGRR20030605_094440,20030605_054440
KGRR20030605_095030,20030605_055030
KGRR20030605_095620,20030605_055620
KGRR20030605_100211,20030605_060211
KGRR20030605_100800,20030605_060800
KGRR20030605_101350,20030605_061350
KGRR20030605_101941,20030605_061941
KGRR20030605_102530,20030605_062530
KGRR20030605_103120,20030605_063120
KGRR20030605_103710,20030605_063710
KGRR20030605_104300,20030605_064300
KGRR20030605_104849,20030605_064849
KGRR20030605_105439,20030605_065439
KGRR20030605_110030,20030605_070030
KGRR20030605_110620,20030605_070620
KGRR20030605_111210,20030605_071210
KGRR20030605_111801,20030605_071801
KGRR20030605_112350,20030605_072350
KGRR20030605_112941,20030605_072941
KGRR20030606_093936,20030606_053936
KGRR20030606_094927,20030606_054927
KGRR20030606_095919,20030606_055919
KGRR20030606_100910,20030606_060910
KGRR20030606_101901,20030606_061901
KGRR20030606_102852,20030606_062852
KGRR20030606_103843,20030606_063843
KGRR20030606_104834,20030606_064834
KGRR20030606_105825,20030606_065825
KGRR20030606_110817,20030606_070817
KGRR20030606_111807,20030606_071807
KGRR20030606_112758,20030606_072758
KGRR20030607_093443,20030607_053443
KGRR20030607_094033,20030607_054033
KGRR20030607_094624,20030607_054624
KGRR20030607_095213,20030607_055213
KGRR20030607_095803,20030607_055803
KGRR20030607_100354,20030607_060354
KGRR20030607_100943,20030607_060943
KGRR20030607_101533,20030607_061533
KGRR20030607_102123,20030607_062123
KGRR20030607_102713,20030607_062713
KGRR20030607_103303,20030607_063303
KGRR20030607_103852,20030607_063852
KGRR20030607_104442,20030607_064442
KGRR20030607_105033,20030607_065033
KGRR20030607_105622,20030607_065622
KGRR20030607_110212,20030607_070212
KGRR20030607_110802,20030607_070802
KGRR20030607_111352,20030607_071352
KGRR20030607_111942,20030607_071942
KGRR20030607_112531,20030607_072531
KGRR20030607_113121,20030607_073121
KGRR20030608_093602,20030608_053602
KGRR20030608_094152,20030608_054152
KGRR20030608_094743,20030608_054743
KGRR20030608_095333,20030608_055333
KGRR20030608_095924,20030608_055924
KGRR20030608_100514,20030608_060514
KGRR20030608_101104,20030608_061104
KGRR20030608_101654,20030608_061654
KGRR20030608_102244,20030608_062244
KGRR20030608_102834,20030608_062834
KGRR20030608_103425,20030608_063425
KGRR20030608_104016,20030608_064016
KGRR20030608_104606,20030608_064606
KGRR20030608_105156,20030608_065156
KGRR20030608_105747,20030608_065747
KGRR20030608_110337,20030608_070337
KGRR20030608_110928,20030608_070928
KGRR20030608_111519,20030608_071519
KGRR20030608_112109,20030608_072109
KGRR20030608_112659,20030608_072659
KGRR20030608_113249,20030608_073249
KGRR20030609_093817,20030609_053817
KGRR20030609_094408,20030609_054408
KGRR20030609_094958,20030609_054958
KGRR20030609_095548,20030609_055548
KGRR20030609_100138,20030609_060138
KGRR20030609_100728,20030609_060728
KGRR20030609_101318,20030609_061318
KGRR20030609_101908,20030609_061908
KGRR20030609_102459,20030609_062459
KGRR20030609_103049,20030609_063049
KGRR20030609_103639,20030609_063639
KGRR20030609_104228,20030609_064228
KGRR20030609_104819,20030609_064819
KGRR20030609_105409,20030609_065409
KGRR20030609_105959,20030609_065959
KGRR20030609_110549,20030609_070549
KGRR20030609_111139,20030609_071139
KGRR20030609_111729,20030609_071729
KGRR20030609_112319,20030609_072319
KGRR20030609_112909,20030609_072909
KGRR20030610_093551,20030610_053551
KGRR20030610_094712,20030610_054712
KGRR20030610_095303,20030610_055303
KGRR20030610_095853,20030610_055853
KGRR20030610_100443,20030610_060443
KGRR20030610_101033,20030610_061033
KGRR20030610_101622,20030610_061622
KGRR20030610_102212,20030610_062212
KGRR20030610_102802,20030610_062802
KGRR20030610_103352,20030610_063352
KGRR20030610_103941,20030610_063941
KGRR20030610_104531,20030610_064531
KGRR20030610_105121,20030610_065121
KGRR20030610_105711,20030610_065711
KGRR20030610_110301,20030610_070301
KGRR20030610_110852,20030610_070852
KGRR20030610_111442,20030610_071442
KGRR20030610_112032,20030610_072032
KGRR20030610_112622,20030610_072622
KGRR20030610_113212,20030610_073212
KGRR20030611_093447,20030611_053447
KGRR20030611_094037,20030611_054037
KGRR20030611_094627,20030611_054627
KGRR20030611_095218,20030611_055218
KGRR20030611_095808,20030611_055808
KGRR20030611_100358,20030611_060358
KGRR20030611_100948,20030611_060948
KGRR20030611_101538,20030611_061538
KGRR20030611_102128,20030611_062128
KGRR20030611_102719,20030611_062719
KGRR20030611_103310,20030611_063310
KGRR20030611_103900,20030611_063900
KGRR20030611_104449,20030611_064449
KGRR20030611_105039,20030611_065039
KGRR20030611_105629,20030611_065629
KGRR20030611_110220,20030611_070220
KGRR20030611_110810,20030611_070810
KGRR20030611_111400,20030611_071400
KGRR20030611_111950,20030611_071950
KGRR20030611_112540,20030611_072540
KGRR20030611_113130,20030611_073130
KGRR20030612_093346,20030612_053346
KGRR20030612_093936,20030612_053936
KGRR20030612_094526,20030612_054526
KGRR20030612_095117,20030612_055117
KGRR20030612_095707,20030612_055707
KGRR20030612_100257,20030612_060257
KGRR20030612_100848,20030612_060848
KGRR20030612_101438,20030612_061438
KGRR20030612_102028,20030612_062028
KGRR20030612_102618,20030612_062618
KGRR20030612_103209,20030612_063209
KGRR20030612_103759,20030612_063759
KGRR20030612_104349,20030612_064349
KGRR20030612_104939,20030612_064939
KGRR20030612_105530,20030612_065530
KGRR20030612_110120,20030612_070120
KGRR20030612_110711,20030612_070711
KGRR20030612_111302,20030612_071302
KGRR20030612_111851,20030612_071851
KGRR20030612_112441,20030612_072441
KGRR20030612_113032,20030612_073032
KGRR20030613_093926,20030613_053926
KGRR20030613_094919,20030613_054919
KGRR20030613_095911,20030613_055911
KGRR20030613_100902,20030613_060902
KGRR20030613_101855,20030613_061855
KGRR20030613_102847,20030613_062847
KGRR20030613_103839,20030613_063839
KGRR20030613_104831,20030613_064831
KGRR20030613_105823,20030613_065823
KGRR20030613_110815,20030613_070815
KGRR20030613_111807,20030613_071807
KGRR20030613_112759,20030613_072759
KGRR20030614_093345,20030614_053345
KGRR20030614_093936,20030614_053936
KGRR20030614_094527,20030614_054527
KGRR20030614_095117,20030614_055117
KGRR20030614_095707,20030614_055707
KGRR20030614_100258,20030614_060258
KGRR20030614_100848,20030614_060848
KGRR20030614_101438,20030614_061438
KGRR20030614_102028,20030614_062028
KGRR20030614_102619,20030614_062619
KGRR20030614_103208,20030614_063208
KGRR20030614_103758,20030614_063758
KGRR20030614_104348,20030614_064348
KGRR20030614_104938,20030614_064938
KGRR20030614_105528,20030614_065528
KGRR20030614_110118,20030614_070118
KGRR20030614_110707,20030614_070707
KGRR20030614_111257,20030614_071257
KGRR20030614_111847,20030614_071847
KGRR20030614_112437,20030614_072437
KGRR20030614_113027,20030614_073027
KGRR20030615_093302,20030615_053302
KGRR20030615_094253,20030615_054253
KGRR20030615_095244,20030615_055244
KGRR20030615_100234,20030615_060234
KGRR20030615_101225,20030615_061225
KGRR20030615_102217,20030615_062217
KGRR20030615_103208,20030615_063208
KGRR20030615_104159,20030615_064159
KGRR20030615_105150,20030615_065150
KGRR20030615_110141,20030615_070141
KGRR20030615_111132,20030615_071132
KGRR20030615_112123,20030615_072123
KGRR20030615_113114,20030615_073114
KGRR20030616_093449,20030616_053449
KGRR20030616_094439,20030616_054439
KGRR20030616_095430,20030616_055430
KGRR20030616_100421,20030616_060421
KGRR20030616_101412,20030616_061412
KGRR20030616_102403,20030616_062403
KGRR20030616_103353,20030616_063353
KGRR20030616_104344,20030616_064344
KGRR20030616_105335,20030616_065335
KGRR20030616_110326,20030616_070326
KGRR20030616_111317,20030616_071317
KGRR20030616_112309,20030616_072309
KGRR20030624_093544,20030624_053544
KGRR20030624_094135,20030624_054135
KGRR20030624_094724,20030624_054724
KGRR20030624_095315,20030624_055315
KGRR20030624_095905,20030624_055905
KGRR20030624_100456,20030624_060456
KGRR20030624_101055,20030624_061055
KGRR20030624_102047,20030624_062047
KGRR20030624_103039,20030624_063039
KGRR20030624_104031,20030624_064031
KGRR20030624_105023,20030624_065023
KGRR20030624_110015,20030624_070015
KGRR20030624_111007,20030624_071007
KGRR20030624_111959,20030624_071959
KGRR20030624_112951,20030624_072951
KGRR20030625_093537,20030625_053537
KGRR20030625_094127,20030625_054127
KGRR20030625_094718,20030625_054718
KGRR20030625_095308,20030625_055308
KGRR20030625_095858,20030625_055858
KGRR20030625_100448,20030625_060448
KGRR20030625_101038,20030625_061038
KGRR20030625_101629,20030625_061629
KGRR20030625_102221,20030625_062221
KGRR20030625_102812,20030625_062812
KGRR20030625_103403,20030625_063403
KGRR20030625_103953,20030625_063953
KGRR20030625_104543,20030625_064543
KGRR20030625_105135,20030625_065135
KGRR20030625_105724,20030625_065724
KGRR20030625_110315,20030625_070315
KGRR20030625_110906,20030625_070906
KGRR20030625_111456,20030625_071456
KGRR20030625_112047,20030625_072047
KGRR20030625_112637,20030625_072637
KGRR20030625_113227,20030625_073227
KGRR20030626_093656,20030626_053656
KGRR20030626_094246,20030626_054246
KGRR20030626_094839,20030626_054839
KGRR20030626_095429,20030626_055429
KGRR20030626_100019,20030626_060019
KGRR20030626_100609,20030626_060609
KGRR20030626_101159,20030626_061159
KGRR20030626_101750,20030626_061750
KGRR20030626_102340,20030626_062340
KGRR20030626_103035,20030626_063035
KGRR20030626_103625,20030626_063625
KGRR20030626_104216,20030626_064216
KGRR20030626_104806,20030626_064806
KGRR20030626_105357,20030626_065357
KGRR20030626_105947,20030626_065947
KGRR20030626_110536,20030626_070536
KGRR20030626_111127,20030626_071127
KGRR20030626_111718,20030626_071718
KGRR20030626_112309,20030626_072309
KGRR20030626_112858,20030626_072858
KGRR20030626_113449,20030626_073449
KGRR20030627_094141,20030627_054141
KGRR20030627_095132,20030627_055132
KGRR20030627_100124,20030627_060124
KGRR20030627_101116,20030627_061116
KGRR20030627_102108,20030627_062108
KGRR20030627_103100,20030627_063100
KGRR20030627_104053,20030627_064053
KGRR20030627_105045,20030627_065045
KGRR20030627_110037,20030627_070037
KGRR20030627_111029,20030627_071029
KGRR20030627_112021,20030627_072021
KGRR20030627_113013,20030627_073013
KGRR20030628_093916,20030628_053916
KGRR20030628_094507,20030628_054507
KGRR20030628_095057,20030628_055057
KGRR20030628_095646,20030628_055646
KGRR20030628_100236,20030628_060236
KGRR20030628_100826,20030628_060826
KGRR20030628_101416,20030628_061416
KGRR20030628_102006,20030628_062006
KGRR20030628_102557,20030628_062557
KGRR20030628_103147,20030628_063147
KGRR20030628_103737,20030628_063737
KGRR20030628_104327,20030628_064327
KGRR20030628_104917,20030628_064917
KGRR20030628_105507,20030628_065507
KGRR20030628_110058,20030628_070058
KGRR20030628_110647,20030628_070647
KGRR20030628_111238,20030628_071238
KGRR20030628_111828,20030628_071828
KGRR20030628_112418,20030628_072418
KGRR20030628_113008,20030628_073008
KGRR20030629_093708,20030629_053708
KGRR20030629_094258,20030629_054258
KGRR20030629_094848,20030629_054848
KGRR20030629_095437,20030629_055437
KGRR20030629_100027,20030629_060027
KGRR20030629_100616,20030629_060616
KGRR20030629_101205,20030629_061205
KGRR20030629_101756,20030629_061756
KGRR20030629_102346,20030629_062346
KGRR20030629_102937,20030629_062937
KGRR20030629_103526,20030629_063526
KGRR20030629_104117,20030629_064117
KGRR20030629_104707,20030629_064707
KGRR20030629_105258,20030629_065258
KGRR20030629_105848,20030629_065848
KGRR20030629_110438,20030629_070438
KGRR20030629_111028,20030629_071028
KGRR20030629_111618,20030629_071618
KGRR20030629_112208,20030629_072208
KGRR20030629_112758,20030629_072758
KGRR20030629_113347,20030629_073347
KGRR20030630_094159,20030630_054159
KGRR20030630_094749,20030630_054749
KGRR20030630_095339,20030630_055339
KGRR20030630_095929,20030630_055929
KGRR20030630_100519,20030630_060519
KGRR20030630_101109,20030630_061109
KGRR20030630_101659,20030630_061659
KGRR20030630_102249,20030630_062249
KGRR20030630_102840,20030630_062840
KGRR20030630_103430,20030630_063430
KGRR20030630_104020,20030630_064020
KGRR20030630_104610,20030630_064610
KGRR20030630_105302,20030630_065302
KGRR20030630_105852,20030630_065852
KGRR20030630_110443,20030630_070443
KGRR20030630_111033,20030630_071033
KGRR20030630_111624,20030630_071624
KGRR20030630_112214,20030630_072214
KGRR20030630_112805,20030630_072805
KGRR20030630_113355,20030630_073355
KGRR20030701_094026,20030701_054026
KGRR20030701_095018,20030701_055018
KGRR20030701_100010,20030701_060010
KGRR20030701_101207,20030701_061207
KGRR20030701_102159,20030701_062159
KGRR20030701_103152,20030701_063152
KGRR20030701_104144,20030701_064144
KGRR20030701_105136,20030701_065136
KGRR20030701_110128,20030701_070128
KGRR20030701_111119,20030701_071119
KGRR20030701_112111,20030701_072111
KGRR20030701_113103,20030701_073103
KGRR20030702_094318,20030702_054318
KGRR20030702_095310,20030702_055310
KGRR20030702_100302,20030702_060302
KGRR20030702_101255,20030702_061255
KGRR20030702_102247,20030702_062247
KGRR20030702_103238,20030702_063238
KGRR20030702_104228,20030702_064228
KGRR20030702_105220,20030702_065220
KGRR20030702_110210,20030702_070210
KGRR20030702_111202,20030702_071202
KGRR20030702_112153,20030702_072153
KGRR20030702_113144,20030702_073144
KGRR20030703_093907,20030703_053907
KGRR20030703_094457,20030703_054457
KGRR20030703_095048,20030703_055048
KGRR20030703_100038,20030703_060038
KGRR20030703_101029,20030703_061029
KGRR20030703_102020,20030703_062020
KGRR20030703_103010,20030703_063010
KGRR20030703_104001,20030703_064001
KGRR20030703_104952,20030703_064952
KGRR20030703_105943,20030703_065943
KGRR20030703_110934,20030703_070934
KGRR20030703_111925,20030703_071925
KGRR20030703_112916,20030703_072916
KGRR20030704_093940,20030704_053940
KGRR20030704_094531,20030704_054531
KGRR20030704_095120,20030704_055120
KGRR20030704_095710,20030704_055710
KGRR20030704_100300,20030704_060300
KGRR20030704_100850,20030704_060850
KGRR20030704_101440,20030704_061440
KGRR20030704_102029,20030704_062029
KGRR20030704_102620,20030704_062620
KGRR20030704_103210,20030704_063210
KGRR20030704_103800,20030704_063800
KGRR20030704_104351,20030704_064351
KGRR20030704_104941,20030704_064941
KGRR20030704_105532,20030704_065532
KGRR20030704_110122,20030704_070122
KGRR20030704_110713,20030704_070713
KGRR20030704_111302,20030704_071302
KGRR20030704_111852,20030704_071852
KGRR20030704_112442,20030704_072442
