filename,local_time
KMQT20020601_093646,20020601_053646
KMQT20020601_094637,20020601_054637
KMQT20020601_095629,20020601_055629
KMQT20020601_100620,20020601_060620
KMQT20020601_101611,20020601_061611
KMQT20020601_102603,20020601_062603
KMQT20020601_103554,20020601_063554
KMQT20020601_104547,20020601_064547
KMQT20020601_105538,20020601_065538
KMQT20020601_110530,20020601_070530
KMQT20020601_111520,20020601_071520
KMQT20020601_112512,20020601_072512
KMQT20020602_093413,20020602_053413
KMQT20020602_094403,20020602_054403
KMQT20020602_095354,20020602_055354
KMQT20020602_100345,20020602_060345
KMQT20020602_101335,20020602_061335
KMQT20020602_102328,20020602_062328
KMQT20020602_103319,20020602_063319
KMQT20020602_104311,20020602_064311
KMQT20020602_105301,20020602_065301
KMQT20020602_110253,20020602_070253
KMQT20020602_111244,20020602_071244
KMQT20020602_112235,20020602_072235
KMQT20020603_093151,20020603_053151
KMQT20020603_093743,20020603_053743
KMQT20020603_094335,20020603_054335
KMQT20020603_094926,20020603_054926
KMQT20020603_095517,20020603_055517
KMQT20020603_100110,20020603_060110
KMQT20020603_100700,20020603_060700
KMQT20020603_101251,20020603_061251
KMQT20020603_101844,20020603_061844
KMQT20020603_102435,20020603_062435
KMQT20020603_103025,20020603_063025
KMQT20020603_103616,20020603_063616
KMQT20020603_104209,20020603_064209
KMQT20020603_104800,20020603_064800
KMQT20020603_105350,20020603_065350
KMQT20020603_105941,20020603_065941
KMQT20020603_110534,20020603_070534
KMQT20020603_111125,20020603_071125
KMQT20020603_111718,20020603_071718
KMQT20020603_112310,20020603_072310
KMQT20020603_112903,20020603_072903
KMQT20020604_092939,20020604_052939
KMQT20020604_093530,20020604_053530
KMQT20020604_094122,20020604_054122
KMQT20020604_094715,20020604_054715
KMQT20020604_095305,20020604_055305
KMQT20020604_095857,20020604_055857
KMQT20020604_100448,20020604_060448
KMQT20020604_101039,20020604_061039
KMQT20020604_101630,20020604_061630
KMQT20020604_102223,20020604_062223
KMQT20020604_102814,20020604_062814
KMQT20020604_103407,20020604_063407
KMQT20020604_103957,20020604_063957
KMQT20020604_104550,20020604_064550
KMQT20020604_105141,20020604_065141
KMQT20020604_105732,20020604_065732
KMQT20020604_110324,20020604_070324
KMQT20020604_110915,20020604_070915
KMQT20020604_111506,20020604_071506
KMQT20020604_112059,20020604_072059
KMQT20020604_112652,20020604_072652
KMQT20020606_092943,20020606_052943
KMQT20020606_093536,20020606_053536
KMQT20020606_094127,20020606_054127
KMQT20020606_094718,20020606_054718
KMQT20020606_095309,20020606_055309
KMQT20020606_095900,20020606_055900
KMQT20020606_100452,20020606_060452
KMQT20020606_101044,20020606_061044
KMQT20020606_101635,20020606_061635
KMQT20020606_102227,20020606_062227
KMQT20020606_102820,20020606_062820
KMQT20020606_103412,20020606_063412
KMQT20020606_104005,20020606_064005
KMQT20020606_104557,20020606_064557
KMQT20020606_105149,20020606_065149
KMQT20020606_105740,20020606_065740
KMQT20020606_110332,20020606_070332
KMQT20020606_110923,20020606_070923
KMQT20020606_111514,20020606_071514
KMQT20020606_112104,20020606_072104
KMQT20020606_112657,20020606_072657
KMQT20020607_093049,20020607_053049
KMQT20020607_093642,20020607_053642
KMQT20020607_094235,20020607_054235
KMQT20020607_094828,20020607_054828
KMQT20020607_095421,20020607_055421
KMQT20020607_100014,20020607_060014
KMQT20020607_100607,20020607_060607
KMQT20020607_101200,20020607_061200
KMQT20020607_101753,20020607_061753
KMQT20020607_102346,20020607_062346
KMQT20020607_102939,20020607_062939
KMQT20020607_103530,20020607_063530
KMQT20020607_104123,20020607_064123
KMQT20020607_104715,20020607_064715
KMQT20020607_105307,20020607_065307
KMQT20020607_105900,20020607_065900
KMQT20020607_110453,20020607_070453
KMQT20020607_111047,20020607_071047
KMQT20020607_111640,20020607_071640
KMQT20020607_112232,20020607_072232
KMQT20020608_093133,20020608_053133
KMQT20020608_093726,20020608_053726
KMQT20020608_094319,20020608_054319
KMQT20020608_094912,20020608_054912
KMQT20020608_095505,20020608_055505
KMQT20020608_100058,20020608_060058
KMQT20020608_100651,20020608_060651
KMQT20020608_101244,20020608_061244
KMQT20020608_101836,20020608_061836
KMQT20020608_102429,20020608_062429
KMQT20020608_103022,20020608_063022
KMQT20020608_103613,20020608_063613
KMQT20020608_104206,20020608_064206
KMQT20020608_104759,20020608_064759
KMQT20020608_105352,20020608_065352
KMQT20020608_105945,20020608_065945
KMQT20020608_110538,20020608_070538
KMQT20020608_111131,20020608_071131
KMQT20020608_111724,20020608_071724
KMQT20020608_112316,20020608_072316
KMQT20020609_093640,20020609_053640
KMQT20020609_094631,20020609_054631
KMQT20020609_095623,20020609_055623
KMQT20020609_100614,20020609_060614
KMQT20020609_101605,20020609_061605
KMQT20020609_102557,20020609_062557
KMQT20020609_103549,20020609_063549
KMQT20020609_104540,20020609_064540
KMQT20020609_105531,20020609_065531
KMQT20020609_110523,20020609_070523
KMQT20020609_111514,20020609_071514
KMQT20020609_112506,20020609_072506
KMQT20020610_093258,20020610_053258
KMQT20020610_093850,20020610_053850
KMQT20020610_094442,20020610_054442
KMQT20020610_095035,20020610_055035
KMQT20020610_095628,20020610_055628
KMQT20020610_100221,20020610_060221
KMQT20020610_100814,20020610_060814
KMQT20020610_101406,20020610_061406
KMQT20020610_101959,20020610_061959
KMQT20020610_102551,20020610_062551
KMQT20020610_103143,20020610_063143
KMQT20020610_103736,20020610_063736
KMQT20020610_104329,20020610_064329
KMQT20020610_104922,20020610_064922
KMQT20020610_105515,20020610_065515
KMQT20020610_110107,20020610_070107
KMQT20020610_110700,20020610_070700
KMQT20020610_111251,20020610_071251
KMQT20020610_111843,20020610_071843
KMQT20020610_112435,20020610_072435
KMQT20020611_093012,20020611_053012
KMQT20020611_093605,20020611_053605
KMQT20020611_094156,20020611_054156
KMQT20020611_094749,20020611_054749
KMQT20020611_100504,20020611_060504
KMQT20020611_101056,20020611_061056
KMQT20020611_101647,20020611_061647
KMQT20020611_102240,20020611_062240
KMQT20020611_102832,20020611_062832
KMQT20020611_103425,20020611_063425
KMQT20020611_104017,20020611_064017
KMQT20020611_104609,20020611_064609
KMQT20020611_105202,20020611_065202
KMQT20020611_105754,20020611_065754
KMQT20020611_110347,20020611_070347
KMQT20020611_110938,20020611_070938
KMQT20020611_111530,20020611_071530
KMQT20020611_112123,20020611_072123
KMQT20020613_092914,20020613_052914
KMQT20020613_093507,20020613_053507
KMQT20020613_094058,20020613_054058
KMQT20020613_094650,20020613_054650
KMQT20020613_095243,20020613_055243
KMQT20020613_095835,20020613_055835
KMQT20020613_100426,20020613_060426
KMQT20020613_101019,20020613_061019
KMQT20020613_101611,20020613_061611
KMQT20020613_102204,20020613_062204
KMQT20020613_102757,20020613_062757
KMQT20020613_103350,20020613_063350
KMQT20020613_103941,20020613_063941
KMQT20020613_104533,20020613_064533
KMQT20020613_105124,20020613_065124
KMQT20020613_105717,20020613_065717
KMQT20020613_110309,20020613_070309
KMQT20020613_110900,20020613_070900
KMQT20020613_111453,20020613_071453
KMQT20020613_112045,20020613_072045
KMQT20020613_112637,20020613_072637
KMQT20020617_092949,20020617_052949
KMQT20020617_093541,20020617_053541
KMQT20020617_094134,20020617_054134
KMQT20020617_094726,20020617_054726
KMQT20020617_095318,20020617_055318
KMQT20020617_095910,20020617_055910
KMQT20020617_100502,20020617_060502
KMQT20020617_101056,20020617_061056
KMQT20020617_101647,20020617_061647
KMQT20020617_102240,20020617_062240
KMQT20020617_102832,20020617_062832
KMQT20020617_103425,20020617_063425
KMQT20020617_104017,20020617_064017
KMQT20020617_104610,20020617_064610
KMQT20020617_105201,20020617_065201
KMQT20020617_105754,20020617_065754
KMQT20020617_110347,20020617_070347
KMQT20020617_110940,20020617_070940
KMQT20020617_111531,20020617_071531
KMQT20020617_112123,20020617_072123
KMQT20020618_093455,20020618_053455
KMQT20020618_094447,20020618_054447
KMQT20020618_095438,20020618_055438
KMQT20020618_100429,20020618_060429
KMQT20020618_101421,20020618_061421
KMQT20020618_102412,20020618_062412
KMQT20020618_103403,20020618_063403
KMQT20020618_104354,20020618_064354
KMQT20020618_105345,20020618_065345
KMQT20020618_110336,20020618_070336
KMQT20020618_111328,20020618_071328
KMQT20020618_112319,20020618_072319
KMQT20020619_092743,20020619_052743
KMQT20020619_093335,20020619_053335
KMQT20020619_093928,20020619_053928
KMQT20020619_094520,20020619_054520
KMQT20020619_095111,20020619_055111
KMQT20020619_095704,20020619_055704
KMQT20020619_100257,20020619_060257
KMQT20020619_100850,20020619_060850
KMQT20020619_101441,20020619_061441
KMQT20020619_102033,20020619_062033
KMQT20020619_102625,20020619_062625
KMQT20020619_103218,20020619_063218
KMQT20020619_103811,20020619_063811
KMQT20020619_104404,20020619_064404
KMQT20020619_104957,20020619_064957
KMQT20020619_105548,20020619_065548
KMQT20020619_110139,20020619_070139
KMQT20020619_110732,20020619_070732
KMQT20020619_111323,20020619_071323
KMQT20020619_111916,20020619_071916
KMQT20020619_112507,20020619_072507
KMQT20020620_093050,20020620_053050
KMQT20020620_093551,20020620_053551
KMQT20020620_094054,20020620_054054
KMQT20020620_094557,20020620_054557
KMQT20020620_095059,20020620_055059
KMQT20020620_095602,20020620_055602
KMQT20020620_100104,20020620_060104
KMQT20020620_100607,20020620_060607
KMQT20020620_101109,20020620_061109
