track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KAPX20090601_092615_V03,-29,0.073,369.94,403.438110,29.530853,-84.28,44.440959,14765.426636,20090601_052615
1,KAPX20090601_093148_V03,-24,0.170,373.73,404.254451,34.851205,-84.26,44.437191,17425.602389,20090601_053148
1,KAPX20090601_093721_V03,-18,0.178,390.51,405.492644,34.170120,-84.15,44.431142,17085.059813,20090601_053721
5,KAPX20090601_103258_V03,37,0.296,276.65,253.307861,16.060791,-84.87,45.117199,8030.395508,20090601_063258
5,KAPX20090601_103831_V03,43,0.101,277.21,251.889211,24.775989,-84.86,45.123586,12387.994535,20090601_063831
2,KAPX20090601_093721_V03,-18,0.113,432.72,295.228333,26.292740,-83.88,44.925596,13146.369934,20090601_053721
3,KAPX20090601_095401_V03,-1,0.068,450.35,62.001587,9.287613,-83.75,45.973864,4643.806458,20090601_055401
4,KAPX20090601_100510_V03,10,0.338,307.62,342.902924,31.440929,-84.67,44.714176,15720.464706,20090601_060510
6,KAPX20090601_105513_V03,60,0.254,434.21,120.574768,15.396606,-83.86,45.711219,7698.303223,20090601_065513
8,KAPX20090601_105513_V03,60,0.054,446.15,526.873901,36.345810,-83.81,43.882707,18172.904968,20090601_065513
9,KAPX20090601_110716_V03,72,0.099,527.05,508.433136,15.167656,-83.31,43.960498,7583.827972,20090601_070716
10,KAPX20090601_111250_V03,77,0.179,311.68,72.904236,13.453033,-84.64,45.928861,6726.516724,20090601_071250
11,KAPX20090601_111250_V03,77,0.129,286.35,204.125092,13.128418,-84.81,45.338535,6564.208984,20090601_071250
12,KAPX20090601_111823_V03,83,0.306,436.50,302.267517,12.911011,-83.86,44.893749,6455.505371,20090601_071823
13,KAPX20090601_111823_V03,83,0.245,492.38,568.361694,32.977684,-83.53,43.693350,16488.842010,20090601_071823
1,KAPX20090605_093924_V03,-14,0.079,310.92,402.955872,6.407730,-84.65,44.443958,3203.865051,20090605_053924
3,KAPX20090607_103135_V03,38,0.266,355.34,102.440674,22.569084,-84.36,45.795468,11284.542084,20090607_063135
3,KAPX20090607_103709_V03,44,0.236,361.25,97.687521,32.938763,-84.33,45.816726,16469.381618,20090607_063709
3,KAPX20090607_104242_V03,49,0.309,382.43,84.244812,39.264381,-84.19,45.876651,19632.190704,20090607_064242
3,KAPX20090607_104816_V03,55,0.063,384.33,81.646110,48.243947,-84.18,45.888284,24121.973720,20090607_064816
