track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
7,KIWX20200601_113231_V06,81,0.098,274.25,528.007812,14.912343,-85.85,40.381927,7456.171513,20200601_073231
7,KIWX20200601_113700_V06,86,0.091,274.43,527.365615,20.747878,-85.85,40.384820,10373.938876,20200601_073700
1,KIWX20200601_094147_V06,-30,0.137,263.96,184.856323,17.963562,-85.92,41.926759,8981.781006,20200601_054147
2,KIWX20200601_101854_V06,7,0.062,278.98,424.328430,2.260384,-85.82,40.848789,1130.191803,20200601_061854
3,KIWX20200601_101854_V06,7,0.060,335.16,406.309418,1.956795,-85.49,40.929795,978.397369,20200601_061854
6,KIWX20200601_112332_V06,72,0.084,279.28,530.073181,8.777153,-85.82,40.372662,4388.576508,20200601_072332
8,KIWX20200601_113231_V06,81,0.053,41.69,479.158295,38.421959,-87.23,40.591795,19210.979462,20200601_073231
1,KIWX20200602_101018_V06,-1,0.212,258.44,350.753113,7.823498,-85.95,41.179848,3911.748886,20200602_061018
6,KIWX20200602_103321_V06,22,0.373,255.85,342.088684,7.878349,-85.96,41.218822,3939.174652,20200602_063321
9,KIWX20200602_104023_V06,29,0.067,272.45,180.256195,8.715057,-85.87,41.947552,4357.528687,20200602_064023
10,KIWX20200602_111531_V06,64,0.058,340.26,338.977020,16.071426,-85.46,41.232882,8035.713196,20200602_071531
10,KIWX20200602_112232_V06,71,-1.000,340.26,338.977020,27.201426,-85.46,41.232882,13600.713196,20200602_072232
10,KIWX20200602_112934_V06,78,0.182,333.49,344.834229,9.587341,-85.50,41.206589,4793.670654,20200602_072934
3,KIWX20200603_100020_V06,-10,0.098,392.63,189.915710,37.219223,-85.14,41.902840,18609.611511,20200603_060020
3,KIWX20200603_100449_V06,-6,0.176,393.29,189.296305,42.095756,-85.14,41.905609,21047.878064,20200603_060449
3,KIWX20200603_100918_V06,-1,0.118,395.75,163.945190,20.448898,-85.12,42.019652,10224.449158,20200603_060918
3,KIWX20200603_101346_V06,3,0.118,396.96,166.845614,27.853779,-85.11,42.006559,13926.889578,20200603_061346
1,KIWX20200603_094653_V06,-24,0.055,266.98,183.776459,13.585087,-85.90,41.931653,6792.543411,20200603_054653
1,KIWX20200603_095122_V06,-19,0.061,262.46,183.799286,11.759232,-85.93,41.931500,5879.615784,20200603_055122
5,KIWX20200603_100020_V06,-10,0.056,330.71,287.372864,16.361130,-85.52,41.465310,8180.564880,20200603_060020
8,KIWX20200603_101815_V06,8,0.061,118.83,518.222534,54.337151,-86.77,40.421096,27168.575287,20200603_061815
9,KIWX20200603_102245_V06,12,0.074,299.12,380.956482,16.341309,-85.71,41.044132,8170.654297,20200603_062245
3,KIWX20200604_104021_V06,30,0.109,365.60,294.827484,49.634899,-85.31,41.431228,24817.449570,20200604_064021
3,KIWX20200604_104500_V06,35,0.265,366.19,294.223948,55.800042,-85.30,41.433933,27900.020850,20200604_064500
2,KIWX20200604_103344_V06,23,0.062,278.84,299.318512,18.265045,-85.83,41.411608,9132.522583,20200604_063344
5,KIWX20200604_111737_V06,67,0.120,300.51,331.910095,14.279591,-85.70,41.264949,7139.795303,20200604_071737
8,KIWX20200605_101321_V06,3,0.087,406.38,303.770416,5.284866,-85.06,41.389878,2642.433167,20200605_061321
8,KIWX20200605_101714_V06,7,0.531,406.32,303.169329,10.271691,-85.06,41.392586,5135.845565,20200605_061714
8,KIWX20200605_102106_V06,11,0.133,404.95,305.606800,13.609252,-85.07,41.381658,6804.625927,20200605_062106
8,KIWX20200605_102458_V06,14,0.070,399.75,309.144310,16.303874,-85.10,41.365897,8151.936903,20200605_062458
8,KIWX20200605_102850_V06,18,-1.000,395.57,312.481304,19.996251,-85.13,41.351001,9998.125718,20200605_062850
8,KIWX20200605_103242_V06,22,0.224,387.13,304.210555,25.162277,-85.18,41.388475,12581.138726,20200605_063242
2,KIWX20200605_094614_V06,-24,0.287,407.69,303.630402,4.368988,-85.06,41.390464,2184.494019,20200605_054614
2,KIWX20200605_095006_V06,-20,0.444,408.27,303.486774,8.993615,-85.05,41.391092,4496.807560,20200605_055006
2,KIWX20200605_095358_V06,-17,0.183,407.32,302.035426,10.865722,-85.06,41.397657,5432.860906,20200605_055358
2,KIWX20200605_100143_V06,-9,0.053,421.33,296.725719,18.783329,-84.97,41.421062,9391.664290,20200605_060143
2,KIWX20200605_100536_V06,-5,0.393,407.47,303.446991,5.545700,-85.06,41.391298,2772.850037,20200605_060536
1,KIWX20200605_094614_V06,-24,0.745,283.12,165.948486,12.908188,-85.80,42.012033,6454.093933,20200605_054614
14,KIWX20200605_102458_V06,14,0.097,255.11,218.187012,9.009270,-85.97,41.776604,4504.634857,20200605_062458
17,KIWX20200605_104620_V06,36,0.054,407.38,297.518799,7.868301,-85.06,41.417988,3934.150696,20200605_064620
17,KIWX20200605_105012_V06,40,-1.000,407.38,297.518799,14.228301,-85.06,41.417988,7114.150696,20200605_065012
17,KIWX20200605_105403_V06,44,0.105,405.98,293.605347,4.716019,-85.07,41.435652,2358.009338,20200605_065403
19,KIWX20200605_110148_V06,51,0.064,273.37,528.392517,12.201304,-85.86,40.380188,6100.652218,20200605_070148
1,KIWX20200606_094444_V06,-25,0.283,404.43,302.323761,5.493958,-85.08,41.396454,2746.978760,20200606_054444
1,KIWX20200606_094913_V06,-20,0.426,401.32,298.704266,14.030159,-85.09,41.412848,7015.079274,20200606_054913
1,KIWX20200606_100044_V06,-9,0.109,386.14,294.583421,25.930267,-85.18,41.431842,12965.133304,20200606_060044
2,KIWX20200606_094444_V06,-25,0.227,474.46,255.163177,5.850723,-84.65,41.605712,2925.361633,20200606_054444
2,KIWX20200606_094913_V06,-20,0.162,474.28,255.788237,11.956030,-84.65,41.602908,5978.015092,20200606_054913
2,KIWX20200606_100044_V06,-9,0.114,472.55,263.221039,9.006073,-84.67,41.569544,4503.036499,20200606_060044
11,KIWX20200606_101412_V06,5,0.072,286.31,387.489929,8.151352,-85.78,41.014688,4075.675964,20200606_061412
11,KIWX20200606_101843_V06,9,0.443,286.27,387.038115,13.638064,-85.78,41.016722,6819.031987,20200606_061843
8,KIWX20200606_100044_V06,-9,0.055,332.50,408.077942,27.891365,-85.51,40.921860,13945.682526,20200606_060044
9,KIWX20200606_100513_V06,-4,0.070,191.31,299.632294,1.864403,-86.35,41.408430,932.201385,20200606_060513
10,KIWX20200606_100513_V06,-4,0.067,331.84,374.285278,30.854721,-85.51,41.074012,15427.360535,20200606_060513
14,KIWX20200606_112327_V06,74,0.097,270.14,376.047424,26.685326,-85.88,41.066097,13342.662811,20200606_072327
15,KIWX20200606_113029_V06,81,0.172,239.11,223.057129,23.625229,-86.07,41.754416,11812.614441,20200606_073029
1,KIWX20200607_094913_V06,-20,0.086,287.88,141.541046,18.474960,-85.77,42.121924,9237.480164,20200607_054913
2,KIWX20200607_094913_V06,-20,0.073,326.46,275.519409,6.377533,-85.54,41.518711,3188.766479,20200607_054913
3,KIWX20200607_094913_V06,-20,0.066,241.71,298.751312,11.801147,-86.05,41.413704,5900.573730,20200607_054913
4,KIWX20200607_100316_V06,-6,0.114,248.37,154.914642,14.097099,-86.01,42.061327,7048.549652,20200607_060316
5,KIWX20200607_102421_V06,15,0.118,332.77,405.091553,2.196190,-85.51,40.935303,1098.094940,20200607_062421
9,KIWX20200608_105117_V06,42,0.126,416.86,226.244568,2.264130,-85.00,41.738510,1132.064819,20200608_065117
9,KIWX20200608_110521_V06,56,0.159,417.71,226.243795,8.802330,-84.99,41.738482,4401.164985,20200608_070521
9,KIWX20200608_111223_V06,63,0.066,417.14,226.120941,2.201218,-85.00,41.739056,1100.608826,20200608_071223
1,KIWX20200608_094105_V06,-28,0.179,272.53,525.881165,14.885535,-85.86,40.391489,7442.767620,20200608_054105
2,KIWX20200608_094105_V06,-28,0.066,287.84,132.060974,19.956665,-85.77,42.164598,9978.332520,20200608_054105
3,KIWX20200608_094806_V06,-21,0.124,317.73,288.241211,23.115387,-85.59,41.461499,11557.693481,20200608_054806
4,KIWX20200608_101610_V06,7,0.061,64.49,470.299561,30.137552,-87.09,40.633394,15068.776131,20200608_061610
5,KIWX20200608_103014_V06,21,0.056,332.24,405.954468,3.721107,-85.51,40.931424,1860.553741,20200608_063014
7,KIWX20200608_103715_V06,28,0.087,414.62,226.927673,5.200684,-85.01,41.735516,2600.341797,20200608_063715
11,KIWX20200608_110521_V06,56,0.132,332.95,406.300842,1.952179,-85.50,40.929857,976.089478,20200608_070521
1,KIWX20200609_094023_V06,-29,0.147,332.94,257.680847,12.748596,-85.50,41.598958,6374.298096,20200609_054023
1,KIWX20200609_094724_V06,-22,0.101,332.24,263.342890,19.614918,-85.51,41.573476,9807.459098,20200609_054724
1,KIWX20200609_100129_V06,-8,0.074,319.38,301.566039,31.295064,-85.58,41.401501,15647.532205,20200609_060129
4,KIWX20200611_102737_V06,19,0.051,340.31,414.103699,4.569626,-85.46,40.894643,2284.812927,20200611_062737
4,KIWX20200611_103439_V06,26,0.052,340.56,414.563230,11.664743,-85.46,40.892571,5832.371491,20200611_063439
1,KIWX20200611_102036_V06,12,0.113,329.22,414.307831,11.989906,-85.53,40.893842,5994.953156,20200611_062036
6,KIWX20200611_111648_V06,68,0.061,260.02,319.821228,5.771908,-85.94,41.319126,2885.953903,20200611_071648
1,KIWX20200613_102853_V06,20,0.466,299.88,178.666077,8.113144,-85.70,41.954829,4056.571960,20200613_062853
6,KIWX20200613_102853_V06,20,0.052,308.13,171.363861,2.013840,-85.65,41.987690,1006.919861,20200613_062853
11,KIWX20200613_112747_V06,79,0.066,409.33,228.104828,7.641647,-85.04,41.730402,3820.823669,20200613_072747
14,KIWX20200613_113257_V06,84,0.065,307.25,171.847717,2.033401,-85.66,41.985514,1016.700745,20200613_073257
1,KIWX20200614_102129_V06,13,0.074,273.42,423.033264,2.620163,-85.86,40.854579,1310.081482,20200614_062129
2,KIWX20200614_102837_V06,20,0.074,328.28,406.747070,2.632332,-85.53,40.927892,1316.165924,20200614_062837
2,KIWX20200614_103546_V06,27,-1.000,328.28,406.747070,13.762332,-85.53,40.927892,6881.165924,20200614_063546
2,KIWX20200614_104254_V06,34,0.058,324.05,407.847076,8.360374,-85.56,40.922973,4180.187225,20200614_064254
2,KIWX20200615_100247_V06,-6,0.064,299.48,358.720520,13.443916,-85.70,41.144244,6721.958160,20200615_060247
2,KIWX20200615_100956_V06,1,-1.000,299.48,358.720520,24.573916,-85.70,41.144244,12286.958160,20200615_060956
2,KIWX20200615_101644_V06,8,0.118,289.37,356.096196,27.184887,-85.76,41.156042,13592.443486,20200615_061644
4,KIWX20200615_105144_V06,43,0.280,26.81,300.970947,43.498718,-87.33,41.392644,21749.359131,20200615_065144
4,KIWX20200615_110602_V06,58,0.098,31.72,306.730520,59.767292,-87.30,41.367134,29883.645799,20200615_070602
4,KIWX20200615_111310_V06,65,-1.000,33.95,309.348507,67.451189,-87.29,41.355536,33725.594284,20200615_071310
4,KIWX20200615_112017_V06,72,0.069,26.48,320.954376,58.677681,-87.33,41.302672,29338.840485,20200615_072017
1,KIWX20200615_100247_V06,-6,0.083,339.59,307.253876,14.896805,-85.46,41.375710,7448.402405,20200615_060247
3,KIWX20200615_103101_V06,23,0.067,276.91,423.193726,2.093643,-85.84,40.853883,1046.821594,20200615_063101
1,KIWX20200616_095213_V06,-16,0.059,314.62,347.882507,3.998032,-85.61,41.193006,1999.015808,20200616_055213
1,KIWX20200616_100628_V06,-2,0.092,312.57,348.877405,12.911448,-85.63,41.188535,6455.724004,20200616_060628
4,KIWX20200616_104143_V06,33,0.204,335.06,406.153381,2.160423,-85.49,40.930499,1080.211639,20200616_064143
4,KIWX20200616_104835_V06,40,0.093,335.03,406.135747,9.167333,-85.49,40.930579,4583.666526,20200616_064835
7,KIWX20200616_110937_V06,61,0.075,418.47,225.924133,2.578156,-84.99,41.739893,1289.077759,20200616_070937
7,KIWX20200616_111646_V06,68,0.110,418.56,225.739216,10.282952,-84.99,41.740722,5141.475970,20200616_071646
7,KIWX20200616_112344_V06,75,0.059,418.51,225.945099,2.797760,-84.99,41.739797,1398.880005,20200616_072344
7,KIWX20200616_113037_V06,82,0.163,418.56,225.946337,10.535305,-84.99,41.739789,5267.652732,20200616_073037
3,KIWX20200616_102044_V06,12,0.066,279.03,424.487183,2.046883,-85.82,40.848074,1023.441315,20200616_062044
6,KIWX20200616_104835_V06,40,0.086,418.55,226.213379,2.411484,-84.99,41.738588,1205.741882,20200616_064835
9,KIWX20200616_112344_V06,75,0.081,335.11,406.236664,2.120056,-85.49,40.930123,1060.028076,20200616_072344
10,KIWX20200616_112344_V06,75,0.067,310.52,171.248260,1.646149,-85.64,41.988203,823.074341,20200616_072344
1,KIWX20200617_094845_V06,-20,0.167,373.32,127.131134,7.095276,-85.26,42.185963,3547.637939,20200617_054845
1,KIWX20200617_100300_V06,-5,0.052,372.28,127.693474,13.790154,-85.26,42.183455,6895.076911,20200617_060300
2,KIWX20200617_094845_V06,-20,0.127,374.25,206.929352,7.664520,-85.25,41.826734,3832.260132,20200617_054845
2,KIWX20200617_100300_V06,-5,0.052,374.04,212.040390,23.940117,-85.25,41.803731,11970.058454,20200617_060300
7,KIWX20200617_100300_V06,-5,0.162,404.39,301.563995,6.387299,-85.08,41.399876,3193.649292,20200617_060300
7,KIWX20200617_101007_V06,2,0.219,407.09,293.621612,19.208904,-85.06,41.435542,9604.451999,20200617_061007
3,KIWX20200617_094845_V06,-20,0.105,190.94,168.589630,8.013100,-86.36,41.998316,4006.549835,20200617_054845
4,KIWX20200617_094845_V06,-20,0.099,331.87,277.015015,4.993866,-85.51,41.511929,2496.932983,20200617_054845
10,KIWX20200617_101715_V06,9,0.079,265.53,176.120270,23.805450,-85.91,41.966102,11902.725220,20200617_061715
6,KIWX20200618_102356_V06,14,0.097,81.29,460.595886,15.114271,-86.99,40.678245,7557.135582,20200618_062356
6,KIWX20200618_103103_V06,22,0.060,81.38,460.194289,22.232821,-86.99,40.680059,11116.410359,20200618_063103
7,KIWX20200618_103103_V06,22,0.149,250.54,229.644958,4.518867,-86.00,41.724957,2259.433746,20200618_063103
7,KIWX20200618_103812_V06,29,0.144,251.84,229.596423,11.222866,-85.99,41.725195,5611.432890,20200618_063812
1,KIWX20200618_094110_V06,-28,0.078,56.96,469.232300,33.992542,-87.14,40.637648,16996.271133,20200618_054110
2,KIWX20200618_094818_V06,-21,0.058,313.37,294.403931,28.161499,-85.62,41.433776,14080.749512,20200618_054818
3,KIWX20200618_100233_V06,-7,0.123,256.35,342.879150,20.331669,-85.96,41.215270,10165.834427,20200618_060233
4,KIWX20200618_100941_V06,0,0.088,198.04,359.573242,16.124874,-86.31,41.138799,8062.437057,20200618_060941
5,KIWX20200618_101648_V06,7,0.123,40.46,424.493591,50.899067,-87.24,40.837772,25449.533463,20200618_061648
9,KIWX20200618_103103_V06,22,0.062,248.10,174.612579,1.994987,-86.01,41.972652,997.493744,20200618_063103
10,KIWX20200618_110644_V06,57,0.079,254.05,228.678009,2.410938,-85.98,41.729362,1205.469131,20200618_070644
2,KIWX20200619_095116_V06,-18,0.075,251.53,417.435059,2.581192,-85.99,40.879532,1290.596008,20200619_055116
2,KIWX20200619_100037_V06,-9,-1.000,251.53,417.435059,16.891192,-85.99,40.879532,8445.596008,20200619_060037
2,KIWX20200619_100519_V06,-4,0.162,259.92,418.053218,22.794258,-85.94,40.876863,11397.129213,20200619_060519
1,KIWX20200619_095116_V06,-18,0.124,361.70,204.377106,12.618027,-85.33,41.838491,6309.013367,20200619_055116
3,KIWX20200619_095116_V06,-18,0.074,318.28,294.774689,27.892822,-85.59,41.432082,13946.411133,20200619_055116
4,KIWX20200619_100037_V06,-9,0.461,206.06,445.384338,6.141899,-86.26,40.752701,3070.949554,20200619_060037
6,KIWX20200619_100519_V06,-4,0.750,359.91,532.164307,10.139313,-85.35,40.362766,5069.656372,20200619_060519
7,KIWX20200619_100519_V06,-4,0.083,227.46,235.674316,24.519264,-86.14,41.697374,12259.632111,20200619_060519
9,KIWX20200619_101441_V06,5,0.219,368.13,223.679138,25.228760,-85.29,41.751469,12614.379883,20200619_061441
10,KIWX20200619_101922_V06,10,0.106,269.27,367.185425,15.229004,-85.88,41.105988,7614.501953,20200619_061922
10,KIWX20200619_102403_V06,15,0.078,258.18,366.873444,7.727272,-85.95,41.107268,3863.636017,20200619_062403
12,KIWX20200619_102403_V06,15,0.053,226.54,375.505646,7.396370,-86.14,41.067841,3698.184967,20200619_062403
13,KIWX20200619_113023_V06,81,0.115,32.29,437.040771,52.629669,-87.29,40.780632,26314.834595,20200619_073023
2,KIWX20200620_094421_V06,-25,0.082,283.83,367.784729,6.130043,-85.80,41.103395,3065.021515,20200620_054421
2,KIWX20200620_095130_V06,-18,0.190,284.73,367.041155,14.579411,-85.79,41.106747,7289.705545,20200620_055130
2,KIWX20200620_100545_V06,-4,0.073,239.34,357.818099,15.817782,-86.06,41.147739,7908.891159,20200620_060545
3,KIWX20200620_094421_V06,-25,0.053,286.40,296.712494,25.594696,-85.78,41.423382,12797.348022,20200620_054421
5,KIWX20200620_095130_V06,-18,0.186,333.26,272.743774,7.155380,-85.50,41.531144,3577.690125,20200620_055130
6,KIWX20200620_095130_V06,-18,0.062,303.50,210.064514,18.726700,-85.68,41.813483,9363.349915,20200620_055130
8,KIWX20200620_103418_V06,25,0.054,219.87,357.660828,17.899254,-86.18,41.148023,8949.626923,20200620_063418
9,KIWX20200620_110246_V06,53,0.103,39.71,424.029663,54.296394,-87.24,40.839801,27148.197174,20200620_070246
10,KIWX20200620_111701_V06,68,0.056,392.12,213.659546,2.486099,-85.15,41.795971,1243.049622,20200620_071701
2,KIWX20200621_105233_V06,43,0.059,32.58,301.635284,48.509857,-87.30,41.390138,24254.928589,20200621_065233
16,KIWX20200622_104440_V06,35,0.189,417.44,226.024109,2.458496,-84.99,41.739481,1229.248047,20200622_064440
16,KIWX20200622_104910_V06,40,0.060,417.42,226.047235,9.149176,-84.99,41.739377,4574.587884,20200622_064910
16,KIWX20200622_110314_V06,54,0.064,416.91,226.795088,11.872999,-85.00,41.736030,5936.499404,20200622_070314
1,KIWX20200622_100338_V06,-6,0.222,392.11,216.269714,11.461746,-85.15,41.784222,5730.873108,20200622_060338
1,KIWX20200622_100808_V06,-1,0.050,391.54,215.875906,17.340783,-85.15,41.786011,8670.391443,20200622_060808
2,KIWX20200622_100338_V06,-6,0.119,300.50,339.945526,5.945435,-85.70,41.228772,2972.717285,20200622_060338
2,KIWX20200622_100808_V06,-1,-1.000,300.50,339.945526,13.895435,-85.70,41.228772,6947.717285,20200622_060808
2,KIWX20200622_101239_V06,3,0.063,292.13,337.492905,21.374820,-85.75,41.239805,10687.410239,20200622_061239
7,KIWX20200622_101239_V06,3,0.124,376.25,121.668854,16.073547,-85.24,42.210481,8036.773682,20200622_061239
7,KIWX20200622_101708_V06,8,0.163,376.64,122.977111,23.400795,-85.24,42.204582,11700.397553,20200622_061708
26,KIWX20200622_111719_V06,68,0.078,333.97,406.040863,1.993896,-85.50,40.931017,996.948242,20200622_071719
26,KIWX20200622_112420_V06,75,0.073,334.15,406.583423,9.144609,-85.50,40.928572,4572.304568,20200622_072420
26,KIWX20200622_113121_V06,82,0.127,334.34,406.085876,2.364319,-85.50,40.930810,1182.159424,20200622_073121
3,KIWX20200622_100338_V06,-6,0.097,378.77,122.261780,13.702469,-85.22,42.207750,6851.234436,20200622_060338
5,KIWX20200622_100808_V06,-1,0.079,335.26,303.641541,17.914520,-85.49,41.392023,8957.260132,20200622_060808
8,KIWX20200622_101239_V06,3,0.104,268.08,525.057129,9.652363,-85.89,40.395159,4826.181412,20200622_061239
10,KIWX20200622_101239_V06,3,0.074,204.06,231.677795,6.060143,-86.28,41.714748,3030.071259,20200622_061239
11,KIWX20200622_103110_V06,22,0.135,334.21,406.423340,2.627441,-85.50,40.929292,1313.720703,20200622_063110
12,KIWX20200622_103110_V06,22,0.088,334.15,346.327759,2.114975,-85.50,41.199858,1057.487488,20200622_063110
14,KIWX20200622_104440_V06,35,0.241,332.60,346.097504,4.949707,-85.51,41.200911,2474.853516,20200622_064440
21,KIWX20200622_104910_V06,40,0.070,334.42,405.890991,3.936783,-85.50,40.931687,1968.391418,20200622_064910
24,KIWX20200622_111017_V06,61,0.101,364.87,311.018585,9.606735,-85.31,41.358351,4803.367615,20200622_071017
28,KIWX20200622_112420_V06,75,0.068,47.81,431.529053,45.581425,-87.19,40.806680,22790.712357,20200622_072420
2,KIWX20200623_100322_V06,-7,0.078,474.21,256.819397,8.076889,-84.66,41.598270,4038.444519,20200623_060322
2,KIWX20200623_100916_V06,-1,0.091,474.76,256.110593,14.933673,-84.65,41.601430,7466.836378,20200623_060916
8,KIWX20200623_102105_V06,11,0.090,418.79,226.838959,2.467636,-84.99,41.735763,1233.818054,20200623_062105
8,KIWX20200623_102701_V06,17,0.061,418.88,227.023257,9.083681,-84.99,41.734930,4541.840691,20200623_062701
1,KIWX20200623_100322_V06,-7,0.093,415.63,258.915375,20.260605,-85.01,41.591484,10130.302429,20200623_060322
3,KIWX20200623_100322_V06,-7,0.076,477.16,133.208221,14.930283,-84.63,42.154499,7465.141296,20200623_060322
5,KIWX20200623_100916_V06,-1,0.721,281.52,335.330963,15.948334,-85.81,41.249495,7974.166870,20200623_060916
5,KIWX20200623_101511_V06,5,-1.000,281.52,335.330963,25.488334,-85.81,41.249495,12744.166870,20200623_061511
5,KIWX20200623_102105_V06,11,0.082,278.55,334.834930,22.600590,-85.83,41.251710,11300.294876,20200623_062105
6,KIWX20200623_100916_V06,-1,0.082,186.99,174.379974,28.808685,-86.38,41.972114,14404.342651,20200623_060916
10,KIWX20200623_103256_V06,22,0.090,336.13,346.282135,2.189125,-85.48,41.200042,1094.562531,20200623_063256
1,KIWX20200624_101527_V06,5,0.271,334.79,406.940979,2.100700,-85.49,40.926956,1050.350189,20200624_061527
1,KIWX20200624_102406_V06,14,0.100,334.99,406.566323,9.388690,-85.49,40.928640,4694.345214,20200624_062406
3,KIWX20200624_102406_V06,14,0.070,34.28,309.882721,54.896259,-87.29,41.353158,27448.129654,20200624_062406
5,KIWX20200624_105004_V06,40,0.144,54.31,490.347260,48.811584,-87.15,40.542396,24405.792236,20200624_065004
6,KIWX20200624_105004_V06,40,0.057,33.57,315.335785,55.543533,-87.29,41.328556,27771.766663,20200624_065004
1,KIWX20200625_100852_V06,-2,0.057,253.48,186.767883,11.547375,-85.98,41.918018,5773.687363,20200625_060852
1,KIWX20200625_101554_V06,5,0.084,256.68,189.491716,21.087376,-85.96,41.905802,10543.688040,20200625_061554
4,KIWX20200625_101554_V06,5,0.077,271.38,524.640503,13.406132,-85.87,40.397065,6703.065872,20200625_061554
