track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
5,KLOT20130601_095350_V06,-27,0.076,193.48,386.530273,8.371490,-88.72,41.213121,4185.745239,20130601_045350
5,KLOT20130601_095720_V06,-23,0.162,193.21,385.453850,13.283834,-88.72,41.217958,6641.916817,20130601_045720
15,KLOT20130601_100420_V06,-16,0.104,293.93,390.891113,11.883537,-88.12,41.195242,5941.768646,20130601_050420
15,KLOT20130601_100751_V06,-13,-1.000,293.93,390.891113,16.653537,-88.12,41.195242,8326.768646,20130601_050751
15,KLOT20130601_101121_V06,-9,0.112,296.85,393.577315,18.630915,-88.10,41.183153,9315.457597,20130601_051121
49,KLOT20130601_113933_V06,79,0.123,187.41,385.336975,11.966637,-88.76,41.218286,5983.318329,20130601_063933
49,KLOT20130601_114304_V06,83,0.092,187.40,385.103754,17.210755,-88.76,41.219336,8605.377605,20130601_064304
3,KLOT20130601_095350_V06,-27,0.216,299.20,345.129730,17.867504,-88.09,41.401269,8933.752060,20130601_045350
8,KLOT20130601_095720_V06,-23,0.266,131.55,274.355804,29.780159,-89.10,41.715434,14890.079498,20130601_045720
16,KLOT20130601_100420_V06,-16,0.079,281.20,383.029114,10.511398,-88.20,41.230589,5255.699158,20130601_050420
26,KLOT20130601_101823_V06,-2,0.066,145.42,271.807526,31.129793,-89.01,41.727608,15564.896584,20130601_051823
42,KLOT20130601_111453_V06,54,0.096,197.09,382.300751,3.127937,-88.70,41.232279,1563.968658,20130601_061453
46,KLOT20130601_112858_V06,68,0.153,225.46,397.450989,6.244537,-88.53,41.164853,3122.268677,20130601_062858
47,KLOT20130601_113229_V06,72,0.160,186.75,385.378601,13.750694,-88.76,41.218076,6875.347137,20130601_063229
2,KLOT20130602_100448_V06,-16,0.255,161.51,259.369873,15.272919,-88.92,41.784335,7636.459351,20130602_050448
2,KLOT20130602_101423_V06,-6,0.052,164.44,256.851105,24.514274,-88.90,41.795799,12257.137181,20130602_051423
5,KLOT20130602_101423_V06,-6,0.267,241.05,101.647705,42.109657,-88.44,42.496767,21054.828644,20130602_051423
16,KLOT20130602_110224_V06,42,0.051,210.33,388.938416,19.800529,-88.62,41.202792,9900.264740,20130602_060224
16,KLOT20130602_111200_V06,52,-1.000,210.33,388.938416,35.700529,-88.62,41.202792,17850.264740,20130602_061200
16,KLOT20130602_112137_V06,61,0.078,214.15,385.308990,19.031464,-88.60,41.219236,9515.731812,20130602_062137
10,KLOT20130603_113131_V06,72,0.113,239.44,441.185791,10.441383,-88.44,40.968242,5220.691681,20130603_063131
10,KLOT20130603_114109_V06,82,0.134,239.66,440.910406,18.496554,-88.44,40.969487,9248.277030,20130603_064109
7,KLOT20130603_105301_V06,34,0.088,242.21,438.505493,7.774147,-88.43,40.980361,3887.073517,20130603_055301
7,KLOT20130603_110238_V06,43,-1.000,242.21,438.505493,22.084147,-88.43,40.980361,11042.073517,20130603_060238
7,KLOT20130603_111216_V06,53,0.090,242.50,439.762604,9.490700,-88.43,40.974706,4745.349884,20130603_061216
1,KLOT20130604_095310_V06,-26,0.755,386.70,249.505737,17.693893,-87.56,41.830571,8846.946716,20130604_045310
1,KLOT20130604_095857_V06,-21,0.143,387.63,248.801245,24.654271,-87.56,41.833717,12327.135605,20130604_045857
8,KLOT20130604_101615_V06,-3,0.183,133.03,525.919556,7.900625,-89.07,40.583028,3950.312614,20130604_051615
8,KLOT20130604_102201_V06,3,0.052,133.48,525.941853,14.441915,-89.07,40.582951,7220.957288,20130604_052201
12,KLOT20130604_112522_V06,66,0.062,208.06,389.946045,22.787788,-88.63,41.198192,11393.894196,20130604_062522
12,KLOT20130604_113107_V06,72,0.113,208.23,388.759301,29.786821,-88.63,41.203539,14893.410457,20130604_063107
2,KLOT20130604_095310_V06,-26,0.410,209.12,391.707825,19.397758,-88.63,41.190290,9698.879242,20130604_045310
4,KLOT20130604_095310_V06,-26,0.086,479.40,516.997437,14.584877,-87.02,40.622539,7292.438507,20130604_045310
5,KLOT20130604_095857_V06,-21,0.348,133.80,526.555847,8.138916,-89.07,40.580203,4069.458008,20130604_045857
6,KLOT20130604_095857_V06,-21,0.060,418.20,72.034912,10.752457,-87.36,42.628375,5376.228333,20130604_045857
11,KLOT20130604_111936_V06,60,0.074,207.29,385.972290,25.340340,-88.64,41.216060,12670.169830,20130604_061936
11,KLOT20130605_111213_V06,54,0.125,177.03,380.990051,22.188400,-88.82,41.237477,11094.200134,20130605_061213
11,KLOT20130605_111707_V06,59,0.067,176.70,380.299356,28.269198,-88.82,41.240574,14134.599200,20130605_061707
2,KLOT20130605_100817_V06,-10,0.102,210.67,387.340515,16.808655,-88.62,41.209995,8404.327393,20130605_050817
7,KLOT20130605_103734_V06,19,0.060,212.94,387.916992,18.418755,-88.60,41.207462,9209.377289,20130605_053734
8,KLOT20130605_104720_V06,29,0.053,354.11,256.223236,27.295029,-87.76,41.801053,13647.514343,20130605_054720
9,KLOT20130605_105706_V06,39,0.051,334.69,406.977203,2.390060,-87.88,41.122639,1195.030212,20130605_055706
9,KLOT20130605_110226_V06,44,-1.000,334.69,406.977203,10.340060,-87.88,41.122639,5170.030212,20130605_060226
9,KLOT20130605_110720_V06,49,0.099,335.16,406.278809,4.233856,-87.88,41.125778,2116.928101,20130605_060720
13,KLOT20130605_113146_V06,73,0.056,335.94,407.660126,2.367523,-87.87,41.119550,1183.761597,20130605_063146
14,KLOT20130605_113639_V06,78,0.073,176.57,378.113770,22.209145,-88.82,41.250408,11104.572296,20130605_063639
2,KLOT20130606_094902_V06,-29,0.056,27.57,433.741241,39.862694,-89.70,40.990866,19931.346893,20130606_044902
17,KLOT20130606_104954_V06,31,0.326,334.48,407.736633,2.394981,-87.88,41.119222,1197.490692,20130606_054954
26,KLOT20130606_111230_V06,54,0.161,190.87,384.757324,12.016273,-88.74,41.221015,6008.136749,20130606_061230
26,KLOT20130606_111815_V06,60,-1.000,190.87,384.757324,21.556273,-88.74,41.221015,10778.136749,20130606_061815
26,KLOT20130606_112401_V06,66,0.072,190.87,384.529938,12.336845,-88.74,41.222039,6168.422699,20130606_062401
3,KLOT20130607_101606_V06,-2,0.079,94.64,37.055603,22.926346,-89.34,42.781280,11463.172913,20130607_051606
7,KLOT20130607_104502_V06,27,0.058,208.81,384.692810,24.346222,-88.63,41.221863,12173.110962,20130607_054502
10,KLOT20130607_112336_V06,65,0.103,375.68,330.225006,7.965439,-87.63,41.467477,3982.719421,20130607_062336
4,KLOT20130608_100738_V06,-11,0.127,439.18,292.765564,12.350861,-87.25,41.633975,6175.430298,20130608_050738
