track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
2,KMKX19980602_104145,24,0.052,484.12,546.527100,12.737549,-87.44,41.852683,6368.774414,19980602_054145
2,KMKX19980602_104735,30,0.102,488.69,547.030583,18.914502,-87.41,41.850144,9457.251131,19980602_054735
1,KMKX19980602_100053,-17,0.117,225.35,299.575470,22.373711,-89.01,42.968776,11186.855316,19980602_050053
3,KMKX19980602_105325,36,0.054,512.50,550.180176,8.155672,-87.27,41.834439,4077.836037,19980602_055325
1,KMKX19980603_095355,-24,0.077,374.21,335.004913,8.169052,-88.10,42.809328,4084.526062,19980603_045355
2,KMKX19980603_101332,-4,0.068,268.27,182.113220,4.026199,-88.75,43.498169,2013.099670,19980603_051332
4,KMKX19980604_111126,55,0.164,214.47,523.409058,5.868629,-89.07,41.961005,2934.314728,19980604_061126
4,KMKX19980604_112114,65,0.067,213.68,523.987215,13.850859,-89.07,41.958381,6925.429338,19980604_062114
1,KMKX19980604_095230,-24,0.067,297.97,159.656860,6.098755,-88.56,43.599396,3049.377441,19980604_045230
2,KMKX19980604_100219,-14,0.109,231.66,141.331909,16.108368,-88.97,43.681085,8054.183960,19980604_050219
1,KMKX19980605_111423,58,0.109,460.99,146.482300,16.519241,-87.55,43.654367,8259.620667,19980605_061423
2,KMKX19980605_112603,70,0.066,320.68,394.241211,18.628960,-88.42,42.543537,9314.479828,19980605_062603
1,KMKX19980606_111047,55,0.061,37.31,431.769592,56.775734,-90.15,42.363512,28387.866974,19980606_061047
1,KMKX19980606_112035,65,0.101,41.29,434.284487,63.626384,-90.12,42.352530,31813.192057,19980606_062035
1,KMKX19980608_095308,-22,0.149,32.91,411.680725,56.588726,-90.17,42.453536,28294.363022,19980608_045308
2,KMKX19980608_100257,-13,0.745,272.93,395.745026,10.474106,-88.72,42.536718,5237.052917,19980608_050257
4,KMKX19980608_100257,-13,0.233,287.30,161.215210,9.224945,-88.63,43.592357,4612.472534,19980608_050257
4,KMKX19980608_101245,-3,-1.000,287.30,161.215210,25.124945,-88.63,43.592357,12562.472534,19980608_051245
4,KMKX19980608_102234,7,0.074,287.85,158.656647,8.464066,-88.63,43.603874,4232.032776,19980608_052234
7,KMKX19980608_101245,-3,0.055,216.07,534.327759,7.673347,-89.06,41.911898,3836.673737,19980608_051245
