track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time,station,date,time,local_date,length,tot_score,avg_score,viewed,user_labeled,label,original_label,notes,day_notes
KAPX20180601-2,KAPX20180601_092706_V06,-28,0.167,262.9,140.943451,34.059937,-84.96,45.622562,17029.96826,20180601_052706,KAPX,20180601,92706,20180601,10,-3.356,-0.3356,TRUE,FALSE,non-roost,non-roost,,
KAPX20180601-2,KAPX20180601_093019_V06,-25,-1,262.9,140.943451,38.829937,-84.96,45.622562,19414.96826,20180601_053019,KAPX,20180601,93019,20180601,10,-3.356,-0.3356,TRUE,FALSE,non-roost,non-roost,,
KAPX20180601-2,KAPX20180601_093332_V06,-22,0.057,265.76,144.521439,39.835804,-84.94,45.606503,19917.90203,20180601_053332,KAPX,20180601,93332,20180601,10,-3.356,-0.3356,TRUE,FALSE,non-roost,non-roost,,
KAPX20180601-2,KAPX20180601_093645_V06,-19,-1,267.72,146.971583,42.028192,-84.93,45.595504,21014.09581,20180601_053645,KAPX,20180601,93645,20180601,10,-3.356,-0.3356,TRUE,FALSE,non-roost,non-roost,,
KAPX20180601-2,KAPX20180601_093958_V06,-16,0.098,275.57,146.578674,29.723576,-84.88,45.597351,14861.7878,20180601_053958,KAPX,20180601,93958,20180601,10,-3.356,-0.3356,TRUE,FALSE,non-roost,non-roost,,
KAPX20180603-5,KAPX20180603_105443_V06,60,0.112,20.71,348.875488,28.730675,-86.48,44.673695,14365.33737,20180603_065443,KAPX,20180603,105443,20180603,10,1.944,0.1944,TRUE,FALSE,non-roost,non-roost,,
KAPX20180603-5,KAPX20180603_110442_V06,70,0.322,25.37,354.691376,40.867184,-86.45,44.647986,20433.59212,20180603_070442,KAPX,20180603,110442,20180603,10,1.944,0.1944,TRUE,FALSE,non-roost,non-roost,,
KAPX20180603-5,KAPX20180603_110941_V06,75,0.159,28.64,356.418871,40.43487,-86.43,44.640527,20217.43521,20180603_070941,KAPX,20180603,110941,20180603,10,1.944,0.1944,TRUE,FALSE,non-roost,non-roost,,
KAPX20180603-5,KAPX20180603_111441_V06,80,0.1,37.01,371.10491,51.940533,-86.38,44.575246,25970.26643,20180603_071441,KAPX,20180603,111441,20180603,10,1.944,0.1944,TRUE,FALSE,non-roost,non-roost,,
KAPX20180603-5,KAPX20180603_111941_V06,85,0.279,37.6,379.426986,56.782396,-86.37,44.537865,28391.19802,20180603_071941,KAPX,20180603,111941,20180603,10,1.944,0.1944,TRUE,FALSE,non-roost,non-roost,,
