track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time,station,date,time,local_date,length,tot_score,avg_score,viewed,user_labeled,label,original_label,notes,day_notes
KBUF20090601-1,KBUF20090601_100942_V03,31,0.193,256.10,96.365540,14.384083,-79.01,43.864729,7192.041397,20090601_060942,KBUF,20090601,100942,20090601,2,0.354,Infinity,true,false,non-roost,non-roost,,
KBUF20090601-1,KBUF20090601_101926_V03,41,0.161,235.13,97.941010,22.626107,-79.14,43.857257,11313.053554,20090601_061926,KBUF,20090601,101926,20090601,2,0.354,Infinity,true,false,non-roost,non-roost,,
KBUF20090601-2,KBUF20090601_100942_V03,31,0.082,198.28,85.923584,19.908272,-79.37,43.910307,9954.135895,20090601_060942,KBUF,20090601,100942,20090601,1,0.082,Infinity,true,false,non-roost,non-roost,,
KBUF20090601-3,KBUF20090601_100942_V03,31,0.054,171.73,155.817810,13.290726,-79.53,43.594769,6645.362854,20090601_060942,KBUF,20090601,100942,20090601,4,-0.6399999999999999,-Infinity,true,false,non-roost,non-roost,,
KBUF20090601-3,KBUF20090601_101926_V03,41,-1.000,171.73,155.817810,29.190726,-79.53,43.594769,14595.362854,20090601_061926,KBUF,20090601,101926,20090601,4,-0.6399999999999999,-Infinity,true,false,non-roost,non-roost,,
KBUF20090601-3,KBUF20090601_102909_V03,51,0.170,169.44,149.165253,16.610001,-79.55,43.624607,8305.000305,20090601_062909,KBUF,20090601,102909,20090601,4,-0.6399999999999999,-Infinity,true,false,non-roost,non-roost,,
KBUF20090601-3,KBUF20090601_103854_V03,60,0.136,163.86,161.457275,8.957314,-79.58,43.569046,4478.656769,20090601_063854,KBUF,20090601,103854,20090601,4,-0.6399999999999999,-Infinity,true,false,non-roost,non-roost,,
KBUF20090601-5,KBUF20090601_101926_V03,41,0.093,165.96,95.815491,8.572174,-79.57,43.864519,4286.087036,20090601_061926,KBUF,20090601,101926,20090601,1,0.093,Infinity,true,false,non-roost,non-roost,,
KBUF20090601-6,KBUF20090601_102909_V03,51,0.528,203.28,163.915222,16.766014,-79.34,43.559511,8383.007050,20090601_062909,KBUF,20090601,102909,20090601,1,0.528,Infinity,true,false,non-roost,non-roost,,
KBUF20090601-8,KBUF20090601_102909_V03,51,0.052,185.52,159.527618,18.231659,-79.45,43.578631,9115.829468,20090601_062909,KBUF,20090601,102909,20090601,1,0.052,Infinity,true,false,non-roost,non-roost,,
KBUF20090601-11,KBUF20090601_104838_V03,70,0.091,173.83,428.199341,7.235451,-79.50,42.369006,3617.725372,20090601_064838,KBUF,20090601,104838,20090601,1,0.091,Infinity,true,false,non-roost,non-roost,,
KBUF20090601-12,KBUF20090601_104838_V03,70,0.082,279.49,107.124084,13.023697,-78.86,43.816567,6511.848450,20090601_064838,KBUF,20090601,104838,20090601,1,0.082,Infinity,true,false,non-roost,non-roost,,
KBUF20090601-13,KBUF20090601_105822_V03,80,0.491,425.94,268.377014,11.531586,-77.96,43.088328,5765.792847,20090601_065822,KBUF,20090601,105822,20090601,1,0.491,Infinity,true,false,non-roost,non-roost,,
KBUF20090602-1,KBUF20090602_091657_V03,-22,0.070,276.70,331.042480,9.147552,-78.88,42.808804,4573.776245,20090602_051657,KBUF,20090602,091657,20090602,1,0.07,Infinity,true,false,non-roost,non-roost,,
KBUF20090602-2,KBUF20090602_091657_V03,-22,0.054,374.38,376.010406,5.091377,-78.28,42.605593,2545.688629,20090602_051657,KBUF,20090602,091657,20090602,1,0.054,Infinity,true,false,non-roost,non-roost,,
KBUF20090602-3,KBUF20090602_094539_V03,7,0.054,324.22,374.337891,46.249733,-78.59,42.613926,23124.866486,20090602_054539,KBUF,20090602,094539,20090602,3,-0.846,-Infinity,true,false,non-roost,non-roost,,
KBUF20090602-3,KBUF20090602_095124_V03,13,-1.000,324.22,374.337891,55.789733,-78.59,42.613926,27894.866486,20090602_055124,KBUF,20090602,095124,20090602,3,-0.846,-Infinity,true,false,non-roost,non-roost,,
