track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time,station,date,time,local_date,length,tot_score,avg_score,viewed,user_labeled,label,original_label,notes,day_notes
KCLE20120601-2,KCLE20120601_095206_V06,-4,0.093,148.73,94.825409,14.701286,-82.78,42.333051,7350.643158,20120601_055206,KCLE,20120601,095206,20120601,1,0.093,0.093,true,false,non-roost,non-roost,,weather
KCLE20120602-7,KCLE20120602_110543_V06,70,0.168,320.11,332.995148,30.787430,-81.74,41.264451,15393.714905,20120602_070543,KCLE,20120602,110543,20120602,2,0.241,0.1205,true,false,non-roost,non-roost,,
KCLE20120602-7,KCLE20120602_111534_V06,80,0.073,316.54,321.498716,46.375943,-81.76,41.316230,23187.971297,20120602_071534,KCLE,20120602,111534,20120602,2,0.241,0.1205,true,false,non-roost,non-roost,,
KCLE20120602-11,KCLE20120602_111534_V06,80,0.055,296.67,257.899811,20.189423,-81.88,41.602590,10094.711304,20120602_071534,KCLE,20120602,111534,20120602,2,0.106,0.053,true,false,non-roost,non-roost,,
KCLE20120602-11,KCLE20120602_112526_V06,90,0.051,298.54,253.898482,33.470786,-81.87,41.620605,16735.393090,20120602_072526,KCLE,20120602,112526,20120602,2,0.106,0.053,true,false,non-roost,non-roost,,
KCLE20120602-2,KCLE20120602_095639_V06,1,0.326,439.34,287.242310,19.909622,-81.03,41.467474,9954.811096,20120602_055639,KCLE,20120602,095639,20120602,1,0.326,0.326,true,false,non-roost,non-roost,,
KCLE20120603-13,KCLE20120603_100919_V06,14,0.082,260.59,312.019806,2.740143,-82.10,41.358706,1370.071411,20120603_060919,KCLE,20120603,100919,20120603,1,0.082,0.082,true,false,non-roost,non-roost,,
KCLE20120603-17,KCLE20120603_102044_V06,25,0.135,373.44,427.808289,16.976143,-81.42,40.836811,8488.071442,20120603_062044,KCLE,20120603,102044,20120603,1,0.135,0.135,true,false,non-roost,non-roost,,
KCLE20120603-25,KCLE20120603_110654_V06,71,0.437,332.10,313.081512,11.716934,-81.67,41.354007,5858.467102,20120603_070654,KCLE,20120603,110654,20120603,1,0.437,0.437,true,false,non-roost,non-roost,,
KCLE20120604-1,KCLE20120604_092806_V06,-26,0.311,389.91,273.815704,42.524231,-81.32,41.529681,21262.115479,20120604_052806,KCLE,20120604,092806,20120604,1,0.311,0.311,true,false,non-roost,non-roost,,
KCLE20120604-3,KCLE20120604_093757_V06,-17,0.064,307.34,291.322845,9.833755,-81.82,41.452116,4916.877747,20120604_053757,KCLE,20120604,093757,20120604,1,0.064,0.064,true,false,non-roost,non-roost,,
KCLE20120605-6,KCLE20120605_100726_V06,13,0.057,330.41,372.700104,27.218575,-81.68,41.085612,13609.287262,20120605_060726,KCLE,20120605,100726,20120605,3,0.204,0.06799999999999999,true,false,non-roost,non-roost,,
KCLE20120605-6,KCLE20120605_101308_V06,19,0.090,330.47,372.653139,33.247561,-81.68,41.085823,16623.780575,20120605_061308,KCLE,20120605,101308,20120605,3,0.204,0.06799999999999999,true,false,non-roost,non-roost,,
KCLE20120605-6,KCLE20120605_101850_V06,24,0.057,328.61,370.149811,24.201416,-81.69,41.097111,12100.708008,20120605_061850,KCLE,20120605,101850,20120605,3,0.204,0.06799999999999999,true,false,non-roost,non-roost,,
KCLE20120605-7,KCLE20120605_101308_V06,19,0.082,223.01,421.039703,2.309158,-82.32,40.867204,1154.579163,20120605_061308,KCLE,20120605,101308,20120605,2,0.14900000000000002,0.07450000000000001,true,false,non-roost,non-roost,,
KCLE20120605-7,KCLE20120605_101850_V06,24,0.067,223.00,420.952646,8.315576,-82.32,40.867595,4157.787782,20120605_061850,KCLE,20120605,101850,20120605,2,0.14900000000000002,0.07450000000000001,true,false,non-roost,non-roost,,
KCLE20120605-8,KCLE20120605_101308_V06,19,0.058,476.82,172.073120,32.892792,-80.79,41.984037,16446.395874,20120605_061308,KCLE,20120605,101308,20120605,1,0.058,0.058,true,false,non-roost,non-roost,,
KCLE20120606-3,KCLE20120606_094236_V06,-12,0.055,226.77,107.865753,22.244278,-82.30,42.277133,11122.138977,20120606_054236,KCLE,20120606,094236,20120606,5,-1.7029999999999998,-0.34059999999999996,true,false,non-roost,non-roost,,
KCLE20120606-3,KCLE20120606_095229_V06,-2,-1.000,226.77,107.865753,38.144278,-82.30,42.277133,19072.138977,20120606_055229,KCLE,20120606,095229,20120606,5,-1.7029999999999998,-0.34059999999999996,true,false,non-roost,non-roost,,
KCLE20120606-3,KCLE20120606_100220_V06,8,0.063,211.63,85.455042,44.978479,-82.40,42.377619,22489.239333,20120606_060220,KCLE,20120606,100220,20120606,5,-1.7029999999999998,-0.34059999999999996,true,false,non-roost,non-roost,,
KCLE20120606-3,KCLE20120606_101212_V06,18,-1.000,200.00,68.234956,53.912442,-82.47,42.454780,26956.220946,20120606_061212,KCLE,20120606,101212,20120606,5,-1.7029999999999998,-0.34059999999999996,true,false,non-roost,non-roost,,
KCLE20120606-3,KCLE20120606_102205_V06,28,0.179,214.52,82.065125,42.843811,-82.38,42.392957,21421.905518,20120606_062205,KCLE,20120606,102205,20120606,5,-1.7029999999999998,-0.34059999999999996,true,false,non-roost,non-roost,,
KCLE20120606-5,KCLE20120606_095229_V06,-2,0.065,338.47,286.144226,8.076019,-81.63,41.475208,4038.009644,20120606_055229,KCLE,20120606,095229,20120606,2,0.199,0.0995,true,false,non-roost,non-roost,,
KCLE20120606-5,KCLE20120606_100220_V06,8,0.134,345.85,294.096902,19.157118,-81.59,41.439309,9578.558753,20120606_060220,KCLE,20120606,100220,20120606,2,0.199,0.0995,true,false,non-roost,non-roost,,
