track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time,station,date,time,local_date,length,tot_score,avg_score,viewed,user_labeled,label,original_label,notes,day_notes
KGRB20150601-1,KGRB20150601_101658_V06,6,0.216,388.37,372.307343,7.921577,-87.56,44.171628,3960.788727,20150601_051658,KGRB,20150601,101658,20150601,1,0.216,0.216,true,false,non-roost,non-roost,,
KGRB20150601-2,KGRB20150601_102642_V06,16,0.077,320.76,401.714111,2.081512,-87.98,44.040569,1040.756226,20150601_052642,KGRB,20150601,102642,20150601,1,0.077,0.077,true,false,non-roost,non-roost,,
KGRB20150602-1,KGRB20150602_094711_V06,-23,0.094,233.78,432.330872,7.846794,-88.52,43.902120,3923.397064,20150602_044711,KGRB,20150602,094711,20150602,1,0.094,0.094,true,false,non-roost,non-roost,,
KGRB20150603-1,KGRB20150603_094443_V06,-25,0.241,319.91,346.892883,24.341385,-87.99,44.287260,12170.692444,20150603_044443,KGRB,20150603,094443,20150603,1,0.241,0.241,true,false,non-roost,non-roost,,
KGRB20150603-3,KGRB20150603_094443_V06,-25,0.053,210.46,274.843750,28.465569,-88.68,44.610130,14232.784271,20150603_044443,KGRB,20150603,094443,20150603,1,0.053,0.053,true,false,non-roost,non-roost,,
KGRB20150603-4,KGRB20150603_102339_V06,14,0.050,334.59,314.129700,28.274826,-87.89,44.434545,14137.413025,20150603_052339,KGRB,20150603,102339,20150603,1,0.05,0.05,true,false,non-roost,non-roost,,
KGRB20150604-8,KGRB20150604_100243_V06,-7,0.073,327.96,284.096527,17.288483,-87.94,44.569753,8644.241333,20150604_050243,KGRB,20150604,100243,20150604,1,0.073,0.073,true,false,non-roost,non-roost,,
KGRB20150604-10,KGRB20150604_101756_V06,8,0.073,339.88,347.228455,13.978230,-87.86,44.285545,6989.114761,20150604_051756,KGRB,20150604,101756,20150604,1,0.073,0.073,true,false,non-roost,non-roost,,
KGRB20150604-11,KGRB20150604_102251_V06,13,0.090,268.48,309.105957,6.414001,-88.31,44.457185,3207.000732,20150604_052251,KGRB,20150604,102251,20150604,1,0.09,0.09,true,false,non-roost,non-roost,,
KGRB20150605-1,KGRB20150605_095644_V06,-13,0.050,283.15,292.615112,14.575516,-88.22,44.531509,7287.757874,20150605_045644,KGRB,20150605,095644,20150605,1,0.05,0.05,true,false,non-roost,non-roost,,
KGRB20150606-1,KGRB20150606_103204_V06,24,0.076,318.95,401.915955,1.822243,-87.99,44.039673,911.121368,20150606_053204,KGRB,20150606,103204,20150606,7,-0.534,-0.07628571428571429,true,false,non-roost,non-roost,,
KGRB20150606-1,KGRB20150606_104148_V06,33,0.056,318.87,401.762505,9.346846,-87.99,44.040364,4673.422766,20150606_054148,KGRB,20150606,104148,20150606,7,-0.534,-0.07628571428571429,true,false,non-roost,non-roost,,
KGRB20150606-1,KGRB20150606_105132_V06,43,-1.000,318.78,401.603765,18.227469,-87.99,44.041079,9113.734557,20150606_055132,KGRB,20150606,105132,20150606,7,-0.534,-0.07628571428571429,true,false,non-roost,non-roost,,
KGRB20150606-1,KGRB20150606_110117_V06,53,0.092,319.82,400.774353,2.347923,-87.99,44.044804,1173.961639,20150606_060117,KGRB,20150606,110117,20150606,7,-0.534,-0.07628571428571429,true,false,non-roost,non-roost,,
KGRB20150606-1,KGRB20150606_111101_V06,63,0.112,320.08,401.040648,9.612601,-87.99,44.043604,4806.300585,20150606_061101,KGRB,20150606,111101,20150606,7,-0.534,-0.07628571428571429,true,false,non-roost,non-roost,,
KGRB20150606-1,KGRB20150606_112044_V06,72,0.075,320.48,401.111023,2.068550,-87.98,44.043285,1034.275055,20150606_062044,KGRB,20150606,112044,20150606,7,-0.534,-0.07628571428571429,true,false,non-roost,non-roost,,
KGRB20150606-1,KGRB20150606_113029_V06,82,0.055,320.30,401.176181,9.513808,-87.98,44.042993,4756.903888,20150606_063029,KGRB,20150606,113029,20150606,7,-0.534,-0.07628571428571429,true,false,non-roost,non-roost,,
KGRB20150607-1,KGRB20150607_104504_V06,37,0.080,297.99,369.733093,25.304749,-88.12,44.184552,12652.374268,20150607_054504,KGRB,20150607,104504,20150607,2,0.135,0.0675,true,false,non-roost,non-roost,,weather
KGRB20150607-1,KGRB20150607_105053_V06,42,0.055,301.56,371.392275,32.067583,-88.10,44.177087,16033.791518,20150607_055053,KGRB,20150607,105053,20150607,2,0.135,0.0675,true,false,non-roost,non-roost,,weather
KGRB20150608-2,KGRB20150608_095333_V06,-15,0.234,323.61,299.994598,15.459747,-87.96,44.498258,7729.873657,20150608_045333,KGRB,20150608,095333,20150608,3,0.366,0.122,true,false,non-roost,non-roost,,
KGRB20150608-2,KGRB20150608_095828_V06,-10,0.082,323.91,298.613285,21.167990,-87.96,44.504471,10583.994892,20150608_045828,KGRB,20150608,095828,20150608,3,0.366,0.122,true,false,non-roost,non-roost,,
KGRB20150608-2,KGRB20150608_100324_V06,-5,0.050,315.18,291.563410,25.839757,-88.02,44.536251,12919.878705,20150608_050324,KGRB,20150608,100324,20150608,3,0.366,0.122,true,false,non-roost,non-roost,,
KGRB20150608-1,KGRB20150608_094343_V06,-25,0.310,324.99,300.231995,13.340378,-87.95,44.497178,6670.188904,20150608_044343,KGRB,20150608,094343,20150608,1,0.31,0.31,true,false,non-roost,non-roost,,
KGRB20150608-3,KGRB20150608_095333_V06,-15,0.103,229.12,308.020508,13.076523,-88.56,44.461372,6538.261414,20150608_045333,KGRB,20150608,095333,20150608,1,0.103,0.103,true,false,non-roost,non-roost,,
KGRB20150608-5,KGRB20150608_101810_V06,10,0.080,343.42,308.821564,25.943069,-87.84,44.458311,12971.534729,20150608_051810,KGRB,20150608,101810,20150608,3,-0.68,-0.22666666666666668,true,false,non-roost,non-roost,,
KGRB20150608-5,KGRB20150608_102304_V06,15,-1.000,343.42,308.821564,33.893069,-87.84,44.458311,16946.534729,20150608_052304,KGRB,20150608,102304,20150608,3,-0.68,-0.22666666666666668,true,false,non-roost,non-roost,,
KGRB20150608-5,KGRB20150608_102759_V06,19,0.240,349.23,309.025757,26.859741,-87.80,44.457299,13429.870605,20150608_052759,KGRB,20150608,102759,20150608,3,-0.68,-0.22666666666666668,true,false,non-roost,non-roost,,
KGRB20150609-1,KGRB20150609_094848_V06,-19,0.074,324.40,283.393982,15.902008,-87.96,44.572946,7951.004028,20150609_044848,KGRB,20150609,094848,20150609,2,0.195,0.0975,true,false,non-roost,non-roost,,
KGRB20150609-1,KGRB20150609_095831_V06,-9,0.121,323.24,283.208452,23.736929,-87.96,44.573790,11868.464538,20150609_045831,KGRB,20150609,095831,20150609,2,0.195,0.0975,true,false,non-roost,non-roost,,
KGRB20150609-2,KGRB20150609_094848_V06,-19,0.071,223.67,303.050964,9.303932,-88.59,44.483594,4651.966095,20150609_044848,KGRB,20150609,094848,20150609,1,0.071,0.071,true,false,non-roost,non-roost,,
KGRB20150609-3,KGRB20150609_100815_V06,1,0.116,274.79,373.569580,4.220978,-88.27,44.167181,2110.488892,20150609_050815,KGRB,20150609,100815,20150609,1,0.116,0.116,true,false,non-roost,non-roost,,
KGRB20150609-5,KGRB20150609_102740_V06,20,0.208,338.88,304.923035,18.059219,-87.87,44.475917,9029.609680,20150609_052740,KGRB,20150609,102740,20150609,1,0.208,0.208,true,false,non-roost,non-roost,,
KGRB20150609-7,KGRB20150609_104704_V06,40,0.056,136.35,512.754517,13.762966,-89.12,43.536414,6881.483078,20150609_054704,KGRB,20150609,104704,20150609,1,0.056,0.056,true,false,non-roost,non-roost,,
KGRB20150610-6,KGRB20150610_101825_V06,11,0.079,347.54,302.898865,20.259949,-87.81,44.484895,10129.974365,20150610_051825,KGRB,20150610,101825,20150610,4,0.7469999999999999,0.18674999999999997,true,false,non-roost,non-roost,,
KGRB20150610-6,KGRB20150610_102223_V06,15,0.303,346.34,302.805087,25.512696,-87.82,44.485337,12756.348172,20150610_052223,KGRB,20150610,102223,20150610,4,0.7469999999999999,0.18674999999999997,true,false,non-roost,non-roost,,
KGRB20150610-6,KGRB20150610_102641_V06,19,0.294,348.33,307.511943,27.934902,-87.81,44.464126,13967.450813,20150610_052641,KGRB,20150610,102641,20150610,4,0.7469999999999999,0.18674999999999997,true,false,non-roost,non-roost,,
KGRB20150610-6,KGRB20150610_103100_V06,24,0.071,358.19,310.381110,28.486420,-87.75,44.451034,14243.209882,20150610_053100,KGRB,20150610,103100,20150610,4,0.7469999999999999,0.18674999999999997,true,false,non-roost,non-roost,,
KGRB20150610-14,KGRB20150610_103520_V06,28,0.065,272.11,379.897705,4.786255,-88.29,44.138681,2393.127441,20150610_053520,KGRB,20150610,103520,20150610,4,0.31,0.0775,true,false,non-roost,non-roost,,
KGRB20150610-14,KGRB20150610_103939_V06,32,0.057,272.14,379.570472,10.042825,-88.29,44.140153,5021.412640,20150610_053939,KGRB,20150610,103939,20150610,4,0.31,0.0775,true,false,non-roost,non-roost,,
KGRB20150610-14,KGRB20150610_104358_V06,36,0.112,278.96,373.535483,13.089668,-88.24,44.167367,6544.833961,20150610_054358,KGRB,20150610,104358,20150610,4,0.31,0.0775,true,false,non-roost,non-roost,,
KGRB20150610-14,KGRB20150610_104818_V06,41,0.076,283.99,370.823963,13.753527,-88.21,44.179600,6876.763416,20150610_054818,KGRB,20150610,104818,20150610,4,0.31,0.0775,true,false,non-roost,non-roost,,
KGRB20150610-28,KGRB20150610_110937_V06,62,0.110,274.60,375.837891,4.393456,-88.27,44.156972,2196.727753,20150610_060937,KGRB,20150610,110937,20150610,5,-0.40300000000000014,-0.08060000000000003,true,false,non-roost,non-roost,,
KGRB20150610-28,KGRB20150610_111335_V06,66,-1.000,274.60,375.837891,10.753456,-88.27,44.156972,5376.727753,20150610_061335,KGRB,20150610,111335,20150610,5,-0.40300000000000014,-0.08060000000000003,true,false,non-roost,non-roost,,
KGRB20150610-28,KGRB20150610_111736_V06,70,0.084,271.68,382.019477,13.292836,-88.29,44.129129,6646.417925,20150610_061736,KGRB,20150610,111736,20150610,5,-0.40300000000000014,-0.08060000000000003,true,false,non-roost,non-roost,,
KGRB20150610-28,KGRB20150610_112135_V06,74,0.293,265.38,384.412704,13.482499,-88.33,44.118292,6741.249375,20150610_062135,KGRB,20150610,112135,20150610,5,-0.40300000000000014,-0.08060000000000003,true,false,non-roost,non-roost,,
KGRB20150610-28,KGRB20150610_112533_V06,78,0.110,259.29,384.460521,17.116925,-88.37,44.117998,8558.462533,20150610_062533,KGRB,20150610,112533,20150610,5,-0.40300000000000014,-0.08060000000000003,true,false,non-roost,non-roost,,
KGRB20150610-4,KGRB20150610_100624_V06,-1,0.088,324.91,307.935883,12.724030,-87.95,44.462515,6362.014771,20150610_050624,KGRB,20150610,100624,20150610,2,0.16299999999999998,0.08149999999999999,true,false,non-roost,non-roost,,
KGRB20150610-4,KGRB20150610_101024_V06,3,0.075,327.21,307.786863,17.960999,-87.94,44.463164,8980.499371,20150610_051024,KGRB,20150610,101024,20150610,2,0.16299999999999998,0.08149999999999999,true,false,non-roost,non-roost,,
KGRB20150610-8,KGRB20150610_101825_V06,11,0.051,282.39,370.936310,12.812958,-88.22,44.179086,6406.478882,20150610_051825,KGRB,20150610,101825,20150610,3,-0.7979999999999999,-0.26599999999999996,true,false,non-roost,non-roost,,
KGRB20150610-8,KGRB20150610_102223_V06,15,-1.000,282.39,370.936310,19.172958,-88.22,44.179086,9586.478882,20150610_052223,KGRB,20150610,102223,20150610,3,-0.7979999999999999,-0.26599999999999996,true,false,non-roost,non-roost,,
KGRB20150610-8,KGRB20150610_102641_V06,19,0.151,280.95,362.384312,22.599684,-88.23,44.217559,11299.842046,20150610_052641,KGRB,20150610,102641,20150610,3,-0.7979999999999999,-0.26599999999999996,true,false,non-roost,non-roost,,
KGRB20150610-1,KGRB20150610_093820_V06,-29,0.169,394.39,244.770630,24.025879,-87.52,44.745282,12012.939453,20150610_043820,KGRB,20150610,093820,20150610,1,0.169,0.169,true,false,non-roost,non-roost,,
KGRB20150610-2,KGRB20150610_095424_V06,-13,0.081,319.67,312.250458,19.882401,-87.99,44.443141,9941.200256,20150610_045424,KGRB,20150610,095424,20150610,1,0.081,0.081,true,false,non-roost,non-roost,,
KGRB20150610-3,KGRB20150610_095823_V06,-9,0.127,354.73,292.030212,20.375946,-87.77,44.533672,10187.973022,20150610_045823,KGRB,20150610,095823,20150610,1,0.127,0.127,true,false,non-roost,non-roost,,
KGRB20150610-5,KGRB20150610_101424_V06,7,0.060,286.58,375.298004,14.902565,-88.19,44.159481,7451.282501,20150610_051424,KGRB,20150610,101424,20150610,1,0.06,0.06,true,false,non-roost,non-roost,,
KGRB20150610-7,KGRB20150610_101825_V06,11,0.057,269.87,378.505615,5.005234,-88.30,44.144923,2502.616882,20150610_051825,KGRB,20150610,101825,20150610,1,0.057,0.057,true,false,non-roost,non-roost,,
KGRB20150610-11,KGRB20150610_103100_V06,24,0.072,319.81,312.845917,21.132629,-87.99,44.440461,10566.314697,20150610_053100,KGRB,20150610,103100,20150610,1,0.072,0.072,true,false,non-roost,non-roost,,
KGRB20150610-21,KGRB20150610_104818_V06,41,0.087,327.10,283.282379,18.905151,-87.94,44.573424,9452.575684,20150610_054818,KGRB,20150610,104818,20150610,3,-0.6900000000000001,-0.23,true,false,non-roost,non-roost,,
