track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time,station,date,time,local_date,length,tot_score,avg_score,viewed,user_labeled,label,original_label,notes,day_notes
KGRR20010601-1,KGRR20010601_094100,-25,0.154,58.47,241.446564,32.152580,-87.03,43.147821,16076.290131,20010601_054100,KGRR,20010601,094100,20010601,11,-0.49999999999999994,-Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-1,KGRR20010601_094650,-20,0.390,60.91,237.290229,36.886658,-87.01,43.166716,18443.329119,20010601_054650,KGRR,20010601,094650,20010601,11,-0.49999999999999994,-Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-1,KGRR20010601_095239,-14,0.236,69.16,227.214779,37.807382,-86.97,43.212691,18903.691056,20010601_055239,KGRR,20010601,095239,20010601,11,-0.49999999999999994,-Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-1,KGRR20010601_095831,-8,0.149,74.70,213.576694,35.215013,-86.93,43.274475,17607.506490,20010601_055831,KGRR,20010601,095831,20010601,11,-0.49999999999999994,-Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-1,KGRR20010601_100421,-2,-1.000,80.74,201.242393,33.886215,-86.90,43.330418,16943.107319,20010601_060421,KGRR,20010601,100421,20010601,11,-0.49999999999999994,-Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-1,KGRR20010601_101012,4,0.061,74.72,191.169520,33.083154,-86.93,43.375301,16541.576857,20010601_061012,KGRR,20010601,101012,20010601,11,-0.49999999999999994,-Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-1,KGRR20010601_101603,10,0.076,76.96,178.895095,32.198036,-86.92,43.430696,16099.017948,20010601_061603,KGRR,20010601,101603,20010601,11,-0.49999999999999994,-Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-1,KGRR20010601_102154,15,0.052,80.71,167.566563,34.341397,-86.90,43.481944,17170.698581,20010601_062154,KGRR,20010601,102154,20010601,11,-0.49999999999999994,-Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-1,KGRR20010601_102744,21,-1.000,84.16,154.556976,35.667636,-86.88,43.540731,17833.817803,20010601_062744,KGRR,20010601,102744,20010601,11,-0.49999999999999994,-Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-1,KGRR20010601_103334,27,0.075,83.35,135.565826,20.574162,-86.89,43.626123,10287.080765,20010601_063334,KGRR,20010601,103334,20010601,11,-0.49999999999999994,-Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-1,KGRR20010601_103925,33,0.307,81.86,120.492584,16.076923,-86.90,43.693836,8038.461685,20010601_063925,KGRR,20010601,103925,20010601,11,-0.49999999999999994,-Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-14,KGRR20010601_110837,62,0.155,141.39,508.858215,21.510269,-86.50,41.949745,10755.134583,20010601_070837,KGRR,20010601,110837,20010601,3,0.312,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-14,KGRR20010601_111427,68,0.075,143.57,508.562291,29.661150,-86.49,41.951188,14830.575158,20010601_071427,KGRR,20010601,111427,20010601,3,0.312,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-14,KGRR20010601_112017,74,0.082,134.31,514.718254,38.323734,-86.54,41.923000,19161.867238,20010601_072017,KGRR,20010601,112017,20010601,3,0.312,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-6,KGRR20010601_104516,39,0.056,326.58,439.447083,38.866554,-85.38,42.266114,19433.277130,20010601_064516,KGRR,20010601,104516,20010601,4,0.476,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-6,KGRR20010601_105106,45,0.257,331.65,435.414731,44.023265,-85.35,42.284217,22011.632458,20010601_065106,KGRR,20010601,105106,20010601,4,0.476,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-6,KGRR20010601_105657,50,0.077,352.46,426.566101,34.393623,-85.23,42.323765,17196.811676,20010601_065657,KGRR,20010601,105657,20010601,4,0.476,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-6,KGRR20010601_110247,56,0.086,361.96,416.564728,29.838379,-85.17,42.368607,14919.189453,20010601_070247,KGRR,20010601,110247,20010601,4,0.476,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-9,KGRR20010601_105657,50,0.079,277.54,409.113708,9.456749,-85.68,42.402685,4728.374481,20010601_065657,KGRR,20010601,105657,20010601,2,0.178,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-9,KGRR20010601_110247,56,0.099,279.47,406.072410,16.246378,-85.67,42.416388,8123.188878,20010601_070247,KGRR,20010601,110247,20010601,2,0.178,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-17,KGRR20010601_111427,68,0.121,184.26,323.599579,26.501633,-86.25,42.785484,13250.816345,20010601_071427,KGRR,20010601,111427,20010601,3,-0.694,-Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-17,KGRR20010601_112017,74,-1.000,184.26,323.599579,36.041633,-86.25,42.785484,18020.816345,20010601_072017,KGRR,20010601,112017,20010601,3,-0.694,-Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-17,KGRR20010601_112608,80,0.185,183.52,302.759394,40.348047,-86.26,42.879251,20174.023687,20010601_072608,KGRR,20010601,112608,20010601,3,-0.694,-Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-2,KGRR20010601_102154,15,0.061,41.91,149.417084,24.142069,-87.14,43.560532,12071.034431,20010601_062154,KGRR,20010601,102154,20010601,1,0.061,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-5,KGRR20010601_103925,33,0.124,343.22,491.577148,29.545877,-85.28,42.031269,14772.938728,20010601_063925,KGRR,20010601,103925,20010601,1,0.124,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-7,KGRR20010601_105106,45,0.129,150.20,132.916016,16.952972,-86.47,43.642122,8476.486206,20010601_065106,KGRR,20010601,105106,20010601,1,0.129,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-12,KGRR20010601_105657,50,0.051,456.54,322.475769,28.509659,-84.59,42.788729,14254.829407,20010601_065657,KGRR,20010601,105657,20010601,1,0.051,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010601-18,KGRR20010601_112608,80,0.117,362.61,330.692505,7.372040,-85.16,42.755107,3686.019897,20010601_072608,KGRR,20010601,112608,20010601,1,0.117,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010602-1,KGRR20010602_110117,56,0.260,412.50,368.548950,24.725243,-84.86,42.583297,12362.621307,20010602_070117,KGRR,20010602,110117,20010602,1,0.26,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010602-2,KGRR20010602_111258,67,0.126,277.41,555.128845,34.035862,-85.68,41.745402,17017.930984,20010602_071258,KGRR,20010602,111258,20010602,1,0.126,Infinity,true,false,non-roost,non-roost,,weather
KGRR20010603-6,KGRR20010603_100549,0,0.070,427.89,281.463837,12.219467,-84.76,42.974636,6109.733582,20010603_060549,KGRR,20010603,100549,20010603,7,0.3190000000000002,Infinity,true,false,non-roost,non-roost,,
KGRR20010603-6,KGRR20010603_101140,6,0.381,426.81,280.663606,20.022505,-84.77,42.978282,10011.252276,20010603_061140,KGRR,20010603,101140,20010603,7,0.3190000000000002,Infinity,true,false,non-roost,non-roost,,
KGRR20010603-6,KGRR20010603_101730,12,0.359,423.65,280.810068,23.040990,-84.79,42.977753,11520.494974,20010603_061730,KGRR,20010603,101730,20010603,7,0.3190000000000002,Infinity,true,false,non-roost,non-roost,,
KGRR20010603-6,KGRR20010603_102320,18,0.219,427.38,286.163600,22.019143,-84.76,42.953506,11009.571552,20010603_062320,KGRR,20010603,102320,20010603,7,0.3190000000000002,Infinity,true,false,non-roost,non-roost,,
KGRR20010603-6,KGRR20010603_102910,24,-1.000,429.39,290.093245,22.319838,-84.75,42.935736,11159.918852,20010603_062910,KGRR,20010603,102910,20010603,7,0.3190000000000002,Infinity,true,false,non-roost,non-roost,,
KGRR20010603-6,KGRR20010603_103500,30,0.167,428.91,299.999502,22.750730,-84.76,42.891173,11375.364773,20010603_063500,KGRR,20010603,103500,20010603,7,0.3190000000000002,Infinity,true,false,non-roost,non-roost,,
KGRR20010603-6,KGRR20010603_104050,35,0.123,427.63,304.384516,24.693855,-84.76,42.871491,12346.927591,20010603_064050,KGRR,20010603,104050,20010603,7,0.3190000000000002,Infinity,true,false,non-roost,non-roost,,
KGRR20010603-1,KGRR20010603_093637,-29,0.537,534.80,166.458923,23.998787,-84.09,43.485760,11999.393463,20010603_053637,KGRR,20010603,093637,20010603,4,2.266,Infinity,true,true,non-roost,swallow-roost,,
KGRR20010603-1,KGRR20010603_094228,-23,0.476,535.45,168.715879,28.942026,-84.09,43.475555,14471.012967,20010603_054228,KGRR,20010603,094228,20010603,4,2.266,Infinity,true,true,non-roost,swallow-roost,,
