track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time,station,date,time,local_date,length,tot_score,avg_score,viewed,user_labeled,label,original_label,notes,day_notes
KIWX20150602-1,KIWX20150602_102624_V06,15,0.164,270.64,525.678894,11.740913,-85.87,40.392383,5870.456696,20150602_062624,KIWX,20150602,102624,20150602,2,0.276,0.138,true,false,non-roost,non-roost,,
KIWX20150602-1,KIWX20150602_103607_V06,25,0.112,267.84,525.139808,21.663206,-85.89,40.394784,10831.603022,20150602_063607,KIWX,20150602,103607,20150602,2,0.276,0.138,true,false,non-roost,non-roost,,
KIWX20150603-1,KIWX20150603_102241_V06,12,0.054,310.95,168.907684,1.868912,-85.63,41.998738,934.455872,20150603_062241,KIWX,20150603,102241,20150603,2,0.134,0.067,true,false,non-roost,non-roost,,
KIWX20150603-1,KIWX20150603_103223_V06,22,0.080,310.81,169.512879,9.309826,-85.63,41.996014,4654.912763,20150603_063223,KIWX,20150603,103223,20150603,2,0.134,0.067,true,false,non-roost,non-roost,,
KIWX20150603-2,KIWX20150603_105148_V06,41,0.077,278.08,425.247925,2.321617,-85.83,40.844643,1160.808563,20150603_065148,KIWX,20150603,105148,20150603,1,0.077,0.077,true,false,non-roost,non-roost,,
KIWX20150603-4,KIWX20150603_110131_V06,51,0.145,334.61,406.826508,2.455261,-85.49,40.927473,1227.630615,20150603_070131,KIWX,20150603,110131,20150603,1,0.145,0.145,true,false,non-roost,non-roost,,
KIWX20150604-1,KIWX20150604_104035_V06,30,0.112,78.81,459.016846,15.094006,-87.01,40.685187,7547.002792,20150604_064035,KIWX,20150604,104035,20150604,1,0.112,0.112,true,false,non-roost,non-roost,,
KIWX20150604-3,KIWX20150604_111926_V06,69,0.067,51.38,470.670532,43.844296,-87.17,40.630755,21922.147751,20150604_071926,KIWX,20150604,111926,20150604,1,0.067,0.067,true,false,non-roost,non-roost,,
KIWX20150605-1,KIWX20150605_100253_V06,-8,0.127,251.91,212.106445,13.157677,-85.99,41.803930,6578.838348,20150605_060253,KIWX,20150605,100253,20150605,1,0.127,0.127,true,false,non-roost,non-roost,,
KIWX20150606-1,KIWX20150606_111722_V06,68,0.090,274.87,424.258057,5.182220,-85.85,40.849076,2591.110229,20150606_071722,KIWX,20150606,111722,20150606,1,0.09,0.09,true,false,non-roost,non-roost,,
KIWX20150606-4,KIWX20150606_112703_V06,78,0.194,334.61,406.428009,2.546982,-85.49,40.929267,1273.490906,20150606_072703,KIWX,20150606,112703,20150606,1,0.194,0.194,true,false,non-roost,non-roost,,
KIWX20150607-1,KIWX20150607_105907_V06,50,0.061,361.73,342.286896,11.611374,-85.33,41.217642,5805.686951,20150607_065907,KIWX,20150607,105907,20150607,1,0.061,0.061,true,false,non-roost,non-roost,,
KIWX20150607-2,KIWX20150607_111833_V06,69,0.069,286.51,345.847687,18.664127,-85.78,41.202172,9332.063675,20150607_071833,KIWX,20150607,111833,20150607,1,0.069,0.069,true,false,non-roost,non-roost,,
KIWX20150610-34,KIWX20150610_105648_V06,47,0.061,263.64,408.737030,2.045296,-85.92,40.918852,1022.647858,20150610_065648,KIWX,20150610,105648,20150610,2,0.123,0.0615,true,false,non-roost,non-roost,,
KIWX20150610-34,KIWX20150610_110141_V06,52,0.062,265.10,409.106634,8.102775,-85.91,40.917204,4051.387314,20150610_070141,KIWX,20150610,110141,20150610,2,0.123,0.0615,true,false,non-roost,non-roost,,
KIWX20150610-5,KIWX20150610_094804_V06,-21,0.126,294.01,280.453033,16.270248,-85.74,41.496604,8135.124207,20150610_054804,KIWX,20150610,094804,20150610,1,0.126,0.126,true,false,non-roost,non-roost,,
KIWX20150610-21,KIWX20150610_102226_V06,13,0.061,208.95,359.467712,12.418907,-86.24,41.139600,6209.453583,20150610_062226,KIWX,20150610,102226,20150610,1,0.061,0.061,true,false,non-roost,non-roost,,
KIWX20150610-26,KIWX20150610_103711_V06,28,0.177,302.41,393.387146,11.129547,-85.69,40.988165,5564.773560,20150610_063711,KIWX,20150610,103711,20150610,1,0.177,0.177,true,false,non-roost,non-roost,,
KIWX20150610-36,KIWX20150610_110141_V06,52,0.054,217.59,332.859833,9.527580,-86.19,41.259621,4763.790131,20150610_070141,KIWX,20150610,110141,20150610,1,0.054,0.054,true,false,non-roost,non-roost,,
KIWX20150610-38,KIWX20150610_110634_V06,57,0.066,323.65,390.026062,15.095955,-85.56,41.003212,7547.977448,20150610_070634,KIWX,20150610,110634,20150610,1,0.066,0.066,true,false,non-roost,non-roost,,
KIWX20150611-15,KIWX20150611_103107_V06,23,0.113,202.43,313.396454,6.231400,-86.28,41.346822,3115.699768,20150611_063107,KIWX,20150611,103107,20150611,5,0.7530000000000001,0.1506,true,false,non-roost,non-roost,,
KIWX20150611-15,KIWX20150611_103453_V06,26,0.053,201.55,313.100077,11.404543,-86.29,41.348129,5702.271697,20150611_063453,KIWX,20150611,103453,20150611,5,0.7530000000000001,0.1506,true,false,non-roost,non-roost,,
KIWX20150611-15,KIWX20150611_103838_V06,30,0.394,203.44,314.270820,14.980749,-86.28,41.342916,7490.374504,20150611_063838,KIWX,20150611,103838,20150611,5,0.7530000000000001,0.1506,true,false,non-roost,non-roost,,
KIWX20150611-15,KIWX20150611_104223_V06,34,0.130,208.43,313.581911,16.827731,-86.25,41.346163,8413.865259,20150611_064223,KIWX,20150611,104223,20150611,5,0.7530000000000001,0.1506,true,false,non-roost,non-roost,,
KIWX20150611-15,KIWX20150611_104608_V06,38,0.063,202.70,312.321143,25.178999,-86.28,41.351671,12589.499311,20150611_064608,KIWX,20150611,104608,20150611,5,0.7530000000000001,0.1506,true,false,non-roost,non-roost,,
KIWX20150611-6,KIWX20150611_095237_V06,-16,0.274,328.64,279.233917,9.796555,-85.53,41.501970,4898.277283,20150611_055237,KIWX,20150611,095237,20150611,2,0.897,0.4485,true,false,swallow-roost,swallow-roost,,
KIWX20150611-6,KIWX20150611_095622_V06,-12,0.623,329.02,279.225369,14.331644,-85.53,41.502005,7165.821865,20150611_055622,KIWX,20150611,095622,20150611,2,0.897,0.4485,true,false,swallow-roost,swallow-roost,,
KIWX20150611-7,KIWX20150611_095237_V06,-16,0.171,420.86,219.517822,13.344543,-84.97,41.768641,6672.271729,20150611_055237,KIWX,20150611,095237,20150611,2,0.319,0.1595,true,false,non-roost,non-roost,,
KIWX20150611-7,KIWX20150611_095622_V06,-12,0.148,422.91,218.494218,18.950927,-84.96,41.773171,9475.463265,20150611_055622,KIWX,20150611,095622,20150611,2,0.319,0.1595,true,false,non-roost,non-roost,,
KIWX20150611-12,KIWX20150611_100739_V06,-1,0.065,288.97,131.367493,13.843002,-85.77,42.167724,6921.501160,20150611_060739,KIWX,20150611,100739,20150611,1,0.065,0.065,true,false,non-roost,non-roost,,
KIWX20150611-13,KIWX20150611_101526_V06,7,0.090,144.88,316.342133,29.536890,-86.63,41.331304,14768.445015,20150611_061526,KIWX,20150611,101526,20150611,3,-0.6900000000000001,-0.23,true,false,non-roost,non-roost,,
KIWX20150611-13,KIWX20150611_101925_V06,11,-1.000,144.88,316.342133,35.896890,-86.63,41.331304,17948.445015,20150611_061925,KIWX,20150611,101925,20150611,3,-0.6900000000000001,-0.23,true,false,non-roost,non-roost,,
KIWX20150611-13,KIWX20150611_102323_V06,15,0.220,167.23,309.100861,25.046753,-86.49,41.364901,12523.376465,20150611_062323,KIWX,20150611,102323,20150611,3,-0.6900000000000001,-0.23,true,false,non-roost,non-roost,,
KIWX20150611-18,KIWX20150611_103838_V06,30,0.075,159.89,283.589844,15.290230,-86.54,41.479433,7645.114899,20150611_063838,KIWX,20150611,103838,20150611,1,0.075,0.075,true,false,non-roost,non-roost,,
KIWX20150611-19,KIWX20150611_104223_V06,34,0.065,417.95,228.105927,2.471970,-84.99,41.730091,1235.984802,20150611_064223,KIWX,20150611,104223,20150611,1,0.065,0.065,true,false,non-roost,non-roost,,
KIWX20150611-21,KIWX20150611_104954_V06,41,0.050,367.27,103.969360,52.652046,-85.29,42.290355,26326.023102,20150611_064954,KIWX,20150611,104954,20150611,1,0.05,0.05,true,false,non-roost,non-roost,,
KIWX20150611-22,KIWX20150611_105340_V06,45,0.391,479.36,83.560730,32.313904,-84.61,42.377829,16156.951904,20150611_065340,KIWX,20150611,105340,20150611,1,0.391,0.391,true,false,non-roost,non-roost,,
KIWX20150611-24,KIWX20150611_112810_V06,80,0.053,188.58,268.536682,20.844818,-86.37,41.548321,10422.409058,20150611_072810,KIWX,20150611,112810,20150611,1,0.053,0.053,true,false,non-roost,non-roost,,
KIWX20150612-1,KIWX20150612_102400_V06,16,0.056,364.35,254.514435,5.281830,-85.31,41.612736,2640.914917,20150612_062400,KIWX,20150612,102400,20150612,1,0.056,0.056,true,false,non-roost,non-roost,,
KIWX20150612-5,KIWX20150612_105247_V06,44,0.215,200.95,321.554993,7.741661,-86.29,41.310047,3870.830536,20150612_065247,KIWX,20150612,105247,20150612,1,0.215,0.215,true,false,non-roost,non-roost,,
KIWX20150614-7,KIWX20150614_101654_V06,8,0.083,271.00,326.402618,14.723083,-85.87,41.289614,7361.541748,20150614_061654,KIWX,20150614,101654,20150614,1,0.083,0.083,true,false,non-roost,non-roost,,
KIWX20150614-15,KIWX20150614_104535_V06,37,0.064,313.16,290.248352,13.225937,-85.62,41.452485,6612.968445,20150614_064535,KIWX,20150614,104535,20150614,1,0.064,0.064,true,false,non-roost,non-roost,,
KIWX20150615-5,KIWX20150615_095757_V06,-11,0.055,205.79,361.744812,16.345703,-86.26,41.129257,8172.851562,20150615_055757,KIWX,20150615,095757,20150615,2,0.193,0.0965,true,false,non-roost,non-roost,,
KIWX20150615-5,KIWX20150615_100155_V06,-7,0.138,207.10,362.174265,21.193291,-86.25,41.127362,10596.645301,20150615_060155,KIWX,20150615,100155,20150615,2,0.193,0.0965,true,false,non-roost,non-roost,,
KIWX20150615-1,KIWX20150615_095000_V06,-18,0.305,311.57,319.790771,12.260117,-85.63,41.319491,6130.058289,20150615_055000,KIWX,20150615,095000,20150615,1,0.305,0.305,true,false,non-roost,non-roost,,
KIWX20150615-6,KIWX20150615_100155_V06,-7,0.168,265.22,391.198547,7.981392,-85.91,40.997833,3990.695953,20150615_060155,KIWX,20150615,100155,20150615,1,0.168,0.168,true,false,non-roost,non-roost,,
KIWX20150615-7,KIWX20150615_100155_V06,-7,0.156,341.07,327.407562,18.719131,-85.45,41.284958,9359.565735,20150615_060155,KIWX,20150615,100155,20150615,1,0.156,0.156,true,false,non-roost,non-roost,,
KIWX20150616-5,KIWX20150616_104448_V06,36,0.127,367.33,252.258270,13.051712,-85.30,41.622831,6525.856018,20150616_064448,KIWX,20150616,104448,20150616,2,0.248,0.124,true,false,non-roost,non-roost,,
KIWX20150616-5,KIWX20150616_104833_V06,40,0.121,367.40,252.598366,18.589227,-85.30,41.621299,9294.613491,20150616_064833,KIWX,20150616,104833,20150616,2,0.248,0.124,true,false,non-roost,non-roost,,
KIWX20150616-4,KIWX20150616_103332_V06,25,0.059,119.28,253.017883,12.276451,-86.78,41.615021,6138.225555,20150616_063332,KIWX,20150616,103332,20150616,1,0.059,0.059,true,false,non-roost,non-roost,,
KIWX20150616-11,KIWX20150616_111858_V06,70,0.066,418.08,226.950287,2.420731,-84.99,41.735288,1210.365295,20150616_071858,KIWX,20150616,111858,20150616,1,0.066,0.066,true,false,non-roost,non-roost,,
KIWX20150617-9,KIWX20150617_095832_V06,-10,0.111,329.69,279.958221,7.249878,-85.52,41.498700,3624.938965,20150617_055832,KIWX,20150617,095832,20150617,3,0.24,0.08,true,false,non-roost,non-roost,,
