track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time,station,date,time,local_date,length,tot_score,avg_score,viewed,user_labeled,label,original_label,notes,day_notes
KLOT20070601-1,KLOT20070601_112516,65,0.054,290.31,410.971985,29.987640,-88.14,41.104825,14993.820190,20070601_062516,KLOT,20070601,112516,20070601,2,0.207,Infinity,true,false,non-roost,non-roost,,
KLOT20070601-1,KLOT20070601_113456,74,0.153,305.01,424.494032,46.207965,-88.05,41.043956,23103.982302,20070601_063456,KLOT,20070601,113456,20070601,2,0.207,Infinity,true,false,non-roost,non-roost,,
KLOT20070602-2,KLOT20070602_102617,6,0.071,338.24,410.029572,2.663277,-87.86,41.108856,1331.638336,20070602_052617,KLOT,20070602,102617,20070602,2,0.172,Infinity,true,false,non-roost,non-roost,,
KLOT20070602-2,KLOT20070602_103159,11,0.101,337.58,409.568121,9.750586,-87.86,41.110942,4875.292880,20070602_053159,KLOT,20070602,103159,20070602,2,0.172,Infinity,true,false,non-roost,non-roost,,
KLOT20070602-1,KLOT20070602_100332,-17,0.089,146.00,347.623047,27.313852,-89.01,41.386351,13656.926155,20070602_050332,KLOT,20070602,100332,20070602,1,0.089,Infinity,true,false,non-roost,non-roost,,
KLOT20070602-3,KLOT20070602_103739,17,0.066,249.02,253.917206,21.777378,-88.39,41.811485,10888.689041,20070602_053739,KLOT,20070602,103739,20070602,1,0.066,Infinity,true,false,non-roost,non-roost,,
KLOT20070602-4,KLOT20070602_112851,68,0.187,379.93,267.530884,13.787811,-87.60,41.749606,6893.905640,20070602_062851,KLOT,20070602,112851,20070602,1,0.187,Infinity,true,false,non-roost,non-roost,,
KLOT20070602-6,KLOT20070602_113432,74,0.055,224.29,177.867920,4.968384,-88.54,42.153325,2484.191895,20070602_063432,KLOT,20070602,113432,20070602,1,0.055,Infinity,true,false,non-roost,non-roost,,
KLOT20070603-1,KLOT20070603_101715,-2,0.065,261.61,265.670715,10.498489,-88.32,41.758752,5249.244690,20070603_051715,KLOT,20070603,101715,20070603,7,-2.299,-Infinity,true,false,non-roost,non-roost,,
KLOT20070603-1,KLOT20070603_102126,2,-1.000,261.61,265.670715,16.858489,-88.32,41.758752,8429.244690,20070603_052126,KLOT,20070603,102126,20070603,7,-2.299,-Infinity,true,false,non-roost,non-roost,,
KLOT20070603-1,KLOT20070603_102537,6,0.061,262.20,265.157745,5.618927,-88.31,41.761068,2809.463501,20070603_052537,KLOT,20070603,102537,20070603,7,-2.299,-Infinity,true,false,non-roost,non-roost,,
KLOT20070603-1,KLOT20070603_102948,10,-1.000,262.20,265.157745,11.978927,-88.31,41.761068,5989.463501,20070603_052948,KLOT,20070603,102948,20070603,7,-2.299,-Infinity,true,false,non-roost,non-roost,,
KLOT20070603-1,KLOT20070603_103400,15,0.390,260.13,263.416046,9.699066,-88.32,41.768883,4849.533081,20070603_053400,KLOT,20070603,103400,20070603,7,-2.299,-Infinity,true,false,non-roost,non-roost,,
