track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time,station,date,time,local_date,length,tot_score,avg_score,viewed,user_labeled,label,original_label,notes,day_notes
KMKX20200601-4,KMKX20200601_094944_V06,-28,0.058,308.86,152.859650,10.456024,-88.50,43.629973,5228.012085,20200601_044944,KMKX,20200601,094944,20200601,1,0.058,0.058,true,false,non-roost,non-roost,,
KMKX20200601-6,KMKX20200601_100334_V06,-14,0.066,285.31,296.560425,8.742142,-88.64,42.983225,4371.070862,20200601_050334,KMKX,20200601,100334,20200601,1,0.066,0.066,true,false,non-roost,non-roost,,
KMKX20200601-14,KMKX20200601_103751_V06,20,0.156,308.93,197.015503,6.547852,-88.50,43.431257,3273.925781,20200601_053751,KMKX,20200601,103751,20200601,1,0.156,0.156,true,false,non-roost,non-roost,,
KMKX20200601-38,KMKX20200601_113122_V06,74,0.119,310.22,198.636047,5.361740,-88.49,43.423960,2680.870056,20200601_063122,KMKX,20200601,113122,20200601,3,-0.83,-0.27666666666666667,true,false,non-roost,non-roost,,
KMKX20200601-38,KMKX20200601_113544_V06,78,-1.000,310.22,198.636047,11.721740,-88.49,43.423960,5860.870056,20200601_063544,KMKX,20200601,113544,20200601,3,-0.83,-0.27666666666666667,true,false,non-roost,non-roost,,
KMKX20200601-38,KMKX20200601_114006_V06,83,0.051,308.80,197.769836,5.487518,-88.50,43.427863,2743.759155,20200601_064006,KMKX,20200601,114006,20200601,3,-0.83,-0.27666666666666667,true,false,non-roost,non-roost,,
KMKX20200602-1,KMKX20200602_094957_V06,-28,0.140,309.27,200.029144,4.957520,-88.49,43.417694,2478.759766,20200602_044957,KMKX,20200602,094957,20200602,2,0.20800000000000002,0.10400000000000001,true,false,non-roost,non-roost,,
KMKX20200602-1,KMKX20200602_100338_V06,-14,0.068,309.68,201.436288,12.362566,-88.49,43.411360,6181.283052,20200602_050338,KMKX,20200602,100338,20200602,2,0.20800000000000002,0.10400000000000001,true,false,non-roost,non-roost,,
KMKX20200603-2,KMKX20200603_095000_V06,-26,0.117,308.89,201.775024,4.679413,-88.50,43.409838,2339.706421,20200603_045000,KMKX,20200603,095000,20200603,1,0.117,0.117,true,false,non-roost,non-roost,,
KMKX20200604-2,KMKX20200604_094653_V06,-30,0.143,208.78,166.028229,13.663902,-89.12,43.569340,6831.951141,20200604_044653,KMKX,20200604,094653,20200604,2,0.22299999999999998,0.11149999999999999,true,false,non-roost,non-roost,,
KMKX20200604-2,KMKX20200604_100056_V06,-16,0.080,209.33,164.983264,22.091139,-89.11,43.574060,11045.569622,20200604_050056,KMKX,20200604,100056,20200604,2,0.22299999999999998,0.11149999999999999,true,false,non-roost,non-roost,,
KMKX20200604-7,KMKX20200604_102204_V06,6,0.050,34.73,434.726196,48.165123,-90.16,42.349987,24082.561493,20200604_052204,KMKX,20200604,102204,20200604,2,0.125,0.0625,true,false,non-roost,non-roost,,
KMKX20200604-7,KMKX20200604_102906_V06,13,0.075,33.39,429.719125,55.038323,-90.17,42.372403,27519.161547,20200604_052906,KMKX,20200604,102906,20200604,2,0.125,0.0625,true,false,non-roost,non-roost,,
KMKX20200604-1,KMKX20200604_094653_V06,-30,0.192,306.04,199.987854,8.019440,-88.51,43.417888,4009.719849,20200604_044653,KMKX,20200604,094653,20200604,1,0.192,0.192,true,false,non-roost,non-roost,,
KMKX20200604-3,KMKX20200604_100056_V06,-16,0.254,234.60,308.883148,18.564835,-88.95,42.927098,9282.417297,20200604_050056,KMKX,20200604,100056,20200604,1,0.254,0.254,true,false,non-roost,non-roost,,
KMKX20200604-8,KMKX20200604_103607_V06,20,0.357,236.94,370.633148,16.230042,-88.94,42.649220,8115.020752,20200604_053607,KMKX,20200604,103607,20200604,1,0.357,0.357,true,false,non-roost,non-roost,,
KMKX20200604-10,KMKX20200604_103607_V06,20,0.087,207.76,391.988708,21.206299,-89.11,42.552362,10603.149414,20200604_053607,KMKX,20200604,103607,20200604,1,0.087,0.087,true,false,non-roost,non-roost,,
KMKX20200604-13,KMKX20200604_105012_V06,34,0.275,222.26,363.410492,2.278641,-89.02,42.681392,1139.320374,20200604_055012,KMKX,20200604,105012,20200604,1,0.275,0.275,true,false,non-roost,non-roost,,
KMKX20200604-16,KMKX20200604_105012_V06,34,0.129,32.64,442.486084,36.525349,-90.17,42.314886,18262.674332,20200604_055012,KMKX,20200604,105012,20200604,1,0.129,0.129,true,false,non-roost,non-roost,,
KMKX20200604-23,KMKX20200604_111821_V06,62,0.062,371.77,327.565063,18.732986,-88.11,42.842872,9366.493225,20200604_061821,KMKX,20200604,111821,20200604,1,0.062,0.062,true,false,non-roost,non-roost,,
KMKX20200604-25,KMKX20200604_112523_V06,69,0.106,221.00,168.897003,2.354500,-89.04,43.556776,1177.249908,20200604_062523,KMKX,20200604,112523,20200604,1,0.106,0.106,true,false,non-roost,non-roost,,
KMKX20200605-16,KMKX20200605_103318_V06,17,0.082,306.26,156.055756,10.232452,-88.51,43.615597,5116.226196,20200605_053318,KMKX,20200605,103318,20200605,2,0.365,0.1825,true,false,non-roost,non-roost,,
KMKX20200605-16,KMKX20200605_103646_V06,20,0.283,306.52,156.581013,14.433094,-88.51,43.613232,7216.546990,20200605_053646,KMKX,20200605,103646,20200605,2,0.365,0.1825,true,false,non-roost,non-roost,,
KMKX20200605-17,KMKX20200605_103318_V06,17,0.058,309.82,199.384399,5.987808,-88.49,43.420594,2993.904114,20200605_053318,KMKX,20200605,103318,20200605,2,0.212,0.106,true,false,non-roost,non-roost,,
KMKX20200605-17,KMKX20200605_103646_V06,20,0.154,309.65,199.111637,10.231674,-88.49,43.421822,5115.836830,20200605_053646,KMKX,20200605,103646,20200605,2,0.212,0.106,true,false,non-roost,non-roost,,
KMKX20200605-36,KMKX20200605_105521_V06,39,0.122,306.95,157.728821,9.666153,-88.51,43.608066,4833.076477,20200605_055521,KMKX,20200605,105521,20200605,2,0.194,0.097,true,false,non-roost,non-roost,,
KMKX20200605-36,KMKX20200605_110247_V06,46,0.072,307.20,157.061310,16.734933,-88.51,43.611069,8367.466408,20200605_060247,KMKX,20200605,110247,20200605,2,0.194,0.097,true,false,non-roost,non-roost,,
KMKX20200605-39,KMKX20200605_110247_V06,46,0.101,310.72,198.964722,4.701096,-88.48,43.422479,2350.547791,20200605_060247,KMKX,20200605,110247,20200605,2,0.21400000000000002,0.10700000000000001,true,false,non-roost,non-roost,,
KMKX20200605-39,KMKX20200605_110638_V06,50,0.113,310.89,199.187314,9.825739,-88.48,43.421477,4912.869674,20200605_060638,KMKX,20200605,110638,20200605,2,0.21400000000000002,0.10700000000000001,true,false,non-roost,non-roost,,
KMKX20200605-2,KMKX20200605_095236_V06,-24,0.051,143.61,304.905884,29.044821,-89.51,42.941689,14522.410393,20200605_045236,KMKX,20200605,095236,20200605,1,0.051,0.051,true,false,non-roost,non-roost,,
KMKX20200605-4,KMKX20200605_100243_V06,-14,0.094,191.27,390.984192,15.110550,-89.21,42.556344,7555.274963,20200605_050243,KMKX,20200605,100243,20200605,1,0.094,0.094,true,false,non-roost,non-roost,,
KMKX20200605-5,KMKX20200605_101250_V06,-4,0.075,309.05,197.246399,7.139175,-88.49,43.430218,3569.587708,20200605_051250,KMKX,20200605,101250,20200605,1,0.075,0.075,true,false,non-roost,non-roost,,
KMKX20200605-6,KMKX20200605_101610_V06,0,0.070,193.64,396.230957,20.541321,-89.20,42.532812,10270.660400,20200605_051610,KMKX,20200605,101610,20200605,1,0.07,0.07,true,false,non-roost,non-roost,,
KMKX20200605-7,KMKX20200605_101610_V06,0,0.063,148.51,163.753662,5.458939,-89.49,43.577143,2729.469299,20200605_051610,KMKX,20200605,101610,20200605,1,0.063,0.063,true,false,non-roost,non-roost,,
KMKX20200605-8,KMKX20200605_101930_V06,3,0.143,307.09,159.064484,11.073196,-88.51,43.602055,5536.598206,20200605_051930,KMKX,20200605,101930,20200605,2,0.20299999999999999,0.10149999999999999,true,false,non-roost,non-roost,,
KMKX20200605-8,KMKX20200605_102247_V06,6,0.060,301.73,157.560730,7.657578,-88.54,43.608830,3828.788757,20200605_052247,KMKX,20200605,102247,20200605,2,0.20299999999999999,0.10149999999999999,true,false,non-roost,non-roost,,
KMKX20200605-9,KMKX20200605_101930_V06,3,0.092,213.93,159.836853,15.337433,-89.08,43.597354,7668.716431,20200605_051930,KMKX,20200605,101930,20200605,1,0.092,0.092,true,false,non-roost,non-roost,,
KMKX20200605-13,KMKX20200605_102621_V06,10,0.061,308.32,194.338867,9.409775,-88.50,43.443305,4704.887390,20200605_052621,KMKX,20200605,102621,20200605,1,0.061,0.061,true,false,non-roost,non-roost,,
KMKX20200605-14,KMKX20200605_102949_V06,13,0.130,207.54,166.918030,11.562019,-89.12,43.565298,5781.009674,20200605_052949,KMKX,20200605,102949,20200605,1,0.13,0.13,true,false,non-roost,non-roost,,
KMKX20200605-19,KMKX20200605_103646_V06,20,0.107,239.16,164.515503,15.234062,-88.93,43.576916,7617.031097,20200605_053646,KMKX,20200605,103646,20200605,5,-1.7750000000000001,-0.35500000000000004,true,false,non-roost,non-roost,,
KMKX20200605-19,KMKX20200605_104014_V06,24,-1.000,239.16,164.515503,21.594062,-88.93,43.576916,10797.031097,20200605_054014,KMKX,20200605,104014,20200605,5,-1.7750000000000001,-0.35500000000000004,true,false,non-roost,non-roost,,
KMKX20200605-19,KMKX20200605_104342_V06,27,0.059,229.10,168.484314,12.872826,-88.99,43.558835,6436.412811,20200605_054342,KMKX,20200605,104342,20200605,5,-1.7750000000000001,-0.35500000000000004,true,false,non-roost,non-roost,,
KMKX20200605-19,KMKX20200605_104733_V06,31,-1.000,229.10,168.484314,19.232826,-88.99,43.558835,9616.412811,20200605_054733,KMKX,20200605,104733,20200605,5,-1.7750000000000001,-0.35500000000000004,true,false,non-roost,non-roost,,
KMKX20200605-19,KMKX20200605_105117_V06,35,0.059,221.53,192.828094,28.373917,-89.04,43.449094,14186.958313,20200605_055117,KMKX,20200605,105117,20200605,5,-1.7750000000000001,-0.35500000000000004,true,false,non-roost,non-roost,,
KMKX20200605-30,KMKX20200605_104733_V06,31,0.058,303.19,159.000366,9.885193,-88.53,43.602350,4942.596436,20200605_054733,KMKX,20200605,104733,20200605,3,-0.8909999999999999,-0.297,true,false,non-roost,non-roost,,
KMKX20200605-30,KMKX20200605_105117_V06,35,-1.000,303.19,159.000366,16.245193,-88.53,43.602350,8122.596436,20200605_055117,KMKX,20200605,105117,20200605,3,-0.8909999999999999,-0.297,true,false,non-roost,non-roost,,
KMKX20200605-30,KMKX20200605_105521_V06,39,0.051,287.59,179.547394,28.659622,-88.63,43.509858,14329.811096,20200605_055521,KMKX,20200605,105521,20200605,3,-0.8909999999999999,-0.297,true,false,non-roost,non-roost,,
KMKX20200605-33,KMKX20200605_105117_V06,35,0.059,311.63,362.567017,8.332176,-88.48,42.686151,4166.088104,20200605_055117,KMKX,20200605,105117,20200605,1,0.059,0.059,true,false,non-roost,non-roost,,
KMKX20200605-35,KMKX20200605_105117_V06,35,0.056,257.20,477.975342,15.213152,-88.81,42.166402,7606.575966,20200605_055117,KMKX,20200605,105117,20200605,1,0.056,0.056,true,false,non-roost,non-roost,,
KMKX20200605-46,KMKX20200605_112122_V06,65,0.085,403.20,275.434784,7.037979,-87.92,43.076590,3518.989563,20200605_062122,KMKX,20200605,112122,20200605,1,0.085,0.085,true,false,non-roost,non-roost,,
KMKX20200606-11,KMKX20200606_095047_V06,-25,0.118,236.64,323.934204,5.686996,-88.94,42.859400,2843.498230,20200606_045047,KMKX,20200606,095047,20200606,4,0.594,0.1485,true,true,non-roost,non-roost,,
KMKX20200606-11,KMKX20200606_095510_V06,-20,0.063,235.12,323.492324,13.329375,-88.95,42.861356,6664.687645,20200606_045510,KMKX,20200606,095510,20200606,4,0.594,0.1485,true,true,non-roost,non-roost,,
KMKX20200606-11,KMKX20200606_100352_V06,-12,0.362,232.45,323.911604,14.735290,-88.96,42.859411,7367.645072,20200606_050352,KMKX,20200606,100352,20200606,4,0.594,0.1485,true,true,non-roost,non-roost,,
KMKX20200606-11,KMKX20200606_100816_V06,-7,0.051,243.20,329.407683,15.104893,-88.90,42.834893,7552.446432,20200606_050816,KMKX,20200606,100816,20200606,4,0.594,0.1485,true,true,non-roost,non-roost,,
KMKX20200606-1,KMKX20200606_094629_V06,-29,0.380,339.46,354.424042,11.826782,-88.31,42.722571,5913.391113,20200606_044629,KMKX,20200606,094629,20200606,3,1.0170000000000001,0.339,true,true,non-roost,swallow-roost,,
KMKX20200606-1,KMKX20200606_095047_V06,-25,0.558,339.78,355.245721,16.474429,-88.31,42.718868,8237.214522,20200606_045047,KMKX,20200606,095047,20200606,3,1.0170000000000001,0.339,true,true,non-roost,swallow-roost,,
KMKX20200606-1,KMKX20200606_095510_V06,-20,0.079,334.78,355.937981,17.866598,-88.34,42.715813,8933.298967,20200606_045510,KMKX,20200606,095510,20200606,3,1.0170000000000001,0.339,true,true,non-roost,swallow-roost,,
KMKX20200606-5,KMKX20200606_094629_V06,-29,0.105,309.71,199.033966,6.650787,-88.49,43.422171,3325.393677,20200606_044629,KMKX,20200606,094629,20200606,2,0.432,0.216,true,true,non-roost,non-roost,,
KMKX20200606-5,KMKX20200606_095047_V06,-25,0.327,309.75,199.095758,11.409840,-88.49,43.421893,5704.919810,20200606_045047,KMKX,20200606,095047,20200606,2,0.432,0.216,true,true,non-roost,non-roost,,
KMKX20200606-32,KMKX20200606_101659_V06,1,0.100,308.36,197.730255,7.168747,-88.50,43.428042,3584.373474,20200606_051659,KMKX,20200606,101659,20200606,2,0.15000000000000002,0.07500000000000001,true,false,non-roost,non-roost,,
KMKX20200606-32,KMKX20200606_102121_V06,6,0.050,308.06,197.369724,13.578012,-88.50,43.429666,6789.005806,20200606_052121,KMKX,20200606,102121,20200606,2,0.15000000000000002,0.07500000000000001,true,false,non-roost,non-roost,,
KMKX20200606-38,KMKX20200606_103239_V06,17,0.258,303.65,155.902496,6.422470,-88.53,43.616291,3211.235046,20200606_053239,KMKX,20200606,103239,20200606,2,0.385,0.1925,true,false,non-roost,non-roost,,
