track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time,station,date,time,local_date,length,tot_score,avg_score,viewed,user_labeled,label,original_label,notes,day_notes
KMQT20180603-4,KMQT20180603_110604_V06,67,0.096,242.06,92.386932,8.584908,-87.93,47.464230,4292.453766,20180603_070604,KMQT,20180603,110604,20180603,1,0.096,Infinity,true,false,non-roost,non-roost,,
KMQT20180609-1,KMQT20180609_101331_V06,16,0.071,372.10,308.173523,12.858978,-87.08,46.493381,6429.489136,20180609_061331,KMQT,20180609,101331,20180609,1,0.071,Infinity,true,false,non-roost,non-roost,,
KMQT20180610-1,KMQT20180610_102725_V06,30,0.349,515.39,367.953674,11.895416,-86.15,46.216899,5947.708130,20180610_062725,KMQT,20180610,102725,20180610,1,0.349,Infinity,true,false,non-roost,non-roost,,
KMQT20180624-4,KMQT20180624_105142_V06,53,0.063,333.72,365.415710,6.441727,-87.33,46.236656,3220.863342,20180624_065142,KMQT,20180624,105142,20180624,4,-0.609,-Infinity,true,false,non-roost,non-roost,,
KMQT20180624-4,KMQT20180624_110021_V06,62,0.245,334.36,366.810310,13.559006,-87.33,46.230375,6779.502844,20180624_070021,KMQT,20180624,110021,20180624,4,-0.609,-Infinity,true,false,non-roost,non-roost,,
KMQT20180624-4,KMQT20180624_110442_V06,66,-1.000,334.63,367.387386,16.942707,-87.32,46.227776,8471.353672,20180624_070442,KMQT,20180624,110442,20180624,4,-0.609,-Infinity,true,false,non-roost,non-roost,,
KMQT20180624-4,KMQT20180624_110902_V06,71,0.083,335.10,369.049164,7.993179,-87.32,46.220295,3996.589661,20180624_070902,KMQT,20180624,110902,20180624,4,-0.609,-Infinity,true,false,non-roost,non-roost,,
KMQT20180624-3,KMQT20180624_104302_V06,45,0.077,328.11,360.332642,9.447899,-87.37,46.259584,4723.949432,20180624_064302,KMQT,20180624,104302,20180624,1,0.077,Infinity,true,false,non-roost,non-roost,,
KMQT20180627-1,KMQT20180627_094045_V06,-19,0.164,284.74,373.765137,5.278122,-87.65,46.199265,2639.060974,20180627_054045,KMQT,20180627,094045,20180627,1,0.164,Infinity,true,false,non-roost,non-roost,,
KMQT20180629-2,KMQT20180629_093948_V06,-21,0.409,298.29,287.240570,8.188171,-87.56,46.588500,4094.085693,20180629_053948,KMQT,20180629,093948,20180629,3,0.9909999999999999,Infinity,true,true,non-roost,swallow-roost,,
KMQT20180629-2,KMQT20180629_094515_V06,-15,0.503,297.99,287.152251,13.440247,-87.56,46.588898,6720.123376,20180629_054515,KMQT,20180629,094515,20180629,3,0.9909999999999999,Infinity,true,true,non-roost,swallow-roost,,
KMQT20180629-2,KMQT20180629_095043_V06,-10,0.079,297.10,287.412948,15.511024,-87.57,46.587724,7755.511927,20180629_055043,KMQT,20180629,095043,20180629,3,0.9909999999999999,Infinity,true,true,non-roost,swallow-roost,,
KMQT20180629-6,KMQT20180629_101757_V06,17,0.394,276.13,363.947571,12.625549,-87.70,46.243365,6312.774658,20180629_061757,KMQT,20180629,101757,20180629,1,0.394,Infinity,true,false,non-roost,non-roost,,
