track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time,station,date,time,local_date,length,tot_score,avg_score,viewed,user_labeled,label,original_label,notes,day_notes
KTYX20060601-1,KTYX20060601_085813,-25,0.249,244.54,273.465698,37.622795,-76.03,43.874717,18811.397552,20060601_045813,KTYX,20060601,085813,20060601,1,0.249,Infinity,true,false,non-roost,non-roost,,
KTYX20060601-2,KTYX20060601_091524,-8,0.057,362.10,537.422363,28.422897,-75.30,42.686659,14211.448669,20060601_051524,KTYX,20060601,091524,20060601,1,0.057,Infinity,true,false,non-roost,non-roost,,
KTYX20060601-3,KTYX20060601_100658,43,0.274,334.33,542.466125,15.854038,-75.47,42.664398,7927.019119,20060601_060658,KTYX,20060601,100658,20060601,1,0.274,Infinity,true,false,non-roost,non-roost,,
KTYX20060602-1,KTYX20060602_090422,-19,0.100,98.35,384.107361,20.465042,-76.92,43.370524,10232.521057,20060602_050422,KTYX,20060602,090422,20060602,2,0.151,Infinity,true,false,non-roost,non-roost,,
KTYX20060602-1,KTYX20060602_091010,-13,0.051,98.64,382.953514,28.324870,-76.92,43.375735,14162.435027,20060602_051010,KTYX,20060602,091010,20060602,2,0.151,Infinity,true,false,non-roost,non-roost,,
KTYX20060602-2,KTYX20060602_091010,-13,0.116,284.20,472.798706,5.936829,-75.78,42.978116,2968.414307,20060602_051010,KTYX,20060602,091010,20060602,2,0.202,Infinity,true,false,non-roost,non-roost,,
KTYX20060602-2,KTYX20060602_091558,-8,0.086,284.46,472.805761,13.330870,-75.78,42.978086,6665.435015,20060602_051558,KTYX,20060602,091558,20060602,2,0.202,Infinity,true,false,non-roost,non-roost,,
KTYX20060602-5,KTYX20060602_092734,4,0.074,537.43,549.499817,42.032948,-74.23,42.623664,21016.473770,20060602_052734,KTYX,20060602,092734,20060602,1,0.074,Infinity,true,false,non-roost,non-roost,,
KTYX20060603-5,KTYX20060603_100226,40,0.057,146.75,109.131775,49.376793,-76.65,44.610662,24688.396454,20060603_060226,KTYX,20060603,100226,20060603,2,0.126,Infinity,true,false,non-roost,non-roost,,weather
KTYX20060603-5,KTYX20060603_100812,46,0.069,146.77,108.932681,56.201716,-76.65,44.611559,28100.858167,20060603_060812,KTYX,20060603,100812,20060603,2,0.126,Infinity,true,false,non-roost,non-roost,,weather
KTYX20060603-1,KTYX20060603_091602,-6,0.091,400.46,544.750549,36.581993,-75.07,42.652650,18290.996552,20060603_051602,KTYX,20060603,091602,20060603,1,0.091,Infinity,true,false,non-roost,non-roost,,weather
KTYX20060603-2,KTYX20060603_092149,-1,0.480,540.14,469.865448,32.108078,-74.21,42.981801,16054.039001,20060603_052149,KTYX,20060603,092149,20060603,1,0.48,Infinity,true,false,non-roost,non-roost,,weather
KTYX20060603-3,KTYX20060603_100226,40,0.162,200.11,43.819824,13.913155,-76.31,44.906835,6956.577301,20060603_060226,KTYX,20060603,100226,20060603,1,0.162,Infinity,true,false,non-roost,non-roost,,weather
KTYX20060604-1,KTYX20060604_085305,-29,0.127,515.44,519.471558,15.289932,-74.36,42.760435,7644.966125,20060604_045305,KTYX,20060604,085305,20060604,2,0.46,Infinity,true,false,non-roost,non-roost,,weather
KTYX20060604-1,KTYX20060604_085852,-24,0.333,515.41,519.590808,20.720265,-74.36,42.759901,10360.132419,20060604_045852,KTYX,20060604,085852,20060604,2,0.46,Infinity,true,false,non-roost,non-roost,,weather
KTYX20060604-2,KTYX20060604_104308,81,0.090,462.21,222.357880,40.421432,-74.67,44.100748,20210.716248,20060604_064308,KTYX,20060604,104308,20060604,1,0.09,Infinity,true,false,non-roost,non-roost,,weather
KTYX20060605-1,KTYX20060605_091633,-6,0.142,185.88,563.616760,34.057892,-76.37,42.567254,17028.945923,20060605_051633,KTYX,20060605,091633,20060605,4,-0.5619999999999999,-Infinity,true,false,non-roost,non-roost,,
