filename,local_time
KBUF20190601_091314_V06,20190601_051314
KBUF20190601_091844_V06,20190601_051844
KBUF20190601_092415_V06,20190601_052415
KBUF20190601_092941_V06,20190601_052941
KBUF20190601_093513_V06,20190601_053513
KBUF20190601_094119_V06,20190601_054119
KBUF20190601_094713_V06,20190601_054713
KBUF20190601_095239_V06,20190601_055239
KBUF20190601_100423_V06,20190601_060423
KBUF20190601_101031_V06,20190601_061031
KBUF20190601_101614_V06,20190601_061614
KBUF20190601_102212_V06,20190601_062212
KBUF20190601_102834_V06,20190601_062834
KBUF20190601_103440_V06,20190601_063440
KBUF20190601_104047_V06,20190601_064047
KBUF20190601_104654_V06,20190601_064654
KBUF20190601_105314_V06,20190601_065314
KBUF20190601_110556_V06,20190601_070556
KBUF20190602_091215_V06,20190602_051215
KBUF20190602_091830_V06,20190602_051830
KBUF20190602_092500_V06,20190602_052500
KBUF20190602_093156_V06,20190602_053156
KBUF20190602_093825_V06,20190602_053825
KBUF20190602_094441_V06,20190602_054441
KBUF20190602_095056_V06,20190602_055056
KBUF20190602_100248_V06,20190602_060248
KBUF20190602_100837_V06,20190602_060837
KBUF20190602_101425_V06,20190602_061425
KBUF20190602_102014_V06,20190602_062014
KBUF20190602_102518_V06,20190602_062518
KBUF20190602_103022_V06,20190602_063022
KBUF20190602_103527_V06,20190602_063527
KBUF20190602_104032_V06,20190602_064032
KBUF20190602_104536_V06,20190602_064536
KBUF20190602_105040_V06,20190602_065040
KBUF20190602_110049_V06,20190602_070049
KBUF20190602_110554_V06,20190602_070554
KBUF20190603_090907_V06,20190603_050907
KBUF20190603_091749_V06,20190603_051749
KBUF20190603_092312_V06,20190603_052312
KBUF20190603_092849_V06,20190603_052849
KBUF20190603_093428_V06,20190603_053428
KBUF20190603_094005_V06,20190603_054005
KBUF20190603_094535_V06,20190603_054535
KBUF20190603_095104_V06,20190603_055104
KBUF20190603_100147_V06,20190603_060147
KBUF20190603_100705_V06,20190603_060705
KBUF20190603_101221_V06,20190603_061221
KBUF20190603_101737_V06,20190603_061737
KBUF20190603_102316_V06,20190603_062316
KBUF20190603_102832_V06,20190603_062832
KBUF20190603_103401_V06,20190603_063401
KBUF20190603_103939_V06,20190603_063939
KBUF20190603_104501_V06,20190603_064501
KBUF20190603_105023_V06,20190603_065023
KBUF20190603_110056_V06,20190603_070056
KBUF20190603_110613_V06,20190603_070613
KBUF20190604_091155_V06,20190604_051155
KBUF20190604_091724_V06,20190604_051724
KBUF20190604_092246_V06,20190604_052246
KBUF20190604_092824_V06,20190604_052824
KBUF20190604_093347_V06,20190604_053347
KBUF20190604_093924_V06,20190604_053924
KBUF20190604_094501_V06,20190604_054501
KBUF20190604_095040_V06,20190604_055040
KBUF20190604_100141_V06,20190604_060141
KBUF20190604_100719_V06,20190604_060719
KBUF20190604_101257_V06,20190604_061257
KBUF20190604_101835_V06,20190604_061835
KBUF20190604_102412_V06,20190604_062412
KBUF20190604_102951_V06,20190604_062951
KBUF20190604_103529_V06,20190604_063529
KBUF20190604_104107_V06,20190604_064107
KBUF20190604_104645_V06,20190604_064645
KBUF20190604_105223_V06,20190604_065223
