filename,local_time
KCLE20150601_093238_V06,20150601_053238
KCLE20150601_094203_V06,20150601_054203
KCLE20150601_095129_V06,20150601_055129
KCLE20150601_100054_V06,20150601_060054
KCLE20150601_101019_V06,20150601_061019
KCLE20150601_101946_V06,20150601_061946
KCLE20150601_102911_V06,20150601_062911
KCLE20150601_103837_V06,20150601_063837
KCLE20150601_104802_V06,20150601_064802
KCLE20150601_105728_V06,20150601_065728
KCLE20150601_110653_V06,20150601_070653
KCLE20150601_111619_V06,20150601_071619
KCLE20150601_112545_V06,20150601_072545
KCLE20150602_092756_V06,20150602_052756
KCLE20150602_093723_V06,20150602_053723
KCLE20150602_094650_V06,20150602_054650
KCLE20150602_095616_V06,20150602_055616
KCLE20150602_100542_V06,20150602_060542
KCLE20150602_101508_V06,20150602_061508
KCLE20150602_102435_V06,20150602_062435
KCLE20150602_103401_V06,20150602_063401
KCLE20150602_104327_V06,20150602_064327
KCLE20150602_105254_V06,20150602_065254
KCLE20150602_110221_V06,20150602_070221
KCLE20150602_111147_V06,20150602_071147
KCLE20150602_112113_V06,20150602_072113
KCLE20150603_093355_V06,20150603_053355
KCLE20150603_094322_V06,20150603_054322
KCLE20150603_095247_V06,20150603_055247
KCLE20150603_100213_V06,20150603_060213
KCLE20150603_101139_V06,20150603_061139
KCLE20150603_102106_V06,20150603_062106
KCLE20150603_103032_V06,20150603_063032
KCLE20150603_103958_V06,20150603_063958
KCLE20150603_104924_V06,20150603_064924
KCLE20150603_105909_V06,20150603_065909
KCLE20150603_110834_V06,20150603_070834
KCLE20150603_111758_V06,20150603_071758
KCLE20150604_093125_V06,20150604_053125
KCLE20150604_094051_V06,20150604_054051
KCLE20150604_095017_V06,20150604_055017
KCLE20150604_095942_V06,20150604_055942
KCLE20150604_100909_V06,20150604_060909
KCLE20150604_101835_V06,20150604_061835
KCLE20150604_102800_V06,20150604_062800
KCLE20150604_103726_V06,20150604_063726
KCLE20150604_104652_V06,20150604_064652
KCLE20150604_105618_V06,20150604_065618
KCLE20150604_110543_V06,20150604_070543
KCLE20150604_111509_V06,20150604_071509
KCLE20150604_112435_V06,20150604_072435
KCLE20150605_092508_V06,20150605_052508
KCLE20150605_093241_V06,20150605_053241
KCLE20150605_093814_V06,20150605_053814
KCLE20150605_094333_V06,20150605_054333
KCLE20150605_094851_V06,20150605_054851
KCLE20150605_095409_V06,20150605_055409
KCLE20150605_095927_V06,20150605_055927
KCLE20150605_100445_V06,20150605_060445
KCLE20150605_101003_V06,20150605_061003
KCLE20150605_101535_V06,20150605_061535
KCLE20150605_102054_V06,20150605_062054
KCLE20150605_102612_V06,20150605_062612
KCLE20150605_103117_V06,20150605_063117
KCLE20150605_103622_V06,20150605_063622
KCLE20150605_104127_V06,20150605_064127
KCLE20150605_104632_V06,20150605_064632
KCLE20150605_105156_V06,20150605_065156
KCLE20150605_110118_V06,20150605_070118
KCLE20150605_111040_V06,20150605_071040
KCLE20150605_112002_V06,20150605_072002
KCLE20150606_093143_V06,20150606_053143
KCLE20150606_094345_V06,20150606_054345
KCLE20150606_095311_V06,20150606_055311
KCLE20150606_100236_V06,20150606_060236
KCLE20150606_101202_V06,20150606_061202
KCLE20150606_102127_V06,20150606_062127
KCLE20150606_103052_V06,20150606_063052
KCLE20150606_104017_V06,20150606_064017
KCLE20150606_104942_V06,20150606_064942
KCLE20150606_105908_V06,20150606_065908
KCLE20150606_110834_V06,20150606_070834
KCLE20150606_111759_V06,20150606_071759
KCLE20150607_092544_V06,20150607_052544
KCLE20150607_093511_V06,20150607_053511
KCLE20150607_094435_V06,20150607_054435
KCLE20150607_095609_V06,20150607_055609
KCLE20150607_100534_V06,20150607_060534
KCLE20150607_101458_V06,20150607_061458
KCLE20150607_102423_V06,20150607_062423
KCLE20150607_103348_V06,20150607_063348
KCLE20150607_104313_V06,20150607_064313
KCLE20150607_105238_V06,20150607_065238
KCLE20150607_110203_V06,20150607_070203
KCLE20150607_111128_V06,20150607_071128
KCLE20150607_112052_V06,20150607_072052
KCLE20150608_092812_V06,20150608_052812
KCLE20150608_093256_V06,20150608_053256
KCLE20150608_093741_V06,20150608_053741
KCLE20150608_094225_V06,20150608_054225
KCLE20150608_094709_V06,20150608_054709
KCLE20150608_095154_V06,20150608_055154
KCLE20150608_095639_V06,20150608_055639
KCLE20150608_100331_V06,20150608_060331
KCLE20150608_100816_V06,20150608_060816
KCLE20150608_101300_V06,20150608_061300
KCLE20150608_101744_V06,20150608_061744
KCLE20150608_102228_V06,20150608_062228
KCLE20150608_102713_V06,20150608_062713
KCLE20150608_103157_V06,20150608_063157
KCLE20150608_103641_V06,20150608_063641
KCLE20150608_104126_V06,20150608_064126
KCLE20150608_104610_V06,20150608_064610
KCLE20150608_105054_V06,20150608_065054
KCLE20150608_105539_V06,20150608_065539
KCLE20150608_110023_V06,20150608_070023
KCLE20150608_110507_V06,20150608_070507
KCLE20150608_110951_V06,20150608_070951
KCLE20150608_111436_V06,20150608_071436
KCLE20150608_111920_V06,20150608_071920
KCLE20150608_112350_V06,20150608_072350
KCLE20150609_092536_V06,20150609_052536
KCLE20150609_092842_V06,20150609_052842
KCLE20150609_093359_V06,20150609_053359
KCLE20150609_093921_V06,20150609_053921
KCLE20150609_094352_V06,20150609_054352
KCLE20150609_094812_V06,20150609_054812
KCLE20150609_095317_V06,20150609_055317
KCLE20150609_095751_V06,20150609_055751
KCLE20150609_100226_V06,20150609_060226
KCLE20150609_100914_V06,20150609_060914
KCLE20150609_101340_V06,20150609_061340
KCLE20150609_101836_V06,20150609_061836
KCLE20150609_102240_V06,20150609_062240
KCLE20150609_102700_V06,20150609_062700
KCLE20150609_103109_V06,20150609_063109
KCLE20150609_103550_V06,20150609_063550
KCLE20150609_104003_V06,20150609_064003
KCLE20150609_104354_V06,20150609_064354
KCLE20150609_104815_V06,20150609_064815
KCLE20150609_105205_V06,20150609_065205
KCLE20150609_105550_V06,20150609_065550
KCLE20150609_105958_V06,20150609_065958
KCLE20150609_110408_V06,20150609_070408
KCLE20150609_110749_V06,20150609_070749
KCLE20150609_111126_V06,20150609_071126
KCLE20150609_111521_V06,20150609_071521
KCLE20150609_111936_V06,20150609_071936
KCLE20150609_112321_V06,20150609_072321
KCLE20150610_092730_V06,20150610_052730
KCLE20150610_093235_V06,20150610_053235
KCLE20150610_093755_V06,20150610_053755
KCLE20150610_094314_V06,20150610_054314
KCLE20150610_094848_V06,20150610_054848
KCLE20150610_095406_V06,20150610_055406
KCLE20150610_095938_V06,20150610_055938
KCLE20150610_100512_V06,20150610_060512
KCLE20150610_101044_V06,20150610_061044
KCLE20150610_101818_V06,20150610_061818
KCLE20150610_102351_V06,20150610_062351
KCLE20150610_102924_V06,20150610_062924
KCLE20150610_103457_V06,20150610_063457
KCLE20150610_104031_V06,20150610_064031
KCLE20150610_104603_V06,20150610_064603
KCLE20150610_105136_V06,20150610_065136
KCLE20150610_105709_V06,20150610_065709
KCLE20150610_110242_V06,20150610_070242
KCLE20150610_110814_V06,20150610_070814
KCLE20150610_111348_V06,20150610_071348
KCLE20150610_111922_V06,20150610_071922
KCLE20150611_092732_V06,20150611_052732
KCLE20150611_093237_V06,20150611_053237
KCLE20150611_093742_V06,20150611_053742
KCLE20150611_094247_V06,20150611_054247
KCLE20150611_094752_V06,20150611_054752
KCLE20150611_095256_V06,20150611_055256
KCLE20150611_095801_V06,20150611_055801
KCLE20150611_100305_V06,20150611_060305
KCLE20150611_100810_V06,20150611_060810
KCLE20150611_101316_V06,20150611_061316
KCLE20150611_101821_V06,20150611_061821
KCLE20150611_102535_V06,20150611_062535
KCLE20150611_103039_V06,20150611_063039
KCLE20150611_103611_V06,20150611_063611
KCLE20150611_104532_V06,20150611_064532
KCLE20150611_105453_V06,20150611_065453
KCLE20150611_110415_V06,20150611_070415
KCLE20150611_111337_V06,20150611_071337
KCLE20150611_112259_V06,20150611_072259
KCLE20150612_092539_V06,20150612_052539
KCLE20150612_092944_V06,20150612_052944
KCLE20150612_093349_V06,20150612_053349
KCLE20150612_093754_V06,20150612_053754
KCLE20150612_094159_V06,20150612_054159
KCLE20150612_094602_V06,20150612_054602
KCLE20150612_095007_V06,20150612_055007
KCLE20150612_095411_V06,20150612_055411
KCLE20150612_095816_V06,20150612_055816
KCLE20150612_100221_V06,20150612_060221
KCLE20150612_100626_V06,20150612_060626
KCLE20150612_101031_V06,20150612_061031
KCLE20150612_101430_V06,20150612_061430
KCLE20150612_101823_V06,20150612_061823
KCLE20150612_102234_V06,20150612_062234
KCLE20150612_102633_V06,20150612_062633
KCLE20150612_103242_V06,20150612_063242
KCLE20150612_103640_V06,20150612_063640
KCLE20150612_104044_V06,20150612_064044
KCLE20150612_104436_V06,20150612_064436
KCLE20150612_104828_V06,20150612_064828
KCLE20150612_105221_V06,20150612_065221
KCLE20150612_105613_V06,20150612_065613
KCLE20150612_110006_V06,20150612_070006
KCLE20150612_110359_V06,20150612_070359
KCLE20150612_110752_V06,20150612_070752
KCLE20150612_111144_V06,20150612_071144
KCLE20150612_111536_V06,20150612_071536
KCLE20150612_111929_V06,20150612_071929
KCLE20150612_112320_V06,20150612_072320
KCLE20150613_092711_V06,20150613_052711
KCLE20150613_093243_V06,20150613_053243
KCLE20150613_093817_V06,20150613_053817
KCLE20150613_094349_V06,20150613_054349
KCLE20150613_094922_V06,20150613_054922
KCLE20150613_095456_V06,20150613_055456
KCLE20150613_100028_V06,20150613_060028
KCLE20150613_100601_V06,20150613_060601
KCLE20150613_101133_V06,20150613_061133
KCLE20150613_101705_V06,20150613_061705
KCLE20150613_102239_V06,20150613_062239
KCLE20150613_102812_V06,20150613_062812
KCLE20150613_103346_V06,20150613_063346
KCLE20150613_103919_V06,20150613_063919
KCLE20150613_104451_V06,20150613_064451
KCLE20150613_105023_V06,20150613_065023
KCLE20150613_105556_V06,20150613_065556
KCLE20150613_110129_V06,20150613_070129
KCLE20150613_110702_V06,20150613_070702
KCLE20150613_111234_V06,20150613_071234
KCLE20150613_111806_V06,20150613_071806
KCLE20150614_092745_V06,20150614_052745
KCLE20150614_093230_V06,20150614_053230
KCLE20150614_093715_V06,20150614_053715
KCLE20150614_094159_V06,20150614_054159
KCLE20150614_094643_V06,20150614_054643
KCLE20150614_095127_V06,20150614_055127
KCLE20150614_095557_V06,20150614_055557
KCLE20150614_095949_V06,20150614_055949
KCLE20150614_100351_V06,20150614_060351
KCLE20150614_100753_V06,20150614_060753
KCLE20150614_101143_V06,20150614_061143
KCLE20150614_101534_V06,20150614_061534
KCLE20150614_101925_V06,20150614_061925
KCLE20150614_102301_V06,20150614_062301
KCLE20150614_102639_V06,20150614_062639
KCLE20150614_103016_V06,20150614_063016
KCLE20150614_103354_V06,20150614_063354
KCLE20150614_103731_V06,20150614_063731
KCLE20150614_104108_V06,20150614_064108
KCLE20150614_104445_V06,20150614_064445
KCLE20150614_104822_V06,20150614_064822
