filename,local_time
KDLH20160601_094931_V06,20160601_044931
KDLH20160601_095351_V06,20160601_045351
KDLH20160601_095810_V06,20160601_045810
KDLH20160601_100746_V06,20160601_050746
KDLH20160601_101722_V06,20160601_051722
KDLH20160601_102659_V06,20160601_052659
KDLH20160601_103637_V06,20160601_053637
KDLH20160601_104614_V06,20160601_054614
KDLH20160601_105551_V06,20160601_055551
KDLH20160601_110529_V06,20160601_060529
KDLH20160601_111506_V06,20160601_061506
KDLH20160601_112654_V06,20160601_062654
KDLH20160601_113633_V06,20160601_063633
KDLH20160601_114610_V06,20160601_064610
KDLH20160602_095351_V06,20160602_045351
KDLH20160602_100330_V06,20160602_050330
KDLH20160602_101309_V06,20160602_051309
KDLH20160602_102248_V06,20160602_052248
KDLH20160602_103226_V06,20160602_053226
KDLH20160602_104206_V06,20160602_054206
KDLH20160602_105145_V06,20160602_055145
KDLH20160602_110124_V06,20160602_060124
KDLH20160602_111102_V06,20160602_061102
KDLH20160602_112040_V06,20160602_062040
KDLH20160602_113019_V06,20160602_063019
KDLH20160602_114202_V06,20160602_064202
KDLH20160603_095510_V06,20160603_045510
KDLH20160603_100450_V06,20160603_050450
KDLH20160603_101429_V06,20160603_051429
KDLH20160603_102407_V06,20160603_052407
KDLH20160603_103346_V06,20160603_053346
KDLH20160603_104325_V06,20160603_054325
KDLH20160603_105305_V06,20160603_055305
KDLH20160603_105638_V06,20160603_055638
KDLH20160603_110002_V06,20160603_060002
KDLH20160603_110326_V06,20160603_060326
KDLH20160603_110650_V06,20160603_060650
KDLH20160603_111013_V06,20160603_061013
KDLH20160603_111337_V06,20160603_061337
KDLH20160603_111700_V06,20160603_061700
KDLH20160603_112023_V06,20160603_062023
KDLH20160603_112347_V06,20160603_062347
KDLH20160603_112712_V06,20160603_062712
KDLH20160603_113035_V06,20160603_063035
KDLH20160603_113358_V06,20160603_063358
KDLH20160603_113721_V06,20160603_063721
KDLH20160603_114045_V06,20160603_064045
KDLH20160603_114410_V06,20160603_064410
KDLH20160604_094735_V06,20160604_044735
KDLH20160604_095111_V06,20160604_045111
KDLH20160604_095447_V06,20160604_045447
KDLH20160604_095824_V06,20160604_045824
KDLH20160604_100147_V06,20160604_050147
KDLH20160604_100510_V06,20160604_050510
KDLH20160604_100832_V06,20160604_050832
KDLH20160604_101156_V06,20160604_051156
KDLH20160604_101520_V06,20160604_051520
KDLH20160604_101842_V06,20160604_051842
KDLH20160604_102204_V06,20160604_052204
KDLH20160604_102608_V06,20160604_052608
KDLH20160604_102949_V06,20160604_052949
KDLH20160604_103329_V06,20160604_053329
KDLH20160604_103704_V06,20160604_053704
KDLH20160604_104045_V06,20160604_054045
KDLH20160604_104421_V06,20160604_054421
KDLH20160604_104757_V06,20160604_054757
KDLH20160604_105132_V06,20160604_055132
KDLH20160604_105508_V06,20160604_055508
KDLH20160604_105844_V06,20160604_055844
KDLH20160604_110220_V06,20160604_060220
KDLH20160604_110556_V06,20160604_060556
KDLH20160604_110932_V06,20160604_060932
KDLH20160604_111308_V06,20160604_061308
KDLH20160604_111648_V06,20160604_061648
KDLH20160604_112028_V06,20160604_062028
KDLH20160604_112404_V06,20160604_062404
KDLH20160604_112741_V06,20160604_062741
KDLH20160604_113117_V06,20160604_063117
KDLH20160604_113506_V06,20160604_063506
KDLH20160604_113842_V06,20160604_063842
KDLH20160604_114218_V06,20160604_064218
KDLH20160604_114608_V06,20160604_064608
KDLH20160605_094957_V06,20160605_044957
KDLH20160605_095935_V06,20160605_045935
KDLH20160605_100913_V06,20160605_050913
KDLH20160605_101850_V06,20160605_051850
KDLH20160605_102828_V06,20160605_052828
KDLH20160605_103806_V06,20160605_053806
KDLH20160605_104743_V06,20160605_054743
KDLH20160605_105721_V06,20160605_055721
KDLH20160605_110700_V06,20160605_060700
KDLH20160605_111638_V06,20160605_061638
KDLH20160605_112616_V06,20160605_062616
KDLH20160605_113555_V06,20160605_063555
KDLH20160605_114534_V06,20160605_064534
KDLH20160606_094840_V06,20160606_044840
KDLH20160606_095203_V06,20160606_045203
KDLH20160606_095526_V06,20160606_045526
KDLH20160606_095850_V06,20160606_045850
KDLH20160606_100213_V06,20160606_050213
KDLH20160606_100536_V06,20160606_050536
KDLH20160606_100859_V06,20160606_050859
KDLH20160606_101222_V06,20160606_051222
KDLH20160606_101545_V06,20160606_051545
KDLH20160606_101909_V06,20160606_051909
KDLH20160606_102232_V06,20160606_052232
KDLH20160606_102609_V06,20160606_052609
KDLH20160606_102948_V06,20160606_052948
KDLH20160606_103327_V06,20160606_053327
KDLH20160606_103705_V06,20160606_053705
KDLH20160606_104043_V06,20160606_054043
KDLH20160606_104421_V06,20160606_054421
KDLH20160606_104759_V06,20160606_054759
KDLH20160606_105137_V06,20160606_055137
KDLH20160606_105515_V06,20160606_055515
KDLH20160606_105853_V06,20160606_055853
KDLH20160606_110231_V06,20160606_060231
KDLH20160606_110608_V06,20160606_060608
KDLH20160606_110931_V06,20160606_060931
KDLH20160606_111254_V06,20160606_061254
KDLH20160606_111617_V06,20160606_061617
KDLH20160606_111941_V06,20160606_061941
KDLH20160606_112308_V06,20160606_062308
KDLH20160606_112640_V06,20160606_062640
KDLH20160606_113019_V06,20160606_063019
KDLH20160606_113347_V06,20160606_063347
KDLH20160606_113714_V06,20160606_063714
KDLH20160606_114041_V06,20160606_064041
KDLH20160606_114422_V06,20160606_064422
KDLH20160607_095429_V06,20160607_045429
KDLH20160607_100408_V06,20160607_050408
KDLH20160607_101346_V06,20160607_051346
KDLH20160607_102325_V06,20160607_052325
KDLH20160607_103304_V06,20160607_053304
KDLH20160607_104242_V06,20160607_054242
KDLH20160607_105221_V06,20160607_055221
KDLH20160607_110200_V06,20160607_060200
KDLH20160607_111138_V06,20160607_061138
KDLH20160607_112117_V06,20160607_062117
KDLH20160607_113055_V06,20160607_063055
KDLH20160607_114034_V06,20160607_064034
KDLH20160608_094918_V06,20160608_044918
KDLH20160608_095857_V06,20160608_045857
KDLH20160608_100836_V06,20160608_050836
KDLH20160608_101815_V06,20160608_051815
KDLH20160608_102754_V06,20160608_052754
KDLH20160608_103734_V06,20160608_053734
KDLH20160608_104713_V06,20160608_054713
KDLH20160608_105652_V06,20160608_055652
KDLH20160608_110818_V06,20160608_060818
KDLH20160608_111152_V06,20160608_061152
KDLH20160608_111737_V06,20160608_061737
KDLH20160608_112311_V06,20160608_062311
KDLH20160608_112813_V06,20160608_062813
KDLH20160608_113307_V06,20160608_063307
KDLH20160608_113809_V06,20160608_063809
KDLH20160608_114311_V06,20160608_064311
KDLH20160609_094632_V06,20160609_044632
KDLH20160609_095032_V06,20160609_045032
KDLH20160609_095430_V06,20160609_045430
KDLH20160609_095829_V06,20160609_045829
KDLH20160609_100235_V06,20160609_050235
KDLH20160609_100634_V06,20160609_050634
KDLH20160609_101033_V06,20160609_051033
KDLH20160609_101432_V06,20160609_051432
KDLH20160609_101838_V06,20160609_051838
KDLH20160609_102250_V06,20160609_052250
KDLH20160609_102702_V06,20160609_052702
KDLH20160609_103107_V06,20160609_053107
KDLH20160609_103507_V06,20160609_053507
KDLH20160609_103918_V06,20160609_053918
KDLH20160609_104317_V06,20160609_054317
KDLH20160609_104717_V06,20160609_054717
KDLH20160609_105116_V06,20160609_055116
KDLH20160609_105528_V06,20160609_055528
KDLH20160609_105929_V06,20160609_055929
KDLH20160609_110328_V06,20160609_060328
KDLH20160609_110727_V06,20160609_060727
KDLH20160609_111126_V06,20160609_061126
KDLH20160609_111526_V06,20160609_061526
KDLH20160609_111926_V06,20160609_061926
KDLH20160609_112325_V06,20160609_062325
KDLH20160609_112725_V06,20160609_062725
KDLH20160609_113125_V06,20160609_063125
KDLH20160609_113524_V06,20160609_063524
KDLH20160609_113923_V06,20160609_063923
KDLH20160609_114323_V06,20160609_064323
KDLH20160610_094514_V06,20160610_044514
KDLH20160610_094945_V06,20160610_044945
KDLH20160610_095417_V06,20160610_045417
KDLH20160610_095849_V06,20160610_045849
KDLH20160610_100322_V06,20160610_050322
