filename,local_time
KDTX20160601_093211_V06,20160601_053211
KDTX20160601_093708_V06,20160601_053708
KDTX20160601_094203_V06,20160601_054203
KDTX20160601_094700_V06,20160601_054700
KDTX20160601_095156_V06,20160601_055156
KDTX20160601_095653_V06,20160601_055653
KDTX20160601_100149_V06,20160601_060149
KDTX20160601_100644_V06,20160601_060644
KDTX20160601_101140_V06,20160601_061140
KDTX20160601_101635_V06,20160601_061635
KDTX20160601_102130_V06,20160601_062130
KDTX20160601_102626_V06,20160601_062626
KDTX20160601_103121_V06,20160601_063121
KDTX20160601_103617_V06,20160601_063617
KDTX20160601_104113_V06,20160601_064113
KDTX20160601_104609_V06,20160601_064609
KDTX20160601_105106_V06,20160601_065106
KDTX20160601_105602_V06,20160601_065602
KDTX20160601_110059_V06,20160601_070059
KDTX20160601_110555_V06,20160601_070555
KDTX20160601_111050_V06,20160601_071050
KDTX20160601_111544_V06,20160601_071544
KDTX20160601_112039_V06,20160601_072039
KDTX20160601_112535_V06,20160601_072535
KDTX20160602_092836_V06,20160602_052836
KDTX20160602_093331_V06,20160602_053331
KDTX20160602_093827_V06,20160602_053827
KDTX20160602_094324_V06,20160602_054324
KDTX20160602_094819_V06,20160602_054819
KDTX20160602_095314_V06,20160602_055314
KDTX20160602_095810_V06,20160602_055810
KDTX20160602_100306_V06,20160602_060306
KDTX20160602_100801_V06,20160602_060801
KDTX20160602_101258_V06,20160602_061258
KDTX20160602_101753_V06,20160602_061753
KDTX20160602_102248_V06,20160602_062248
KDTX20160602_102745_V06,20160602_062745
KDTX20160602_103240_V06,20160602_063240
KDTX20160602_103735_V06,20160602_063735
KDTX20160602_104230_V06,20160602_064230
KDTX20160602_104726_V06,20160602_064726
KDTX20160602_105223_V06,20160602_065223
KDTX20160602_105719_V06,20160602_065719
KDTX20160602_110701_V06,20160602_070701
KDTX20160602_111641_V06,20160602_071641
KDTX20160602_112621_V06,20160602_072621
KDTX20160603_093102_V06,20160603_053102
KDTX20160603_094044_V06,20160603_054044
KDTX20160603_095027_V06,20160603_055027
KDTX20160603_100009_V06,20160603_060009
KDTX20160603_100950_V06,20160603_060950
KDTX20160603_101933_V06,20160603_061933
KDTX20160603_102915_V06,20160603_062915
KDTX20160603_103857_V06,20160603_063857
KDTX20160603_104839_V06,20160603_064839
KDTX20160603_105821_V06,20160603_065821
KDTX20160603_110803_V06,20160603_070803
KDTX20160603_111746_V06,20160603_071746
KDTX20160604_092925_V06,20160604_052925
KDTX20160604_093420_V06,20160604_053420
KDTX20160604_093916_V06,20160604_053916
KDTX20160604_094413_V06,20160604_054413
KDTX20160604_094908_V06,20160604_054908
KDTX20160604_095403_V06,20160604_055403
KDTX20160604_095858_V06,20160604_055858
KDTX20160604_100354_V06,20160604_060354
KDTX20160604_101345_V06,20160604_061345
KDTX20160604_101842_V06,20160604_061842
KDTX20160604_102337_V06,20160604_062337
KDTX20160604_102833_V06,20160604_062833
KDTX20160604_103328_V06,20160604_063328
KDTX20160604_103824_V06,20160604_063824
KDTX20160604_104320_V06,20160604_064320
KDTX20160604_104816_V06,20160604_064816
KDTX20160604_105312_V06,20160604_065312
KDTX20160604_105807_V06,20160604_065807
KDTX20160604_110302_V06,20160604_070302
KDTX20160604_110756_V06,20160604_070756
KDTX20160604_111253_V06,20160604_071253
KDTX20160604_111749_V06,20160604_071749
KDTX20160604_112244_V06,20160604_072244
KDTX20160605_092901_V06,20160605_052901
KDTX20160605_093842_V06,20160605_053842
KDTX20160605_094824_V06,20160605_054824
KDTX20160605_095805_V06,20160605_055805
KDTX20160605_100746_V06,20160605_060746
KDTX20160605_101243_V06,20160605_061243
KDTX20160605_101739_V06,20160605_061739
KDTX20160605_102234_V06,20160605_062234
KDTX20160605_102731_V06,20160605_062731
KDTX20160605_103227_V06,20160605_063227
KDTX20160605_103723_V06,20160605_063723
KDTX20160605_104220_V06,20160605_064220
KDTX20160605_104716_V06,20160605_064716
KDTX20160605_105212_V06,20160605_065212
KDTX20160605_105708_V06,20160605_065708
KDTX20160605_110204_V06,20160605_070204
KDTX20160605_110701_V06,20160605_070701
KDTX20160605_111157_V06,20160605_071157
KDTX20160605_111652_V06,20160605_071652
KDTX20160605_112148_V06,20160605_072148
KDTX20160606_093444_V06,20160606_053444
KDTX20160606_094425_V06,20160606_054425
KDTX20160606_095407_V06,20160606_055407
KDTX20160606_100350_V06,20160606_060350
KDTX20160606_101333_V06,20160606_061333
KDTX20160606_102315_V06,20160606_062315
KDTX20160606_103258_V06,20160606_063258
KDTX20160606_104241_V06,20160606_064241
KDTX20160606_105223_V06,20160606_065223
KDTX20160606_110206_V06,20160606_070206
KDTX20160606_111149_V06,20160606_071149
KDTX20160606_112131_V06,20160606_072131
KDTX20160607_093303_V06,20160607_053303
KDTX20160607_094246_V06,20160607_054246
KDTX20160607_095229_V06,20160607_055229
KDTX20160607_100211_V06,20160607_060211
KDTX20160607_101154_V06,20160607_061154
KDTX20160607_102137_V06,20160607_062137
KDTX20160607_103120_V06,20160607_063120
KDTX20160607_104102_V06,20160607_064102
KDTX20160607_105045_V06,20160607_065045
KDTX20160607_110028_V06,20160607_070028
KDTX20160607_111010_V06,20160607_071010
KDTX20160607_111953_V06,20160607_071953
KDTX20160608_093435_V06,20160608_053435
KDTX20160608_094419_V06,20160608_054419
