filename,local_time
KGRB20120601_094634_V06,20120601_044634
KGRB20120601_095617_V06,20120601_045617
KGRB20120601_100600_V06,20120601_050600
KGRB20120601_101543_V06,20120601_051543
KGRB20120601_102526_V06,20120601_052526
KGRB20120601_103509_V06,20120601_053509
KGRB20120601_104101_V06,20120601_054101
KGRB20120601_104649_V06,20120601_054649
KGRB20120601_105238_V06,20120601_055238
KGRB20120601_105827_V06,20120601_055827
KGRB20120601_110415_V06,20120601_060415
KGRB20120601_111004_V06,20120601_061004
KGRB20120601_111553_V06,20120601_061553
KGRB20120601_112141_V06,20120601_062141
KGRB20120601_112733_V06,20120601_062733
KGRB20120601_113323_V06,20120601_063323
KGRB20120601_113912_V06,20120601_063912
KGRB20120602_094145_V06,20120602_044145
KGRB20120602_095129_V06,20120602_045129
KGRB20120602_100112_V06,20120602_050112
KGRB20120602_101056_V06,20120602_051056
KGRB20120602_102040_V06,20120602_052040
KGRB20120602_103024_V06,20120602_053024
KGRB20120602_104007_V06,20120602_054007
KGRB20120602_104951_V06,20120602_054951
KGRB20120602_105539_V06,20120602_055539
KGRB20120602_110130_V06,20120602_060130
KGRB20120602_110719_V06,20120602_060719
KGRB20120602_111308_V06,20120602_061308
KGRB20120602_111857_V06,20120602_061857
KGRB20120602_112445_V06,20120602_062445
KGRB20120602_113034_V06,20120602_063034
KGRB20120602_113624_V06,20120602_063624
KGRB20120603_094813_V06,20120603_044813
KGRB20120603_095757_V06,20120603_045757
KGRB20120603_100740_V06,20120603_050740
KGRB20120603_101723_V06,20120603_051723
KGRB20120603_102707_V06,20120603_052707
KGRB20120603_103650_V06,20120603_053650
KGRB20120603_104633_V06,20120603_054633
KGRB20120603_105617_V06,20120603_055617
KGRB20120603_110600_V06,20120603_060600
KGRB20120603_111543_V06,20120603_061543
KGRB20120603_112526_V06,20120603_062526
KGRB20120603_113509_V06,20120603_063509
KGRB20120604_095910_V06,20120604_045910
KGRB20120604_100855_V06,20120604_050855
KGRB20120604_101837_V06,20120604_051837
KGRB20120604_102820_V06,20120604_052820
KGRB20120604_103805_V06,20120604_053805
KGRB20120604_104748_V06,20120604_054748
KGRB20120604_105732_V06,20120604_055732
KGRB20120604_110717_V06,20120604_060717
KGRB20120604_111659_V06,20120604_061659
KGRB20120604_112642_V06,20120604_062642
KGRB20120604_113625_V06,20120604_063625
KGRB20120605_094813_V06,20120605_044813
KGRB20120605_095755_V06,20120605_045755
KGRB20120605_100738_V06,20120605_050738
KGRB20120605_101721_V06,20120605_051721
KGRB20120605_102704_V06,20120605_052704
KGRB20120605_103649_V06,20120605_053649
KGRB20120605_104631_V06,20120605_054631
