filename,local_time
KIWX20170601_094305_V06,20170601_054305
KIWX20170601_095245_V06,20170601_055245
KIWX20170601_100226_V06,20170601_060226
KIWX20170601_101207_V06,20170601_061207
KIWX20170601_102148_V06,20170601_062148
KIWX20170601_103129_V06,20170601_063129
KIWX20170601_104111_V06,20170601_064111
KIWX20170601_105052_V06,20170601_065052
KIWX20170601_110033_V06,20170601_070033
KIWX20170601_111014_V06,20170601_071014
KIWX20170601_111955_V06,20170601_071955
KIWX20170601_112935_V06,20170601_072935
KIWX20170601_113733_V06,20170601_073733
KIWX20170602_094611_V06,20170602_054611
KIWX20170602_095552_V06,20170602_055552
KIWX20170602_100532_V06,20170602_060532
KIWX20170602_101513_V06,20170602_061513
KIWX20170602_102454_V06,20170602_062454
KIWX20170602_103435_V06,20170602_063435
KIWX20170602_104416_V06,20170602_064416
KIWX20170602_105357_V06,20170602_065357
KIWX20170602_110337_V06,20170602_070337
KIWX20170602_111318_V06,20170602_071318
KIWX20170602_112259_V06,20170602_072259
KIWX20170602_113240_V06,20170602_073240
KIWX20170603_094429_V06,20170603_054429
KIWX20170603_095409_V06,20170603_055409
KIWX20170603_100351_V06,20170603_060351
KIWX20170603_101332_V06,20170603_061332
KIWX20170603_102313_V06,20170603_062313
KIWX20170603_103255_V06,20170603_063255
KIWX20170603_104235_V06,20170603_064235
KIWX20170603_105216_V06,20170603_065216
KIWX20170603_110156_V06,20170603_070156
KIWX20170603_111137_V06,20170603_071137
KIWX20170603_112118_V06,20170603_072118
KIWX20170603_113059_V06,20170603_073059
KIWX20170603_114040_V06,20170603_074040
KIWX20170604_094404_V06,20170604_054404
KIWX20170604_094748_V06,20170604_054748
KIWX20170604_095132_V06,20170604_055132
KIWX20170604_095517_V06,20170604_055517
KIWX20170604_095901_V06,20170604_055901
KIWX20170604_100244_V06,20170604_060244
KIWX20170604_100629_V06,20170604_060629
KIWX20170604_101013_V06,20170604_061013
KIWX20170604_101357_V06,20170604_061357
KIWX20170604_101743_V06,20170604_061743
KIWX20170604_102141_V06,20170604_062141
KIWX20170604_102539_V06,20170604_062539
KIWX20170604_102949_V06,20170604_062949
KIWX20170604_103347_V06,20170604_063347
KIWX20170604_103758_V06,20170604_063758
KIWX20170604_104156_V06,20170604_064156
KIWX20170604_104555_V06,20170604_064555
KIWX20170604_104953_V06,20170604_064953
KIWX20170604_105352_V06,20170604_065352
KIWX20170604_105751_V06,20170604_065751
KIWX20170604_110150_V06,20170604_070150
KIWX20170604_110601_V06,20170604_070601
KIWX20170604_110959_V06,20170604_070959
KIWX20170604_111408_V06,20170604_071408
KIWX20170604_111819_V06,20170604_071819
KIWX20170604_112229_V06,20170604_072229
KIWX20170604_112639_V06,20170604_072639
KIWX20170604_113135_V06,20170604_073135
KIWX20170604_113613_V06,20170604_073613
KIWX20170605_094056_V06,20170605_054056
KIWX20170605_094408_V06,20170605_054408
KIWX20170605_094720_V06,20170605_054720
KIWX20170605_095031_V06,20170605_055031
KIWX20170605_095342_V06,20170605_055342
KIWX20170605_095653_V06,20170605_055653
KIWX20170605_100006_V06,20170605_060006
KIWX20170605_100318_V06,20170605_060318
KIWX20170605_100629_V06,20170605_060629
KIWX20170605_100940_V06,20170605_060940
KIWX20170605_101253_V06,20170605_061253
KIWX20170605_101605_V06,20170605_061605
KIWX20170605_101916_V06,20170605_061916
KIWX20170605_102228_V06,20170605_062228
KIWX20170605_102539_V06,20170605_062539
KIWX20170605_102851_V06,20170605_062851
KIWX20170605_103204_V06,20170605_063204
KIWX20170605_103515_V06,20170605_063515
KIWX20170605_103826_V06,20170605_063826
KIWX20170605_104139_V06,20170605_064139
KIWX20170605_104450_V06,20170605_064450
KIWX20170605_104802_V06,20170605_064802
KIWX20170605_105113_V06,20170605_065113
KIWX20170605_105425_V06,20170605_065425
KIWX20170605_105736_V06,20170605_065736
KIWX20170605_110048_V06,20170605_070048
KIWX20170605_110401_V06,20170605_070401
KIWX20170605_110712_V06,20170605_070712
KIWX20170605_111023_V06,20170605_071023
KIWX20170605_111336_V06,20170605_071336
KIWX20170605_111650_V06,20170605_071650
KIWX20170605_112003_V06,20170605_072003
KIWX20170605_112315_V06,20170605_072315
KIWX20170605_112626_V06,20170605_072626
KIWX20170605_112938_V06,20170605_072938
KIWX20170605_113250_V06,20170605_073250
KIWX20170605_113602_V06,20170605_073602
KIWX20170605_113914_V06,20170605_073914
KIWX20170606_094424_V06,20170606_054424
KIWX20170606_095404_V06,20170606_055404
KIWX20170606_100345_V06,20170606_060345
KIWX20170606_101325_V06,20170606_061325
KIWX20170606_102306_V06,20170606_062306
KIWX20170606_103246_V06,20170606_063246
KIWX20170606_104228_V06,20170606_064228
KIWX20170606_105209_V06,20170606_065209
KIWX20170606_110149_V06,20170606_070149
KIWX20170606_111131_V06,20170606_071131
KIWX20170606_112113_V06,20170606_072113
KIWX20170606_113054_V06,20170606_073054
KIWX20170607_094358_V06,20170607_054358
