filename,local_time
KLOT20200601_095222_V06,20200601_045222
KLOT20200601_100632_V06,20200601_050632
KLOT20200601_101337_V06,20200601_051337
KLOT20200601_102042_V06,20200601_052042
KLOT20200601_102747_V06,20200601_052747
KLOT20200601_103445_V06,20200601_053445
KLOT20200601_104339_V06,20200601_054339
KLOT20200601_105038_V06,20200601_055038
KLOT20200601_110431_V06,20200601_060431
KLOT20200601_111125_V06,20200601_061125
KLOT20200601_111818_V06,20200601_061818
KLOT20200601_112512_V06,20200601_062512
KLOT20200601_113202_V06,20200601_063202
KLOT20200601_113846_V06,20200601_063846
KLOT20200601_114531_V06,20200601_064531
KLOT20200602_100345_V06,20200602_050345
KLOT20200602_101043_V06,20200602_051043
KLOT20200602_101742_V06,20200602_051742
KLOT20200602_102447_V06,20200602_052447
KLOT20200602_103151_V06,20200602_053151
KLOT20200602_103856_V06,20200602_053856
KLOT20200602_104600_V06,20200602_054600
KLOT20200602_110216_V06,20200602_060216
KLOT20200602_110915_V06,20200602_060915
KLOT20200602_111619_V06,20200602_061619
KLOT20200602_112324_V06,20200602_062324
KLOT20200602_113030_V06,20200602_063030
KLOT20200602_113735_V06,20200602_063735
KLOT20200602_114434_V06,20200602_064434
KLOT20200603_095343_V06,20200603_045343
KLOT20200603_100253_V06,20200603_050253
KLOT20200603_100724_V06,20200603_050724
KLOT20200603_101202_V06,20200603_051202
KLOT20200603_101633_V06,20200603_051633
KLOT20200603_102104_V06,20200603_052104
KLOT20200603_102550_V06,20200603_052550
KLOT20200603_103036_V06,20200603_053036
KLOT20200603_103605_V06,20200603_053605
KLOT20200603_104120_V06,20200603_054120
KLOT20200603_104636_V06,20200603_054636
KLOT20200603_105206_V06,20200603_055206
KLOT20200603_110238_V06,20200603_060238
KLOT20200603_110739_V06,20200603_060739
KLOT20200603_111241_V06,20200603_061241
KLOT20200603_111742_V06,20200603_061742
KLOT20200603_112257_V06,20200603_062257
KLOT20200603_112827_V06,20200603_062827
KLOT20200603_113355_V06,20200603_063355
KLOT20200603_113916_V06,20200603_063916
KLOT20200603_114429_V06,20200603_064429
KLOT20200604_094956_V06,20200604_044956
KLOT20200604_095414_V06,20200604_045414
KLOT20200604_100257_V06,20200604_050257
KLOT20200604_100717_V06,20200604_050717
KLOT20200604_101136_V06,20200604_051136
KLOT20200604_101603_V06,20200604_051603
KLOT20200604_102032_V06,20200604_052032
KLOT20200604_102500_V06,20200604_052500
KLOT20200604_102929_V06,20200604_052929
KLOT20200604_103357_V06,20200604_053357
KLOT20200604_103829_V06,20200604_053829
KLOT20200604_104303_V06,20200604_054303
KLOT20200604_104731_V06,20200604_054731
KLOT20200604_105159_V06,20200604_055159
KLOT20200604_110100_V06,20200604_060100
KLOT20200604_110533_V06,20200604_060533
KLOT20200604_111007_V06,20200604_061007
KLOT20200604_111441_V06,20200604_061441
KLOT20200604_111914_V06,20200604_061914
KLOT20200604_112342_V06,20200604_062342
KLOT20200604_112811_V06,20200604_062811
KLOT20200604_113239_V06,20200604_063239
KLOT20200604_113703_V06,20200604_063703
KLOT20200604_114137_V06,20200604_064137
KLOT20200604_114610_V06,20200604_064610
KLOT20200605_094954_V06,20200605_044954
KLOT20200605_095427_V06,20200605_045427
KLOT20200605_100334_V06,20200605_050334
KLOT20200605_100801_V06,20200605_050801
KLOT20200605_101228_V06,20200605_051228
KLOT20200605_101651_V06,20200605_051651
KLOT20200605_102114_V06,20200605_052114
KLOT20200605_102554_V06,20200605_052554
KLOT20200605_103035_V06,20200605_053035
KLOT20200605_103514_V06,20200605_053514
KLOT20200605_103954_V06,20200605_053954
KLOT20200605_104434_V06,20200605_054434
KLOT20200605_104907_V06,20200605_054907
KLOT20200605_105339_V06,20200605_055339
KLOT20200605_110235_V06,20200605_060235
KLOT20200605_110703_V06,20200605_060703
KLOT20200605_111132_V06,20200605_061132
KLOT20200605_111555_V06,20200605_061555
KLOT20200605_112019_V06,20200605_062019
KLOT20200605_112438_V06,20200605_062438
KLOT20200605_112858_V06,20200605_062858
KLOT20200605_113317_V06,20200605_063317
KLOT20200605_113737_V06,20200605_063737
KLOT20200605_114155_V06,20200605_064155
KLOT20200605_114614_V06,20200605_064614
KLOT20200606_095118_V06,20200606_045118
KLOT20200606_100038_V06,20200606_050038
KLOT20200606_100516_V06,20200606_050516
KLOT20200606_100957_V06,20200606_050957
KLOT20200606_101437_V06,20200606_051437
KLOT20200606_101917_V06,20200606_051917
KLOT20200606_102357_V06,20200606_052357
KLOT20200606_102837_V06,20200606_052837
KLOT20200606_103317_V06,20200606_053317
KLOT20200606_103758_V06,20200606_053758
KLOT20200606_104238_V06,20200606_054238
KLOT20200606_104716_V06,20200606_054716
KLOT20200606_105157_V06,20200606_055157
KLOT20200606_110117_V06,20200606_060117
KLOT20200606_110557_V06,20200606_060557
KLOT20200606_111036_V06,20200606_061036
KLOT20200606_111517_V06,20200606_061517
KLOT20200606_111957_V06,20200606_061957
KLOT20200606_112438_V06,20200606_062438
KLOT20200606_112917_V06,20200606_062917
KLOT20200606_113356_V06,20200606_063356
KLOT20200606_113836_V06,20200606_063836
KLOT20200606_114316_V06,20200606_064316
KLOT20200606_114756_V06,20200606_064756
KLOT20200607_094938_V06,20200607_044938
KLOT20200607_100332_V06,20200607_050332
KLOT20200607_101018_V06,20200607_051018
KLOT20200607_101704_V06,20200607_051704
KLOT20200607_102350_V06,20200607_052350
KLOT20200607_103034_V06,20200607_053034
KLOT20200607_103720_V06,20200607_053720
KLOT20200607_104410_V06,20200607_054410
KLOT20200607_105114_V06,20200607_055114
KLOT20200607_110512_V06,20200607_060512
KLOT20200607_111206_V06,20200607_061206
KLOT20200607_111910_V06,20200607_061910
KLOT20200607_112604_V06,20200607_062604
KLOT20200607_113254_V06,20200607_063254
KLOT20200607_113939_V06,20200607_063939
KLOT20200607_114624_V06,20200607_064624
KLOT20200608_094936_V06,20200608_044936
KLOT20200608_100346_V06,20200608_050346
KLOT20200608_101050_V06,20200608_051050
KLOT20200608_101754_V06,20200608_051754
KLOT20200608_102458_V06,20200608_052458
KLOT20200608_103203_V06,20200608_053203
KLOT20200608_103908_V06,20200608_053908
KLOT20200608_104613_V06,20200608_054613
KLOT20200608_110023_V06,20200608_060023
KLOT20200608_110728_V06,20200608_060728
KLOT20200608_111432_V06,20200608_061432
KLOT20200608_112137_V06,20200608_062137
KLOT20200608_112841_V06,20200608_062841
KLOT20200608_113547_V06,20200608_063547
KLOT20200608_114251_V06,20200608_064251
KLOT20200609_095044_V06,20200609_045044
KLOT20200609_100452_V06,20200609_050452
KLOT20200609_101157_V06,20200609_051157
KLOT20200609_101855_V06,20200609_051855
KLOT20200609_102550_V06,20200609_052550
KLOT20200609_103244_V06,20200609_053244
KLOT20200609_103938_V06,20200609_053938
KLOT20200609_104632_V06,20200609_054632
KLOT20200609_110015_V06,20200609_060015
KLOT20200609_110705_V06,20200609_060705
KLOT20200609_111351_V06,20200609_061351
KLOT20200609_112036_V06,20200609_062036
KLOT20200609_112720_V06,20200609_062720
KLOT20200609_113405_V06,20200609_063405
KLOT20200609_114051_V06,20200609_064051
KLOT20200609_114735_V06,20200609_064735
KLOT20200610_094905_V06,20200610_044905
KLOT20200610_095334_V06,20200610_045334
KLOT20200610_100346_V06,20200610_050346
