filename,local_time
KMKX20040601_094837,20040601_044837
KMKX20040601_095426,20040601_045426
KMKX20040601_100015,20040601_050015
KMKX20040601_100603,20040601_050603
KMKX20040601_101152,20040601_051152
KMKX20040601_101741,20040601_051741
KMKX20040601_102330,20040601_052330
KMKX20040601_102919,20040601_052919
KMKX20040601_103508,20040601_053508
KMKX20040601_104057,20040601_054057
KMKX20040601_104645,20040601_054645
KMKX20040601_105234,20040601_055234
KMKX20040601_105823,20040601_055823
KMKX20040601_110412,20040601_060412
KMKX20040601_111001,20040601_061001
KMKX20040601_111549,20040601_061549
KMKX20040601_112138,20040601_062138
KMKX20040601_112726,20040601_062726
KMKX20040601_113315,20040601_063315
KMKX20040601_113903,20040601_063903
KMKX20040601_114452,20040601_064452
KMKX20040602_095026,20040602_045026
KMKX20040602_095615,20040602_045615
KMKX20040602_100204,20040602_050204
KMKX20040602_100753,20040602_050753
KMKX20040602_101341,20040602_051341
KMKX20040602_101930,20040602_051930
KMKX20040602_102518,20040602_052518
KMKX20040602_103107,20040602_053107
KMKX20040602_103656,20040602_053656
KMKX20040602_104245,20040602_054245
KMKX20040602_104834,20040602_054834
KMKX20040602_105422,20040602_055422
KMKX20040602_110011,20040602_060011
KMKX20040602_110600,20040602_060600
KMKX20040602_111149,20040602_061149
KMKX20040602_111738,20040602_061738
KMKX20040602_112326,20040602_062326
KMKX20040602_112915,20040602_062915
KMKX20040602_113504,20040602_063504
KMKX20040602_114053,20040602_064053
KMKX20040602_114642,20040602_064642
KMKX20040603_095430,20040603_045430
KMKX20040603_100416,20040603_050416
KMKX20040603_101403,20040603_051403
KMKX20040603_102350,20040603_052350
KMKX20040603_103337,20040603_053337
KMKX20040603_104324,20040603_054324
KMKX20040603_110256,20040603_060256
KMKX20040603_111244,20040603_061244
KMKX20040603_113217,20040603_063217
KMKX20040603_114204,20040603_064204
KMKX20040604_094828,20040604_044828
KMKX20040604_095814,20040604_045814
KMKX20040604_100800,20040604_050800
KMKX20040604_101748,20040604_051748
KMKX20040604_102734,20040604_052734
KMKX20040604_103720,20040604_053720
KMKX20040604_104707,20040604_054707
