filename,local_time
KMQT20130601_093533_V06,20130601_053533
KMQT20130601_093905_V06,20130601_053905
KMQT20130601_094237_V06,20130601_054237
KMQT20130601_094610_V06,20130601_054610
KMQT20130601_094942_V06,20130601_054942
KMQT20130601_095314_V06,20130601_055314
KMQT20130601_095646_V06,20130601_055646
KMQT20130601_100019_V06,20130601_060019
KMQT20130601_100351_V06,20130601_060351
KMQT20130601_100723_V06,20130601_060723
KMQT20130601_101056_V06,20130601_061056
KMQT20130601_101542_V06,20130601_061542
KMQT20130601_102133_V06,20130601_062133
KMQT20130601_102724_V06,20130601_062724
KMQT20130601_103314_V06,20130601_063314
KMQT20130601_103909_V06,20130601_063909
KMQT20130601_104500_V06,20130601_064500
KMQT20130601_105050_V06,20130601_065050
KMQT20130601_105642_V06,20130601_065642
KMQT20130601_110232_V06,20130601_070232
KMQT20130601_110822_V06,20130601_070822
KMQT20130601_111413_V06,20130601_071413
KMQT20130601_112003_V06,20130601_072003
KMQT20130601_112554_V06,20130601_072554
KMQT20130602_093034_V06,20130602_053034
KMQT20130602_093828_V06,20130602_053828
KMQT20130602_094420_V06,20130602_054420
KMQT20130602_095011_V06,20130602_055011
KMQT20130602_095602_V06,20130602_055602
KMQT20130602_100155_V06,20130602_060155
KMQT20130602_100746_V06,20130602_060746
KMQT20130602_101338_V06,20130602_061338
KMQT20130602_101929_V06,20130602_061929
KMQT20130602_102520_V06,20130602_062520
KMQT20130602_103112_V06,20130602_063112
KMQT20130602_103703_V06,20130602_063703
KMQT20130602_104254_V06,20130602_064254
KMQT20130602_104846_V06,20130602_064846
KMQT20130602_105437_V06,20130602_065437
KMQT20130602_110029_V06,20130602_070029
KMQT20130602_110621_V06,20130602_070621
KMQT20130602_111212_V06,20130602_071212
KMQT20130602_111804_V06,20130602_071804
KMQT20130602_112357_V06,20130602_072357
KMQT20130602_112948_V06,20130602_072948
KMQT20130603_093029_V06,20130603_053029
KMQT20130603_094013_V06,20130603_054013
KMQT20130603_094957_V06,20130603_054957
KMQT20130603_101132_V06,20130603_061132
KMQT20130603_102116_V06,20130603_062116
KMQT20130603_103101_V06,20130603_063101
KMQT20130603_104045_V06,20130603_064045
KMQT20130603_105029_V06,20130603_065029
KMQT20130603_110014_V06,20130603_070014
KMQT20130603_110958_V06,20130603_070958
KMQT20130603_111942_V06,20130603_071942
KMQT20130604_093118_V06,20130604_053118
KMQT20130604_094102_V06,20130604_054102
KMQT20130604_095046_V06,20130604_055046
KMQT20130604_100029_V06,20130604_060029
KMQT20130604_101013_V06,20130604_061013
KMQT20130604_103149_V06,20130604_063149
KMQT20130604_104133_V06,20130604_064133
KMQT20130604_105116_V06,20130604_065116
KMQT20130604_110100_V06,20130604_070100
KMQT20130604_111044_V06,20130604_071044
KMQT20130604_112027_V06,20130604_072027
KMQT20130605_093114_V06,20130605_053114
KMQT20130605_093706_V06,20130605_053706
KMQT20130605_094259_V06,20130605_054259
KMQT20130605_094850_V06,20130605_054850
KMQT20130605_095442_V06,20130605_055442
KMQT20130605_100033_V06,20130605_060033
KMQT20130605_100623_V06,20130605_060623
KMQT20130605_101215_V06,20130605_061215
KMQT20130605_101806_V06,20130605_061806
KMQT20130605_103154_V06,20130605_063154
KMQT20130605_103746_V06,20130605_063746
KMQT20130605_104337_V06,20130605_064337
KMQT20130605_104930_V06,20130605_064930
KMQT20130605_105521_V06,20130605_065521
KMQT20130605_110114_V06,20130605_070114
KMQT20130605_110705_V06,20130605_070705
KMQT20130605_111258_V06,20130605_071258
KMQT20130605_111849_V06,20130605_071849
KMQT20130605_112441_V06,20130605_072441
KMQT20130606_092928_V06,20130606_052928
KMQT20130606_093520_V06,20130606_053520
KMQT20130606_094113_V06,20130606_054113
KMQT20130606_094704_V06,20130606_054704
KMQT20130606_095256_V06,20130606_055256
KMQT20130606_095848_V06,20130606_055848
KMQT20130606_100439_V06,20130606_060439
KMQT20130606_101030_V06,20130606_061030
KMQT20130606_101622_V06,20130606_061622
KMQT20130606_102213_V06,20130606_062213
