filename,local_time
KTYX20190601_090109_V06,20190601_050109
KTYX20190601_090717_V06,20190601_050717
KTYX20190601_091319_V06,20190601_051319
KTYX20190601_091905_V06,20190601_051905
KTYX20190601_092445_V06,20190601_052445
KTYX20190601_093008_V06,20190601_053008
KTYX20190601_093532_V06,20190601_053532
KTYX20190601_094056_V06,20190601_054056
KTYX20190601_094606_V06,20190601_054606
KTYX20190601_095114_V06,20190601_055114
KTYX20190601_100315_V06,20190601_060315
KTYX20190601_100923_V06,20190601_060923
KTYX20190601_101501_V06,20190601_061501
KTYX20190601_102025_V06,20190601_062025
KTYX20190601_102534_V06,20190601_062534
KTYX20190601_103029_V06,20190601_063029
KTYX20190601_103523_V06,20190601_063523
KTYX20190601_104003_V06,20190601_064003
KTYX20190601_104444_V06,20190601_064444
KTYX20190601_104903_V06,20190601_064903
KTYX20190601_105323_V06,20190601_065323
KTYX20190602_085507_V06,20190602_045507
KTYX20190602_090344_V06,20190602_050344
KTYX20190602_090804_V06,20190602_050804
KTYX20190602_091224_V06,20190602_051224
KTYX20190602_091643_V06,20190602_051643
KTYX20190602_092102_V06,20190602_052102
KTYX20190602_092521_V06,20190602_052521
KTYX20190602_092940_V06,20190602_052940
KTYX20190602_093359_V06,20190602_053359
KTYX20190602_093819_V06,20190602_053819
KTYX20190602_094238_V06,20190602_054238
KTYX20190602_094657_V06,20190602_054657
KTYX20190602_095116_V06,20190602_055116
KTYX20190602_095535_V06,20190602_055535
KTYX20190602_100414_V06,20190602_060414
KTYX20190602_100848_V06,20190602_060848
KTYX20190602_101308_V06,20190602_061308
KTYX20190602_101801_V06,20190602_061801
KTYX20190602_102239_V06,20190602_062239
KTYX20190602_102713_V06,20190602_062713
KTYX20190602_103202_V06,20190602_063202
KTYX20190602_103705_V06,20190602_063705
KTYX20190602_104139_V06,20190602_064139
KTYX20190602_104558_V06,20190602_064558
KTYX20190602_105018_V06,20190602_065018
KTYX20190603_090036_V06,20190603_050036
KTYX20190603_090741_V06,20190603_050741
KTYX20190603_091447_V06,20190603_051447
KTYX20190603_092150_V06,20190603_052150
KTYX20190603_092855_V06,20190603_052855
KTYX20190603_093540_V06,20190603_053540
KTYX20190603_094226_V06,20190603_054226
KTYX20190603_094911_V06,20190603_054911
KTYX20190603_100243_V06,20190603_060243
KTYX20190603_100928_V06,20190603_060928
KTYX20190603_101612_V06,20190603_061612
KTYX20190603_102257_V06,20190603_062257
KTYX20190603_102942_V06,20190603_062942
KTYX20190603_103626_V06,20190603_063626
KTYX20190603_104315_V06,20190603_064315
KTYX20190603_105009_V06,20190603_065009
KTYX20190604_090242_V06,20190604_050242
KTYX20190604_090945_V06,20190604_050945
KTYX20190604_091650_V06,20190604_051650
KTYX20190604_092355_V06,20190604_052355
KTYX20190604_093059_V06,20190604_053059
KTYX20190604_093804_V06,20190604_053804
KTYX20190604_094508_V06,20190604_054508
KTYX20190604_095213_V06,20190604_055213
KTYX20190604_100622_V06,20190604_060622
KTYX20190604_101326_V06,20190604_061326
KTYX20190604_102031_V06,20190604_062031
KTYX20190604_102735_V06,20190604_062735
KTYX20190604_103439_V06,20190604_063439
KTYX20190604_104144_V06,20190604_064144
KTYX20190604_104849_V06,20190604_064849
KTYX20190605_090018_V06,20190605_050018
KTYX20190605_090451_V06,20190605_050451
KTYX20190605_090947_V06,20190605_050947
KTYX20190605_091442_V06,20190605_051442
KTYX20190605_091936_V06,20190605_051936
KTYX20190605_092431_V06,20190605_052431
KTYX20190605_092906_V06,20190605_052906
KTYX20190605_093341_V06,20190605_053341
KTYX20190605_093816_V06,20190605_053816
KTYX20190605_094250_V06,20190605_054250
KTYX20190605_094745_V06,20190605_054745
KTYX20190605_095220_V06,20190605_055220
KTYX20190605_100128_V06,20190605_060128
KTYX20190605_100602_V06,20190605_060602
KTYX20190605_101036_V06,20190605_061036
KTYX20190605_101511_V06,20190605_061511
KTYX20190605_101946_V06,20190605_061946
KTYX20190605_102404_V06,20190605_062404
KTYX20190605_102824_V06,20190605_062824
KTYX20190605_103244_V06,20190605_063244
KTYX20190605_103704_V06,20190605_063704
KTYX20190605_104125_V06,20190605_064125
KTYX20190605_104545_V06,20190605_064545
KTYX20190605_105004_V06,20190605_065004
KTYX20190606_085440_V06,20190606_045440
KTYX20190606_090553_V06,20190606_050553
KTYX20190606_091015_V06,20190606_051015
KTYX20190606_091443_V06,20190606_051443
KTYX20190606_091912_V06,20190606_051912
KTYX20190606_092341_V06,20190606_052341
KTYX20190606_092821_V06,20190606_052821
KTYX20190606_093302_V06,20190606_053302
KTYX20190606_093742_V06,20190606_053742
KTYX20190606_094222_V06,20190606_054222
KTYX20190606_094702_V06,20190606_054702
KTYX20190606_100102_V06,20190606_060102
KTYX20190606_100806_V06,20190606_060806
KTYX20190606_101511_V06,20190606_061511
KTYX20190606_102216_V06,20190606_062216
KTYX20190606_102921_V06,20190606_062921
KTYX20190606_103625_V06,20190606_063625
KTYX20190606_104330_V06,20190606_064330
KTYX20190606_105034_V06,20190606_065034
KTYX20190607_085240_V06,20190607_045240
KTYX20190607_090650_V06,20190607_050650
KTYX20190607_091554_V06,20190607_051554
KTYX20190607_092259_V06,20190607_052259
KTYX20190607_093005_V06,20190607_053005
KTYX20190607_093710_V06,20190607_053710
KTYX20190607_094414_V06,20190607_054414
KTYX20190607_095118_V06,20190607_055118
KTYX20190607_100526_V06,20190607_060526
KTYX20190607_101229_V06,20190607_061229
KTYX20190607_101933_V06,20190607_061933
KTYX20190607_102638_V06,20190607_062638
KTYX20190607_103341_V06,20190607_063341
KTYX20190607_104046_V06,20190607_064046
KTYX20190607_104740_V06,20190607_064740
KTYX20190608_090308_V06,20190608_050308
KTYX20190608_091012_V06,20190608_051012
KTYX20190608_091716_V06,20190608_051716
KTYX20190608_092421_V06,20190608_052421
KTYX20190608_093124_V06,20190608_053124
KTYX20190608_093828_V06,20190608_053828
KTYX20190608_094532_V06,20190608_054532
KTYX20190608_095236_V06,20190608_055236
KTYX20190608_100645_V06,20190608_060645
KTYX20190608_101349_V06,20190608_061349
KTYX20190608_102054_V06,20190608_062054
KTYX20190608_102759_V06,20190608_062759
KTYX20190608_103504_V06,20190608_063504
KTYX20190608_104206_V06,20190608_064206
KTYX20190608_104910_V06,20190608_064910
KTYX20190609_090236_V06,20190609_050236
KTYX20190609_090705_V06,20190609_050705
KTYX20190609_091145_V06,20190609_051145
KTYX20190609_091624_V06,20190609_051624
KTYX20190609_092104_V06,20190609_052104
KTYX20190609_092543_V06,20190609_052543
KTYX20190609_093023_V06,20190609_053023
KTYX20190609_093503_V06,20190609_053503
KTYX20190609_093942_V06,20190609_053942
KTYX20190609_094422_V06,20190609_054422
KTYX20190609_094903_V06,20190609_054903
KTYX20190609_100306_V06,20190609_060306
KTYX20190609_101011_V06,20190609_061011
KTYX20190609_101716_V06,20190609_061716
KTYX20190609_102420_V06,20190609_062420
KTYX20190609_103125_V06,20190609_063125
KTYX20190609_103829_V06,20190609_063829
KTYX20190609_104532_V06,20190609_064532
KTYX20190610_085135_V06,20190610_045135
KTYX20190610_090042_V06,20190610_050042
KTYX20190610_090514_V06,20190610_050514
KTYX20190610_090947_V06,20190610_050947
KTYX20190610_091415_V06,20190610_051415
KTYX20190610_091855_V06,20190610_051855
KTYX20190610_092335_V06,20190610_052335
KTYX20190610_092815_V06,20190610_052815
KTYX20190610_093254_V06,20190610_053254
KTYX20190610_093734_V06,20190610_053734
KTYX20190610_094214_V06,20190610_054214
KTYX20190610_094653_V06,20190610_054653
KTYX20190610_095134_V06,20190610_055134
KTYX20190610_100054_V06,20190610_060054
KTYX20190610_100534_V06,20190610_060534
KTYX20190610_101014_V06,20190610_061014
KTYX20190610_101453_V06,20190610_061453
KTYX20190610_101933_V06,20190610_061933
KTYX20190610_102413_V06,20190610_062413
KTYX20190610_102853_V06,20190610_062853
KTYX20190610_103334_V06,20190610_063334
KTYX20190610_103814_V06,20190610_063814
KTYX20190610_104254_V06,20190610_064254
KTYX20190610_104734_V06,20190610_064734
KTYX20190611_085217_V06,20190611_045217
KTYX20190611_090054_V06,20190611_050054
KTYX20190611_090513_V06,20190611_050513
KTYX20190611_090932_V06,20190611_050932
KTYX20190611_091351_V06,20190611_051351
KTYX20190611_091810_V06,20190611_051810
KTYX20190611_092229_V06,20190611_052229
KTYX20190611_092648_V06,20190611_052648
KTYX20190611_093107_V06,20190611_053107
KTYX20190611_093526_V06,20190611_053526
KTYX20190611_093946_V06,20190611_053946
KTYX20190611_094405_V06,20190611_054405
KTYX20190611_094825_V06,20190611_054825
KTYX20190611_095244_V06,20190611_055244
KTYX20190611_100121_V06,20190611_060121
KTYX20190611_100540_V06,20190611_060540
KTYX20190611_101000_V06,20190611_061000
KTYX20190611_101420_V06,20190611_061420
KTYX20190611_102117_V06,20190611_062117
KTYX20190611_102545_V06,20190611_062545
KTYX20190611_103004_V06,20190611_063004
KTYX20190611_103422_V06,20190611_063422
KTYX20190611_103850_V06,20190611_063850
KTYX20190611_104319_V06,20190611_064319
KTYX20190611_104738_V06,20190611_064738
KTYX20190612_085202_V06,20190612_045202
KTYX20190612_090610_V06,20190612_050610
KTYX20190612_091308_V06,20190612_051308
KTYX20190612_091956_V06,20190612_051956
KTYX20190612_092700_V06,20190612_052700
KTYX20190612_093353_V06,20190612_053353
KTYX20190612_094056_V06,20190612_054056
KTYX20190612_094754_V06,20190612_054754
KTYX20190612_100150_V06,20190612_060150
KTYX20190612_100855_V06,20190612_060855
KTYX20190612_101600_V06,20190612_061600
KTYX20190612_102306_V06,20190612_062306
KTYX20190612_103012_V06,20190612_063012
KTYX20190612_103710_V06,20190612_063710
KTYX20190612_104415_V06,20190612_064415
KTYX20190613_085352_V06,20190613_045352
KTYX20190613_090244_V06,20190613_050244
KTYX20190613_090708_V06,20190613_050708
KTYX20190613_091132_V06,20190613_051132
KTYX20190613_091551_V06,20190613_051551
KTYX20190613_092010_V06,20190613_052010
KTYX20190613_092443_V06,20190613_052443
KTYX20190613_092916_V06,20190613_052916
KTYX20190613_093349_V06,20190613_053349
KTYX20190613_093816_V06,20190613_053816
KTYX20190613_094244_V06,20190613_054244
KTYX20190613_094713_V06,20190613_054713
KTYX20190613_095135_V06,20190613_055135
KTYX20190613_100023_V06,20190613_060023
KTYX20190613_100446_V06,20190613_060446
KTYX20190613_100904_V06,20190613_060904
KTYX20190613_101323_V06,20190613_061323
KTYX20190613_101742_V06,20190613_061742
KTYX20190613_102200_V06,20190613_062200
KTYX20190613_102619_V06,20190613_062619
KTYX20190613_103037_V06,20190613_063037
KTYX20190613_103456_V06,20190613_063456
KTYX20190613_103915_V06,20190613_063915
KTYX20190613_104335_V06,20190613_064335
KTYX20190613_104754_V06,20190613_064754
KTYX20190614_085346_V06,20190614_045346
KTYX20190614_090306_V06,20190614_050306
KTYX20190614_090746_V06,20190614_050746
KTYX20190614_091225_V06,20190614_051225
KTYX20190614_091705_V06,20190614_051705
KTYX20190614_092138_V06,20190614_052138
KTYX20190614_092701_V06,20190614_052701
KTYX20190614_093156_V06,20190614_053156
KTYX20190614_093704_V06,20190614_053704
KTYX20190614_094229_V06,20190614_054229
KTYX20190614_094738_V06,20190614_054738
KTYX20190614_095302_V06,20190614_055302
KTYX20190614_100448_V06,20190614_060448
KTYX20190614_101026_V06,20190614_061026
KTYX20190614_101550_V06,20190614_061550
KTYX20190614_102114_V06,20190614_062114
KTYX20190614_102706_V06,20190614_062706
KTYX20190614_103238_V06,20190614_063238
KTYX20190614_103811_V06,20190614_063811
KTYX20190614_104342_V06,20190614_064342
KTYX20190614_104906_V06,20190614_064906
KTYX20190615_090025_V06,20190615_050025
KTYX20190615_090633_V06,20190615_050633
KTYX20190615_091240_V06,20190615_051240
KTYX20190615_091849_V06,20190615_051849
KTYX20190615_092457_V06,20190615_052457
KTYX20190615_093059_V06,20190615_053059
KTYX20190615_093659_V06,20190615_053659
KTYX20190615_094300_V06,20190615_054300
KTYX20190615_094901_V06,20190615_054901
KTYX20190615_100106_V06,20190615_060106
KTYX20190615_100706_V06,20190615_060706
KTYX20190615_101312_V06,20190615_061312
KTYX20190615_101921_V06,20190615_061921
KTYX20190615_102529_V06,20190615_062529
KTYX20190615_103137_V06,20190615_063137
KTYX20190615_103701_V06,20190615_063701
KTYX20190615_104210_V06,20190615_064210
KTYX20190615_104704_V06,20190615_064704
KTYX20190616_085400_V06,20190616_045400
KTYX20190616_090256_V06,20190616_050256
KTYX20190616_090725_V06,20190616_050725
KTYX20190616_091154_V06,20190616_051154
KTYX20190616_091618_V06,20190616_051618
KTYX20190616_092041_V06,20190616_052041
KTYX20190616_092509_V06,20190616_052509
KTYX20190616_092933_V06,20190616_052933
KTYX20190616_093357_V06,20190616_053357
KTYX20190616_093820_V06,20190616_053820
KTYX20190616_094239_V06,20190616_054239
KTYX20190616_094658_V06,20190616_054658
KTYX20190616_095117_V06,20190616_055117
KTYX20190616_095536_V06,20190616_055536
KTYX20190616_100415_V06,20190616_060415
KTYX20190616_100834_V06,20190616_060834
KTYX20190616_101257_V06,20190616_061257
KTYX20190616_101730_V06,20190616_061730
KTYX20190616_102204_V06,20190616_062204
KTYX20190616_102637_V06,20190616_062637
KTYX20190616_103117_V06,20190616_063117
KTYX20190616_103557_V06,20190616_063557
KTYX20190616_104036_V06,20190616_064036
KTYX20190616_104516_V06,20190616_064516
KTYX20190616_104957_V06,20190616_064957
KTYX20190617_090249_V06,20190617_050249
KTYX20190617_090953_V06,20190617_050953
KTYX20190617_091657_V06,20190617_051657
KTYX20190617_092401_V06,20190617_052401
KTYX20190617_093106_V06,20190617_053106
KTYX20190617_093809_V06,20190617_053809
KTYX20190617_094512_V06,20190617_054512
KTYX20190617_095217_V06,20190617_055217
KTYX20190617_100624_V06,20190617_060624
KTYX20190617_101328_V06,20190617_061328
KTYX20190617_102032_V06,20190617_062032
KTYX20190617_102735_V06,20190617_062735
KTYX20190617_103440_V06,20190617_063440
KTYX20190617_104144_V06,20190617_064144
KTYX20190617_104849_V06,20190617_064849
