filename,local_time
KDTX20020601_093022,20020601_053022
KDTX20020601_094009,20020601_054009
KDTX20020601_094955,20020601_054955
KDTX20020601_095941,20020601_055941
KDTX20020601_100927,20020601_060927
KDTX20020601_101914,20020601_061914
KDTX20020601_102900,20020601_062900
KDTX20020601_103846,20020601_063846
KDTX20020601_104832,20020601_064832
KDTX20020601_105819,20020601_065819
KDTX20020601_110805,20020601_070805
KDTX20020601_111751,20020601_071751
KDTX20020602_092852,20020602_052852
KDTX20020602_093838,20020602_053838
KDTX20020602_094824,20020602_054824
KDTX20020602_095810,20020602_055810
KDTX20020602_100756,20020602_060756
KDTX20020602_101742,20020602_061742
KDTX20020602_102729,20020602_062729
KDTX20020602_103715,20020602_063715
KDTX20020602_104806,20020602_064806
KDTX20020602_105753,20020602_065753
KDTX20020602_110739,20020602_070739
KDTX20020602_111726,20020602_071726
KDTX20020602_112712,20020602_072712
KDTX20020603_093025,20020603_053025
KDTX20020603_093615,20020603_053615
KDTX20020603_094205,20020603_054205
KDTX20020603_094755,20020603_054755
KDTX20020603_095345,20020603_055345
KDTX20020603_095936,20020603_055936
KDTX20020603_100630,20020603_060630
KDTX20020603_101220,20020603_061220
KDTX20020603_101810,20020603_061810
KDTX20020603_102400,20020603_062400
KDTX20020603_102950,20020603_062950
KDTX20020603_103540,20020603_063540
KDTX20020603_104130,20020603_064130
KDTX20020603_104720,20020603_064720
KDTX20020603_105310,20020603_065310
KDTX20020603_105900,20020603_065900
KDTX20020603_110450,20020603_070450
KDTX20020603_111040,20020603_071040
KDTX20020603_111630,20020603_071630
KDTX20020603_112220,20020603_072220
KDTX20020604_093044,20020604_053044
KDTX20020604_093543,20020604_053543
KDTX20020604_094042,20020604_054042
KDTX20020604_094540,20020604_054540
KDTX20020604_095039,20020604_055039
KDTX20020604_095537,20020604_055537
KDTX20020604_100036,20020604_060036
KDTX20020604_100535,20020604_060535
KDTX20020604_101034,20020604_061034
KDTX20020604_101532,20020604_061532
KDTX20020604_102031,20020604_062031
KDTX20020604_102530,20020604_062530
KDTX20020604_103028,20020604_063028
KDTX20020604_103527,20020604_063527
KDTX20020604_104026,20020604_064026
KDTX20020604_104524,20020604_064524
KDTX20020604_105023,20020604_065023
KDTX20020604_105521,20020604_065521
KDTX20020604_110020,20020604_070020
KDTX20020604_110518,20020604_070518
KDTX20020604_111017,20020604_071017
KDTX20020604_111516,20020604_071516
KDTX20020604_112015,20020604_072015
KDTX20020604_112514,20020604_072514
KDTX20020605_093055,20020605_053055
KDTX20020605_093553,20020605_053553
KDTX20020605_094051,20020605_054051
KDTX20020605_094550,20020605_054550
KDTX20020605_095048,20020605_055048
KDTX20020605_095547,20020605_055547
KDTX20020605_100046,20020605_060046
KDTX20020605_100544,20020605_060544
KDTX20020605_101043,20020605_061043
KDTX20020605_101541,20020605_061541
KDTX20020605_102040,20020605_062040
KDTX20020605_102539,20020605_062539
KDTX20020605_103038,20020605_063038
KDTX20020605_103536,20020605_063536
KDTX20020605_104035,20020605_064035
KDTX20020605_104534,20020605_064534
KDTX20020605_105125,20020605_065125
KDTX20020605_105715,20020605_065715
KDTX20020605_110305,20020605_070305
KDTX20020605_110855,20020605_070855
KDTX20020605_111443,20020605_071443
KDTX20020605_112032,20020605_072032
KDTX20020605_112622,20020605_072622
KDTX20020606_093158,20020606_053158
KDTX20020606_094144,20020606_054144
KDTX20020606_095130,20020606_055130
KDTX20020606_100117,20020606_060117
KDTX20020606_101103,20020606_061103
KDTX20020606_102049,20020606_062049
KDTX20020606_103035,20020606_063035
KDTX20020606_104021,20020606_064021
KDTX20020606_105007,20020606_065007
KDTX20020606_105953,20020606_065953
KDTX20020606_110939,20020606_070939
KDTX20020606_111925,20020606_071925
KDTX20020607_093113,20020607_053113
KDTX20020607_094059,20020607_054059
KDTX20020607_095045,20020607_055045
KDTX20020607_100031,20020607_060031
KDTX20020607_101017,20020607_061017
KDTX20020607_102004,20020607_062004
KDTX20020607_102950,20020607_062950
KDTX20020607_103936,20020607_063936
KDTX20020607_104922,20020607_064922
KDTX20020607_105908,20020607_065908
KDTX20020607_110855,20020607_070855
KDTX20020607_111841,20020607_071841
KDTX20020608_093038,20020608_053038
KDTX20020608_094024,20020608_054024
KDTX20020608_095010,20020608_055010
KDTX20020608_095957,20020608_055957
KDTX20020608_100943,20020608_060943
KDTX20020608_101929,20020608_061929
KDTX20020608_102915,20020608_062915
KDTX20020608_103901,20020608_063901
KDTX20020608_104847,20020608_064847
KDTX20020608_105833,20020608_065833
KDTX20020608_110819,20020608_070819
KDTX20020608_111805,20020608_071805
KDTX20020609_092907,20020609_052907
KDTX20020609_093857,20020609_053857
KDTX20020609_094847,20020609_054847
KDTX20020609_095838,20020609_055838
KDTX20020609_100828,20020609_060828
KDTX20020609_101818,20020609_061818
KDTX20020609_102808,20020609_062808
KDTX20020609_103758,20020609_063758
KDTX20020609_104748,20020609_064748
KDTX20020609_105739,20020609_065739
KDTX20020609_110729,20020609_070729
KDTX20020609_111719,20020609_071719
KDTX20020610_093043,20020610_053043
KDTX20020610_093633,20020610_053633
KDTX20020610_094223,20020610_054223
KDTX20020610_094813,20020610_054813
KDTX20020610_095403,20020610_055403
KDTX20020610_095953,20020610_055953
KDTX20020610_100543,20020610_060543
KDTX20020610_101133,20020610_061133
KDTX20020610_101723,20020610_061723
KDTX20020610_102313,20020610_062313
KDTX20020610_102903,20020610_062903
KDTX20020610_103453,20020610_063453
KDTX20020610_104043,20020610_064043
KDTX20020610_104633,20020610_064633
KDTX20020610_105223,20020610_065223
KDTX20020610_105813,20020610_065813
KDTX20020610_110404,20020610_070404
KDTX20020610_110954,20020610_070954
KDTX20020610_111544,20020610_071544
KDTX20020610_112134,20020610_072134
KDTX20020611_092814,20020611_052814
KDTX20020611_093404,20020611_053404
KDTX20020611_093954,20020611_053954
KDTX20020611_094544,20020611_054544
KDTX20020611_095134,20020611_055134
KDTX20020611_095724,20020611_055724
KDTX20020611_100314,20020611_060314
KDTX20020611_100904,20020611_060904
KDTX20020611_101454,20020611_061454
KDTX20020611_102044,20020611_062044
KDTX20020611_102634,20020611_062634
KDTX20020611_103224,20020611_063224
KDTX20020611_103814,20020611_063814
KDTX20020611_104404,20020611_064404
KDTX20020611_104955,20020611_064955
KDTX20020611_105544,20020611_065544
KDTX20020611_110134,20020611_070134
KDTX20020611_110725,20020611_070725
KDTX20020611_111315,20020611_071315
KDTX20020611_111913,20020611_071913
KDTX20020612_092643,20020612_052643
KDTX20020612_093142,20020612_053142
KDTX20020612_093641,20020612_053641
KDTX20020612_094139,20020612_054139
KDTX20020612_094638,20020612_054638
KDTX20020612_095137,20020612_055137
KDTX20020612_095635,20020612_055635
KDTX20020612_100134,20020612_060134
KDTX20020612_100632,20020612_060632
KDTX20020612_101131,20020612_061131
KDTX20020612_101629,20020612_061629
KDTX20020612_102128,20020612_062128
KDTX20020612_102627,20020612_062627
KDTX20020612_103126,20020612_063126
KDTX20020612_103624,20020612_063624
KDTX20020612_104123,20020612_064123
KDTX20020612_104621,20020612_064621
KDTX20020612_105120,20020612_065120
KDTX20020612_105618,20020612_065618
KDTX20020612_110117,20020612_070117
KDTX20020612_110616,20020612_070616
KDTX20020612_111114,20020612_071114
KDTX20020612_111613,20020612_071613
KDTX20020612_112111,20020612_072111
KDTX20020613_092654,20020613_052654
KDTX20020613_093644,20020613_053644
KDTX20020613_094634,20020613_054634
KDTX20020613_095624,20020613_055624
KDTX20020613_100615,20020613_060615
KDTX20020613_101605,20020613_061605
KDTX20020613_102555,20020613_062555
KDTX20020613_103545,20020613_063545
KDTX20020613_104535,20020613_064535
KDTX20020613_105525,20020613_065525
KDTX20020613_110516,20020613_070516
KDTX20020613_111506,20020613_071506
KDTX20020613_112456,20020613_072456
KDTX20020614_092932,20020614_052932
KDTX20020614_093522,20020614_053522
KDTX20020614_094112,20020614_054112
KDTX20020614_094703,20020614_054703
KDTX20020614_095252,20020614_055252
KDTX20020614_095842,20020614_055842
KDTX20020614_100433,20020614_060433
KDTX20020614_101023,20020614_061023
KDTX20020614_101613,20020614_061613
KDTX20020614_102204,20020614_062204
KDTX20020614_102754,20020614_062754
KDTX20020614_103344,20020614_063344
KDTX20020614_103934,20020614_063934
KDTX20020614_104522,20020614_064522
KDTX20020614_105111,20020614_065111
KDTX20020614_105701,20020614_065701
KDTX20020614_110250,20020614_070250
KDTX20020614_110841,20020614_070841
KDTX20020614_111431,20020614_071431
KDTX20020614_112019,20020614_072019
KDTX20020615_092829,20020615_052829
KDTX20020615_093328,20020615_053328
KDTX20020615_093826,20020615_053826
KDTX20020615_094325,20020615_054325
KDTX20020615_094824,20020615_054824
KDTX20020615_095322,20020615_055322
KDTX20020615_095821,20020615_055821
KDTX20020615_100319,20020615_060319
KDTX20020615_100818,20020615_060818
KDTX20020615_101317,20020615_061317
KDTX20020615_101815,20020615_061815
KDTX20020615_102314,20020615_062314
KDTX20020615_102813,20020615_062813
KDTX20020615_103311,20020615_063311
KDTX20020615_103809,20020615_063809
KDTX20020615_104308,20020615_064308
KDTX20020615_104806,20020615_064806
KDTX20020615_105305,20020615_065305
KDTX20020615_105804,20020615_065804
KDTX20020615_110303,20020615_070303
KDTX20020615_110802,20020615_070802
KDTX20020615_111300,20020615_071300
KDTX20020615_111758,20020615_071758
KDTX20020615_112256,20020615_072256
KDTX20020616_092810,20020616_052810
KDTX20020616_093400,20020616_053400
KDTX20020616_093950,20020616_053950
KDTX20020616_094540,20020616_054540
KDTX20020616_095130,20020616_055130
KDTX20020616_095720,20020616_055720
KDTX20020616_100310,20020616_060310
KDTX20020616_100859,20020616_060859
KDTX20020616_101449,20020616_061449
KDTX20020616_102039,20020616_062039
KDTX20020616_102628,20020616_062628
KDTX20020616_103219,20020616_063219
KDTX20020616_103808,20020616_063808
KDTX20020616_104358,20020616_064358
KDTX20020616_104949,20020616_064949
KDTX20020616_105539,20020616_065539
KDTX20020616_110129,20020616_070129
KDTX20020616_110719,20020616_070719
KDTX20020616_111309,20020616_071309
KDTX20020616_111859,20020616_071859
KDTX20020616_112448,20020616_072448
KDTX20020617_092735,20020617_052735
KDTX20020617_093325,20020617_053325
KDTX20020617_093915,20020617_053915
KDTX20020617_094505,20020617_054505
KDTX20020617_095055,20020617_055055
KDTX20020617_095645,20020617_055645
KDTX20020617_100235,20020617_060235
KDTX20020617_100825,20020617_060825
KDTX20020617_101415,20020617_061415
KDTX20020617_102005,20020617_062005
KDTX20020617_102555,20020617_062555
KDTX20020617_103145,20020617_063145
KDTX20020617_103735,20020617_063735
KDTX20020617_104324,20020617_064324
KDTX20020617_104914,20020617_064914
KDTX20020617_105504,20020617_065504
KDTX20020617_110054,20020617_070054
KDTX20020617_110644,20020617_070644
KDTX20020617_111234,20020617_071234
KDTX20020617_111825,20020617_071825
KDTX20020617_112415,20020617_072415
KDTX20020618_092606,20020618_052606
KDTX20020618_093156,20020618_053156
KDTX20020618_093746,20020618_053746
KDTX20020618_094336,20020618_054336
KDTX20020618_094926,20020618_054926
KDTX20020618_095516,20020618_055516
KDTX20020618_100106,20020618_060106
KDTX20020618_100656,20020618_060656
KDTX20020618_101246,20020618_061246
KDTX20020618_101836,20020618_061836
KDTX20020618_102426,20020618_062426
KDTX20020618_103016,20020618_063016
KDTX20020618_103606,20020618_063606
KDTX20020618_104156,20020618_064156
KDTX20020618_104746,20020618_064746
KDTX20020618_105336,20020618_065336
KDTX20020618_105926,20020618_065926
KDTX20020618_110516,20020618_070516
KDTX20020618_111105,20020618_071105
KDTX20020618_111656,20020618_071656
KDTX20020618_112246,20020618_072246
KDTX20020619_092930,20020619_052930
KDTX20020619_093920,20020619_053920
KDTX20020619_094910,20020619_054910
KDTX20020619_095900,20020619_055900
KDTX20020619_100850,20020619_060850
KDTX20020619_101841,20020619_061841
KDTX20020619_102831,20020619_062831
KDTX20020619_103821,20020619_063821
KDTX20020619_104811,20020619_064811
KDTX20020619_105801,20020619_065801
KDTX20020619_110751,20020619_070751
KDTX20020619_111742,20020619_071742
KDTX20020620_093003,20020620_053003
KDTX20020620_093953,20020620_053953
KDTX20020620_094943,20020620_054943
KDTX20020620_095933,20020620_055933
KDTX20020620_100923,20020620_060923
KDTX20020620_101913,20020620_061913
KDTX20020620_102904,20020620_062904
KDTX20020620_103854,20020620_063854
KDTX20020620_104844,20020620_064844
KDTX20020620_105834,20020620_065834
KDTX20020620_110824,20020620_070824
KDTX20020620_111814,20020620_071814
KDTX20020621_092750,20020621_052750
KDTX20020621_093340,20020621_053340
KDTX20020621_093929,20020621_053929
KDTX20020621_094519,20020621_054519
KDTX20020621_095110,20020621_055110
KDTX20020621_095659,20020621_055659
KDTX20020621_100249,20020621_060249
KDTX20020621_100840,20020621_060840
KDTX20020621_101429,20020621_061429
KDTX20020621_102019,20020621_062019
KDTX20020621_102610,20020621_062610
KDTX20020621_103200,20020621_063200
KDTX20020621_103750,20020621_063750
KDTX20020621_104340,20020621_064340
KDTX20020621_104930,20020621_064930
KDTX20020621_105428,20020621_065428
KDTX20020621_105927,20020621_065927
KDTX20020621_110425,20020621_070425
KDTX20020621_110924,20020621_070924
KDTX20020621_111423,20020621_071423
KDTX20020621_111922,20020621_071922
KDTX20020621_112420,20020621_072420
KDTX20020622_092651,20020622_052651
KDTX20020622_093241,20020622_053241
KDTX20020622_093831,20020622_053831
KDTX20020622_094421,20020622_054421
KDTX20020622_095011,20020622_055011
KDTX20020622_095601,20020622_055601
KDTX20020622_100151,20020622_060151
KDTX20020622_100741,20020622_060741
KDTX20020622_101239,20020622_061239
KDTX20020622_101738,20020622_061738
KDTX20020622_102236,20020622_062236
KDTX20020622_102735,20020622_062735
KDTX20020622_103233,20020622_063233
KDTX20020622_103732,20020622_063732
KDTX20020622_104230,20020622_064230
KDTX20020622_104728,20020622_064728
KDTX20020622_105227,20020622_065227
KDTX20020622_105829,20020622_065829
KDTX20020622_110327,20020622_070327
KDTX20020622_110826,20020622_070826
KDTX20020622_111324,20020622_071324
KDTX20020622_111823,20020622_071823
KDTX20020622_112321,20020622_072321
KDTX20020623_093033,20020623_053033
KDTX20020623_093623,20020623_053623
KDTX20020623_094213,20020623_054213
KDTX20020623_094803,20020623_054803
KDTX20020623_095353,20020623_055353
KDTX20020623_095943,20020623_055943
KDTX20020623_100541,20020623_060541
KDTX20020623_101728,20020623_061728
KDTX20020623_102718,20020623_062718
KDTX20020623_103708,20020623_063708
KDTX20020623_104658,20020623_064658
KDTX20020623_105648,20020623_065648
KDTX20020623_110638,20020623_070638
KDTX20020623_111629,20020623_071629
KDTX20020623_112619,20020623_072619
KDTX20020624_092947,20020624_052947
KDTX20020624_093537,20020624_053537
KDTX20020624_094127,20020624_054127
KDTX20020624_094717,20020624_054717
KDTX20020624_095307,20020624_055307
KDTX20020624_095857,20020624_055857
KDTX20020624_100447,20020624_060447
KDTX20020624_101036,20020624_061036
KDTX20020624_101626,20020624_061626
KDTX20020624_102216,20020624_062216
KDTX20020624_102807,20020624_062807
KDTX20020624_103357,20020624_063357
KDTX20020624_103946,20020624_063946
KDTX20020624_104536,20020624_064536
KDTX20020624_105126,20020624_065126
KDTX20020624_105716,20020624_065716
KDTX20020624_110306,20020624_070306
KDTX20020624_110857,20020624_070857
KDTX20020624_111446,20020624_071446
KDTX20020624_112036,20020624_072036
KDTX20020624_112626,20020624_072626
KDTX20020625_093558,20020625_053558
KDTX20020625_094548,20020625_054548
KDTX20020625_095538,20020625_055538
KDTX20020625_100529,20020625_060529
KDTX20020625_101519,20020625_061519
KDTX20020625_102509,20020625_062509
KDTX20020625_103459,20020625_063459
KDTX20020625_104449,20020625_064449
KDTX20020625_105439,20020625_065439
KDTX20020625_110430,20020625_070430
KDTX20020625_111420,20020625_071420
KDTX20020625_112410,20020625_072410
KDTX20020626_093003,20020626_053003
KDTX20020626_093553,20020626_053553
KDTX20020626_094143,20020626_054143
KDTX20020626_094733,20020626_054733
KDTX20020626_095323,20020626_055323
KDTX20020626_095913,20020626_055913
KDTX20020626_100503,20020626_060503
KDTX20020626_101053,20020626_061053
KDTX20020626_101643,20020626_061643
KDTX20020626_102233,20020626_062233
KDTX20020626_102823,20020626_062823
KDTX20020626_103413,20020626_063413
KDTX20020626_104003,20020626_064003
KDTX20020626_104554,20020626_064554
KDTX20020626_105144,20020626_065144
KDTX20020626_105733,20020626_065733
KDTX20020626_110323,20020626_070323
KDTX20020626_110913,20020626_070913
KDTX20020626_111503,20020626_071503
KDTX20020626_112054,20020626_072054
KDTX20020626_112644,20020626_072644
KDTX20020627_093325,20020627_053325
KDTX20020627_093915,20020627_053915
KDTX20020627_094505,20020627_054505
KDTX20020627_095053,20020627_055053
KDTX20020627_095642,20020627_055642
KDTX20020627_100232,20020627_060232
KDTX20020627_100822,20020627_060822
KDTX20020627_101412,20020627_061412
KDTX20020627_102001,20020627_062001
KDTX20020627_102552,20020627_062552
KDTX20020627_103142,20020627_063142
KDTX20020627_103732,20020627_063732
KDTX20020627_104322,20020627_064322
KDTX20020627_104912,20020627_064912
KDTX20020627_105502,20020627_065502
KDTX20020627_110052,20020627_070052
KDTX20020627_110642,20020627_070642
KDTX20020627_111232,20020627_071232
KDTX20020627_111823,20020627_071823
KDTX20020627_112413,20020627_072413
KDTX20020628_093615,20020628_053615
KDTX20020628_094605,20020628_054605
KDTX20020628_095555,20020628_055555
KDTX20020628_100546,20020628_060546
KDTX20020628_101536,20020628_061536
KDTX20020628_102526,20020628_062526
KDTX20020628_103516,20020628_063516
KDTX20020628_104506,20020628_064506
KDTX20020628_105456,20020628_065456
KDTX20020628_110447,20020628_070447
KDTX20020628_111437,20020628_071437
KDTX20020628_112427,20020628_072427
KDTX20020629_093809,20020629_053809
KDTX20020629_094759,20020629_054759
KDTX20020629_095749,20020629_055749
KDTX20020629_100739,20020629_060739
KDTX20020629_101729,20020629_061729
KDTX20020629_102720,20020629_062720
KDTX20020629_103710,20020629_063710
KDTX20020629_104700,20020629_064700
KDTX20020629_105650,20020629_065650
KDTX20020629_110640,20020629_070640
KDTX20020629_111630,20020629_071630
KDTX20020629_112621,20020629_072621
KDTX20020630_093607,20020630_053607
KDTX20020630_094554,20020630_054554
KDTX20020630_095540,20020630_055540
KDTX20020630_100526,20020630_060526
KDTX20020630_101512,20020630_061512
KDTX20020630_102459,20020630_062459
KDTX20020630_103446,20020630_063446
KDTX20020630_104432,20020630_064432
KDTX20020630_105418,20020630_065418
KDTX20020630_110404,20020630_070404
KDTX20020630_111351,20020630_071351
KDTX20020630_112337,20020630_072337
KDTX20020701_093244,20020701_053244
KDTX20020701_094234,20020701_054234
KDTX20020701_095224,20020701_055224
KDTX20020701_100215,20020701_060215
KDTX20020701_101205,20020701_061205
KDTX20020701_102155,20020701_062155
KDTX20020701_103145,20020701_063145
KDTX20020701_104135,20020701_064135
KDTX20020701_105125,20020701_065125
KDTX20020701_110116,20020701_070116
KDTX20020701_111106,20020701_071106
KDTX20020701_112056,20020701_072056
KDTX20020702_093831,20020702_053831
KDTX20020702_094817,20020702_054817
KDTX20020702_095803,20020702_055803
KDTX20020702_100749,20020702_060749
KDTX20020702_101736,20020702_061736
KDTX20020702_102722,20020702_062722
KDTX20020702_103708,20020702_063708
KDTX20020702_104655,20020702_064655
KDTX20020702_105641,20020702_065641
KDTX20020702_110627,20020702_070627
KDTX20020702_111613,20020702_071613
KDTX20020702_112600,20020702_072600
KDTX20020703_093816,20020703_053816
KDTX20020703_094803,20020703_054803
KDTX20020703_095749,20020703_055749
KDTX20020703_100736,20020703_060736
KDTX20020703_101723,20020703_061723
KDTX20020703_102710,20020703_062710
KDTX20020703_103657,20020703_063657
KDTX20020703_104644,20020703_064644
KDTX20020703_105630,20020703_065630
KDTX20020703_110617,20020703_070617
KDTX20020703_111604,20020703_071604
KDTX20020703_112550,20020703_072550
KDTX20020704_093156,20020704_053156
KDTX20020704_093746,20020704_053746
KDTX20020704_094336,20020704_054336
KDTX20020704_094926,20020704_054926
KDTX20020704_095516,20020704_055516
KDTX20020704_100106,20020704_060106
KDTX20020704_100656,20020704_060656
KDTX20020704_101246,20020704_061246
KDTX20020704_101836,20020704_061836
KDTX20020704_102426,20020704_062426
KDTX20020704_103016,20020704_063016
KDTX20020704_103606,20020704_063606
KDTX20020704_104156,20020704_064156
KDTX20020704_104747,20020704_064747
KDTX20020704_105337,20020704_065337
KDTX20020704_105927,20020704_065927
KDTX20020704_110516,20020704_070516
KDTX20020704_111106,20020704_071106
KDTX20020704_111656,20020704_071656
KDTX20020704_112643,20020704_072643
KDTX20020705_093427,20020705_053427
KDTX20020705_094414,20020705_054414
KDTX20020705_095400,20020705_055400
KDTX20020705_100346,20020705_060346
KDTX20020705_101332,20020705_061332
KDTX20020705_102318,20020705_062318
KDTX20020705_103305,20020705_063305
KDTX20020705_104251,20020705_064251
KDTX20020705_105237,20020705_065237
KDTX20020705_110223,20020705_070223
KDTX20020705_111210,20020705_071210
KDTX20020705_112156,20020705_072156
KDTX20020705_113142,20020705_073142
KDTX20020706_093753,20020706_053753
KDTX20020706_094343,20020706_054343
KDTX20020706_094933,20020706_054933
KDTX20020706_095523,20020706_055523
KDTX20020706_100113,20020706_060113
KDTX20020706_100704,20020706_060704
KDTX20020706_101254,20020706_061254
KDTX20020706_101844,20020706_061844
KDTX20020706_102434,20020706_062434
KDTX20020706_103024,20020706_063024
KDTX20020706_103614,20020706_063614
KDTX20020706_104204,20020706_064204
KDTX20020706_104754,20020706_064754
KDTX20020706_105344,20020706_065344
KDTX20020706_105934,20020706_065934
KDTX20020706_110523,20020706_070523
KDTX20020706_111112,20020706_071112
KDTX20020706_111702,20020706_071702
KDTX20020706_112252,20020706_072252
KDTX20020706_112842,20020706_072842
KDTX20020707_093616,20020707_053616
KDTX20020707_094606,20020707_054606
KDTX20020707_095556,20020707_055556
KDTX20020707_100546,20020707_060546
KDTX20020707_101536,20020707_061536
KDTX20020707_102526,20020707_062526
KDTX20020707_103517,20020707_063517
KDTX20020707_104507,20020707_064507
KDTX20020707_105457,20020707_065457
KDTX20020707_110447,20020707_070447
KDTX20020707_111437,20020707_071437
KDTX20020707_112427,20020707_072427
KDTX20020708_094146,20020708_054146
KDTX20020708_095136,20020708_055136
KDTX20020708_100126,20020708_060126
KDTX20020708_101116,20020708_061116
KDTX20020708_102106,20020708_062106
KDTX20020708_103056,20020708_063056
KDTX20020708_104047,20020708_064047
KDTX20020708_105037,20020708_065037
KDTX20020708_110027,20020708_070027
KDTX20020708_111017,20020708_071017
KDTX20020708_112007,20020708_072007
KDTX20020708_112957,20020708_072957
KDTX20020709_093744,20020709_053744
KDTX20020709_094243,20020709_054243
KDTX20020709_094741,20020709_054741
KDTX20020709_095240,20020709_055240
KDTX20020709_095739,20020709_055739
KDTX20020709_100237,20020709_060237
KDTX20020709_100736,20020709_060736
KDTX20020709_101235,20020709_061235
KDTX20020709_101733,20020709_061733
KDTX20020709_102232,20020709_062232
KDTX20020709_102730,20020709_062730
KDTX20020709_103229,20020709_063229
KDTX20020709_103727,20020709_063727
KDTX20020709_104226,20020709_064226
KDTX20020709_104725,20020709_064725
KDTX20020709_105223,20020709_065223
KDTX20020709_105723,20020709_065723
KDTX20020709_110221,20020709_070221
KDTX20020709_110720,20020709_070720
KDTX20020709_111218,20020709_071218
KDTX20020709_111717,20020709_071717
KDTX20020709_112216,20020709_072216
KDTX20020709_112714,20020709_072714
KDTX20020709_113213,20020709_073213
KDTX20020711_093931,20020711_053931
KDTX20020711_094917,20020711_054917
KDTX20020711_095903,20020711_055903
KDTX20020711_100849,20020711_060849
KDTX20020711_101836,20020711_061836
KDTX20020711_102822,20020711_062822
KDTX20020711_103808,20020711_063808
KDTX20020711_104755,20020711_064755
KDTX20020711_105741,20020711_065741
KDTX20020711_110728,20020711_070728
KDTX20020711_111714,20020711_071714
KDTX20020711_112700,20020711_072700
KDTX20020712_094100,20020712_054100
KDTX20020712_094649,20020712_054649
KDTX20020712_095239,20020712_055239
KDTX20020712_095829,20020712_055829
KDTX20020712_100419,20020712_060419
KDTX20020712_101009,20020712_061009
KDTX20020712_101600,20020712_061600
KDTX20020712_102150,20020712_062150
KDTX20020712_102740,20020712_062740
KDTX20020712_103330,20020712_063330
KDTX20020712_103920,20020712_063920
KDTX20020712_104510,20020712_064510
KDTX20020712_105100,20020712_065100
KDTX20020712_105650,20020712_065650
KDTX20020712_110241,20020712_070241
KDTX20020712_110831,20020712_070831
KDTX20020712_111421,20020712_071421
KDTX20020712_112011,20020712_072011
KDTX20020712_112602,20020712_072602
KDTX20020712_113152,20020712_073152
KDTX20020713_094308,20020713_054308
KDTX20020713_095254,20020713_055254
KDTX20020713_100241,20020713_060241
KDTX20020713_101227,20020713_061227
KDTX20020713_102213,20020713_062213
KDTX20020713_103200,20020713_063200
KDTX20020713_104146,20020713_064146
KDTX20020713_105234,20020713_065234
KDTX20020713_110221,20020713_070221
KDTX20020713_111208,20020713_071208
KDTX20020713_112154,20020713_072154
KDTX20020713_113140,20020713_073140
KDTX20020714_094238,20020714_054238
KDTX20020714_095225,20020714_055225
KDTX20020714_100211,20020714_060211
KDTX20020714_101300,20020714_061300
KDTX20020714_102246,20020714_062246
KDTX20020714_103232,20020714_063232
KDTX20020714_104218,20020714_064218
KDTX20020714_105204,20020714_065204
