track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KBUF20050602_104639,68,0.083,388.41,304.356445,28.927628,-78.20,42.927722,14463.813782,20050602_064639
1,KBUF20050603_102642,49,0.127,416.55,355.282776,15.332703,-78.03,42.697574,7666.351318,20050603_062642
1,KBUF20050605_091709,-19,0.050,240.94,419.495605,16.058449,-79.10,42.410196,8029.224396,20050605_051709
10,KBUF20050606_093439,-2,0.069,151.16,380.412750,14.117599,-79.64,42.583075,7058.799744,20050606_053439
10,KBUF20050606_094034,4,0.091,153.15,380.484783,22.483547,-79.63,42.582847,11241.773324,20050606_054034
10,KBUF20050606_094629,10,0.630,166.15,374.119864,22.522794,-79.55,42.612087,11261.396803,20050606_054629
10,KBUF20050606_095225,16,0.905,172.16,372.711812,26.380714,-79.52,42.618680,13190.356845,20050606_055225
10,KBUF20050606_095819,22,0.917,180.65,371.103503,27.104482,-79.46,42.626261,13552.241156,20050606_055819
10,KBUF20050606_100414,28,0.883,190.43,366.255301,24.863844,-79.41,42.648446,12431.922134,20050606_060414
10,KBUF20050606_101009,34,0.841,204.93,358.150420,22.722429,-79.32,42.685408,11361.214347,20050606_061009
10,KBUF20050606_101434,38,0.105,207.87,359.500138,27.017736,-79.30,42.679423,13508.867851,20050606_061434
24,KBUF20050606_104533,69,0.552,163.73,383.991760,14.608150,-79.57,42.567550,7304.075241,20050606_064533
24,KBUF20050606_104959,73,0.348,165.30,383.309146,19.664158,-79.56,42.570691,9832.078814,20050606_064959
24,KBUF20050606_105424,78,0.402,172.82,380.075124,22.205923,-79.51,42.585567,11102.961566,20050606_065424
24,KBUF20050606_105850,82,0.295,182.29,378.279036,21.317080,-79.45,42.594028,10658.539907,20050606_065850
1,KBUF20050606_091058,-26,0.725,244.62,169.380920,8.716038,-79.08,43.535959,4358.018875,20050606_051058
1,KBUF20050606_091654,-20,0.089,249.20,168.708221,15.383245,-79.05,43.539067,7691.622667,20050606_051654
1,KBUF20050606_092249,-14,-1.000,253.13,168.131622,22.460852,-79.03,43.541725,11230.425918,20050606_052249
1,KBUF20050606_092845,-8,-1.000,257.06,167.555022,29.538458,-79.00,43.544379,14769.229169,20050606_052845
1,KBUF20050606_093439,-2,0.138,271.25,147.621545,29.996494,-78.92,43.634254,14998.247095,20050606_053439
20,KBUF20050606_102325,47,0.098,86.94,359.847290,25.226234,-80.04,42.671846,12613.117218,20050606_062325
20,KBUF20050606_102751,51,0.225,89.02,359.099079,29.924049,-80.02,42.675357,14962.024688,20050606_062751
20,KBUF20050606_103216,56,0.172,104.33,349.537842,24.561075,-79.93,42.719400,12280.537605,20050606_063216
25,KBUF20050606_104533,69,0.118,294.25,468.553345,31.688675,-78.77,42.189932,15844.337463,20050606_064533
25,KBUF20050606_104959,73,0.094,295.53,467.991348,36.890866,-78.76,42.192464,18445.433017,20050606_064959
26,KBUF20050606_105424,78,0.866,265.82,405.332489,27.986904,-78.94,42.474322,13993.452072,20050606_065424
26,KBUF20050606_105850,82,0.357,268.13,404.979112,32.194655,-78.93,42.475937,16097.327409,20050606_065850
3,KBUF20050606_091058,-26,0.108,208.93,420.262024,3.469940,-79.29,42.405967,1734.970093,20050606_051058
6,KBUF20050606_091654,-20,0.302,384.15,327.775330,8.624680,-78.22,42.822440,4312.339783,20050606_051654
8,KBUF20050606_091654,-20,0.077,307.63,51.087402,20.331070,-78.69,44.068792,10165.534973,20050606_051654
9,KBUF20050606_093439,-2,0.071,378.71,325.044495,13.033768,-78.26,42.834876,6516.883850,20050606_053439
11,KBUF20050606_094034,4,0.070,265.00,386.405457,5.686565,-78.95,42.559505,2843.282700,20050606_054034
12,KBUF20050606_094629,10,0.078,197.33,171.505676,11.368019,-79.37,43.525155,5684.009552,20050606_054629
12,KBUF20050606_095225,16,0.062,207.79,167.757690,10.152958,-79.31,43.542360,5076.478958,20050606_055225
14,KBUF20050606_095225,16,0.132,137.76,423.952454,9.443741,-79.72,42.386437,4721.870422,20050606_055225
16,KBUF20050606_095225,16,0.051,173.96,431.071991,16.878796,-79.50,42.356082,8439.397812,20050606_055225
23,KBUF20050606_104108,65,0.067,504.95,55.984009,50.695259,-77.46,44.039709,25347.629547,20050606_064108
1,KBUF20050607_104425,68,0.053,394.62,275.722412,29.468414,-78.16,43.056406,14734.207153,20050607_064425
1,KBUF20050608_092059,-16,0.061,210.47,316.075500,12.437958,-79.28,42.874945,6218.978882,20050608_052059
2,KBUF20050608_093053,-6,0.223,386.12,322.800842,2.512688,-78.21,42.844774,1256.343842,20050608_053053
5,KBUF20050610_091937,-16,0.177,362.48,287.768188,19.915222,-78.35,43.003022,9957.611084,20050610_051937
5,KBUF20050610_092402,-11,0.858,366.83,289.206089,22.537899,-78.33,42.996458,11268.949617,20050610_052402
5,KBUF20050610_092828,-7,0.547,373.44,289.020906,22.439650,-78.29,42.997139,11219.824858,20050610_052828
5,KBUF20050610_093254,-3,0.506,377.45,282.769564,23.323264,-78.26,43.025175,11661.632128,20050610_053254
5,KBUF20050610_093721,2,0.169,382.25,277.830490,22.213406,-78.23,43.047278,11106.702950,20050610_053721
9,KBUF20050610_095933,24,0.059,244.74,164.426178,26.692204,-79.08,43.558258,13346.101761,20050610_055933
9,KBUF20050610_100358,28,0.272,246.22,164.420143,31.199411,-79.07,43.558312,15599.705617,20050610_060358
9,KBUF20050610_100823,33,0.233,250.38,162.505409,31.576873,-79.04,43.567001,15788.436672,20050610_060823
9,KBUF20050610_101249,37,-1.000,253.27,161.260923,32.764891,-79.03,43.572648,16382.445254,20050610_061249
9,KBUF20050610_101715,42,0.051,255.67,158.333949,32.183014,-79.01,43.585856,16091.506976,20050610_061715
15,KBUF20050610_103926,64,0.275,197.90,204.557678,30.119118,-79.37,43.376434,15059.558868,20050610_063926
15,KBUF20050610_104351,68,0.379,198.85,204.217855,34.773161,-79.36,43.377995,17386.580449,20050610_064351
15,KBUF20050610_104817,73,0.167,205.99,200.602656,34.551121,-79.32,43.394495,17275.560293,20050610_064817
15,KBUF20050610_105243,77,0.098,211.38,194.213676,36.555032,-79.28,43.423410,18277.515837,20050610_065243
13,KBUF20050610_103459,59,0.171,481.06,129.127075,51.254425,-77.61,43.712152,25627.212524,20050610_063459
13,KBUF20050610_103926,64,0.067,482.29,127.684976,58.707988,-77.61,43.718567,29353.994082,20050610_063926
13,KBUF20050610_104351,68,0.077,487.31,124.813136,60.699589,-77.57,43.731179,30349.794619,20050610_064351
2,KBUF20050610_090620,-29,0.077,364.51,233.360535,9.086723,-78.34,43.247845,4543.361664,20050610_050620
2,KBUF20050610_091046,-25,0.200,364.58,232.983973,14.673591,-78.34,43.249538,7336.795428,20050610_051046
6,KBUF20050610_095041,15,0.110,244.61,91.771545,21.874180,-79.08,43.885211,10937.089920,20050610_055041
6,KBUF20050610_095507,20,0.129,246.16,91.564512,27.513534,-79.07,43.886171,13756.766858,20050610_055507
7,KBUF20050610_095041,15,0.065,243.78,399.768402,15.549446,-79.08,42.499043,7774.723053,20050610_055041
