track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KMQT20050603_103640,37,0.091,380.06,291.820129,8.648773,-87.03,46.566712,4324.386597,20050603_063640
2,KMQT20050603_103640,37,0.071,356.95,410.619751,33.977852,-87.18,46.032931,16988.925934,20050603_063640
1,KMQT20050604_100756,8,0.050,425.17,472.989349,49.584793,-86.74,45.750103,24792.396545,20050604_060756
4,KMQT20050605_103440,36,0.210,282.20,585.044434,21.032917,-87.66,45.248792,10516.458511,20050605_063440
4,KMQT20050605_103858,40,0.253,282.51,583.279238,27.043336,-87.66,45.256736,13521.668114,20050605_063858
5,KMQT20050605_103858,40,0.102,206.47,297.436523,9.472530,-88.16,46.541016,4736.265182,20050605_063858
5,KMQT20050605_104319,45,0.174,206.15,296.593572,16.505742,-88.16,46.544796,8252.871032,20050605_064319
6,KMQT20050605_103858,40,0.051,147.59,371.766815,21.239187,-88.54,46.204017,10619.593620,20050605_063858
6,KMQT20050605_104319,45,0.058,148.26,370.322174,26.844114,-88.53,46.210553,13422.057066,20050605_064319
6,KMQT20050605_104738,49,-1.000,148.69,369.390147,31.691164,-88.53,46.214769,15845.581870,20050605_064738
6,KMQT20050605_105157,53,0.060,151.91,351.431000,24.456980,-88.51,46.295722,12228.489876,20050605_065157
1,KMQT20050605_100004,2,0.053,213.93,357.289795,2.531391,-88.11,46.272050,1265.695572,20050605_060004
2,KMQT20050605_101723,19,0.065,209.96,445.575928,32.053276,-88.13,45.874797,16026.638031,20050605_061723
3,KMQT20050605_102142,23,0.160,272.25,428.516724,26.987476,-87.73,45.952878,13493.738174,20050605_062142
1,KMQT20050606_092836,-30,0.216,430.13,229.316284,21.789810,-86.70,46.845865,10894.905090,20050606_052836
1,KMQT20050606_093425,-24,0.052,433.00,228.092837,29.275036,-86.68,46.851227,14637.517760,20050606_053425
6,KMQT20050606_105551,57,0.097,236.44,133.591553,19.438797,-87.97,47.278795,9719.398499,20050606_065551
6,KMQT20050606_110140,63,0.108,238.99,134.381894,26.285879,-87.95,47.275300,13142.939717,20050606_070140
6,KMQT20050606_110729,69,0.652,253.67,137.687317,19.904404,-87.85,47.260732,9952.201843,20050606_070729
6,KMQT20050606_111317,75,0.462,258.20,138.773407,24.808442,-87.82,47.255923,12404.220823,20050606_071317
8,KMQT20050606_110729,69,0.063,280.66,165.802856,22.769485,-87.68,47.134620,11384.742737,20050606_070729
8,KMQT20050606_111317,75,-1.000,280.66,165.802856,32.309485,-87.68,47.134620,16154.742737,20050606_071317
8,KMQT20050606_111908,81,0.061,286.29,163.248853,32.176080,-87.64,47.146142,16088.040236,20050606_071908
2,KMQT20050606_102055,22,0.488,368.27,413.963287,13.791817,-87.11,46.017630,6895.908356,20050606_062055
4,KMQT20050606_105001,52,0.294,373.87,277.111542,24.437256,-87.07,46.633045,12218.627930,20050606_065001
5,KMQT20050606_105551,57,0.243,260.40,166.064575,19.106262,-87.81,47.133218,9553.131104,20050606_065551
9,KMQT20050606_111317,75,0.058,416.71,266.157776,54.874725,-86.79,46.680791,27437.362671,20050606_071317
1,KMQT20050610_093637,-21,0.153,198.54,264.580780,10.728882,-88.21,46.688503,5364.440918,20050610_053637
1,KMQT20050610_094226,-15,0.113,198.93,265.284919,17.769438,-88.21,46.685351,8884.719061,20050610_054226
1,KMQT20050610_094815,-9,0.092,198.19,265.851257,13.137661,-88.21,46.682776,6568.830490,20050610_054815
1,KMQT20050610_095404,-3,0.237,199.61,264.713756,20.639485,-88.20,46.687945,10319.742570,20050610_055404
1,KMQT20050610_095955,2,0.105,201.23,266.278564,18.389702,-88.19,46.680968,9194.850922,20050610_055955
2,KMQT20050610_094226,-15,0.054,266.66,102.622681,3.500992,-87.77,47.418624,1750.495911,20050610_054226
5,KMQT20050610_104630,49,0.104,404.62,417.574799,16.760193,-86.87,46.000233,8380.096436,20050610_064630
2,KMQT20050611_094940,-7,0.060,230.77,404.914795,28.945011,-88.00,46.058309,14472.505569,20050611_054940
2,KMQT20050611_095530,-1,0.068,232.88,402.818625,35.440609,-87.98,46.067791,17720.304292,20050611_055530
2,KMQT20050611_100120,5,0.073,236.36,396.703584,37.522050,-87.96,46.095381,18761.024780,20050611_060120
1,KMQT20050611_093933,-17,0.072,347.47,376.146027,29.309406,-87.24,46.188184,14654.703140,20050611_053933
3,KMQT20050611_104210,46,0.503,373.24,306.339539,12.782486,-87.07,46.501600,6391.242981,20050611_064210
1,KMQT20050612_101215,16,0.219,327.53,403.277283,34.281727,-87.37,46.066416,17140.863419,20050612_061215
5,KMQT20050614_104530,49,0.081,366.19,389.701569,28.018410,-87.12,46.126817,14009.204865,20050614_064530
5,KMQT20050614_104950,53,0.245,365.44,389.193321,33.294543,-87.12,46.129121,16647.271454,20050614_064950
5,KMQT20050614_105410,58,0.128,363.61,382.807011,33.854252,-87.14,46.157891,16927.126115,20050614_065410
6,KMQT20050614_111133,75,0.138,173.12,369.388489,28.776283,-88.37,46.216029,14388.141632,20050614_071133
6,KMQT20050614_111554,79,0.090,173.10,367.823513,33.856606,-88.37,46.223067,16928.302870,20050614_071554
6,KMQT20050614_112014,84,0.210,187.73,362.800892,33.854710,-88.28,46.246303,16927.354936,20050614_072014
1,KMQT20050614_101512,19,0.355,237.75,457.703094,20.271955,-87.95,45.821017,10135.977745,20050614_061512
1,KMQT20050614_101931,23,0.149,237.79,456.850460,25.577160,-87.95,45.824854,12788.579920,20050614_061931
1,KMQT20050614_102350,27,-1.000,237.81,456.230362,31.170036,-87.95,45.827644,15585.017866,20050614_062350
1,KMQT20050614_102810,32,0.073,239.19,444.673035,23.941154,-87.94,45.879664,11970.577240,20050614_062810
1,KMQT20050614_103230,36,0.329,240.13,442.510291,29.045145,-87.93,45.889414,14522.572525,20050614_063230
