track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
3,KTYX20130601_094351_V07,20,0.069,186.39,42.501099,29.666634,-76.40,44.912260,14833.316803,20130601_054351
3,KTYX20130602_091854_V07,-5,0.057,289.90,221.319397,23.736839,-75.74,44.109876,11868.419647,20130602_051854
3,KTYX20130602_092333_V07,0,0.104,291.40,220.242909,31.082215,-75.73,44.114725,15541.107324,20130602_052333
1,KTYX20130602_090936_V07,-14,0.068,271.40,237.936462,21.815224,-75.86,44.034979,10907.611847,20130602_050936
5,KTYX20130606_094013_V07,19,0.067,21.71,229.290405,24.246063,-77.42,44.060873,12123.031616,20130606_054013
5,KTYX20130606_094550_V07,24,0.074,23.53,230.276234,32.244826,-77.41,44.056610,16122.413138,20130606_054550
4,KTYX20130606_092322_V07,2,0.081,11.11,235.047760,17.473181,-77.48,44.033953,8736.590385,20130606_052322
1,KTYX20130610_090316_V07,-17,0.444,180.17,216.125366,9.983532,-76.43,44.130824,4991.765976,20130610_050316
2,KTYX20130610_094150_V07,21,0.066,335.81,418.889191,2.618725,-75.46,43.220572,1309.362411,20130610_054150
1,KTYX20130613_090608_V07,-14,0.076,37.92,454.301575,44.181496,-77.29,43.050006,22090.747833,20130613_050608
1,KTYX20130613_091142_V07,-9,-1.000,37.92,454.301575,52.131496,-77.29,43.050006,26065.747833,20130613_051142
1,KTYX20130613_091715_V07,-3,0.074,37.71,456.730937,53.933174,-77.29,43.039057,26966.587247,20130613_051715
2,KTYX20130613_094459_V07,24,0.064,398.59,281.874573,15.794380,-75.07,43.835755,7897.190094,20130613_054459
1,KTYX20130615_092639_V07,6,0.056,401.66,290.685516,8.782883,-75.05,43.796002,4391.441345,20130615_052639
1,KTYX20130616_100300_V07,43,0.058,374.72,445.581848,8.166378,-75.22,43.099725,4083.189011,20130616_060300
14,KTYX20130618_095632_V07,36,0.149,291.57,215.069397,22.346062,-75.73,44.138005,11173.030853,20130618_055632
14,KTYX20130618_100204_V07,42,0.136,292.76,213.061251,29.615072,-75.73,44.147045,14807.535814,20130618_060204
14,KTYX20130618_100737_V07,47,0.388,304.46,209.932507,31.518480,-75.65,44.161129,15759.239875,20130618_060737
14,KTYX20130618_101309_V07,53,0.156,321.43,207.851903,33.303541,-75.55,44.170417,16651.770292,20130618_061309
14,KTYX20130618_101840_V07,58,0.235,332.99,203.531617,36.385553,-75.47,44.189750,18192.776398,20130618_061840
14,KTYX20130618_102412_V07,64,-1.000,347.42,199.343675,39.566011,-75.38,44.208397,19783.005582,20130618_062412
14,KTYX20130618_102944_V07,69,0.060,366.56,200.328918,31.882072,-75.26,44.203592,15941.036224,20130618_062944
5,KTYX20130618_090646_V07,-14,0.164,346.33,313.646179,23.442024,-75.39,43.694058,11721.012115,20130618_050646
