filename,local_time
KEWX20160321_002734_V06,20160320_192734
KEWX20160321_003650_V06,20160320_193650
KEWX20160321_004607_V06,20160320_194607
KEWX20160321_005523_V06,20160320_195523
KEWX20160321_010438_V06,20160320_200438
KEWX20160321_011354_V06,20160320_201354
KEWX20160321_012310_V06,20160320_202310
KEWX20160321_013225_V06,20160320_203225
KEWX20160321_014141_V06,20160320_204141
KEWX20160322_003038_V06,20160321_193038
KEWX20160322_003954_V06,20160321_193954
KEWX20160322_004910_V06,20160321_194910
KEWX20160322_005826_V06,20160321_195826
KEWX20160322_010743_V06,20160321_200743
KEWX20160322_011659_V06,20160321_201659
KEWX20160322_012615_V06,20160321_202615
KEWX20160322_013531_V06,20160321_203531
KEWX20160323_003106_V06,20160322_193106
KEWX20160323_004022_V06,20160322_194022
KEWX20160323_004938_V06,20160322_194938
KEWX20160323_005854_V06,20160322_195854
KEWX20160323_010808_V06,20160322_200808
KEWX20160323_011724_V06,20160322_201724
KEWX20160323_012640_V06,20160322_202640
KEWX20160323_013555_V06,20160322_203555
KEWX20160324_003025_V06,20160323_193025
KEWX20160324_004153_V06,20160323_194153
KEWX20160324_005107_V06,20160323_195107
KEWX20160324_010023_V06,20160323_200023
KEWX20160324_010938_V06,20160323_200938
KEWX20160324_011852_V06,20160323_201852
KEWX20160324_012806_V06,20160323_202806
KEWX20160324_013722_V06,20160323_203722
KEWX20160325_003114_V06,20160324_193114
KEWX20160325_004030_V06,20160324_194030
KEWX20160325_005203_V06,20160324_195203
KEWX20160325_010118_V06,20160324_200118
KEWX20160325_011034_V06,20160324_201034
KEWX20160325_011949_V06,20160324_201949
KEWX20160325_012905_V06,20160324_202905
KEWX20160325_013821_V06,20160324_203821
KEWX20160326_003439_V06,20160325_193439
KEWX20160326_004354_V06,20160325_194354
KEWX20160326_005310_V06,20160325_195310
KEWX20160326_010439_V06,20160325_200439
KEWX20160326_011356_V06,20160325_201356
KEWX20160326_012311_V06,20160325_202311
KEWX20160326_013227_V06,20160325_203227
KEWX20160326_014143_V06,20160325_204143
KEWX20160327_002828_V06,20160326_192828
KEWX20160327_003744_V06,20160326_193744
KEWX20160327_004700_V06,20160326_194700
KEWX20160327_005616_V06,20160326_195616
KEWX20160327_010531_V06,20160326_200531
KEWX20160327_011701_V06,20160326_201701
KEWX20160327_012616_V06,20160326_202616
KEWX20160327_013532_V06,20160326_203532
KEWX20160327_014448_V06,20160326_204448
KEWX20160328_003019_V06,20160327_193019
KEWX20160328_003935_V06,20160327_193935
KEWX20160328_004851_V06,20160327_194851
KEWX20160328_005806_V06,20160327_195806
KEWX20160328_010721_V06,20160327_200721
KEWX20160328_011636_V06,20160327_201636
KEWX20160328_013722_V06,20160327_203722
KEWX20160328_014637_V06,20160327_204637
KEWX20160329_003145_V06,20160328_193145
KEWX20160329_004100_V06,20160328_194100
KEWX20160329_005016_V06,20160328_195016
KEWX20160329_005931_V06,20160328_195931
KEWX20160329_010847_V06,20160328_200847
KEWX20160329_011802_V06,20160328_201802
KEWX20160329_012718_V06,20160328_202718
KEWX20160329_013846_V06,20160328_203846
KEWX20160329_014802_V06,20160328_204802
KEWX20160330_003345_V06,20160329_193345
KEWX20160330_004302_V06,20160329_194302
KEWX20160330_005217_V06,20160329_195217
KEWX20160330_010132_V06,20160329_200132
KEWX20160330_011047_V06,20160329_201047
KEWX20160330_012001_V06,20160329_202001
KEWX20160330_012916_V06,20160329_202916
KEWX20160330_013832_V06,20160329_203832
KEWX20160331_003029_V06,20160330_193029
KEWX20160331_003332_V06,20160330_193332
KEWX20160331_003636_V06,20160330_193636
KEWX20160331_003939_V06,20160330_193939
KEWX20160331_004242_V06,20160330_194242
KEWX20160331_004546_V06,20160330_194546
KEWX20160331_004850_V06,20160330_194850
KEWX20160331_005154_V06,20160330_195154
KEWX20160331_005458_V06,20160330_195458
KEWX20160331_005801_V06,20160330_195801
KEWX20160331_010107_V06,20160330_200107
KEWX20160331_010410_V06,20160330_200410
KEWX20160331_010714_V06,20160330_200714
KEWX20160331_011017_V06,20160330_201017
KEWX20160331_011322_V06,20160330_201322
KEWX20160331_011629_V06,20160330_201629
KEWX20160331_011933_V06,20160330_201933
KEWX20160331_012348_V06,20160330_202348
KEWX20160331_012720_V06,20160330_202720
KEWX20160331_013038_V06,20160330_203038
KEWX20160331_013356_V06,20160330_203356
KEWX20160331_013701_V06,20160330_203701
KEWX20160331_014005_V06,20160330_204005
KEWX20160331_014307_V06,20160330_204307
KEWX20160331_014614_V06,20160330_204614
KEWX20160331_014919_V06,20160330_204919
KEWX20160401_003701_V06,20160331_193701
KEWX20160401_004616_V06,20160331_194616
KEWX20160401_005532_V06,20160331_195532
KEWX20160401_010447_V06,20160331_200447
KEWX20160401_010752_V06,20160331_200752
KEWX20160401_011105_V06,20160331_201105
KEWX20160401_011419_V06,20160331_201419
KEWX20160401_011732_V06,20160331_201732
KEWX20160401_012046_V06,20160331_202046
KEWX20160401_012359_V06,20160331_202359
KEWX20160401_012712_V06,20160331_202712
KEWX20160401_013025_V06,20160331_203025
KEWX20160401_013339_V06,20160331_203339
KEWX20160401_013652_V06,20160331_203652
KEWX20160401_014006_V06,20160331_204006
KEWX20160401_014919_V06,20160331_204919
KEWX20160402_003724_V06,20160401_193724
KEWX20160402_004640_V06,20160401_194640
KEWX20160402_005555_V06,20160401_195555
KEWX20160402_010510_V06,20160401_200510
KEWX20160402_011426_V06,20160401_201426
KEWX20160402_012341_V06,20160401_202341
KEWX20160402_013256_V06,20160401_203256
KEWX20160402_014210_V06,20160401_204210
KEWX20160403_003201_V06,20160402_193201
KEWX20160403_004117_V06,20160402_194117
KEWX20160403_005032_V06,20160402_195032
KEWX20160403_005948_V06,20160402_195948
KEWX20160403_010904_V06,20160402_200904
KEWX20160403_011819_V06,20160402_201819
KEWX20160403_012735_V06,20160402_202735
KEWX20160403_013650_V06,20160402_203650
KEWX20160403_014606_V06,20160402_204606
KEWX20160404_003505_V06,20160403_193505
KEWX20160404_004419_V06,20160403_194419
KEWX20160404_005334_V06,20160403_195334
KEWX20160404_010249_V06,20160403_200249
KEWX20160404_011205_V06,20160403_201205
KEWX20160404_011508_V06,20160403_201508
KEWX20160404_012009_V06,20160403_202009
KEWX20160404_012524_V06,20160403_202524
