filename,local_time
KCRP20161001_115940_V06,20161001_065940
KCRP20161001_120850_V06,20161001_070850
KCRP20161001_121800_V06,20161001_071800
KCRP20161001_122919_V06,20161001_072919
KCRP20161001_123829_V06,20161001_073829
KCRP20161001_124739_V06,20161001_074739
KCRP20161001_125649_V06,20161001_075649
KCRP20161001_130600_V06,20161001_080600
KCRP20161001_131510_V06,20161001_081510
KCRP20161001_132420_V06,20161001_082420
KCRP20161001_133329_V06,20161001_083329
KCRP20161001_134239_V06,20161001_084239
KCRP20161001_135148_V06,20161001_085148
