filename,local_time
KDIX20170913_101136_V06,20170913_061136
KDIX20170913_101636_V06,20170913_061636
KDIX20170913_102136_V06,20170913_062136
KDIX20170913_102637_V06,20170913_062637
KDIX20170913_103137_V06,20170913_063137
KDIX20170913_103639_V06,20170913_063639
KDIX20170913_104139_V06,20170913_064139
KDIX20170913_104639_V06,20170913_064639
KDIX20170913_105139_V06,20170913_065139
KDIX20170913_105639_V06,20170913_065639
KDIX20170913_110140_V06,20170913_070140
KDIX20170913_110640_V06,20170913_070640
KDIX20170913_111140_V06,20170913_071140
KDIX20170913_111640_V06,20170913_071640
KDIX20170913_112140_V06,20170913_072140
KDIX20170913_112641_V06,20170913_072641
KDIX20170913_113140_V06,20170913_073140
KDIX20170913_113641_V06,20170913_073641
KDIX20170913_114142_V06,20170913_074142
KDIX20170913_114642_V06,20170913_074642
KDIX20170913_115142_V06,20170913_075142
KDIX20170913_115642_V06,20170913_075642
KDIX20170913_120143_V06,20170913_080143
KDIX20170913_120643_V06,20170913_080643
KDIX20170916_101844_V06,20170916_061844
KDIX20170916_102837_V06,20170916_062837
KDIX20170916_104036_V06,20170916_064036
KDIX20170916_105029_V06,20170916_065029
KDIX20170916_110022_V06,20170916_070022
KDIX20170916_111015_V06,20170916_071015
KDIX20170916_112007_V06,20170916_072007
KDIX20170916_113000_V06,20170916_073000
KDIX20170916_113954_V06,20170916_073954
KDIX20170916_114948_V06,20170916_074948
KDIX20170916_115940_V06,20170916_075940
KDIX20170916_120934_V06,20170916_080934
KDIX20171014_104115_V06,20171014_064115
KDIX20171014_104614_V06,20171014_064614
KDIX20171014_105115_V06,20171014_065115
KDIX20171014_105615_V06,20171014_065615
KDIX20171014_110115_V06,20171014_070115
KDIX20171014_110616_V06,20171014_070616
KDIX20171014_111116_V06,20171014_071116
KDIX20171014_111616_V06,20171014_071616
KDIX20171014_112115_V06,20171014_072115
KDIX20171014_112615_V06,20171014_072615
KDIX20171014_113115_V06,20171014_073115
KDIX20171014_113614_V06,20171014_073614
KDIX20171014_114115_V06,20171014_074115
KDIX20171014_114615_V06,20171014_074615
KDIX20171014_115115_V06,20171014_075115
KDIX20171014_115615_V06,20171014_075615
KDIX20171014_120319_V06,20171014_080319
KDIX20171014_120819_V06,20171014_080819
KDIX20171014_121319_V06,20171014_081319
KDIX20171014_121819_V06,20171014_081819
KDIX20171014_122318_V06,20171014_082318
KDIX20171014_122818_V06,20171014_082818
KDIX20171014_123318_V06,20171014_083318
KDIX20171017_104206_V06,20171017_064206
KDIX20171017_105200_V06,20171017_065200
KDIX20171017_110155_V06,20171017_070155
KDIX20171017_111150_V06,20171017_071150
KDIX20171017_112145_V06,20171017_072145
KDIX20171017_113140_V06,20171017_073140
KDIX20171017_114134_V06,20171017_074134
KDIX20171017_115129_V06,20171017_075129
KDIX20171017_120123_V06,20171017_080123
KDIX20171017_121117_V06,20171017_081117
KDIX20171017_122112_V06,20171017_082112
KDIX20171017_123106_V06,20171017_083106
