filename,local_time
KDOX20150919_101904_V06,20150919_061904
KDOX20150919_102824_V06,20150919_062824
KDOX20150919_103745_V06,20150919_063745
KDOX20150919_104706_V06,20150919_064706
KDOX20150919_105627_V06,20150919_065627
KDOX20150919_110554_V06,20150919_070554
KDOX20150919_111517_V06,20150919_071517
KDOX20150919_112440_V06,20150919_072440
KDOX20150919_113402_V06,20150919_073402
KDOX20150919_114325_V06,20150919_074325
KDOX20150919_115246_V06,20150919_075246
KDOX20150919_120206_V06,20150919_080206
KDOX20150919_121127_V06,20150919_081127
KDOX20150929_102804_V06,20150929_062804
KDOX20150929_103247_V06,20150929_063247
KDOX20150929_103730_V06,20150929_063730
KDOX20150929_104214_V06,20150929_064214
KDOX20150929_104658_V06,20150929_064658
KDOX20150929_105143_V06,20150929_065143
KDOX20150929_105628_V06,20150929_065628
KDOX20150929_110112_V06,20150929_070112
KDOX20150929_110557_V06,20150929_070557
KDOX20150929_111044_V06,20150929_071044
KDOX20150929_111532_V06,20150929_071532
KDOX20150929_112018_V06,20150929_072018
KDOX20150929_112503_V06,20150929_072503
KDOX20150929_112946_V06,20150929_072946
KDOX20150929_113431_V06,20150929_073431
KDOX20150929_113916_V06,20150929_073916
KDOX20150929_114402_V06,20150929_074402
KDOX20150929_114849_V06,20150929_074849
KDOX20150929_115333_V06,20150929_075333
KDOX20150929_115816_V06,20150929_075816
KDOX20150929_120302_V06,20150929_080302
KDOX20150929_120745_V06,20150929_080745
KDOX20150929_121227_V06,20150929_081227
KDOX20150929_121708_V06,20150929_081708
KDOX20150929_122151_V06,20150929_082151
KDOX20151004_103927_V06,20151004_063927
KDOX20151004_104856_V06,20151004_064856
KDOX20151004_105823_V06,20151004_065823
KDOX20151004_110747_V06,20151004_070747
KDOX20151004_111713_V06,20151004_071713
KDOX20151004_112636_V06,20151004_072636
KDOX20151004_113559_V06,20151004_073559
KDOX20151004_114524_V06,20151004_074524
KDOX20151004_115451_V06,20151004_075451
KDOX20151004_115940_V06,20151004_075940
KDOX20151004_120429_V06,20151004_080429
KDOX20151004_120921_V06,20151004_080921
KDOX20151004_121412_V06,20151004_081412
KDOX20151004_121904_V06,20151004_081904
KDOX20151004_122356_V06,20151004_082356
KDOX20151004_122848_V06,20151004_082848
KDOX20151006_104003_V06,20151006_064003
KDOX20151006_104932_V06,20151006_064932
KDOX20151006_105859_V06,20151006_065859
KDOX20151006_110828_V06,20151006_070828
KDOX20151006_111319_V06,20151006_071319
KDOX20151006_111812_V06,20151006_071812
KDOX20151006_112304_V06,20151006_072304
KDOX20151006_112757_V06,20151006_072757
KDOX20151006_113731_V06,20151006_073731
KDOX20151006_114700_V06,20151006_074700
KDOX20151006_115630_V06,20151006_075630
KDOX20151006_120557_V06,20151006_080557
KDOX20151006_121523_V06,20151006_081523
KDOX20151006_122451_V06,20151006_082451
KDOX20151011_104004_V06,20151011_064004
KDOX20151011_104932_V06,20151011_064932
KDOX20151011_105902_V06,20151011_065902
KDOX20151011_110830_V06,20151011_070830
KDOX20151011_111757_V06,20151011_071757
KDOX20151011_112246_V06,20151011_072246
KDOX20151011_112737_V06,20151011_072737
KDOX20151011_113229_V06,20151011_073229
KDOX20151011_113721_V06,20151011_073721
KDOX20151011_114651_V06,20151011_074651
KDOX20151011_115619_V06,20151011_075619
KDOX20151011_120546_V06,20151011_080546
KDOX20151011_121514_V06,20151011_081514
KDOX20151011_122441_V06,20151011_082441
KDOX20151011_123408_V06,20151011_083408
KDOX20151020_104633_V06,20151020_064633
KDOX20151020_105601_V06,20151020_065601
