filename,local_time
KDVN20190930_112928_V06,20190930_062928
KDVN20190930_113441_V06,20190930_063441
KDVN20190930_113954_V06,20190930_063954
KDVN20190930_114508_V06,20190930_064508
KDVN20190930_115020_V06,20190930_065020
KDVN20190930_120047_V06,20190930_070047
KDVN20190930_120629_V06,20190930_070629
KDVN20190930_121148_V06,20190930_071148
KDVN20190930_121728_V06,20190930_071728
KDVN20190930_122309_V06,20190930_072309
KDVN20190930_122849_V06,20190930_072849
KDVN20190930_123429_V06,20190930_073429
KDVN20190930_124010_V06,20190930_074010
KDVN20190930_124550_V06,20190930_074550
KDVN20190930_125230_V06,20190930_075230
KDVN20190930_130414_V06,20190930_080414
KDVN20190930_130941_V06,20190930_080941
KDVN20190930_131456_V06,20190930_081456
KDVN20190930_132008_V06,20190930_082008
KDVN20190930_132522_V06,20190930_082522
