filename,local_time
KEAX20140927_114455_V06,20140927_064455
KEAX20140927_115438_V06,20140927_065438
KEAX20140927_115812_V06,20140927_065812
KEAX20140927_120235_V06,20140927_070235
KEAX20140927_120657_V06,20140927_070657
KEAX20140927_121125_V06,20140927_071125
KEAX20140927_121546_V06,20140927_071546
KEAX20140927_122008_V06,20140927_072008
KEAX20140927_122429_V06,20140927_072429
KEAX20140927_122850_V06,20140927_072850
KEAX20140927_123312_V06,20140927_073312
KEAX20140927_123733_V06,20140927_073733
KEAX20140927_124154_V06,20140927_074154
KEAX20140927_124615_V06,20140927_074615
KEAX20140927_125036_V06,20140927_075036
KEAX20140927_125456_V06,20140927_075456
KEAX20140927_125918_V06,20140927_075918
KEAX20140927_130339_V06,20140927_080339
KEAX20140927_130759_V06,20140927_080759
KEAX20140927_131220_V06,20140927_081220
KEAX20140927_131641_V06,20140927_081641
KEAX20140927_132102_V06,20140927_082102
KEAX20140927_132524_V06,20140927_082524
KEAX20140927_132945_V06,20140927_082945
KEAX20140927_133405_V06,20140927_083405
KEAX20140927_133826_V06,20140927_083826
