filename,local_time
KFWS20141004_115725_V06,20141004_065725
KFWS20141004_120655_V06,20141004_070655
KFWS20141004_121624_V06,20141004_071624
KFWS20141004_122553_V06,20141004_072553
KFWS20141004_123523_V06,20141004_073523
KFWS20141004_124453_V06,20141004_074453
KFWS20141004_125423_V06,20141004_075423
KFWS20141004_130353_V06,20141004_080353
KFWS20141004_131321_V06,20141004_081321
KFWS20141004_132251_V06,20141004_082251
KFWS20141004_133221_V06,20141004_083221
KFWS20141004_134151_V06,20141004_084151
KFWS20141004_135120_V06,20141004_085120
