filename,local_time
KGYX20150915_095041_V06,20150915_055041
KGYX20150915_100023_V06,20150915_060023
KGYX20150915_101005_V06,20150915_061005
KGYX20150915_101946_V06,20150915_061946
KGYX20150915_102928_V06,20150915_062928
KGYX20150915_103909_V06,20150915_063909
KGYX20150915_104852_V06,20150915_064852
KGYX20150915_105833_V06,20150915_065833
KGYX20150915_110815_V06,20150915_070815
KGYX20150915_111757_V06,20150915_071757
KGYX20150915_112739_V06,20150915_072739
KGYX20150915_113720_V06,20150915_073720
KGYX20150915_114703_V06,20150915_074703
