filename,local_time
KHNX20150703_121646_V06,20150703_051646
KHNX20150703_122041_V06,20150703_052041
KHNX20150703_122436_V06,20150703_052436
KHNX20150703_122830_V06,20150703_052830
KHNX20150703_123225_V06,20150703_053225
KHNX20150703_123620_V06,20150703_053620
KHNX20150703_124016_V06,20150703_054016
KHNX20150703_124417_V06,20150703_054417
KHNX20150703_124819_V06,20150703_054819
KHNX20150703_125221_V06,20150703_055221
KHNX20150703_125623_V06,20150703_055623
KHNX20150703_130023_V06,20150703_060023
KHNX20150703_130424_V06,20150703_060424
KHNX20150703_130826_V06,20150703_060826
KHNX20150703_131227_V06,20150703_061227
KHNX20150703_131628_V06,20150703_061628
KHNX20150703_132030_V06,20150703_062030
KHNX20150703_132431_V06,20150703_062431
KHNX20150703_132831_V06,20150703_062831
KHNX20150703_133233_V06,20150703_063233
KHNX20150703_133634_V06,20150703_063634
KHNX20150703_134036_V06,20150703_064036
KHNX20150703_134437_V06,20150703_064437
KHNX20150703_134839_V06,20150703_064839
KHNX20150703_135241_V06,20150703_065241
KHNX20150703_135641_V06,20150703_065641
KHNX20150703_140043_V06,20150703_070043
KHNX20150703_140445_V06,20150703_070445
KHNX20150703_140845_V06,20150703_070845
KHNX20150703_141246_V06,20150703_071246
KHNX20150708_122205_V06,20150708_052205
KHNX20150708_123101_V06,20150708_053101
KHNX20150708_123958_V06,20150708_053958
KHNX20150708_124854_V06,20150708_054854
KHNX20150708_125750_V06,20150708_055750
KHNX20150708_130645_V06,20150708_060645
KHNX20150708_131542_V06,20150708_061542
KHNX20150708_132439_V06,20150708_062439
KHNX20150708_133335_V06,20150708_063335
KHNX20150708_134232_V06,20150708_064232
KHNX20150708_135129_V06,20150708_065129
KHNX20150708_140025_V06,20150708_070025
KHNX20150708_140922_V06,20150708_070922
KHNX20150710_122201_V06,20150710_052201
KHNX20150710_122550_V06,20150710_052550
KHNX20150710_122934_V06,20150710_052934
KHNX20150710_123318_V06,20150710_053318
KHNX20150710_123702_V06,20150710_053702
KHNX20150710_124046_V06,20150710_054046
KHNX20150710_124430_V06,20150710_054430
KHNX20150710_124814_V06,20150710_054814
KHNX20150710_125158_V06,20150710_055158
KHNX20150710_125543_V06,20150710_055543
KHNX20150710_125944_V06,20150710_055944
KHNX20150710_130345_V06,20150710_060345
KHNX20150710_130746_V06,20150710_060746
KHNX20150710_131147_V06,20150710_061147
KHNX20150710_131548_V06,20150710_061548
KHNX20150710_131949_V06,20150710_061949
KHNX20150710_132351_V06,20150710_062351
KHNX20150710_132736_V06,20150710_062736
KHNX20150710_133119_V06,20150710_063119
KHNX20150710_133504_V06,20150710_063504
KHNX20150710_133848_V06,20150710_063848
KHNX20150710_134232_V06,20150710_064232
KHNX20150710_134634_V06,20150710_064634
KHNX20150710_135018_V06,20150710_065018
KHNX20150710_135421_V06,20150710_065421
KHNX20150710_135822_V06,20150710_065822
KHNX20150710_140211_V06,20150710_070211
