filename,local_time
KHPX20181013_112929_V06,20181013_062929
KHPX20181013_113913_V06,20181013_063913
KHPX20181013_114856_V06,20181013_064856
KHPX20181013_120823_V06,20181013_070823
KHPX20181013_121806_V06,20181013_071806
KHPX20181013_122749_V06,20181013_072749
KHPX20181013_123734_V06,20181013_073734
KHPX20181013_124717_V06,20181013_074717
KHPX20181013_130644_V06,20181013_080644
KHPX20181013_131626_V06,20181013_081626
KHPX20181023_113525_V06,20181023_063525
KHPX20181023_114508_V06,20181023_064508
KHPX20181023_120435_V06,20181023_070435
KHPX20181023_121418_V06,20181023_071418
KHPX20181023_122402_V06,20181023_072402
KHPX20181023_123346_V06,20181023_073346
KHPX20181023_124330_V06,20181023_074330
KHPX20181023_130257_V06,20181023_080257
KHPX20181023_131241_V06,20181023_081241
KHPX20181023_132225_V06,20181023_082225
KHPX20181023_133208_V06,20181023_083208
