filename,local_time
KILX20160930_113141_V06,20160930_063141
KILX20160930_114127_V06,20160930_064127
KILX20160930_115113_V06,20160930_065113
KILX20160930_120059_V06,20160930_070059
KILX20160930_121046_V06,20160930_071046
KILX20160930_122032_V06,20160930_072032
KILX20160930_123018_V06,20160930_073018
KILX20160930_124004_V06,20160930_074004
KILX20160930_124950_V06,20160930_074950
KILX20160930_125937_V06,20160930_075937
KILX20160930_130922_V06,20160930_080922
KILX20160930_131256_V06,20160930_081256
KILX20160930_131630_V06,20160930_081630
KILX20160930_132000_V06,20160930_082000
