filename,local_time
KLTX20141019_105321_V06,20141019_065321
KLTX20141019_105817_V06,20141019_065817
KLTX20141019_110312_V06,20141019_070312
KLTX20141019_110808_V06,20141019_070808
KLTX20141019_111304_V06,20141019_071304
KLTX20141019_111759_V06,20141019_071759
KLTX20141019_112254_V06,20141019_072254
KLTX20141019_112749_V06,20141019_072749
KLTX20141019_113459_V06,20141019_073459
KLTX20141019_113954_V06,20141019_073954
KLTX20141019_114450_V06,20141019_074450
KLTX20141019_114945_V06,20141019_074945
KLTX20141019_115440_V06,20141019_075440
KLTX20141019_115935_V06,20141019_075935
KLTX20141019_120431_V06,20141019_080431
KLTX20141019_120926_V06,20141019_080926
KLTX20141019_121421_V06,20141019_081421
KLTX20141019_121917_V06,20141019_081917
KLTX20141019_122412_V06,20141019_082412
KLTX20141019_122907_V06,20141019_082907
KLTX20141019_123403_V06,20141019_083403
KLTX20141019_123858_V06,20141019_083858
KLTX20141019_124353_V06,20141019_084353
KLTX20141019_124848_V06,20141019_084848
KLTX20141102_110953_V06,20141102_060953
KLTX20141102_111543_V06,20141102_061543
KLTX20141102_112528_V06,20141102_062528
KLTX20141102_113513_V06,20141102_063513
KLTX20141102_114105_V06,20141102_064105
KLTX20141102_114656_V06,20141102_064656
KLTX20141102_115248_V06,20141102_065248
KLTX20141102_115839_V06,20141102_065839
KLTX20141102_120431_V06,20141102_070431
KLTX20141102_121022_V06,20141102_071022
KLTX20141102_121613_V06,20141102_071613
KLTX20141102_122205_V06,20141102_072205
KLTX20141102_122756_V06,20141102_072756
KLTX20141102_123347_V06,20141102_073347
KLTX20141102_123938_V06,20141102_073938
KLTX20141102_124529_V06,20141102_074529
KLTX20141102_125514_V06,20141102_075514
KLTX20141108_111420_V06,20141108_061420
KLTX20141108_112010_V06,20141108_062010
KLTX20141108_112603_V06,20141108_062603
KLTX20141108_113155_V06,20141108_063155
KLTX20141108_113746_V06,20141108_063746
KLTX20141108_114336_V06,20141108_064336
KLTX20141108_114927_V06,20141108_064927
KLTX20141108_115518_V06,20141108_065518
KLTX20141108_120110_V06,20141108_070110
KLTX20141108_120701_V06,20141108_070701
KLTX20141108_121253_V06,20141108_071253
KLTX20141108_121844_V06,20141108_071844
KLTX20141108_122435_V06,20141108_072435
KLTX20141108_123025_V06,20141108_073025
KLTX20141108_123617_V06,20141108_073617
KLTX20141108_124208_V06,20141108_074208
KLTX20141108_124800_V06,20141108_074800
KLTX20141108_125351_V06,20141108_075351
KLTX20141108_125942_V06,20141108_075942
KLTX20141108_130534_V06,20141108_080534
