filename,local_time
KMOB20161022_113145_V06,20161022_063145
KMOB20161022_114143_V06,20161022_064143
KMOB20161022_115144_V06,20161022_065144
KMOB20161022_120141_V06,20161022_070141
KMOB20161022_121416_V06,20161022_071416
KMOB20161022_122418_V06,20161022_072418
KMOB20161022_123416_V06,20161022_073416
KMOB20161022_124415_V06,20161022_074415
KMOB20161022_125414_V06,20161022_075414
KMOB20161022_130408_V06,20161022_080408
KMOB20161022_131404_V06,20161022_081404
KMOB20161022_132403_V06,20161022_082403
