filename,local_time
KMUX20191013_140028_V06,20191013_070028
KMUX20191013_141043_V06,20191013_071043
KMUX20191013_142058_V06,20191013_072058
KMUX20191013_143112_V06,20191013_073112
KMUX20191013_144136_V06,20191013_074136
KMUX20191013_150226_V06,20191013_080226
KMUX20191013_151251_V06,20191013_081251
KMUX20191013_152316_V06,20191013_082316
KMUX20191013_153339_V06,20191013_083339
KMUX20191027_140029_V06,20191027_070029
KMUX20191027_141053_V06,20191027_071053
KMUX20191027_142116_V06,20191027_072116
KMUX20191027_143140_V06,20191027_073140
KMUX20191027_144202_V06,20191027_074202
KMUX20191027_150247_V06,20191027_080247
KMUX20191027_151310_V06,20191027_081310
KMUX20191027_152334_V06,20191027_082334
KMUX20191027_153358_V06,20191027_083358
KMUX20191027_154422_V06,20191027_084422
