filename,local_time
KOHX20171028_113940_V06,20171028_063940
KOHX20171028_114418_V06,20171028_064418
KOHX20171028_114855_V06,20171028_064855
KOHX20171028_115332_V06,20171028_065332
KOHX20171028_115809_V06,20171028_065809
KOHX20171028_120247_V06,20171028_070247
KOHX20171028_120724_V06,20171028_070724
KOHX20171028_121201_V06,20171028_071201
KOHX20171028_121639_V06,20171028_071639
KOHX20171028_122116_V06,20171028_072116
KOHX20171028_122553_V06,20171028_072553
KOHX20171028_123031_V06,20171028_073031
KOHX20171028_123508_V06,20171028_073508
KOHX20171028_123945_V06,20171028_073945
KOHX20171028_124423_V06,20171028_074423
KOHX20171028_124900_V06,20171028_074900
KOHX20171028_125337_V06,20171028_075337
KOHX20171028_125814_V06,20171028_075814
KOHX20171028_130252_V06,20171028_080252
KOHX20171028_130729_V06,20171028_080729
KOHX20171028_131206_V06,20171028_081206
KOHX20171028_131644_V06,20171028_081644
KOHX20171028_132121_V06,20171028_082121
KOHX20171028_132558_V06,20171028_082558
KOHX20171028_133035_V06,20171028_083035
KOHX20171028_133513_V06,20171028_083513
