filename,local_time
KTFX20130709_111359_V06,20130709_051359
KTFX20130709_112334_V06,20130709_052334
KTFX20130709_113309_V06,20130709_053309
KTFX20130709_114244_V06,20130709_054244
KTFX20130709_115220_V06,20130709_055220
KTFX20130709_120156_V06,20130709_060156
KTFX20130709_121132_V06,20130709_061132
KTFX20130709_122107_V06,20130709_062107
KTFX20130709_123042_V06,20130709_063042
KTFX20130709_124016_V06,20130709_064016
KTFX20130709_124952_V06,20130709_064952
KTFX20130709_125927_V06,20130709_065927
