filename,local_time
KTLH20201117_113717_V06,20201117_063717
KTLH20201117_114559_V06,20201117_064559
KTLH20201117_120323_V06,20201117_070323
KTLH20201117_121205_V06,20201117_071205
KTLH20201117_122048_V06,20201117_072048
KTLH20201117_122930_V06,20201117_072930
KTLH20201117_123812_V06,20201117_073812
KTLH20201117_124653_V06,20201117_074653
KTLH20201117_130417_V06,20201117_080417
KTLH20201117_131258_V06,20201117_081258
KTLH20201117_132141_V06,20201117_082141
KTLH20201117_133023_V06,20201117_083023
KTLH20201126_114630_V06,20201126_064630
KTLH20201126_115043_V06,20201126_065043
KTLH20201126_115456_V06,20201126_065456
KTLH20201126_120342_V06,20201126_070342
KTLH20201126_120806_V06,20201126_070806
KTLH20201126_121212_V06,20201126_071212
KTLH20201126_121617_V06,20201126_071617
KTLH20201126_122023_V06,20201126_072023
KTLH20201126_122422_V06,20201126_072422
KTLH20201126_122821_V06,20201126_072821
KTLH20201126_123234_V06,20201126_073234
KTLH20201126_123626_V06,20201126_073626
KTLH20201126_124018_V06,20201126_074018
KTLH20201126_124411_V06,20201126_074411
KTLH20201126_124804_V06,20201126_074804
KTLH20201126_125157_V06,20201126_075157
KTLH20201126_125550_V06,20201126_075550
KTLH20201126_130335_V06,20201126_080335
KTLH20201126_130727_V06,20201126_080727
KTLH20201126_131120_V06,20201126_081120
KTLH20201126_131520_V06,20201126_081520
KTLH20201126_131919_V06,20201126_081919
KTLH20201126_132341_V06,20201126_082341
KTLH20201126_132804_V06,20201126_082804
KTLH20201126_133156_V06,20201126_083156
KTLH20201126_133619_V06,20201126_083619
KTLH20201126_134042_V06,20201126_084042
KTLH20201207_120432_V06,20201207_070432
KTLH20201207_121136_V06,20201207_071136
KTLH20201207_121839_V06,20201207_071839
KTLH20201207_122543_V06,20201207_072543
KTLH20201207_123246_V06,20201207_073246
KTLH20201207_123949_V06,20201207_073949
KTLH20201207_124646_V06,20201207_074646
KTLH20201207_130028_V06,20201207_080028
KTLH20201207_130712_V06,20201207_080712
KTLH20201207_131357_V06,20201207_081357
KTLH20201207_132041_V06,20201207_082041
KTLH20201207_132730_V06,20201207_082730
KTLH20201207_133419_V06,20201207_083419
KTLH20201207_134311_V06,20201207_084311
KTLH20201207_134959_V06,20201207_084959
KTLH20201223_120849_V06,20201223_070849
KTLH20201223_121729_V06,20201223_071729
KTLH20201223_122609_V06,20201223_072609
KTLH20201223_123016_V06,20201223_073016
KTLH20201223_123437_V06,20201223_073437
KTLH20201223_123858_V06,20201223_073858
KTLH20201223_124318_V06,20201223_074318
KTLH20201223_124738_V06,20201223_074738
KTLH20201223_125159_V06,20201223_075159
KTLH20201223_130039_V06,20201223_080039
KTLH20201223_130459_V06,20201223_080459
KTLH20201223_130919_V06,20201223_080919
KTLH20201223_131340_V06,20201223_081340
KTLH20201223_132212_V06,20201223_082212
KTLH20201223_133053_V06,20201223_083053
KTLH20201223_133934_V06,20201223_083934
KTLH20201223_134814_V06,20201223_084814
KTLH20201228_120545_V06,20201228_070545
KTLH20201228_121236_V06,20201228_071236
KTLH20201228_121919_V06,20201228_071919
KTLH20201228_122611_V06,20201228_072611
KTLH20201228_123312_V06,20201228_073312
KTLH20201228_124014_V06,20201228_074014
KTLH20201228_124701_V06,20201228_074701
KTLH20201228_130035_V06,20201228_080035
KTLH20201228_130718_V06,20201228_080718
KTLH20201228_131409_V06,20201228_081409
KTLH20201228_132111_V06,20201228_082111
KTLH20201228_132806_V06,20201228_082806
KTLH20201228_133502_V06,20201228_083502
KTLH20201228_134159_V06,20201228_084159
KTLH20201228_134846_V06,20201228_084846
KTLH20201228_140250_V06,20201228_090250
