track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
5,KAMX20210901_104655_V06,-16,0.079,279.32,366.805725,18.382843,-80.52,25.308999,9191.421509,20210901_064655
5,KAMX20210901_110438_V06,2,0.122,215.80,370.693751,32.314285,-80.83,25.290889,16157.142521,20210901_070438
7,KAMX20210901_111329_V06,11,0.601,249.83,118.837799,38.529640,-80.66,26.427948,19264.820099,20210901_071329
7,KAMX20210901_112219_V06,20,0.254,249.89,120.627568,46.881732,-80.66,26.419872,23440.865830,20210901_072219
7,KAMX20210901_113109_V06,29,0.079,281.12,131.914978,18.755127,-80.51,26.369119,9377.563477,20210901_073109
9,KAMX20210901_111329_V06,11,0.182,328.83,179.774536,28.422180,-80.27,26.153090,14211.090088,20210901_071329
9,KAMX20210901_112219_V06,20,0.066,329.07,178.713896,35.363814,-80.27,26.157876,17681.907233,20210901_072219
1,KAMX20210901_103806_V06,-24,0.246,238.47,75.940491,7.800568,-80.72,26.621425,3900.283813,20210901_063806
4,KAMX20210901_104655_V06,-16,0.081,305.13,163.081177,27.045090,-80.39,26.228496,13522.544861,20210901_064655
10,KAMX20210901_111329_V06,11,0.155,269.98,415.039520,40.293869,-80.56,25.091251,20146.934509,20210901_071329
12,KAMX20210901_112219_V06,20,0.112,295.21,375.484009,19.147987,-80.44,25.269863,9573.993683,20210901_072219
14,KAMX20210901_114000_V06,38,0.154,144.71,46.720215,23.898598,-81.19,26.751522,11949.298859,20210901_074000
4,KAMX20211107_112134_V06,-12,0.137,266.41,136.809235,8.204849,-80.58,26.346965,4102.424622,20211107_062134
4,KAMX20211107_112845_V06,-5,0.073,266.06,141.242247,18.679242,-80.58,26.326957,9339.620921,20211107_062845
7,KAMX20211107_115016_V06,17,0.074,282.37,364.951660,5.102859,-80.50,25.317377,2551.429749,20211107_065016
7,KAMX20211107_120438_V06,31,0.062,309.53,363.998073,17.031918,-80.37,25.321700,8515.959024,20211107_070438
9,KAMX20211107_120438_V06,31,0.233,326.61,365.898438,6.613312,-80.28,25.313071,3306.655884,20211107_070438
9,KAMX20211107_121149_V06,38,0.215,326.63,363.725119,13.604731,-80.28,25.322880,6802.365545,20211107_071149
1,KAMX20211107_110719_V06,-26,0.339,276.15,353.089722,13.817848,-80.53,25.370895,6908.924103,20211107_060719
8,KAMX20211107_115016_V06,17,0.073,216.43,151.208282,13.160591,-80.83,26.281480,6580.295563,20211107_065016
11,KAMX20211107_123243_V06,59,0.189,304.43,353.236938,4.497017,-80.39,25.370277,2248.508453,20211107_073243
7,KAMX20211120_113614_V06,-7,0.354,247.15,116.099701,15.027454,-80.68,26.440281,7513.727188,20211120_063614
7,KAMX20211120_114128_V06,-2,0.809,247.26,113.132281,26.744509,-80.68,26.453674,13372.254283,20211120_064128
7,KAMX20211120_114655_V06,3,-1.000,247.35,110.739200,37.732455,-80.68,26.464474,18866.227747,20211120_064655
7,KAMX20211120_115209_V06,9,-1.000,247.46,107.867504,50.917992,-80.68,26.477434,25458.995904,20211120_065209
7,KAMX20211120_120250_V06,19,0.236,226.83,118.097539,53.882539,-80.78,26.431045,26941.269661,20211120_070250
7,KAMX20211120_120817_V06,25,-1.000,219.78,120.391747,60.527751,-80.82,26.420598,30263.875342,20211120_070817
7,KAMX20211120_121359_V06,30,-1.000,213.91,122.303587,66.065427,-80.84,26.411886,33032.713410,20211120_071359
7,KAMX20211120_121926_V06,36,-1.000,206.85,124.597795,72.710638,-80.88,26.401424,36355.319091,20211120_071926
7,KAMX20211120_122507_V06,42,0.056,210.34,147.333958,68.718795,-80.86,26.298874,34359.397563,20211120_072507
11,KAMX20211120_115209_V06,9,0.597,251.69,350.028748,30.150249,-80.65,25.384562,15075.124741,20211120_065209
12,KAMX20211120_120250_V06,19,0.137,306.64,183.407013,12.484360,-80.38,26.136764,6242.179871,20211120_070250
2,KAMX20211129_113857_V06,-11,0.150,296.07,183.450531,1.869659,-80.43,26.136570,934.829712,20211129_063857
2,KAMX20211129_114336_V06,-6,0.070,296.03,182.851647,8.237316,-80.43,26.139273,4118.658088,20211129_064336
2,KAMX20211129_114823_V06,-1,0.143,286.33,179.577360,15.213685,-80.48,26.154035,7606.842686,20211129_064823
11,KAMX20211129_114823_V06,-1,0.111,238.47,312.406830,17.198555,-80.72,25.554243,8599.277496,20211129_064823
11,KAMX20211129_115310_V06,4,0.312,237.70,311.370686,24.304136,-80.72,25.558911,12152.067790,20211129_065310
11,KAMX20211129_120244_V06,13,-1.000,236.58,309.866607,37.388365,-80.73,25.565688,18694.182733,20211129_070244
11,KAMX20211129_120731_V06,18,0.085,232.76,317.418488,14.546097,-80.75,25.531561,7273.048401,20211129_070731
1,KAMX20211129_112909_V06,-20,0.072,285.86,295.640350,9.562668,-80.48,25.630220,4781.333923,20211129_062909
4,KAMX20211129_114336_V06,-6,0.494,274.61,184.195282,4.907486,-80.54,26.133155,2453.742981,20211129_064336
14,KAMX20211129_115310_V06,4,0.111,249.10,239.736206,17.728939,-80.67,25.882327,8864.469528,20211129_065310
15,KAMX20211129_115310_V06,4,0.106,301.19,354.796021,12.944115,-80.41,25.363241,6472.057343,20211129_065310
18,KAMX20211129_120731_V06,18,0.105,269.03,322.101044,19.857357,-80.57,25.510728,9928.678513,20211129_070731
9,KAMX20211215_114934_V06,-11,0.079,180.00,102.183105,4.977478,-81.01,26.502082,2488.739014,20211215_064934
9,KAMX20211215_115428_V06,-6,-1.000,180.00,102.183105,12.927478,-81.01,26.502082,6463.739014,20211215_065428
9,KAMX20211215_120416_V06,4,-1.000,180.00,102.183105,28.827478,-81.01,26.502082,14413.739014,20211215_070416
9,KAMX20211215_120910_V06,9,-1.000,180.00,102.183105,36.777478,-81.01,26.502082,18388.739014,20211215_070910
9,KAMX20211215_121403_V06,14,0.683,177.72,106.331841,40.980567,-81.03,26.483313,20490.283744,20211215_071403
9,KAMX20211215_121857_V06,18,0.631,167.09,111.768699,38.918267,-81.08,26.458544,19459.133506,20211215_071857
9,KAMX20211215_122351_V06,23,0.658,159.17,112.847308,37.873030,-81.12,26.453490,18936.514764,20211215_072351
13,KAMX20211215_115428_V06,-6,0.084,241.80,320.222321,25.241432,-80.70,25.519002,12620.716095,20211215_065428
13,KAMX20211215_120416_V06,4,0.079,242.67,330.409229,40.137346,-80.70,25.473033,20068.672955,20211215_070416
13,KAMX20211215_120910_V06,9,0.220,243.94,336.671073,41.508413,-80.69,25.444783,20754.206279,20211215_070910
4,KAMX20211215_114440_V06,-16,0.509,239.75,288.860199,18.955059,-80.71,25.660530,9477.529526,20211215_064440
4,KAMX20211215_114934_V06,-11,0.075,239.22,289.157165,26.283635,-80.72,25.659184,13141.817561,20211215_064934
5,KAMX20211215_114440_V06,-16,0.232,279.86,124.407410,5.011688,-80.51,26.402995,2505.844116,20211215_064440
5,KAMX20211215_114934_V06,-11,0.111,278.03,124.520897,12.751908,-80.52,26.402477,6375.954212,20211215_064934
21,KAMX20211215_122351_V06,23,0.069,314.33,304.208313,21.156052,-80.34,25.591549,10578.025818,20211215_072351
21,KAMX20211215_122845_V06,28,0.078,312.19,301.888929,29.211436,-80.35,25.602022,14605.717932,20211215_072845
8,KAMX20211215_114934_V06,-11,0.162,292.21,181.112885,2.706253,-80.45,26.147116,1353.126526,20211215_064934
10,KAMX20211215_114934_V06,-11,0.069,244.39,169.722931,10.785583,-80.69,26.198259,5392.791748,20211215_064934
11,KAMX20211215_114934_V06,-11,0.050,266.13,224.909851,18.585629,-80.58,25.949364,9292.814255,20211215_064934
14,KAMX20211215_115428_V06,-6,0.072,280.87,359.510651,7.278107,-80.51,25.341931,3639.053345,20211215_065428
