track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
7,KDIX20200920_104107_V06,-2,0.902,99.72,398.631470,7.784454,-75.58,39.496906,3892.227173,20200920_064107
7,KDIX20200920_104753_V06,4,0.970,96.11,399.725957,14.947154,-75.60,39.491764,7473.576945,20200920_064753
7,KDIX20200920_110156_V06,18,0.866,89.81,409.005337,27.179696,-75.63,39.449599,13589.847978,20200920_070156
7,KDIX20200920_110852_V06,25,0.905,84.95,416.052807,34.914625,-75.66,39.417563,17457.312543,20200920_070852
7,KDIX20200920_111554_V06,32,0.934,83.97,420.047720,40.074883,-75.67,39.399513,20037.441465,20200920_071554
7,KDIX20200920_112256_V06,39,0.922,79.98,426.982264,47.746528,-75.69,39.368033,23873.264172,20200920_072256
7,KDIX20200920_112958_V06,46,0.875,75.45,427.182348,55.663932,-75.71,39.366839,27831.966229,20200920_072958
7,KDIX20200920_113648_V06,53,0.829,76.75,435.280713,56.876775,-75.71,39.330457,28438.387303,20200920_073648
7,KDIX20200920_114344_V06,60,0.602,69.79,438.096749,63.804531,-75.75,39.317317,31902.265409,20200920_074344
7,KDIX20200920_115046_V06,67,-1.000,63.72,441.437101,70.150125,-75.78,39.301864,35075.062463,20200920_075046
7,KDIX20200920_120450_V06,81,-1.000,51.58,448.117805,82.841313,-75.85,39.270925,41420.656572,20200920_080450
7,KDIX20200920_121146_V06,88,0.067,76.85,460.266513,78.182852,-75.70,39.217953,39091.426217,20200920_081146
1,KDIX20200920_103416_V06,-9,0.152,246.44,429.728546,2.210953,-74.72,39.362306,1105.476379,20200920_063416
1,KDIX20200920_104107_V06,-2,0.507,243.26,433.313031,10.675446,-74.74,39.346112,5337.723013,20200920_064107
1,KDIX20200920_104753_V06,4,0.890,235.94,443.941895,14.370530,-74.78,39.298116,7185.265162,20200920_064753
1,KDIX20200920_110156_V06,18,0.772,230.81,461.733321,20.380211,-74.81,39.217890,10190.105519,20200920_070156
1,KDIX20200920_110852_V06,25,0.838,228.19,465.316502,24.405362,-74.83,39.201699,12202.681250,20200920_070852
1,KDIX20200920_111554_V06,32,0.330,233.25,468.395599,20.790436,-74.80,39.187934,10395.217896,20200920_071554
11,KDIX20200920_104107_V06,-2,0.457,280.16,391.565247,7.789276,-74.53,39.534536,3894.638062,20200920_064107
11,KDIX20200920_104753_V06,4,0.093,277.57,392.779239,16.631931,-74.54,39.529053,8315.965673,20200920_064753
11,KDIX20200920_110156_V06,18,0.196,271.34,404.867470,28.937350,-74.58,39.474568,14468.674937,20200920_070156
25,KDIX20200920_110156_V06,18,0.929,192.91,525.491821,24.380177,-75.03,38.929772,12190.088272,20200920_070156
25,KDIX20200920_110852_V06,25,0.676,190.11,525.630310,31.140787,-75.04,38.929061,15570.393391,20200920_070852
25,KDIX20200920_111554_V06,32,0.077,175.43,522.484706,41.741654,-75.13,38.942731,20870.826898,20200920_071554
3,KDIX20200920_103416_V06,-9,0.111,374.14,161.329895,6.946472,-73.97,40.570535,3473.236084,20200920_063416
3,KDIX20200920_104107_V06,-2,0.346,371.07,161.197140,14.539327,-73.99,40.571199,7269.663423,20200920_064107
3,KDIX20200920_104753_V06,4,0.190,361.20,167.794220,11.440613,-74.05,40.541690,5720.306396,20200920_064753
8,KDIX20200920_104107_V06,-2,0.853,432.35,167.628296,10.056046,-73.63,40.540379,5028.022766,20200920_064107
8,KDIX20200920_104753_V06,4,0.853,428.38,171.244518,16.725367,-73.65,40.524252,8362.683492,20200920_064753
9,KDIX20200920_104107_V06,-2,0.811,296.11,189.767365,9.590042,-74.43,40.443309,4795.021057,20200920_064107
9,KDIX20200920_104753_V06,4,0.572,292.39,191.450875,17.822264,-74.46,40.435723,8911.131952,20200920_064753
10,KDIX20200920_104107_V06,-2,0.720,240.33,263.072449,8.648109,-74.76,40.112700,4324.054718,20200920_064107
10,KDIX20200920_104753_V06,4,0.079,240.49,264.987639,16.879514,-74.76,40.104079,8439.757240,20200920_064753
32,KDIX20200920_115046_V06,67,0.078,303.71,421.873718,4.507851,-74.39,39.398097,2253.925323,20200920_075046
32,KDIX20200920_120450_V06,81,0.070,302.28,421.166933,11.830480,-74.40,39.401282,5915.239750,20200920_080450
2,KDIX20200920_103416_V06,-9,0.117,214.78,315.801514,4.705902,-74.91,39.874713,2352.951050,20200920_063416
20,KDIX20200920_104753_V06,4,0.119,221.00,303.747314,11.075043,-74.87,39.929144,5537.521362,20200920_064753
21,KDIX20200920_104753_V06,4,0.076,336.08,171.756683,7.506989,-74.20,40.524214,3753.494263,20200920_064753
23,KDIX20200920_104753_V06,4,0.061,340.25,325.477173,5.963776,-74.18,39.831973,2981.887817,20200920_064753
26,KDIX20200920_110156_V06,18,0.067,67.14,184.784027,11.422540,-75.78,40.457657,5711.269855,20200920_070156
31,KDIX20200920_111554_V06,32,0.059,366.81,160.296295,7.258118,-74.02,40.575343,3629.058838,20200920_071554
