track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
4,KDOX20210816_095033_V06,-26,0.097,172.04,174.297882,5.399643,-76.18,39.389345,2699.821472,20210816_055033
4,KDOX20210816_095509_V06,-21,0.670,169.73,175.764158,12.375429,-76.20,39.382656,6187.714669,20210816_055509
4,KDOX20210816_100418_V06,-12,0.884,166.74,178.514948,21.347359,-76.21,39.370156,10673.679270,20210816_060418
4,KDOX20210816_100854_V06,-8,0.868,166.79,176.839623,26.471759,-76.21,39.377702,13235.879749,20210816_060854
4,KDOX20210816_101329_V06,-3,0.777,167.84,174.971711,31.830979,-76.21,39.386154,15915.489561,20210816_061329
4,KDOX20210816_101805_V06,2,0.666,168.29,175.515668,37.310738,-76.20,39.383721,18655.368845,20210816_061805
4,KDOX20210816_102241_V06,6,0.442,170.31,174.610516,45.213231,-76.19,39.387873,22606.615473,20210816_062241
4,KDOX20210816_102716_V06,11,0.380,170.46,174.237132,50.955386,-76.19,39.389560,25477.693232,20210816_062716
4,KDOX20210816_103152_V06,15,0.257,166.07,175.817225,51.769138,-76.22,39.382278,25884.568765,20210816_063152
4,KDOX20210816_103628_V06,20,0.062,169.00,171.078746,56.128990,-76.20,39.403729,28064.495026,20210816_063628
8,KDOX20210816_095509_V06,-21,0.155,391.96,256.326019,17.373520,-74.91,39.021060,8686.759949,20210816_055509
8,KDOX20210816_100418_V06,-12,0.148,383.19,253.413471,31.016349,-74.96,39.034396,15508.174402,20210816_060418
8,KDOX20210816_100854_V06,-8,0.138,376.24,252.048234,32.310457,-75.00,39.040703,16155.228744,20210816_060854
8,KDOX20210816_101329_V06,-3,0.175,370.65,250.881007,33.521733,-75.03,39.046077,16760.866513,20210816_061329
8,KDOX20210816_101805_V06,2,0.185,365.61,251.773804,35.890084,-75.06,39.042154,17945.042022,20210816_061805
8,KDOX20210816_102241_V06,6,0.287,364.58,251.891656,36.092937,-75.07,39.041642,18046.468316,20210816_062241
8,KDOX20210816_102716_V06,11,0.214,360.84,253.565408,41.482170,-75.09,39.034171,20741.085071,20210816_062716
8,KDOX20210816_103152_V06,15,0.088,357.42,248.377278,47.916284,-75.11,39.057595,23958.141896,20210816_063152
8,KDOX20210816_103628_V06,20,0.059,361.16,244.174822,53.969330,-75.09,39.076458,26984.665190,20210816_063628
8,KDOX20210816_104104_V06,25,0.213,361.12,257.244934,45.030655,-75.09,39.017594,22515.327454,20210816_064104
1,KDOX20210816_095033_V06,-26,0.956,450.23,136.416656,22.292664,-74.57,39.559042,11146.331787,20210816_055033
1,KDOX20210816_095509_V06,-21,0.964,450.14,137.453157,27.651303,-74.57,39.554379,13825.651411,20210816_055509
1,KDOX20210816_100418_V06,-12,0.962,454.42,141.636996,37.516770,-74.54,39.535350,18758.384779,20210816_060418
1,KDOX20210816_100854_V06,-8,0.946,455.33,145.408379,44.306028,-74.54,39.518327,22153.013965,20210816_060854
1,KDOX20210816_101329_V06,-3,0.895,463.28,147.220022,48.905117,-74.49,39.509804,24452.558729,20210816_061329
1,KDOX20210816_101805_V06,2,0.825,464.81,149.991946,54.430323,-74.48,39.497249,27215.161657,20210816_061805
1,KDOX20210816_102241_V06,6,0.660,469.90,149.837006,58.855638,-74.45,39.497702,29427.818849,20210816_062241
1,KDOX20210816_102716_V06,11,0.080,476.36,147.799974,62.475635,-74.41,39.506553,31237.817620,20210816_062716
2,KDOX20210816_095033_V06,-26,0.697,377.00,201.461121,4.535873,-74.99,39.268514,2267.936707,20210816_055033
2,KDOX20210816_095509_V06,-21,0.925,375.94,201.228449,9.061059,-75.00,39.269585,4530.529432,20210816_055509
2,KDOX20210816_100418_V06,-12,0.908,371.99,200.866436,16.325604,-75.02,39.271299,8162.802109,20210816_060418
2,KDOX20210816_100854_V06,-8,0.840,372.18,198.649822,20.710819,-75.02,39.281278,10355.409542,20210816_060854
2,KDOX20210816_101329_V06,-3,0.792,376.55,201.135538,20.433124,-75.00,39.269990,10216.561813,20210816_061329
2,KDOX20210816_101805_V06,2,-1.000,380.16,202.822137,21.073338,-74.98,39.262314,10536.669023,20210816_061805
2,KDOX20210816_102241_V06,6,0.913,368.75,196.987027,20.565819,-75.04,39.288836,10282.909274,20210816_062241
2,KDOX20210816_102716_V06,11,0.491,365.07,195.570070,20.352380,-75.06,39.295288,10176.190030,20210816_062716
2,KDOX20210816_103152_V06,15,0.377,361.07,192.729836,24.421174,-75.09,39.308151,12210.586905,20210816_063152
2,KDOX20210816_103628_V06,20,-1.000,356.49,189.893201,27.643847,-75.11,39.321004,13821.923683,20210816_063628
2,KDOX20210816_104104_V06,25,0.071,367.08,209.966827,8.032349,-75.05,39.230412,4016.174316,20210816_064104
12,KDOX20210816_100418_V06,-12,0.633,288.29,111.941254,7.161316,-75.51,39.672497,3580.657959,20210816_060418
12,KDOX20210816_100854_V06,-8,0.737,287.92,113.899414,13.683822,-75.51,39.663678,6841.910837,20210816_060854
12,KDOX20210816_101329_V06,-3,0.905,287.92,114.404974,18.649907,-75.51,39.661401,9324.953673,20210816_061329
12,KDOX20210816_101805_V06,2,0.883,289.27,114.118104,21.889918,-75.50,39.662697,10944.958808,20210816_061805
12,KDOX20210816_102241_V06,6,0.605,289.76,120.627845,30.650011,-75.50,39.633383,15325.005652,20210816_062241
12,KDOX20210816_102716_V06,11,0.446,285.59,120.283471,37.329711,-75.52,39.634919,18664.855506,20210816_062716
12,KDOX20210816_103152_V06,15,-1.000,283.22,121.345985,43.221390,-75.54,39.630123,21610.694948,20210816_063152
12,KDOX20210816_103628_V06,20,0.155,268.44,114.346808,41.526695,-75.62,39.661540,20763.347647,20210816_063628
13,KDOX20210816_100418_V06,-12,0.629,223.29,399.678345,9.667969,-75.88,38.375763,4833.984375,20210816_060418
13,KDOX20210816_100854_V06,-8,0.551,224.26,399.280520,14.262807,-75.87,38.377576,7131.403265,20210816_060854
13,KDOX20210816_101329_V06,-3,0.760,224.10,398.975324,15.623531,-75.87,38.378947,7811.765446,20210816_061329
13,KDOX20210816_101805_V06,2,0.753,222.24,399.371303,18.432512,-75.88,38.377123,9216.255767,20210816_061805
13,KDOX20210816_102241_V06,6,0.464,220.06,398.574119,22.322682,-75.90,38.380666,11161.340758,20210816_062241
13,KDOX20210816_102716_V06,11,0.113,223.34,394.554596,17.861519,-75.88,38.398843,8930.759430,20210816_062716
23,KDOX20210816_100854_V06,-8,0.303,198.13,316.284790,13.448967,-76.03,38.750742,6724.483490,20210816_060854
23,KDOX20210816_101329_V06,-3,0.305,197.71,315.506186,19.211759,-76.03,38.754237,9605.879439,20210816_061329
23,KDOX20210816_101805_V06,2,0.330,193.40,315.701894,20.845997,-76.05,38.753228,10422.998635,20210816_061805
23,KDOX20210816_102241_V06,6,0.309,191.44,316.871528,19.946661,-76.06,38.747900,9973.330477,20210816_062241
23,KDOX20210816_102716_V06,11,0.058,192.62,324.329220,23.226226,-76.06,38.714348,11613.112829,20210816_062716
26,KDOX20210816_101329_V06,-3,0.140,275.44,488.780640,8.338566,-75.58,37.975144,4169.282913,20210816_061329
26,KDOX20210816_101805_V06,2,0.604,274.28,488.636083,16.286559,-75.59,37.975787,8143.279486,20210816_061805
26,KDOX20210816_102241_V06,6,0.381,271.29,485.203462,24.596716,-75.60,37.991227,12298.357983,20210816_062241
26,KDOX20210816_102716_V06,11,0.079,274.87,489.077624,27.113996,-75.58,37.973802,13556.998095,20210816_062716
14,KDOX20210816_100418_V06,-12,0.404,295.55,379.178467,67.832329,-75.47,38.468926,33916.164398,20210816_060418
